* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 9:11:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.443	-126.1517
20.299999	84.523	-126.9788
20.600000	84.583	-127.8112
20.900000	84.622	-128.5346
21.200001	84.658	-129.0504
21.400000	84.695	-129.2962
21.799999	84.818	-129.7472
22.000000	84.904	-130.0735
22.400000	85.094	-131.1715
22.700001	85.213	-132.4131
23.000000	85.279	-133.8621
23.299999	85.288	-135.2560
23.600000	85.262	-136.4027
24.000000	85.233	-137.4466
24.299999	85.258	-138.0364
24.700001	85.364	-138.9874
25.000000	85.465	-140.0496
25.400000	85.565	-141.9016
25.799999	85.594	-143.8098
26.200001	85.594	-145.3185
26.500000	85.613	-146.1913
26.900000	85.718	-147.3737
27.200001	85.829	-148.6033
27.600000	85.939	-150.8726
28.000000	85.921	-153.4667
28.500000	85.704	-155.9603
29.000000	85.451	-156.8468
29.500000	85.347	-156.9650
30.000000	85.321	-157.6675
30.400000	85.205	-158.4937
30.700001	85.037	-158.6757
31.100000	84.812	-157.6856
31.500000	84.777	-155.5564
32.000000	85.155	-153.2705
32.500000	85.746	-153.5910
33.000000	86.158	-156.4597
33.500000	86.282	-160.0742
34.000000	86.232	-163.0354
34.500000	86.153	-165.3122
35.000000	86.068	-167.3172
35.500000	85.947	-168.8978
36.000000	85.845	-169.6261
36.500000	85.880	-169.7748
37.000000	86.060	-170.3092
37.500000	86.248	-171.7234
38.200001	86.337	-174.1591
38.700001	86.333	-175.3567
39.500000	86.397	-176.8666
40.000000	86.439	-178.2204
40.599998	86.402	179.9004
41.200001	86.288	178.2549
41.799999	86.165	176.7902
42.500000	86.022	174.8760
43.099998	85.863	173.0205
43.700001	85.665	171.1718
44.400002	85.412	169.2219
45.000000	85.219	167.7142
45.500000	85.088	166.3470
46.200001	84.889	163.9568
46.799999	84.607	161.8043
47.500000	84.145	160.2711
48.200001	83.697	159.9970
48.700001	83.429	160.0544
49.400002	83.038	160.2397
50.000000	82.643	161.1575
50.799999	82.211	163.9646
51.500000	82.086	166.8757
52.200001	82.167	169.0837
53.000000	82.365	170.0869
53.799999	82.494	169.5988
54.500000	82.516	168.8228
55.200001	82.556	167.8365
