* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Jul 28, 2023 1:02:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Target Target Jul 28 01:07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	5.526
20.299999	5.504
20.600000	5.483
20.900000	5.461
21.200001	5.440
21.400000	5.427
21.799999	5.399
22.000000	5.386
22.400000	5.359
22.700001	5.339
23.000000	5.320
23.299999	5.300
23.600000	5.281
24.000000	5.257
24.299999	5.238
24.700001	5.214
25.000000	5.196
25.400000	5.173
25.799999	5.150
26.200001	5.127
26.500000	5.110
26.900000	5.089
27.200001	5.072
27.600000	5.051
28.000000	5.029
28.500000	5.003
29.000000	4.978
29.500000	4.952
30.000000	4.928
30.400000	4.908
30.700001	4.894
31.100000	4.875
31.500000	4.856
32.000000	4.833
32.500000	4.810
33.000000	4.788
33.500000	4.765
34.000000	4.744
34.500000	4.722
35.000000	4.701
35.500000	4.680
36.000000	4.660
36.500000	4.640
37.000000	4.620
37.500000	4.600
38.200001	4.573
38.700001	4.554
39.500000	4.524
40.000000	4.506
40.599998	4.484
41.200001	4.463
41.799999	4.442
42.500000	4.418
43.099998	4.397
43.700001	4.377
44.400002	4.354
45.000000	4.334
45.500000	4.319
46.200001	4.296
46.799999	4.278
47.500000	4.256
48.200001	4.235
48.700001	4.220
49.400002	4.199
50.000000	4.182
50.799999	4.159
51.500000	4.139
52.200001	4.120
53.000000	4.098
53.799999	4.077
54.500000	4.058
55.200001	4.040
56.000000	4.019
57.000000	3.993
58.000000	3.968
59.000000	3.944
60.000000	3.920
60.799999	3.901
61.500000	3.885
62.200001	3.869
63.000000	3.850
64.000000	3.828
65.000000	3.806
66.000000	3.784
67.000000	3.763
68.000000	3.742
69.000000	3.722
70.000000	3.701
71.000000	3.681
72.000000	3.661
73.000000	3.642
74.000000	3.623
75.000000	3.604
76.199997	3.582
77.500000	3.558
78.800003	3.534
80.000000	3.513
81.199997	3.493
82.500000	3.470
83.800003	3.448
85.000000	3.429
86.199997	3.409
87.500000	3.388
88.500000	3.373
90.000000	3.350
91.199997	3.331
92.500000	3.312
93.800003	3.293
95.000000	3.275
96.199997	3.257
97.500000	3.239
98.800003	3.221
100.000000	3.207
101.500000	3.191
103.000000	3.177
104.400002	3.166
106.000000	3.155
107.500000	3.145
109.000000	3.137
110.599998	3.128
112.000000	3.122
113.800003	3.115
115.000000	3.111
117.199997	3.104
118.000000	3.101
120.599998	3.094
122.000000	3.090
124.099998	3.084
125.000000	3.081
126.500000	3.075
128.000000	3.067
131.500000	3.050
132.000000	3.048
134.000000	3.039
136.000000	3.030
138.000000	3.020
140.000000	3.011
143.000000	2.997
145.000000	2.988
147.500000	2.978
150.000000	2.967
152.500000	2.956
155.000000	2.946
157.500000	2.936
160.000000	2.927
162.500000	2.918
165.000000	2.909
167.500000	2.900
170.000000	2.892
172.500000	2.884
175.000000	2.876
177.500000	2.868
180.000000	2.861
182.500000	2.853
185.000000	2.846
187.500000	2.839
190.000000	2.831
192.500000	2.825
195.000000	2.818
197.500000	2.811
200.000000	2.804
203.000000	2.795
206.000000	2.787
209.000000	2.778
212.000000	2.769
214.000000	2.763
218.000000	2.752
220.000000	2.747
224.000000	2.737
227.000000	2.730
230.000000	2.723
233.000000	2.715
236.000000	2.709
240.000000	2.701
243.000000	2.695
247.000000	2.688
250.000000	2.683
254.000000	2.678
258.000000	2.673
262.000000	2.669
265.000000	2.666
269.000000	2.662
272.000000	2.660
276.000000	2.658
280.000000	2.655
285.000000	2.653
290.000000	2.651
295.000000	2.650
300.000000	2.649
304.000000	2.648
307.000000	2.648
311.000000	2.649
315.000000	2.649
320.000000	2.648
325.000000	2.648
330.000000	2.649
335.000000	2.649
340.000000	2.650
345.000000	2.652
350.000000	2.654
355.000000	2.657
360.000000	2.660
365.000000	2.664
370.000000	2.668
375.000000	2.673
382.000000	2.680
387.000000	2.687
395.000000	2.698
400.000000	2.706
406.000000	2.718
412.000000	2.732
418.000000	2.746
425.000000	2.764
431.000000	2.780
437.000000	2.796
444.000000	2.815
450.000000	2.833
455.000000	2.847
462.000000	2.868
468.000000	2.885
475.000000	2.907
482.000000	2.928
487.000000	2.943
494.000000	2.964
500.000000	2.984
508.000000	3.009
515.000000	3.032
522.000000	3.054
530.000000	3.080
538.000000	3.105
545.000000	3.126
552.000000	3.148
560.000000	3.171
570.000000	3.199
580.000000	3.227
590.000000	3.254
600.000000	3.280
608.000000	3.299
615.000000	3.315
622.000000	3.330
630.000000	3.345
640.000000	3.359
650.000000	3.370
660.000000	3.379
670.000000	3.387
680.000000	3.396
690.000000	3.404
700.000000	3.411
710.000000	3.420
720.000000	3.428
730.000000	3.436
740.000000	3.444
750.000000	3.453
762.000000	3.464
775.000000	3.477
788.000000	3.492
800.000000	3.507
812.000000	3.524
825.000000	3.545
838.000000	3.568
850.000000	3.591
862.000000	3.615
875.000000	3.642
885.000000	3.664
900.000000	3.699
912.000000	3.728
925.000000	3.762
938.000000	3.797
950.000000	3.830
962.000000	3.865
975.000000	3.905
988.000000	3.946
1000.000000	3.986
1015.000000	4.038
1030.000000	4.093
1044.000000	4.146
1060.000000	4.208
1075.000000	4.268
1090.000000	4.329
1106.000000	4.396
1120.000000	4.456
1138.000000	4.535
1150.000000	4.589
1172.000000	4.689
1180.000000	4.726
1206.000000	4.849
1220.000000	4.916
1241.000000	5.017
1250.000000	5.060
1265.000000	5.131
1280.000000	5.202
1315.000000	5.367
1320.000000	5.391
1340.000000	5.488
1360.000000	5.586
1380.000000	5.686
1400.000000	5.788
1430.000000	5.945
1450.000000	6.051
1475.000000	6.186
1500.000000	6.325
1525.000000	6.466
1550.000000	6.611
1575.000000	6.761
1600.000000	6.916
1625.000000	7.079
1650.000000	7.249
1675.000000	7.423
1700.000000	7.601
1725.000000	7.781
1750.000000	7.964
1775.000000	8.150
1800.000000	8.337
1825.000000	8.527
1850.000000	8.717
1875.000000	8.910
1900.000000	9.105
1925.000000	9.301
1950.000000	9.498
1975.000000	9.701
2000.000000	9.916
2030.000000	10.189
2060.000000	10.472
2090.000000	10.756
2120.000000	11.037
2140.000000	11.221
2180.000000	11.581
2200.000000	11.756
2240.000000	12.096
2270.000000	12.341
2300.000000	12.576
2330.000000	12.801
2360.000000	13.014
2400.000000	13.282
2430.000000	13.467
2470.000000	13.688
2500.000000	13.826
2540.000000	13.969
2580.000000	14.076
2620.000000	14.161
2650.000000	14.212
2690.000000	14.265
2720.000000	14.294
2760.000000	14.320
2800.000000	14.331
2850.000000	14.325
2900.000000	14.300
2950.000000	14.257
3000.000000	14.196
3040.000000	14.135
3070.000000	14.083
3110.000000	14.004
3150.000000	13.910
3200.000000	13.772
3250.000000	13.617
3300.000000	13.451
3350.000000	13.278
3400.000000	13.098
3450.000000	12.913
3500.000000	12.724
3550.000000	12.532
3600.000000	12.338
3650.000000	12.142
3700.000000	11.946
3750.000000	11.750
3820.000000	11.476
3870.000000	11.283
3950.000000	10.980
4000.000000	10.800
4060.000000	10.597
4120.000000	10.404
4180.000000	10.219
4250.000000	10.008
4310.000000	9.833
4370.000000	9.663
4440.000000	9.471
4500.000000	9.311
4550.000000	9.181
4620.000000	9.005
4680.000000	8.860
4750.000000	8.697
4820.000000	8.540
4870.000000	8.432
4940.000000	8.287
5000.000000	8.169
5080.000000	8.022
5150.000000	7.902
5220.000000	7.787
5300.000000	7.663
5380.000000	7.546
5450.000000	7.449
5520.000000	7.357
5600.000000	7.258
5700.000000	7.143
5800.000000	7.037
5900.000000	6.939
6000.000000	6.850
6080.000000	6.785
6150.000000	6.733
6220.000000	6.688
6300.000000	6.650
6400.000000	6.623
6500.000000	6.613
6600.000000	6.609
6700.000000	6.608
6800.000000	6.607
6900.000000	6.606
7000.000000	6.604
7100.000000	6.601
7200.000000	6.595
7300.000000	6.585
7400.000000	6.572
7500.000000	6.554
7620.000000	6.525
7750.000000	6.483
7880.000000	6.426
8000.000000	6.346
8120.000000	6.229
8250.000000	6.074
8380.000000	5.903
8500.000000	5.737
8620.000000	5.564
8750.000000	5.371
8850.000000	5.218
9000.000000	4.984
9120.000000	4.794
9250.000000	4.585
9380.000000	4.375
9500.000000	4.179
9620.000000	3.984
9750.000000	3.772
9880.000000	3.563
10000.000000	3.376
10150.000000	3.150
10300.000000	2.932
10440.000000	2.732
10600.000000	2.507
10750.000000	2.298
10900.000000	2.091
11060.000000	1.873
11200.000000	1.685
11380.000000	1.446
11500.000000	1.289
11720.000000	1.005
11800.000000	0.903
12060.000000	0.578
12200.000000	0.406
12410.000000	0.153
12500.000000	0.048
12650.000000	-0.125
12800.000000	-0.293
13150.000000	-0.675
13200.000000	-0.729
13400.000000	-0.941
13600.000000	-1.149
13800.000000	-1.354
14000.000000	-1.556
14300.000000	-1.852
14500.000000	-2.046
14750.000000	-2.283
15000.000000	-2.517
15250.000000	-2.746
15500.000000	-2.971
15750.000000	-3.185
16000.000000	-3.373
16250.000000	-3.519
16500.000000	-3.632
16750.000000	-3.729
17000.000000	-3.816
17250.000000	-3.894
17500.000000	-3.965
17750.000000	-4.030
18000.000000	-4.089
18250.000000	-4.143
18500.000000	-4.193
18750.000000	-4.239
19000.000000	-4.283
19250.000000	-4.324
19500.000000	-4.363
19750.000000	-4.398
20000.000000	-4.427
