* Measurement data measured by REW V5.20.13
* Source: /Users/griff/Downloads/Generic DF HRTF.csv
* Format: Comma/Tab/Space delimited data
* Dated: Jul 18, 2023 2:12:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Downloads/Generic DF HRTF.csv Format: Comma/Tab/Space delimited data 25 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Generic DF HRTF
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	-0.000
20.299999	-0.001
20.600000	-0.001
20.900000	-0.002
21.200001	-0.002
21.400000	-0.002
21.799999	-0.003
22.000000	-0.003
22.400000	-0.004
22.700001	-0.005
23.000000	-0.005
23.299999	-0.006
23.600000	-0.006
24.000000	-0.007
24.299999	-0.007
24.700001	-0.008
25.000000	-0.008
25.400000	-0.009
25.799999	-0.009
26.200001	-0.010
26.500000	-0.010
26.900000	-0.010
27.200001	-0.011
27.600000	-0.011
28.000000	-0.012
28.500000	-0.012
29.000000	-0.013
29.500000	-0.013
30.000000	-0.014
30.400000	-0.014
30.700001	-0.014
31.100000	-0.015
31.500000	-0.015
32.000000	-0.016
32.500000	-0.016
33.000000	-0.016
33.500000	-0.017
34.000000	-0.017
34.500000	-0.018
35.000000	-0.018
35.500000	-0.018
36.000000	-0.019
36.500000	-0.019
37.000000	-0.019
37.500000	-0.019
38.200001	-0.020
38.700001	-0.020
39.500000	-0.020
40.000000	-0.021
40.599998	-0.021
41.200001	-0.021
41.799999	-0.021
42.500000	-0.021
43.099998	-0.022
43.700001	-0.022
44.400002	-0.022
45.000000	-0.022
45.500000	-0.022
46.200001	-0.022
46.799999	-0.022
47.500000	-0.022
48.200001	-0.022
48.700001	-0.022
49.400002	-0.023
50.000000	-0.023
50.799999	-0.023
51.500000	-0.023
52.200001	-0.022
53.000000	-0.022
53.799999	-0.022
54.500000	-0.022
55.200001	-0.022
56.000000	-0.022
57.000000	-0.022
58.000000	-0.022
59.000000	-0.022
60.000000	-0.021
60.799999	-0.021
61.500000	-0.021
62.200001	-0.021
63.000000	-0.021
64.000000	-0.020
65.000000	-0.020
66.000000	-0.020
67.000000	-0.019
68.000000	-0.019
69.000000	-0.018
70.000000	-0.018
71.000000	-0.018
72.000000	-0.017
73.000000	-0.017
74.000000	-0.016
75.000000	-0.016
76.199997	-0.015
77.500000	-0.014
78.800003	-0.014
80.000000	-0.013
81.199997	-0.012
82.500000	-0.012
83.800003	-0.011
85.000000	-0.010
86.199997	-0.009
87.500000	-0.009
88.500000	-0.008
90.000000	-0.007
91.199997	-0.006
92.500000	-0.005
93.800003	-0.004
95.000000	-0.004
96.199997	-0.003
97.500000	-0.002
98.800003	-0.001
100.000000	0.001
101.500000	0.007
103.000000	0.015
104.400002	0.023
106.000000	0.034
107.500000	0.045
109.000000	0.056
110.599998	0.069
112.000000	0.081
113.800003	0.097
115.000000	0.108
117.199997	0.128
118.000000	0.135
120.599998	0.160
122.000000	0.173
124.099998	0.191
125.000000	0.199
126.500000	0.210
128.000000	0.219
131.500000	0.241
132.000000	0.244
134.000000	0.257
136.000000	0.269
138.000000	0.280
140.000000	0.292
143.000000	0.309
145.000000	0.320
147.500000	0.334
150.000000	0.347
152.500000	0.361
155.000000	0.374
157.500000	0.387
160.000000	0.400
162.500000	0.414
165.000000	0.427
167.500000	0.440
170.000000	0.453
172.500000	0.466
175.000000	0.479
177.500000	0.492
180.000000	0.504
182.500000	0.517
185.000000	0.529
187.500000	0.541
190.000000	0.553
192.500000	0.565
195.000000	0.577
197.500000	0.588
200.000000	0.600
203.000000	0.612
206.000000	0.625
209.000000	0.637
212.000000	0.649
214.000000	0.656
218.000000	0.672
220.000000	0.680
224.000000	0.696
227.000000	0.708
230.000000	0.720
233.000000	0.731
236.000000	0.743
240.000000	0.759
243.000000	0.771
247.000000	0.788
250.000000	0.800
254.000000	0.818
258.000000	0.836
262.000000	0.854
265.000000	0.867
269.000000	0.885
272.000000	0.899
276.000000	0.918
280.000000	0.936
285.000000	0.959
290.000000	0.982
295.000000	1.006
300.000000	1.029
304.000000	1.048
307.000000	1.062
311.000000	1.081
315.000000	1.100
320.000000	1.122
325.000000	1.144
330.000000	1.167
335.000000	1.189
340.000000	1.211
345.000000	1.234
350.000000	1.257
355.000000	1.280
360.000000	1.304
365.000000	1.327
370.000000	1.351
375.000000	1.375
382.000000	1.409
387.000000	1.434
395.000000	1.475
400.000000	1.501
406.000000	1.535
412.000000	1.570
418.000000	1.605
425.000000	1.647
431.000000	1.683
437.000000	1.719
444.000000	1.761
450.000000	1.798
455.000000	1.828
462.000000	1.871
468.000000	1.907
475.000000	1.950
482.000000	1.992
487.000000	2.022
494.000000	2.064
500.000000	2.101
508.000000	2.149
515.000000	2.192
522.000000	2.234
530.000000	2.281
538.000000	2.328
545.000000	2.368
552.000000	2.408
560.000000	2.452
570.000000	2.506
580.000000	2.559
590.000000	2.611
600.000000	2.660
608.000000	2.699
615.000000	2.732
622.000000	2.764
630.000000	2.797
640.000000	2.833
650.000000	2.866
660.000000	2.897
670.000000	2.927
680.000000	2.957
690.000000	2.986
700.000000	3.014
710.000000	3.043
720.000000	3.071
730.000000	3.099
740.000000	3.127
750.000000	3.155
762.000000	3.189
775.000000	3.226
788.000000	3.265
800.000000	3.301
812.000000	3.340
825.000000	3.385
838.000000	3.430
850.000000	3.473
862.000000	3.517
875.000000	3.566
885.000000	3.605
900.000000	3.664
912.000000	3.712
925.000000	3.766
938.000000	3.821
950.000000	3.873
962.000000	3.926
975.000000	3.985
988.000000	4.045
1000.000000	4.102
1015.000000	4.176
1030.000000	4.252
1044.000000	4.324
1060.000000	4.408
1075.000000	4.488
1090.000000	4.570
1106.000000	4.658
1120.000000	4.736
1138.000000	4.838
1150.000000	4.907
1172.000000	5.034
1180.000000	5.081
1206.000000	5.235
1220.000000	5.319
1241.000000	5.446
1250.000000	5.499
1265.000000	5.587
1280.000000	5.674
1315.000000	5.878
1320.000000	5.907
1340.000000	6.026
1360.000000	6.145
1380.000000	6.267
1400.000000	6.389
1430.000000	6.576
1450.000000	6.702
1475.000000	6.862
1500.000000	7.025
1525.000000	7.190
1550.000000	7.358
1575.000000	7.530
1600.000000	7.706
1625.000000	7.893
1650.000000	8.085
1675.000000	8.281
1700.000000	8.480
1725.000000	8.681
1750.000000	8.885
1775.000000	9.091
1800.000000	9.298
1825.000000	9.508
1850.000000	9.718
1875.000000	9.930
1900.000000	10.144
1925.000000	10.358
1950.000000	10.573
1975.000000	10.791
2000.000000	11.020
2030.000000	11.319
2060.000000	11.626
2090.000000	11.932
2120.000000	12.234
2140.000000	12.432
2180.000000	12.819
2200.000000	13.008
2240.000000	13.375
2270.000000	13.640
2300.000000	13.894
2330.000000	14.138
2360.000000	14.371
2400.000000	14.664
2430.000000	14.869
2470.000000	15.119
2500.000000	15.279
2540.000000	15.440
2580.000000	15.567
2620.000000	15.673
2650.000000	15.740
2690.000000	15.815
2720.000000	15.860
