* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Aug 6, Aug 6, Aug 6
* Dated: Aug 6, 2023 9:16:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Aug 6, Aug 6, Aug 6
* Measurement: RMS Average 1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.585
20.299999	71.741
20.600000	71.862
20.900000	71.954
21.200001	72.029
21.400000	72.078
21.799999	72.186
22.000000	72.249
22.400000	72.385
22.700001	72.486
23.000000	72.575
23.299999	72.651
23.600000	72.717
24.000000	72.801
24.299999	72.867
24.700001	72.965
25.000000	73.049
25.400000	73.183
25.799999	73.352
26.200001	73.543
26.500000	73.675
26.900000	73.795
27.200001	73.827
27.600000	73.804
28.000000	73.777
28.500000	73.865
29.000000	74.116
29.500000	74.380
30.000000	74.513
30.400000	74.539
30.700001	74.561
31.100000	74.652
31.500000	74.815
32.000000	75.018
32.500000	75.092
33.000000	75.019
33.500000	74.912
34.000000	74.906
34.500000	75.037
35.000000	75.245
35.500000	75.454
36.000000	75.616
36.500000	75.708
37.000000	75.725
37.500000	75.700
38.200001	75.690
38.700001	75.742
39.500000	75.914
40.000000	76.044
40.599998	76.182
41.200001	76.263
41.799999	76.294
42.500000	76.338
43.099998	76.404
43.700001	76.454
44.400002	76.475
45.000000	76.501
45.500000	76.539
46.200001	76.564
46.799999	76.525
47.500000	76.458
48.200001	76.437
48.700001	76.436
49.400002	76.405
50.000000	76.341
50.799999	76.270
51.500000	76.257
52.200001	76.256
53.000000	76.270
53.799999	76.349
54.500000	76.439
55.200001	76.497
56.000000	76.532
57.000000	76.511
58.000000	76.477
59.000000	76.667
60.000000	76.901
60.799999	76.983
61.500000	77.033
62.200001	77.089
63.000000	77.137
64.000000	77.164
65.000000	77.172
66.000000	77.162
67.000000	77.128
68.000000	77.085
69.000000	77.038
70.000000	76.990
71.000000	76.982
72.000000	76.999
73.000000	77.017
74.000000	77.060
75.000000	77.128
76.199997	77.227
77.500000	77.354
78.800003	77.470
80.000000	77.544
81.199997	77.599
82.500000	77.667
83.800003	77.740
85.000000	77.805
86.199997	77.868
87.500000	77.933
88.500000	77.984
90.000000	78.052
91.199997	78.077
92.500000	78.083
93.800003	78.093
95.000000	78.102
96.199997	78.103
97.500000	78.106
98.800003	78.103
100.000000	78.087
101.500000	78.068
103.000000	78.075
104.400002	78.104
106.000000	78.135
107.500000	78.151
109.000000	78.148
110.599998	78.134
112.000000	78.111
113.800003	78.077
115.000000	78.048
117.199997	77.985
118.000000	77.965
120.599998	77.885
122.000000	77.832
124.099998	77.776
125.000000	77.756
126.500000	77.733
128.000000	77.721
131.500000	77.699
132.000000	77.696
134.000000	77.687
136.000000	77.669
138.000000	77.655
140.000000	77.661
143.000000	77.662
145.000000	77.647
147.500000	77.628
150.000000	77.625
152.500000	77.615
155.000000	77.598
157.500000	77.583
160.000000	77.570
162.500000	77.549
165.000000	77.522
167.500000	77.504
170.000000	77.495
172.500000	77.495
175.000000	77.494
177.500000	77.499
180.000000	77.507
182.500000	77.502
185.000000	77.485
187.500000	77.471
190.000000	77.458
192.500000	77.442
195.000000	77.419
197.500000	77.391
200.000000	77.365
203.000000	77.340
206.000000	77.310
209.000000	77.260
212.000000	77.209
214.000000	77.173
218.000000	77.115
220.000000	77.101
224.000000	77.081
227.000000	77.063
230.000000	77.050
233.000000	77.022
236.000000	76.948
240.000000	76.874
243.000000	76.926
247.000000	76.993
250.000000	76.995
254.000000	76.988
