* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.510
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 7:49:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.887	-87.5678
20.299999	65.006	-88.3733
20.600000	65.113	-89.1698
20.900000	65.212	-89.9388
21.200001	65.306	-90.6760
21.400000	65.369	-91.1526
21.799999	65.492	-92.0703
22.000000	65.554	-92.5095
22.400000	65.681	-93.3401
22.700001	65.783	-93.9232
23.000000	65.894	-94.4909
23.299999	66.014	-95.0777
23.600000	66.140	-95.7113
24.000000	66.304	-96.6441
24.299999	66.416	-97.3805
24.700001	66.546	-98.3263
25.000000	66.632	-98.9429
25.400000	66.745	-99.5977
25.799999	66.872	-100.1045
26.200001	67.020	-100.5852
26.500000	67.139	-101.0038
26.900000	67.295	-101.6832
27.200001	67.399	-102.2661
27.600000	67.513	-103.0691
28.000000	67.601	-103.7992
28.500000	67.697	-104.5199
29.000000	67.804	-105.0871
29.500000	67.933	-105.6785
30.000000	68.067	-106.4440
30.400000	68.163	-107.1800
30.700001	68.223	-107.7650
31.100000	68.291	-108.5285
31.500000	68.351	-109.2403
32.000000	68.426	-110.0674
32.500000	68.505	-110.8749
33.000000	68.587	-111.6863
33.500000	68.670	-112.4901
34.000000	68.757	-113.3023
34.500000	68.845	-114.1720
35.000000	68.919	-115.0915
35.500000	68.971	-115.9370
36.000000	69.019	-116.5720
36.500000	69.093	-117.0184
37.000000	69.209	-117.4907
37.500000	69.349	-118.1942
38.200001	69.523	-119.5479
38.700001	69.617	-120.5627
39.500000	69.758	-122.1021
40.000000	69.839	-123.1190
40.599998	69.905	-124.3601
41.200001	69.937	-125.3701
41.799999	69.977	-126.0514
42.500000	70.072	-126.7332
43.099998	70.173	-127.5362
43.700001	70.253	-128.5664
44.400002	70.304	-129.8961
45.000000	70.317	-131.0994
45.500000	70.305	-132.2003
46.200001	70.233	-133.9104
46.799999	70.098	-135.3943
47.500000	69.848	-136.8471
48.200001	69.506	-137.6327
48.700001	69.225	-137.4701
49.400002	68.874	-135.8416
50.000000	68.755	-133.3948
50.799999	68.958	-130.1140
51.500000	69.341	-128.4177
52.200001	69.736	-127.9681
53.000000	70.086	-128.3701
53.799999	70.320	-128.9920
54.500000	70.468	-129.5186
55.200001	70.562	-130.0421
56.000000	70.632	-130.3882
57.000000	70.800	-130.9023
58.000000	70.948	-132.7513
59.000000	70.938	-134.9157
60.000000	70.913	-136.9516
60.799999	70.844	-138.7091
61.500000	70.724	-139.9012
62.200001	70.587	-140.5362
63.000000	70.441	-140.5609
64.000000	70.339	-139.5617
65.000000	70.394	-138.0796
66.000000	70.562	-136.8438
67.000000	70.789	-136.0829
68.000000	71.037	-135.9797
69.000000	71.259	-136.4626
70.000000	71.443	-137.2835
71.000000	71.596	-138.2072
72.000000	71.735	-139.1351
73.000000	71.861	-140.0869
74.000000	71.963	-141.0266
75.000000	72.043	-141.9131
76.199997	72.119	-142.9421
77.500000	72.180	-144.0715
78.800003	72.230	-145.1734
80.000000	72.277	-146.1482
81.199997	72.325	-147.0625
82.500000	72.376	-147.9933
83.800003	72.411	-148.8904
85.000000	72.431	-149.6992
86.199997	72.445	-150.5375
87.500000	72.461	-151.4980
88.500000	72.477	-152.2929
90.000000	72.493	-153.4476
91.199997	72.506	-154.2028
92.500000	72.530	-155.0186
93.800003	72.492	-155.9818
95.000000	72.392	-156.4950
96.199997	72.310	-156.6945
97.500000	72.253	-156.9338
