* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.520
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 4:43:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.675	-91.2749
20.299999	64.790	-92.0357
20.600000	64.898	-92.8416
20.900000	64.999	-93.6600
21.200001	65.096	-94.4633
21.400000	65.160	-94.9862
21.799999	65.289	-96.0079
22.000000	65.354	-96.5094
22.400000	65.483	-97.4957
22.700001	65.579	-98.2110
23.000000	65.673	-98.8917
23.299999	65.767	-99.5308
23.600000	65.863	-100.1280
24.000000	65.993	-100.8643
24.299999	66.094	-101.3772
24.700001	66.235	-102.0196
25.000000	66.347	-102.4899
25.400000	66.505	-103.1481
25.799999	66.667	-103.9077
26.200001	66.816	-104.7983
26.500000	66.912	-105.5209
26.900000	67.013	-106.4710
27.200001	67.073	-107.1073
27.600000	67.147	-107.8115
28.000000	67.230	-108.3971
28.500000	67.352	-109.1342
29.000000	67.472	-110.0006
29.500000	67.567	-110.8960
30.000000	67.644	-111.6104
30.400000	67.718	-112.0224
30.700001	67.790	-112.3004
31.100000	67.907	-112.7561
31.500000	68.031	-113.3929
32.000000	68.163	-114.4176
32.500000	68.251	-115.4959
33.000000	68.309	-116.4165
33.500000	68.365	-117.1396
34.000000	68.434	-117.7611
34.500000	68.518	-118.3921
35.000000	68.607	-119.0857
35.500000	68.692	-119.8494
36.000000	68.765	-120.6451
36.500000	68.825	-121.3945
37.000000	68.880	-122.0301
37.500000	68.946	-122.5732
38.200001	69.052	-123.3365
38.700001	69.122	-123.8899
39.500000	69.234	-124.5205
40.000000	69.341	-124.8134
40.599998	69.512	-125.4393
41.200001	69.664	-126.6233
41.799999	69.734	-128.1159
42.500000	69.717	-129.6107
43.099998	69.687	-130.4961
43.700001	69.683	-131.3194
44.400002	69.676	-132.5107
45.000000	69.624	-133.5212
45.500000	69.570	-134.0790
46.200001	69.558	-134.5309
46.799999	69.623	-135.1648
47.500000	69.675	-136.5017
48.200001	69.629	-137.8345
48.700001	69.566	-138.4425
49.400002	69.490	-138.9220
50.000000	69.424	-139.1299
50.799999	69.334	-138.8033
51.500000	69.350	-137.9738
52.200001	69.494	-137.4226
53.000000	69.698	-137.8885
53.799999	69.798	-139.2660
54.500000	69.770	-140.5975
55.200001	69.670	-141.6938
56.000000	69.496	-142.5365
57.000000	69.236	-142.4376
58.000000	69.156	-140.9956
59.000000	69.331	-140.0170
60.000000	69.544	-140.0059
60.799999	69.709	-140.3639
61.500000	69.834	-141.0077
62.200001	69.910	-141.8520
63.000000	69.936	-142.8544
64.000000	69.867	-143.9091
65.000000	69.733	-144.0830
66.000000	69.680	-143.6969
67.000000	69.637	-143.4065
68.000000	69.599	-142.4165
69.000000	69.700	-141.2658
70.000000	69.839	-140.5404
71.000000	70.024	-139.8046
72.000000	70.269	-139.6068
73.000000	70.483	-139.8666
74.000000	70.703	-140.2603
75.000000	70.923	-141.0742
76.199997	71.124	-142.4346
77.500000	71.265	-143.9724
78.800003	71.351	-145.3445
80.000000	71.399	-146.5075
81.199997	71.414	-147.4345
82.500000	71.452	-148.1763
83.800003	71.507	-149.0111
85.000000	71.548	-149.8007
86.199997	71.589	-150.5725
87.500000	71.631	-151.4543
88.500000	71.656	-152.1626
90.000000	71.677	-153.2601
91.199997	71.672	-154.1120
92.500000	71.654	-154.9126
93.800003	71.632	-155.6019
95.000000	71.608	-156.1669
96.199997	71.579	-156.6414
97.500000	71.553	-157.0374
98.800003	71.538	-157.3991
100.000000	71.539	-157.6973
101.500000	71.565	-158.2964
103.000000	71.543	-159.1335
104.400002	71.494	-159.6425
106.000000	71.473	-159.9749
107.500000	71.494	-160.3250
109.000000	71.519	-160.8642
110.599998	71.518	-161.5471
112.000000	71.489	-162.1413
113.800003	71.427	-162.8188
115.000000	71.385	-163.1080
117.199997	71.359	-163.2350
118.000000	71.372	-163.1972
120.599998	71.421	-163.1566
122.000000	71.430	-163.1170
124.099998	71.444	-163.3970
125.000000	71.444	-163.6586
126.500000	71.438	-164.1744
128.000000	71.436	-164.6306
131.500000	71.489	-165.5714
132.000000	71.493	-165.7286
134.000000	71.492	-166.4185
136.000000	71.454	-167.1808
138.000000	71.390	-167.8100
140.000000	71.321	-168.2375
143.000000	71.221	-168.4840
145.000000	71.170	-168.3639
147.500000	71.141	-168.0857
150.000000	71.149	-167.8775
152.500000	71.185	-167.9782
155.000000	71.209	-168.3517
157.500000	71.230	-168.7606
160.000000	71.262	-169.0742
162.500000	71.305	-169.3008
165.000000	71.305	-169.6549
167.500000	71.249	-170.0886
170.000000	71.216	-170.4656
172.500000	71.225	-170.7656
175.000000	71.233	-170.9446
177.500000	71.201	-171.2318
180.000000	71.153	-171.5582
182.500000	71.145	-171.8584
185.000000	71.154	-172.1594
187.500000	71.141	-172.4333
190.000000	71.119	-172.6863
192.500000	71.098	-172.9757
195.000000	71.067	-173.2495
197.500000	71.032	-173.4706
200.000000	71.010	-173.6996
203.000000	70.991	-173.9597
206.000000	70.967	-174.1148
209.000000	70.941	-174.2227
212.000000	70.926	-174.4753
214.000000	70.905	-174.6978
218.000000	70.847	-174.8580
220.000000	70.827	-174.8216
224.000000	70.797	-174.9122
227.000000	70.771	-175.2377
230.000000	70.751	-175.5493
233.000000	70.742	-175.7370
236.000000	70.717	-175.8037
240.000000	70.663	-175.7909
243.000000	70.623	-175.9056
247.000000	70.589	-176.0919
250.000000	70.577	-176.1709
254.000000	70.535	-176.4049
258.000000	70.466	-176.5863
262.000000	70.430	-176.4631
265.000000	70.411	-176.3779
269.000000	70.380	-176.2945
272.000000	70.354	-176.2138
276.000000	70.307	-176.1120
280.000000	70.269	-176.0677
285.000000	70.259	-175.9836
290.000000	70.253	-175.9384
295.000000	70.219	-175.8914
300.000000	70.182	-175.8861
304.000000	70.160	-175.9778
307.000000	70.148	-176.0355
311.000000	70.134	-176.0454
315.000000	70.105	-175.9880
320.000000	70.055	-175.8090
325.000000	70.024	-175.6024
330.000000	70.005	-175.5049
335.000000	69.981	-175.3983
340.000000	69.956	-175.2222
345.000000	69.947	-175.1310
350.000000	69.938	-175.1203
355.000000	69.902	-174.9676
360.000000	69.877	-174.7018
365.000000	69.882	-174.5823
370.000000	69.888	-174.5300
375.000000	69.889	-174.4720
382.000000	69.881	-174.2574
387.000000	69.858	-174.0504
395.000000	69.834	-173.8629
400.000000	69.830	-173.8641
406.000000	69.830	-173.7805
412.000000	69.818	-173.5826
418.000000	69.812	-173.3649
425.000000	69.814	-173.1875
431.000000	69.818	-173.1584
437.000000	69.815	-173.1371
444.000000	69.802	-172.9399
450.000000	69.784	-172.7020
455.000000	69.774	-172.5565
462.000000	69.769	-172.4349
468.000000	69.767	-172.2794
475.000000	69.778	-171.9959
482.000000	69.777	-171.8178
487.000000	69.762	-171.7435
494.000000	69.741	-171.7289
500.000000	69.751	-171.7146
508.000000	69.791	-171.6285
515.000000	69.812	-171.6970
522.000000	69.794	-171.7762
530.000000	69.770	-171.4879
538.000000	69.759	-171.0385
545.000000	69.739	-170.9178
552.000000	69.700	-170.8177
560.000000	69.678	-170.4583
570.000000	69.732	-170.0332
580.000000	69.746	-169.8712
590.000000	69.732	-169.9625
600.000000	69.726	-169.8335
608.000000	69.724	-169.6059
615.000000	69.728	-169.4774
622.000000	69.736	-169.3448
630.000000	69.728	-169.0979
640.000000	69.706	-168.7480
650.000000	69.693	-168.4650
660.000000	69.684	-168.2675
670.000000	69.682	-167.9975
680.000000	69.688	-167.6119
690.000000	69.705	-167.2467
700.000000	69.723	-166.9776
710.000000	69.738	-166.7064
720.000000	69.752	-166.4048
730.000000	69.771	-166.1943
740.000000	69.787	-166.0480
750.000000	69.798	-165.8443
762.000000	69.809	-165.5598
775.000000	69.836	-165.3543
788.000000	69.849	-165.2363
800.000000	69.846	-165.1940
812.000000	69.827	-165.2097
825.000000	69.783	-165.2123
838.000000	69.704	-165.0673
850.000000	69.581	-164.6859
862.000000	69.449	-163.7609
875.000000	69.380	-162.2562
885.000000	69.391	-161.0520
900.000000	69.476	-159.4166
912.000000	69.580	-158.4176
925.000000	69.699	-157.5682
938.000000	69.823	-156.8816
950.000000	69.940	-156.3208
962.000000	70.071	-155.8108
975.000000	70.220	-155.4417
988.000000	70.356	-155.2074
1000.000000	70.468	-155.1124
