* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:12:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD560S (trash pads) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.280	-103.5511
20.299999	89.385	-104.3032
20.600000	89.489	-105.0641
20.900000	89.589	-105.8361
21.200001	89.682	-106.6046
21.400000	89.742	-107.1023
21.799999	89.855	-108.0495
22.000000	89.911	-108.4976
22.400000	90.025	-109.3570
22.700001	90.112	-109.9920
23.000000	90.199	-110.6370
23.299999	90.284	-111.2939
23.600000	90.364	-111.9529
24.000000	90.462	-112.8106
24.299999	90.532	-113.4219
24.700001	90.623	-114.1909
25.000000	90.692	-114.7454
25.400000	90.787	-115.4803
25.799999	90.880	-116.2310
26.200001	90.969	-116.9964
26.500000	91.032	-117.5685
26.900000	91.111	-118.3141
27.200001	91.169	-118.8568
27.600000	91.245	-119.5652
28.000000	91.322	-120.2710
28.500000	91.415	-121.1635
29.000000	91.503	-122.0615
29.500000	91.586	-122.9517
30.000000	91.666	-123.8304
30.400000	91.726	-124.5242
30.700001	91.769	-125.0352
31.100000	91.826	-125.6979
31.500000	91.882	-126.3398
32.000000	91.954	-127.1329
32.500000	92.025	-127.9428
33.000000	92.090	-128.7612
33.500000	92.145	-129.5403
34.000000	92.199	-130.2459
34.500000	92.258	-130.9057
35.000000	92.324	-131.5756
35.500000	92.387	-132.2793
36.000000	92.445	-132.9926
36.500000	92.499	-133.6929
37.000000	92.550	-134.3892
37.500000	92.596	-135.0931
38.200001	92.648	-136.0506
38.700001	92.681	-136.6806
39.500000	92.739	-137.6535
40.000000	92.774	-138.2883
40.599998	92.808	-139.0567
41.200001	92.833	-139.7748
41.799999	92.856	-140.4283
42.500000	92.883	-141.1179
43.099998	92.909	-141.6314
43.700001	92.946	-142.0807
44.400002	93.009	-142.6156
45.000000	93.072	-143.1719
45.500000	93.119	-143.7090
46.200001	93.169	-144.4921
46.799999	93.205	-145.1413
47.500000	93.247	-145.9472
48.200001	93.267	-146.8608
48.700001	93.258	-147.4782
49.400002	93.233	-148.1043
50.000000	93.235	-148.4778
50.799999	93.276	-149.0975
51.500000	93.306	-149.8178
52.200001	93.322	-150.4956
53.000000	93.356	-151.1865
53.799999	93.402	-151.9746
54.500000	93.432	-152.7355
55.200001	93.449	-153.4579
56.000000	93.463	-154.1937
57.000000	93.486	-155.0616
58.000000	93.507	-156.0172
59.000000	93.505	-157.0461
60.000000	93.484	-158.0883
60.799999	93.452	-158.9543
61.500000	93.409	-159.7126
