* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:49:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD560S (trash pads) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.323	-102.8721
20.299999	89.430	-103.5812
20.600000	89.535	-104.2689
20.900000	89.639	-104.9452
21.200001	89.740	-105.6208
21.400000	89.805	-106.0712
21.799999	89.930	-106.9634
22.000000	89.990	-107.4003
22.400000	90.105	-108.2494
22.700001	90.189	-108.8691
23.000000	90.271	-109.4840
23.299999	90.351	-110.0985
23.600000	90.427	-110.7077
24.000000	90.523	-111.4970
24.299999	90.594	-112.0620
24.700001	90.689	-112.7861
25.000000	90.763	-113.3273
25.400000	90.864	-114.0761
25.799999	90.960	-114.8646
26.200001	91.046	-115.6616
26.500000	91.105	-116.2349
26.900000	91.180	-116.9444
27.200001	91.238	-117.4401
27.600000	91.321	-118.0811
28.000000	91.407	-118.7361
28.500000	91.512	-119.5911
29.000000	91.608	-120.4500
29.500000	91.697	-121.2728
30.000000	91.785	-122.0598
30.400000	91.856	-122.6832
30.700001	91.909	-123.1556
31.100000	91.977	-123.7960
31.500000	92.042	-124.4463
32.000000	92.117	-125.2622
32.500000	92.184	-126.0607
33.000000	92.248	-126.8224
33.500000	92.312	-127.5490
34.000000	92.379	-128.2656
34.500000	92.448	-128.9934
35.000000	92.514	-129.7283
35.500000	92.577	-130.4498
36.000000	92.640	-131.1451
36.500000	92.702	-131.8154
37.000000	92.766	-132.4687
37.500000	92.830	-133.1172
38.200001	92.918	-134.0508
38.700001	92.971	-134.7425
39.500000	93.031	-135.8038
40.000000	93.057	-136.3776
40.599998	93.088	-136.9788
41.200001	93.125	-137.5591
41.799999	93.163	-138.1757
42.500000	93.202	-138.9319
43.099998	93.232	-139.5820
43.700001	93.265	-140.2498
44.400002	93.304	-141.0775
45.000000	93.337	-141.8008
45.500000	93.368	-142.3968
46.200001	93.418	-143.2652
46.799999	93.456	-144.0490
47.500000	93.492	-144.8667
48.200001	93.548	-145.5686
48.700001	93.602	-146.1664
49.400002	93.645	-147.2361
50.000000	93.621	-148.0393
50.799999	93.567	-148.4180
51.500000	93.594	-148.4206
52.200001	93.670	-148.7057
53.000000	93.736	-149.3755
53.799999	93.775	-150.0957
54.500000	93.801	-150.7767
55.200001	93.812	-151.4947
56.000000	93.815	-152.2345
57.000000	93.834	-153.1217
58.000000	93.855	-154.1355
59.000000	93.858	-155.2110
60.000000	93.828	-156.3103
60.799999	93.772	-157.0504
61.500000	93.716	-157.5158
62.200001	93.667	-157.8785
63.000000	93.617	-158.2287
64.000000	93.568	-158.5323
65.000000	93.553	-158.8123
66.000000	93.552	-159.1973
67.000000	93.556	-159.5654
68.000000	93.584	-159.8980
69.000000	93.638	-160.3705
70.000000	93.691	-161.0828
71.000000	93.722	-161.9673
72.000000	93.724	-162.9266
73.000000	93.702	-163.8938
74.000000	93.662	-164.8543
75.000000	93.603	-165.8191
76.199997	93.501	-166.9450
77.500000	93.344	-168.0622
78.800003	93.123	-168.9067
80.000000	92.872	-169.1662
81.199997	92.615	-168.7634
82.500000	92.388	-167.5815
83.800003	92.279	-165.8725
85.000000	92.310	-164.2954
86.199997	92.432	-163.1018
87.500000	92.616	-162.3754
88.500000	92.765	-162.2213
90.000000	92.963	-162.4980
91.199997	93.091	-162.9982
92.500000	93.193	-163.6867
93.800003	93.261	-164.4296
95.000000	93.295	-165.1224
96.199997	93.301	-165.8030
97.500000	93.274	-166.4669
98.800003	93.225	-166.9378
