* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 3:37:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD580 (Black Silk) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.625	-64.9540
20.299999	79.796	-65.3608
20.600000	79.986	-65.8469
20.900000	80.179	-66.4580
21.200001	80.361	-67.1747
21.400000	80.473	-67.6716
21.799999	80.677	-68.6404
22.000000	80.772	-69.0859
22.400000	80.959	-69.8894
22.700001	81.103	-70.4611
23.000000	81.251	-71.0675
23.299999	81.393	-71.7392
23.600000	81.522	-72.4611
24.000000	81.668	-73.4183
24.299999	81.760	-74.0409
24.700001	81.880	-74.6702
25.000000	81.985	-75.0194
25.400000	82.160	-75.4602
25.799999	82.365	-76.0732
26.200001	82.570	-76.9577
26.500000	82.706	-77.7510
26.900000	82.856	-78.8435
27.200001	82.950	-79.5936
27.600000	83.065	-80.4459
28.000000	83.182	-81.1661
28.500000	83.332	-81.9717
29.000000	83.475	-82.6408
29.500000	83.622	-83.0505
30.000000	83.811	-83.2509
30.400000	84.002	-83.4608
30.700001	84.159	-83.7555
31.100000	84.364	-84.3781
31.500000	84.540	-85.1921
32.000000	84.710	-86.2515
32.500000	84.845	-87.1414
33.000000	84.979	-87.8397
33.500000	85.132	-88.5010
34.000000	85.293	-89.2988
34.500000	85.436	-90.2678
35.000000	85.546	-91.2814
35.500000	85.628	-92.1481
36.000000	85.711	-92.7919
36.500000	85.819	-93.3127
37.000000	85.950	-93.8878
37.500000	86.087	-94.6002
38.200001	86.255	-95.7485
38.700001	86.354	-96.5889
39.500000	86.470	-97.8336
40.000000	86.522	-98.4392
40.599998	86.591	-98.9417
41.200001	86.688	-99.3647
41.799999	86.801	-99.9075
42.500000	86.922	-100.6765
43.099998	87.020	-101.3215
43.700001	87.129	-101.9995
44.400002	87.253	-102.9491
45.000000	87.338	-103.8031
45.500000	87.400	-104.4099
46.200001	87.502	-105.0968
46.799999	87.609	-105.6719
47.500000	87.736	-106.3647
48.200001	87.869	-106.9752
48.700001	87.980	-107.4279
49.400002	88.135	-108.3071
50.000000	88.221	-109.2253
50.799999	88.265	-110.1313
51.500000	88.319	-110.4684
52.200001	88.425	-110.8395
53.000000	88.545	-111.6603
53.799999	88.613	-112.5603
54.500000	88.664	-113.1506
55.200001	88.741	-113.6815
56.000000	88.850	-114.4698
57.000000	88.961	-115.6487
58.000000	89.061	-116.6718
59.000000	89.180	-117.7250
60.000000	89.273	-118.8555
60.799999	89.336	-119.6116
61.500000	89.401	-120.2390
62.200001	89.461	-120.9142
63.000000	89.512	-121.6620
64.000000	89.567	-122.4540
65.000000	89.625	-123.1533
66.000000	89.693	-123.7969
67.000000	89.775	-124.5345
68.000000	89.843	-125.4268
69.000000	89.892	-126.3397
70.000000	89.928	-127.2698
71.000000	89.947	-128.1757
72.000000	89.955	-128.9890
73.000000	89.956	-129.6987
74.000000	89.956	-130.2329
75.000000	89.972	-130.6235
76.199997	90.013	-130.9839
77.500000	90.096	-131.3420
78.800003	90.198	-131.9045
80.000000	90.279	-132.5551
81.199997	90.350	-133.2443
82.500000	90.414	-134.0336
83.800003	90.465	-134.8197
85.000000	90.508	-135.5237
86.199997	90.554	-136.2477
87.500000	90.606	-137.1505
88.500000	90.636	-137.9334
90.000000	90.664	-139.1313
91.199997	90.674	-140.1365
92.500000	90.655	-141.2036
93.800003	90.610	-142.0934
95.000000	90.553	-142.7283
96.199997	90.490	-143.1805
97.500000	90.420	-143.4684
98.800003	90.365	-143.5085
100.000000	90.355	-143.4265
101.500000	90.391	-143.4224
103.000000	90.449	-143.5579
104.400002	90.503	-143.8082
106.000000	90.539	-144.1749
107.500000	90.555	-144.5253
109.000000	90.562	-144.9464
110.599998	90.565	-145.3926
112.000000	90.585	-145.7324
113.800003	90.635	-146.2307
115.000000	90.662	-146.6066
117.199997	90.690	-147.2469
118.000000	90.695	-147.4979
120.599998	90.685	-148.3352
122.000000	90.675	-148.7135
124.099998	90.667	-149.1339
125.000000	90.669	-149.2668
126.500000	90.678	-149.4899
128.000000	90.684	-149.7640
131.500000	90.686	-150.3748
132.000000	90.688	-150.4553
134.000000	90.703	-150.7853
136.000000	90.718	-151.1451
138.000000	90.722	-151.4780
140.000000	90.727	-151.7089
143.000000	90.762	-152.0404
145.000000	90.787	-152.4083
147.500000	90.793	-152.9171
150.000000	90.781	-153.3967
152.500000	90.757	-153.7185
155.000000	90.761	-153.8047
157.500000	90.795	-154.0325
160.000000	90.790	-154.4404
162.500000	90.774	-154.7373
165.000000	90.774	-155.0499
167.500000	90.764	-155.3629
170.000000	90.749	-155.5370
172.500000	90.753	-155.6788
175.000000	90.764	-155.8657
177.500000	90.774	-156.0472
180.000000	90.784	-156.2518
182.500000	90.789	-156.4742
185.000000	90.791	-156.7108
187.500000	90.788	-156.9548
190.000000	90.787	-157.1934
192.500000	90.787	-157.4252
195.000000	90.783	-157.6195
197.500000	90.777	-157.7997
200.000000	90.767	-157.9904
203.000000	90.754	-158.1930
206.000000	90.746	-158.3495
209.000000	90.737	-158.4650
212.000000	90.732	-158.5706
214.000000	90.730	-158.6519
218.000000	90.724	-158.7716
220.000000	90.721	-158.8226
224.000000	90.717	-158.9822
227.000000	90.711	-159.1377
230.000000	90.705	-159.2698
233.000000	90.694	-159.3531
236.000000	90.673	-159.3972
