* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 3:04:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD580 (Black Silk) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.159	-92.0470
20.299999	88.261	-92.6828
20.600000	88.369	-93.2673
20.900000	88.483	-93.8369
21.200001	88.602	-94.4176
21.400000	88.682	-94.8133
21.799999	88.841	-95.6187
22.000000	88.921	-96.0275
22.400000	89.082	-96.8638
22.700001	89.203	-97.5269
23.000000	89.320	-98.2384
23.299999	89.428	-98.9915
23.600000	89.522	-99.7537
24.000000	89.626	-100.7056
24.299999	89.694	-101.3096
24.700001	89.787	-101.9420
25.000000	89.871	-102.3287
25.400000	90.005	-102.8417
25.799999	90.156	-103.4837
26.200001	90.300	-104.2966
26.500000	90.392	-104.9702
26.900000	90.490	-105.8516
27.200001	90.551	-106.4376
27.600000	90.628	-107.0906
28.000000	90.713	-107.6407
28.500000	90.833	-108.3031
29.000000	90.959	-109.0266
29.500000	91.078	-109.8066
30.000000	91.186	-110.5941
30.400000	91.264	-111.2014
30.700001	91.320	-111.6350
31.100000	91.393	-112.1797
31.500000	91.466	-112.6909
32.000000	91.560	-113.3000
32.500000	91.656	-113.8865
33.000000	91.757	-114.4457
33.500000	91.871	-115.0038
34.000000	91.997	-115.6613
34.500000	92.119	-116.5174
35.000000	92.209	-117.5341
35.500000	92.254	-118.5016
36.000000	92.273	-119.2013
36.500000	92.305	-119.6001
37.000000	92.378	-119.8873
37.500000	92.488	-120.3044
38.200001	92.649	-121.3010
38.700001	92.736	-122.2103
39.500000	92.820	-123.6180
40.000000	92.855	-124.3486
40.599998	92.899	-125.0717
41.200001	92.952	-125.6724
41.799999	93.019	-126.1859
42.500000	93.123	-126.7623
43.099998	93.226	-127.3633
43.700001	93.317	-128.0924
44.400002	93.391	-128.9368
45.000000	93.441	-129.5148
45.500000	93.489	-129.9266
46.200001	93.567	-130.5484
46.799999	93.628	-131.1744
47.500000	93.682	-131.9302
48.200001	93.725	-132.6519
48.700001	93.754	-133.1475
49.400002	93.794	-133.8003
50.000000	93.837	-134.3079
50.799999	93.918	-135.0005
51.500000	94.001	-135.7544
52.200001	94.066	-136.6060
53.000000	94.121	-137.4562
53.799999	94.191	-138.1572
54.500000	94.263	-138.8596
55.200001	94.313	-139.6381
56.000000	94.347	-140.3926
57.000000	94.398	-141.1808
58.000000	94.452	-142.0093
59.000000	94.509	-142.8828
60.000000	94.551	-143.9528
60.799999	94.556	-144.7562
61.500000	94.562	-145.3726
62.200001	94.572	-146.0252
63.000000	94.566	-146.7952
64.000000	94.539	-147.6178
65.000000	94.506	-148.3212
66.000000	94.463	-148.8964
67.000000	94.423	-149.2990
68.000000	94.398	-149.6088
69.000000	94.381	-149.8481
70.000000	94.384	-149.9746
71.000000	94.419	-150.1053
72.000000	94.473	-150.3446
73.000000	94.536	-150.6649
74.000000	94.605	-151.0984
75.000000	94.667	-151.6442
76.199997	94.727	-152.3650
77.500000	94.777	-153.1832
78.800003	94.811	-153.9749
80.000000	94.841	-154.6577
81.199997	94.873	-155.3747
82.500000	94.897	-156.2075
83.800003	94.915	-157.0495
85.000000	94.923	-157.9130
86.199997	94.911	-158.7944
87.500000	94.884	-159.7256
88.500000	94.850	-160.4681
90.000000	94.754	-161.5340
91.199997	94.635	-162.1508
92.500000	94.483	-162.3974
93.800003	94.349	-162.1259
95.000000	94.284	-161.5254
96.199997	94.297	-160.8818
97.500000	94.377	-160.4609
98.800003	94.481	-160.4381
100.000000	94.565	-160.7039
101.500000	94.638	-161.2010
103.000000	94.686	-161.7296
104.400002	94.717	-162.2601
106.000000	94.736	-162.8762
107.500000	94.747	-163.4444
109.000000	94.756	-164.0477
110.599998	94.753	-164.7210
112.000000	94.739	-165.2484
113.800003	94.725	-165.8311
115.000000	94.718	-166.2123
117.199997	94.701	-166.8727
118.000000	94.695	-167.0916
120.599998	94.674	-167.7767
122.000000	94.661	-168.1187
124.099998	94.640	-168.6469
125.000000	94.629	-168.8856
126.500000	94.602	-169.2965
128.000000	94.564	-169.6868
131.500000	94.456	-170.4763
132.000000	94.437	-170.5741
134.000000	94.354	-170.8364
136.000000	94.280	-170.8539
138.000000	94.231	-170.6836
140.000000	94.217	-170.4835
143.000000	94.242	-170.4738
145.000000	94.262	-170.6793
147.500000	94.274	-171.0056
150.000000	94.274	-171.2878
152.500000	94.278	-171.5646
155.000000	94.281	-171.9537
157.500000	94.266	-172.3461
160.000000	94.246	-172.6449
162.500000	94.234	-172.9186
165.000000	94.218	-173.2290
167.500000	94.195	-173.5277
170.000000	94.172	-173.7901
172.500000	94.159	-174.0012
175.000000	94.148	-174.2131
177.500000	94.123	-174.4524
180.000000	94.086	-174.6965
182.500000	94.050	-174.9100
185.000000	94.025	-175.0787
187.500000	94.006	-175.2594
190.000000	93.983	-175.4779
192.500000	93.954	-175.6752
195.000000	93.927	-175.8200
197.500000	93.902	-175.9598
200.000000	93.874	-176.1302
203.000000	93.837	-176.3392
206.000000	93.800	-176.5449
209.000000	93.753	-176.7444
212.000000	93.700	-176.8568
214.000000	93.671	-176.8819
218.000000	93.623	-176.8762
220.000000	93.606	-176.8449
224.000000	93.581	-176.7914
227.000000	93.564	-176.8242
230.000000	93.541	-176.9308
233.000000	93.512	-177.0353
236.000000	93.483	-177.0827
240.000000	93.452	-177.1026
243.000000	93.425	-177.1158
247.000000	93.387	-177.0562
250.000000	93.370	-176.9968
254.000000	93.352	-176.9525
258.000000	93.326	-176.9551
262.000000	93.292	-177.0607
265.000000	93.264	-177.1490
269.000000	93.233	-177.1948
272.000000	93.216	-177.2103
276.000000	93.190	-177.1996
280.000000	93.158	-177.1212
285.000000	93.117	-177.0098
290.000000	93.084	-176.9298
295.000000	93.047	-176.9471
300.000000	93.004	-176.9324
304.000000	92.976	-176.8555
307.000000	92.961	-176.7574
311.000000	92.940	-176.6171
315.000000	92.921	-176.5430
320.000000	92.907	-176.4230
325.000000	92.888	-176.2378
330.000000	92.862	-176.1194
335.000000	92.830	-176.0259
340.000000	92.799	-175.9096
345.000000	92.778	-175.7892
350.000000	92.756	-175.6742
355.000000	92.733	-175.5090
360.000000	92.714	-175.2819
365.000000	92.701	-175.0900
370.000000	92.691	-174.9124
375.000000	92.679	-174.7679
382.000000	92.660	-174.6157
387.000000	92.652	-174.4640
395.000000	92.639	-174.2402
400.000000	92.627	-174.1249
406.000000	92.614	-173.9847
412.000000	92.599	-173.8372
418.000000	92.579	-173.7019
425.000000	92.559	-173.5354
431.000000	92.545	-173.3574
437.000000	92.523	-173.1891
444.000000	92.486	-172.9432
450.000000	92.468	-172.6655
455.000000	92.463	-172.4350
462.000000	92.459	-172.1382
468.000000	92.453	-171.9363
475.000000	92.444	-171.7467
482.000000	92.438	-171.5402
487.000000	92.432	-171.3593
494.000000	92.420	-171.0378
500.000000	92.411	-170.7348
508.000000	92.411	-170.3853
515.000000	92.416	-170.1513
522.000000	92.418	-169.9792
530.000000	92.415	-169.7911
538.000000	92.406	-169.5511
545.000000	92.401	-169.3185
552.000000	92.396	-169.0815
560.000000	92.386	-168.8074
570.000000	92.372	-168.4549
580.000000	92.357	-168.0546
590.000000	92.345	-167.6151
600.000000	92.343	-167.1333
608.000000	92.345	-166.7476
615.000000	92.348	-166.4045
622.000000	92.354	-166.0339
630.000000	92.370	-165.5985
640.000000	92.399	-165.1289
650.000000	92.431	-164.7468
660.000000	92.463	-164.4025
670.000000	92.489	-164.0951
680.000000	92.514	-163.8047
690.000000	92.539	-163.4926
700.000000	92.564	-163.1563
710.000000	92.591	-162.8322
720.000000	92.619	-162.5242
730.000000	92.643	-162.2247
740.000000	92.662	-161.9373
750.000000	92.688	-161.6400
762.000000	92.726	-161.2710
775.000000	92.774	-160.9060
788.000000	92.837	-160.6404
800.000000	92.889	-160.5573
812.000000	92.923	-160.5963
825.000000	92.931	-160.7226
838.000000	92.900	-160.8409
850.000000	92.831	-160.7462
862.000000	92.759	-160.2116
875.000000	92.734	-159.3596
885.000000	92.749	-158.7908
900.000000	92.762	-158.2054
912.000000	92.751	-157.7661
925.000000	92.736	-157.1061
938.000000	92.738	-156.3314
950.000000	92.754	-155.6128
962.000000	92.781	-154.8676
975.000000	92.829	-154.0538
988.000000	92.892	-153.2971
1000.000000	92.953	-152.6508
1015.000000	93.030	-151.7983
1030.000000	93.124	-150.9164
1044.000000	93.238	-150.2387
1060.000000	93.371	-149.7948
1075.000000	93.459	-149.4972
1090.000000	93.541	-149.0314
1106.000000	93.641	-148.5906
1120.000000	93.706	-148.2288
1138.000000	93.781	-147.4910
1150.000000	93.861	-146.8792
1172.000000	94.054	-145.9254
1180.000000	94.134	-145.5921
1206.000000	94.451	-144.8339
1220.000000	94.620	-144.8816
1241.000000	94.799	-145.1451
1250.000000	94.873	-145.1993
1265.000000	94.995	-145.3627
1280.000000	95.101	-145.6227
1315.000000	95.279	-146.3683
1320.000000	95.293	-146.4427
1340.000000	95.352	-146.5241
1360.000000	95.438	-146.6832
1380.000000	95.473	-147.0470
1400.000000	95.482	-146.8749
1430.000000	95.584	-146.5383
1450.000000	95.623	-146.3921
1475.000000	95.712	-145.7739
1500.000000	95.864	-145.5148
1525.000000	95.974	-145.2499
1550.000000	96.170	-145.0133
1575.000000	96.325	-145.5592
1600.000000	96.406	-145.9592
1625.000000	96.485	-146.3170
1650.000000	96.515	-146.7697
1675.000000	96.508	-146.8100
1700.000000	96.530	-146.6182
1725.000000	96.548	-146.3692
1750.000000	96.584	-145.8887
1775.000000	96.651	-145.3848
1800.000000	96.752	-144.8773
1825.000000	96.864	-144.5709
1850.000000	96.956	-144.3160
1875.000000	97.059	-144.0989
1900.000000	97.164	-143.9784
1925.000000	97.245	-143.9473
1950.000000	97.297	-143.7692
1975.000000	97.340	-143.4817
2000.000000	97.377	-142.9079
2030.000000	97.474	-141.8578
2060.000000	97.658	-140.7858
2090.000000	97.890	-140.0894
2120.000000	98.124	-139.6029
2140.000000	98.288	-139.3839
2180.000000	98.586	-139.2606
2200.000000	98.720	-139.1350
2240.000000	99.020	-138.8701
2270.000000	99.265	-138.6727
2300.000000	99.561	-138.6307
2330.000000	99.869	-139.0059
2360.000000	100.152	-139.8014
2400.000000	100.427	-141.1776
2430.000000	100.580	-142.0570
2470.000000	100.733	-142.8799
2500.000000	100.870	-143.0242
2540.000000	101.132	-143.1116
2580.000000	101.477	-143.5341
2620.000000	101.799	-144.4493
2650.000000	102.026	-145.1415
2690.000000	102.338	-145.9581
2720.000000	102.627	-146.5593
