* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 3:47:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD600 (Silver Screen) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.092	-88.0412
20.299999	86.229	-88.7839
20.600000	86.356	-89.5564
20.900000	86.473	-90.3217
21.200001	86.581	-91.0417
21.400000	86.652	-91.4891
21.799999	86.795	-92.3235
22.000000	86.869	-92.7249
22.400000	87.020	-93.5329
22.700001	87.133	-94.1581
23.000000	87.242	-94.7953
23.299999	87.346	-95.4269
23.600000	87.446	-96.0388
24.000000	87.574	-96.8123
24.299999	87.670	-97.3632
24.700001	87.796	-98.0703
25.000000	87.890	-98.5868
25.400000	88.015	-99.2603
25.799999	88.138	-99.9190
26.200001	88.261	-100.5700
26.500000	88.352	-101.0586
26.900000	88.470	-101.7131
27.200001	88.556	-102.2034
27.600000	88.667	-102.8498
28.000000	88.774	-103.4833
28.500000	88.903	-104.2601
29.000000	89.028	-105.0259
29.500000	89.147	-105.7736
30.000000	89.261	-106.4905
30.400000	89.352	-107.0431
30.700001	89.421	-107.4525
31.100000	89.514	-108.0066
31.500000	89.606	-108.5852
32.000000	89.716	-109.3547
32.500000	89.813	-110.1511
33.000000	89.894	-110.9002
33.500000	89.970	-111.5340
34.000000	90.058	-112.0713
34.500000	90.165	-112.6403
35.000000	90.277	-113.3593
35.500000	90.367	-114.2033
36.000000	90.427	-114.9969
36.500000	90.473	-115.5840
37.000000	90.536	-115.9814
37.500000	90.632	-116.3582
38.200001	90.791	-117.1263
38.700001	90.895	-117.8507
39.500000	91.030	-119.1109
40.000000	91.096	-119.9042
40.599998	91.156	-120.8098
41.200001	91.202	-121.5720
41.799999	91.255	-122.1772
42.500000	91.338	-122.8227
43.099998	91.415	-123.3963
43.700001	91.495	-123.9387
44.400002	91.598	-124.5432
45.000000	91.688	-125.1196
45.500000	91.754	-125.6149
46.200001	91.834	-126.2153
46.799999	91.909	-126.7008
47.500000	91.980	-127.3981
48.200001	91.999	-127.9701
48.700001	92.013	-128.0908
49.400002	92.105	-128.1311
50.000000	92.232	-128.6155
50.799999	92.329	-129.9707
51.500000	92.317	-131.0317
52.200001	92.306	-131.6606
53.000000	92.345	-132.3102
53.799999	92.397	-133.0977
54.500000	92.444	-133.7664
55.200001	92.496	-134.4045
56.000000	92.560	-135.0978
57.000000	92.648	-135.9156
58.000000	92.728	-136.7915
59.000000	92.785	-137.6357
60.000000	92.829	-138.5021
60.799999	92.844	-139.1902
61.500000	92.852	-139.7081
62.200001	92.870	-140.1930
63.000000	92.897	-140.7791
64.000000	92.937	-141.5130
65.000000	92.989	-142.2879
66.000000	93.027	-143.1703
67.000000	93.034	-143.9762
68.000000	93.029	-144.6022
69.000000	93.030	-145.1113
70.000000	93.042	-145.6608
71.000000	93.042	-146.3261
72.000000	93.020	-146.9122
73.000000	93.003	-147.3211
74.000000	93.004	-147.6435
75.000000	93.020	-147.9235
76.199997	93.054	-148.2297
77.500000	93.105	-148.5699
78.800003	93.167	-149.0408
80.000000	93.216	-149.6333
81.199997	93.253	-150.2971
82.500000	93.286	-151.0364
83.800003	93.319	-151.7932
85.000000	93.350	-152.5313
86.199997	93.371	-153.3670
87.500000	93.365	-154.3254
88.500000	93.341	-155.0453
90.000000	93.276	-156.1097
91.199997	93.186	-156.8705
92.500000	93.052	-157.3934
93.800003	92.906	-157.4088
95.000000	92.801	-156.9640
96.199997	92.760	-156.2616
97.500000	92.794	-155.5505
98.800003	92.880	-155.1568
100.000000	92.971	-155.1193
101.500000	93.071	-155.3445
103.000000	93.158	-155.6818
104.400002	93.229	-156.0857
106.000000	93.288	-156.6154
107.500000	93.324	-157.1497
109.000000	93.345	-157.7515
110.599998	93.345	-158.4538
112.000000	93.327	-158.9766
113.800003	93.315	-159.4128
115.000000	93.322	-159.6424
117.199997	93.345	-160.0207
118.000000	93.355	-160.1662
120.599998	93.381	-160.8264
122.000000	93.375	-161.3133
124.099998	93.336	-161.9515
125.000000	93.315	-162.1455
126.500000	93.284	-162.3448
128.000000	93.269	-162.4101
131.500000	93.292	-162.7971
132.000000	93.293	-162.9020
134.000000	93.284	-163.2988
136.000000	93.279	-163.5675
138.000000	93.291	-163.7647
140.000000	93.306	-163.9989
143.000000	93.305	-164.4862
145.000000	93.307	-164.8058
147.500000	93.325	-165.2517
150.000000	93.319	-165.5963
152.500000	93.299	-165.8454
155.000000	93.283	-166.2330
157.500000	93.273	-166.7046
160.000000	93.265	-167.0777
162.500000	93.254	-167.3613
165.000000	93.241	-167.7240
167.500000	93.209	-168.1379
170.000000	93.165	-168.4027
172.500000	93.130	-168.5132
175.000000	93.107	-168.5964
177.500000	93.087	-168.6622
180.000000	93.073	-168.7385
182.500000	93.064	-168.8655
185.000000	93.061	-169.0214
187.500000	93.058	-169.1866
190.000000	93.052	-169.3363
192.500000	93.045	-169.4875
195.000000	93.034	-169.6544
197.500000	93.023	-169.8299
200.000000	93.015	-170.0021
203.000000	93.008	-170.2141
206.000000	92.992	-170.4116
209.000000	92.970	-170.5930
212.000000	92.949	-170.7868
214.000000	92.934	-170.9052
218.000000	92.901	-171.1642
220.000000	92.884	-171.3046
224.000000	92.852	-171.4878
227.000000	92.823	-171.5499
230.000000	92.792	-171.6349
233.000000	92.768	-171.7369
236.000000	92.743	-171.7994
240.000000	92.702	-171.7779
243.000000	92.676	-171.7545
247.000000	92.650	-171.7344
250.000000	92.633	-171.7541
254.000000	92.609	-171.8100
258.000000	92.585	-171.7890
262.000000	92.559	-171.7162
265.000000	92.543	-171.7081
269.000000	92.527	-171.7562
272.000000	92.516	-171.7507
276.000000	92.502	-171.7158
280.000000	92.486	-171.7192
285.000000	92.462	-171.7001
290.000000	92.432	-171.5874
295.000000	92.399	-171.5348
300.000000	92.369	-171.4617
304.000000	92.348	-171.4126
307.000000	92.338	-171.3753
311.000000	92.330	-171.2912
315.000000	92.318	-171.1646
320.000000	92.298	-171.0217
325.000000	92.285	-170.9387
330.000000	92.268	-170.8573
335.000000	92.245	-170.7450
340.000000	92.227	-170.5989
345.000000	92.214	-170.4447
350.000000	92.199	-170.2892
355.000000	92.184	-170.1277
360.000000	92.173	-169.9924
365.000000	92.159	-169.8756
370.000000	92.146	-169.7184
375.000000	92.141	-169.5232
382.000000	92.147	-169.2815
387.000000	92.146	-169.1333
395.000000	92.141	-168.9518
400.000000	92.141	-168.8351
406.000000	92.138	-168.6809
412.000000	92.135	-168.5132
418.000000	92.131	-168.3526
425.000000	92.119	-168.1476
431.000000	92.109	-167.9640
437.000000	92.109	-167.8053
444.000000	92.105	-167.6373
450.000000	92.096	-167.4530
455.000000	92.092	-167.2876
462.000000	92.093	-167.0745
468.000000	92.096	-166.9222
475.000000	92.092	-166.7457
482.000000	92.087	-166.5173
487.000000	92.086	-166.3456
494.000000	92.083	-166.1087
500.000000	92.078	-165.8694
508.000000	92.076	-165.5189
515.000000	92.079	-165.2482
522.000000	92.083	-164.9945
530.000000	92.092	-164.7115
538.000000	92.102	-164.4184
545.000000	92.109	-164.1340
552.000000	92.116	-163.8351
560.000000	92.125	-163.5245
570.000000	92.143	-163.1671
580.000000	92.167	-162.8109
590.000000	92.197	-162.5065
600.000000	92.228	-162.2401
608.000000	92.241	-161.9816
615.000000	92.248	-161.7459
622.000000	92.259	-161.5321
630.000000	92.275	-161.3204
640.000000	92.295	-161.0543
650.000000	92.313	-160.7807
660.000000	92.327	-160.4728
670.000000	92.335	-160.1204
680.000000	92.342	-159.7289
690.000000	92.361	-159.3037
700.000000	92.389	-158.8695
710.000000	92.429	-158.4632
720.000000	92.477	-158.1051
730.000000	92.530	-157.7926
