* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 3:16:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD600 (Silver Screen) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.418	-85.0750
20.299999	84.628	-85.7900
20.600000	84.817	-86.6429
20.900000	84.976	-87.5881
21.200001	85.101	-88.5642
21.400000	85.164	-89.1842
21.799999	85.251	-90.2526
22.000000	85.281	-90.6586
22.400000	85.340	-91.1756
22.700001	85.401	-91.3649
23.000000	85.487	-91.5022
23.299999	85.592	-91.7000
23.600000	85.704	-92.0060
24.000000	85.843	-92.5572
24.299999	85.931	-92.9819
24.700001	86.038	-93.4329
25.000000	86.125	-93.6640
25.400000	86.270	-93.9228
25.799999	86.444	-94.3129
26.200001	86.621	-94.9493
26.500000	86.737	-95.5514
26.900000	86.860	-96.3830
27.200001	86.934	-96.9220
27.600000	87.027	-97.4577
28.000000	87.137	-97.8403
28.500000	87.309	-98.3390
29.000000	87.491	-99.0790
29.500000	87.643	-100.0188
30.000000	87.753	-100.9085
30.400000	87.828	-101.4578
30.700001	87.890	-101.7829
31.100000	87.989	-102.1973
31.500000	88.100	-102.7028
32.000000	88.228	-103.5388
32.500000	88.316	-104.4684
33.000000	88.365	-105.2192
33.500000	88.412	-105.6558
34.000000	88.494	-105.9065
34.500000	88.616	-106.2514
35.000000	88.744	-106.8505
35.500000	88.838	-107.6015
36.000000	88.892	-108.2131
36.500000	88.944	-108.4710
37.000000	89.048	-108.4731
37.500000	89.224	-108.6065
38.200001	89.502	-109.6599
38.700001	89.628	-110.9402
39.500000	89.660	-112.6769
40.000000	89.649	-113.1387
40.599998	89.691	-113.2882
41.200001	89.794	-113.4946
41.799999	89.911	-113.9102
42.500000	90.043	-114.5122
43.099998	90.162	-115.1275
43.700001	90.273	-115.9179
44.400002	90.373	-116.9501
45.000000	90.443	-117.7886
45.500000	90.502	-118.4856
46.200001	90.571	-119.5173
46.799999	90.608	-120.2914
47.500000	90.669	-120.8746
48.200001	90.794	-121.4977
48.700001	90.884	-122.2390
49.400002	90.926	-123.4152
50.000000	90.896	-123.8878
50.799999	90.930	-123.5590
51.500000	91.091	-123.3450
52.200001	91.261	-123.7523
53.000000	91.391	-124.4513
53.799999	91.504	-125.1432
54.500000	91.581	-125.9641
55.200001	91.610	-126.7710
56.000000	91.642	-127.4350
57.000000	91.723	-128.4594
58.000000	91.758	-129.6392
59.000000	91.796	-130.4145
60.000000	91.885	-131.0737
60.799999	91.979	-131.6329
61.500000	92.072	-132.2152
62.200001	92.157	-132.9344
63.000000	92.225	-133.8727
64.000000	92.253	-135.0003
65.000000	92.248	-135.8571
66.000000	92.252	-136.4985
67.000000	92.282	-137.1101
68.000000	92.319	-137.9020
69.000000	92.317	-138.7240
70.000000	92.292	-139.2906
71.000000	92.270	-139.6470
72.000000	92.251	-139.8406
73.000000	92.246	-139.8568
74.000000	92.276	-139.7943
75.000000	92.344	-139.8579
76.199997	92.442	-140.2140
77.500000	92.544	-140.7711
78.800003	92.658	-141.4203
80.000000	92.750	-142.2494
81.199997	92.811	-143.0858
82.500000	92.870	-144.0402
83.800003	92.906	-145.0802
85.000000	92.928	-146.0592
86.199997	92.935	-147.0567
87.500000	92.921	-148.1339
88.500000	92.882	-148.9085
90.000000	92.778	-149.8112
91.199997	92.665	-150.2103
92.500000	92.536	-150.2055
93.800003	92.452	-149.6862
95.000000	92.461	-148.9832
96.199997	92.547	-148.4125
97.500000	92.680	-148.1144
98.800003	92.809	-148.1285
100.000000	92.909	-148.2867
101.500000	93.020	-148.7174
103.000000	93.092	-149.4014
104.400002	93.141	-150.0054
106.000000	93.209	-150.6671
