* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 8, 2023 11:50:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sep 8
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.479	68.8230
20.299999	82.543	68.3935
20.600000	82.621	68.0161
20.900000	82.713	67.6267
21.200001	82.813	67.1788
21.400000	82.880	66.8382
21.799999	83.008	66.0829
22.000000	83.065	65.6885
22.400000	83.169	64.9149
22.700001	83.240	64.3828
23.000000	83.311	63.8997
23.299999	83.386	63.4522
23.600000	83.466	63.0123
24.000000	83.582	62.3785
24.299999	83.670	61.8350
24.700001	83.777	61.0065
25.000000	83.843	60.3316
25.400000	83.907	59.4278
25.799999	83.942	58.6223
26.200001	83.959	58.0099
26.500000	83.971	57.7054
26.900000	84.001	57.4852
27.200001	84.041	57.4153
27.600000	84.123	57.3480
28.000000	84.233	57.2093
28.500000	84.386	56.8428
29.000000	84.533	56.2882
29.500000	84.665	55.6400
30.000000	84.782	54.9487
30.400000	84.867	54.3496
30.700001	84.921	53.8671
31.100000	84.974	53.1991
31.500000	85.005	52.5590
32.000000	85.016	51.8878
32.500000	85.017	51.3822
33.000000	85.016	50.9656
33.500000	85.012	50.5679
34.000000	84.996	50.2096
34.500000	84.974	49.9529
35.000000	84.957	49.8002
35.500000	84.954	49.6871
36.000000	84.958	49.5711
36.500000	84.966	49.4842
37.000000	84.982	49.4744
37.500000	85.017	49.5262
38.200001	85.097	49.5835
38.700001	85.165	49.5890
39.500000	85.284	49.6177
40.000000	85.366	49.6397
40.599998	85.464	49.6407
41.200001	85.550	49.6940
41.799999	85.641	49.9021
42.500000	85.784	50.1962
43.099998	85.929	50.2425
43.700001	86.061	50.0727
44.400002	86.190	49.8378
45.000000	86.307	49.6775
45.500000	86.418	49.4766
46.200001	86.578	48.9673
46.799999	86.697	48.3724
47.500000	86.812	47.6835
48.200001	86.920	47.1055
48.700001	87.004	46.7328
49.400002	87.128	46.1803
50.000000	87.230	45.6592
50.799999	87.349	44.9776
51.500000	87.450	44.4395
52.200001	87.558	43.8801
53.000000	87.679	43.0857
53.799999	87.778	42.1212
54.500000	87.842	41.2447
55.200001	87.899	40.3941
56.000000	87.964	39.3503
57.000000	88.005	37.9000
