* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 8, 2023 11:53:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sep 8
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.222	70.2111
20.299999	82.342	69.6297
20.600000	82.458	69.0395
20.900000	82.572	68.4391
21.200001	82.683	67.8123
21.400000	82.755	67.3699
21.799999	82.884	66.4310
22.000000	82.937	65.9506
22.400000	83.022	65.0322
22.700001	83.069	64.4474
23.000000	83.110	63.9863
23.299999	83.157	63.6425
23.600000	83.216	63.3706
24.000000	83.319	62.9968
24.299999	83.407	62.6299
24.700001	83.519	61.9864
25.000000	83.589	61.4300
25.400000	83.657	60.6983
25.799999	83.708	60.0937
26.200001	83.760	59.6463
26.500000	83.810	59.3735
26.900000	83.891	59.0096
27.200001	83.959	58.7000
27.600000	84.049	58.2452
28.000000	84.136	57.7912
28.500000	84.253	57.2765
29.000000	84.393	56.7298
29.500000	84.547	55.9733
30.000000	84.680	54.9390
30.400000	84.752	54.0016
30.700001	84.782	53.3176
31.100000	84.798	52.5154
31.500000	84.797	51.8788
32.000000	84.794	51.2816
32.500000	84.794	50.8098
33.000000	84.794	50.3884
33.500000	84.787	50.0130
34.000000	84.773	49.7218
34.500000	84.755	49.5479
35.000000	84.745	49.4879
35.500000	84.751	49.4981
36.000000	84.773	49.5111
36.500000	84.806	49.4752
37.000000	84.841	49.3839
37.500000	84.870	49.2781
38.200001	84.902	49.2258
38.700001	84.927	49.3116
39.500000	84.986	49.6342
40.000000	85.036	49.9233
40.599998	85.111	50.3881
41.200001	85.220	50.9750
41.799999	85.376	51.5289
42.500000	85.598	51.8680
43.099998	85.789	51.8595
43.700001	85.970	51.6780
44.400002	86.174	51.2859
45.000000	86.337	50.7628
45.500000	86.455	50.2298
46.200001	86.596	49.4569
46.799999	86.704	48.8385
47.500000	86.832	48.1651
48.200001	86.969	47.4847
48.700001	87.072	46.9422
49.400002	87.208	46.0690
50.000000	87.306	45.2736
50.799999	87.415	44.2747
51.500000	87.501	43.4754
52.200001	87.582	42.7166
53.000000	87.673	41.8548
53.799999	87.758	40.8946
54.500000	87.811	39.9790
55.200001	87.848	39.0706
56.000000	87.876	37.9947
57.000000	87.859	36.6415
58.000000	87.811	35.7927
59.000000	87.832	35.1810
60.000000	87.868	34.2818
60.799999	87.868	33.5901
61.500000	87.865	33.1207
62.200001	87.868	32.7409
63.000000	87.882	32.3503
64.000000	87.905	31.8230
65.000000	87.921	31.2677
66.000000	87.934	30.6598
67.000000	87.924	29.9229
68.000000	87.879	29.2977
69.000000	87.834	28.8905
70.000000	87.810	28.6154
71.000000	87.812	28.3620
72.000000	87.824	28.0577
73.000000	87.841	27.8044
74.000000	87.876	27.5349
75.000000	87.909	27.1641
76.199997	87.931	26.6899
77.500000	87.938	26.2211
78.800003	87.944	25.8102
80.000000	87.951	25.4000
81.199997	87.955	25.0054
82.500000	87.966	24.6019
83.800003	87.981	24.2034
85.000000	87.993	23.8273
86.199997	87.999	23.4744
87.500000	88.003	23.1056
88.500000	88.000	22.8304
90.000000	87.994	22.4626
91.199997	87.991	22.1923
92.500000	87.991	21.9070
93.800003	87.992	21.6138
95.000000	87.988	21.3582
96.199997	87.982	21.1346
97.500000	87.974	20.9302
98.800003	87.970	20.7478
100.000000	87.969	20.5712
101.500000	87.971	20.3486
103.000000	87.975	20.1240
104.400002	87.979	19.9219
106.000000	87.985	19.6781
107.500000	87.988	19.4327
109.000000	87.990	19.1914
110.599998	87.991	18.9467
112.000000	87.993	18.7501
113.800003	87.992	18.5150
115.000000	87.987	18.3708
117.199997	87.977	18.1329
118.000000	87.974	18.0475
120.599998	87.979	17.8156
122.000000	87.996	17.7039
124.099998	88.027	17.4613
125.000000	88.034	17.3310
126.500000	88.035	17.1115
128.000000	88.028	16.9176
131.500000	88.006	16.4701
132.000000	88.003	16.4143
134.000000	87.996	16.2233
136.000000	87.995	16.0571
138.000000	87.994	15.8921
140.000000	87.991	15.7181
143.000000	87.977	15.4995
145.000000	87.969	15.3617
147.500000	87.953	15.2161
150.000000	87.950	15.1237
152.500000	87.947	14.9871
155.000000	87.935	14.8615
157.500000	87.925	14.7761
160.000000	87.927	14.7044
162.500000	87.924	14.6182
165.000000	87.913	14.5311
167.500000	87.902	14.4246
170.000000	87.900	14.3154
172.500000	87.902	14.2414
175.000000	87.899	14.2094
177.500000	87.893	14.1782
180.000000	87.887	14.1175
182.500000	87.885	14.0513
185.000000	87.882	13.9983
187.500000	87.880	13.9651
190.000000	87.877	13.9298
192.500000	87.873	13.8975
195.000000	87.869	13.8546
197.500000	87.860	13.7982
200.000000	87.846	13.7589
203.000000	87.830	13.7863
206.000000	87.819	13.8414
209.000000	87.814	13.9240
212.000000	87.816	13.9635
214.000000	87.813	14.0220
218.000000	87.820	14.2510
220.000000	87.825	14.3224
224.000000	87.851	14.4547
227.000000	87.862	14.4141
230.000000	87.866	14.5203
233.000000	87.895	14.5889
236.000000	87.928	14.4488
240.000000	87.929	14.2219
243.000000	87.931	14.2806
247.000000	87.965	14.1123
250.000000	87.955	13.8557
254.000000	87.923	13.9567
258.000000	87.919	14.0977
262.000000	87.906	14.1520
265.000000	87.895	14.2043
269.000000	87.883	14.2779
272.000000	87.881	14.3763
276.000000	87.893	14.4860
280.000000	87.898	14.5171
285.000000	87.896	14.6316
290.000000	87.902	14.9238
295.000000	87.936	15.1272
300.000000	87.963	15.0638
304.000000	87.991	14.9877
307.000000	88.011	14.8992
311.000000	88.021	14.7574
315.000000	88.018	14.6804
320.000000	88.029	14.6249
325.000000	88.038	14.5781
330.000000	88.004	14.5972
335.000000	87.975	14.7091
340.000000	87.969	14.8128
345.000000	87.951	14.9105
350.000000	87.937	15.0309
355.000000	87.950	15.1643
360.000000	87.969	15.2463
365.000000	87.980	15.3536
370.000000	87.987	15.5239
375.000000	87.992	15.6316
382.000000	87.994	15.6473
387.000000	87.996	15.6034
395.000000	87.979	15.5964
400.000000	87.953	15.6702
406.000000	87.916	15.7886
412.000000	87.859	16.0775
418.000000	87.789	16.6069
425.000000	87.755	17.3409
431.000000	87.751	18.0325
437.000000	87.765	18.8215
444.000000	87.821	19.9087
450.000000	87.900	20.8393
455.000000	88.006	21.4742
462.000000	88.206	22.0000
468.000000	88.383	22.0089
475.000000	88.556	21.5637
482.000000	88.683	20.9165
487.000000	88.743	20.4414
494.000000	88.782	19.7852
500.000000	88.785	19.3254
508.000000	88.778	18.9631
515.000000	88.781	18.7872
522.000000	88.790	18.6662
530.000000	88.803	18.5090
538.000000	88.822	18.2928
545.000000	88.830	18.0406
552.000000	88.825	17.8294
560.000000	88.811	17.6346
570.000000	88.780	17.4604
580.000000	88.753	17.3933
590.000000	88.726	17.3060
600.000000	88.681	17.2877
608.000000	88.656	17.4990
615.000000	88.663	17.6449
622.000000	88.671	17.6368
630.000000	88.662	17.5403
640.000000	88.610	17.4446
650.000000	88.541	17.5229
660.000000	88.467	17.7250
670.000000	88.370	18.2497
680.000000	88.294	19.3263
690.000000	88.311	20.6685
700.000000	88.415	21.8295
710.000000	88.575	22.6581
720.000000	88.755	23.0556
730.000000	88.925	23.0424
740.000000	89.068	22.6799
750.000000	89.167	22.1024
762.000000	89.234	21.4088
775.000000	89.249	20.8142
788.000000	89.244	20.5867
800.000000	89.266	20.5622
812.000000	89.308	20.5505
825.000000	89.372	20.6479
838.000000	89.529	20.7572
850.000000	89.720	20.0352
862.000000	89.832	18.6514
875.000000	89.857	17.0483
885.000000	89.840	15.7983
900.000000	89.711	13.8942
912.000000	89.508	12.9991
925.000000	89.350	12.8710
938.000000	89.283	12.3347
950.000000	89.159	11.5278
962.000000	88.985	11.0042
