* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of KB5000 DF HRTF, KB5001 DFHRTF
* Dated: Oct 12, 2023 3:57:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of KB5000 DF HRTF, KB5001 DFHRTF
* Measurement: RMS Average 1
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	-2.163
20.144928	-2.163
20.290907	-2.163
20.437943	-2.163
20.586044	-2.163
20.735220	-2.163
20.885475	-2.163
21.036821	-2.163
21.189262	-2.163
21.342808	-2.163
21.497467	-2.163
21.653246	-2.163
21.810154	-2.163
21.968201	-2.163
22.127390	-2.163
22.287735	-2.163
22.449242	-2.163
22.611917	-2.163
22.775772	-2.163
22.940815	-2.163
23.107054	-2.163
23.274498	-2.163
23.443153	-2.163
23.613033	-2.163
23.784142	-2.163
23.956491	-2.163
24.130091	-2.163
24.304947	-2.163
24.481071	-2.163
24.658470	-2.163
24.837156	-2.163
25.017136	-2.163
25.198421	-2.163
25.381020	-2.163
25.564941	-2.163
25.750195	-2.163
25.936790	-2.163
26.124741	-2.163
26.314051	-2.163
26.504732	-2.163
26.696796	-2.163
26.890253	-2.163
27.085112	-2.163
27.281382	-2.163
27.479073	-2.163
27.678198	-2.163
27.878765	-2.163
28.080786	-2.163
28.284271	-2.163
28.489231	-2.163
28.695675	-2.163
28.903616	-2.163
29.113064	-2.163
29.324028	-2.163
29.536524	-2.163
29.750557	-2.163
29.966141	-2.163
30.183289	-2.163
30.402010	-2.163
30.622314	-2.163
30.844217	-2.163
31.067726	-2.163
31.292856	-2.163
31.519617	-2.163
31.748020	-2.163
31.978081	-2.163
32.209808	-2.163
32.443211	-2.163
32.678310	-2.163
32.915108	-2.163
33.153625	-2.163
33.393871	-2.163
33.635857	-2.163
33.879597	-2.163
34.125103	-2.163
34.372387	-2.163
34.621464	-2.163
34.872345	-2.163
35.125042	-2.163
35.379574	-2.163
35.635948	-2.163
35.894180	-2.163
36.154285	-2.163
36.416275	-2.163
36.680161	-2.163
36.945961	-2.163
37.213688	-2.163
37.483353	-2.164
37.754974	-2.163
38.028561	-2.150
38.304131	-2.135
38.581699	-2.127
38.861279	-2.123
39.142883	-2.122
39.426529	-2.123
39.712231	-2.123
40.000000	-2.123
40.289856	-2.123
40.581814	-2.123
40.875885	-2.123
41.172089	-2.123
41.470440	-2.123
41.770950	-2.123
42.073643	-2.123
42.378525	-2.123
42.685616	-2.123
42.994934	-2.123
43.306492	-2.123
43.620308	-2.123
43.936401	-2.123
44.254780	-2.123
44.575470	-2.123
44.898483	-2.123
45.223835	-2.123
45.551544	-2.123
45.881630	-2.122
46.214108	-2.116
46.548996	-2.098
46.886307	-2.081
