* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:33:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KSC75 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.917	-14.9870
20.299999	71.075	-15.6898
20.600000	71.221	-16.2953
20.900000	71.360	-16.7510
21.200001	71.503	-17.0201
21.400000	71.611	-17.1138
21.799999	71.865	-17.2167
22.000000	72.011	-17.3046
22.400000	72.329	-17.7213
22.700001	72.564	-18.2965
23.000000	72.772	-19.0454
23.299999	72.947	-19.8300
23.600000	73.094	-20.5265
24.000000	73.275	-21.2000
24.299999	73.424	-21.5436
24.700001	73.656	-21.9664
25.000000	73.848	-22.4015
25.400000	74.099	-23.2232
25.799999	74.317	-24.2146
26.200001	74.497	-25.1506
26.500000	74.620	-25.7169
26.900000	74.793	-26.2878
27.200001	74.939	-26.6536
27.600000	75.154	-27.1854
28.000000	75.373	-27.8498
28.500000	75.623	-28.7983
29.000000	75.841	-29.6477
29.500000	76.052	-30.2468
30.000000	76.286	-30.6697
30.400000	76.495	-31.0297
30.700001	76.656	-31.3730
31.100000	76.860	-31.9308
31.500000	77.043	-32.5277
32.000000	77.248	-33.1681
32.500000	77.456	-33.6393
33.000000	77.686	-34.1212
33.500000	77.919	-34.8234
34.000000	78.117	-35.7265
34.500000	78.270	-36.5835
35.000000	78.404	-37.2202
35.500000	78.552	-37.7101
36.000000	78.714	-38.2401
36.500000	78.868	-38.8528
37.000000	79.006	-39.4192
37.500000	79.142	-39.8344
38.200001	79.365	-40.2518
38.700001	79.548	-40.5591
39.500000	79.870	-41.1453
40.000000	80.088	-41.6152
40.599998	80.351	-42.3669
41.200001	80.592	-43.2867
41.799999	80.803	-44.2142
42.500000	81.025	-45.1588
43.099998	81.210	-45.8466
43.700001	81.397	-46.4547
44.400002	81.620	-47.1240
45.000000	81.810	-47.7089
45.500000	81.962	-48.1902
46.200001	82.172	-48.8176
46.799999	82.356	-49.3550
47.500000	82.564	-50.0687
48.200001	82.749	-50.8026
48.700001	82.873	-51.2538
49.400002	83.058	-51.7953
50.000000	83.232	-52.3078
50.799999	83.460	-53.1724
51.500000	83.639	-53.9819
52.200001	83.810	-54.7233
53.000000	84.010	-55.5194
53.799999	84.212	-56.2981
54.500000	84.391	-56.9570
55.200001	84.572	-57.6385
56.000000	84.766	-58.4321
57.000000	85.000	-59.3237
58.000000	85.226	-60.2257
59.000000	85.432	-60.9645
60.000000	85.692	-61.5667
60.799999	85.917	-62.4283
61.500000	86.075	-63.3683
62.200001	86.205	-64.1979
63.000000	86.359	-64.9849
64.000000	86.565	-65.9364
65.000000	86.776	-66.8843
66.000000	86.991	-67.8685
67.000000	87.198	-68.8899
68.000000	87.397	-69.9296
69.000000	87.584	-70.9873
70.000000	87.762	-72.0152
71.000000	87.941	-73.0300
72.000000	88.122	-74.1023
73.000000	88.294	-75.2352
74.000000	88.457	-76.3882
75.000000	88.610	-77.5613
76.199997	88.775	-78.9561
77.500000	88.935	-80.4020
78.800003	89.085	-81.7944
80.000000	89.210	-83.1208
81.199997	89.306	-84.4019
82.500000	89.393	-85.5938
83.800003	89.482	-86.5789
85.000000	89.576	-87.3639
86.199997	89.678	-88.0718
87.500000	89.801	-88.7756
88.500000	89.904	-89.3065
90.000000	90.069	-90.1266
91.199997	90.206	-90.8322
92.500000	90.358	-91.6581
93.800003	90.509	-92.5469
95.000000	90.647	-93.4077
96.199997	90.783	-94.2874
97.500000	90.934	-95.2399
98.800003	91.092	-96.2424
100.000000	91.237	-97.2557
101.500000	91.403	-98.6266
103.000000	91.544	-100.0843
104.400002	91.638	-101.4462
106.000000	91.719	-102.8350
107.500000	91.789	-103.9993
109.000000	91.865	-105.0639
110.599998	91.961	-106.1548
112.000000	92.054	-107.1163
113.800003	92.172	-108.4042
115.000000	92.244	-109.2713
117.199997	92.367	-110.8691
118.000000	92.408	-111.4617
120.599998	92.527	-113.3914
122.000000	92.586	-114.4144
124.099998	92.666	-115.9221
125.000000	92.697	-116.5521
126.500000	92.747	-117.5775
128.000000	92.795	-118.5749
131.500000	92.884	-120.8215
132.000000	92.894	-121.1299
134.000000	92.928	-122.3417
136.000000	92.960	-123.5499
138.000000	92.992	-124.7352
140.000000	93.025	-125.8648
143.000000	93.071	-127.4764
145.000000	93.093	-128.5350
147.500000	93.112	-129.8248
150.000000	93.130	-131.0746
152.500000	93.141	-132.3065
155.000000	93.146	-133.5278
157.500000	93.141	-134.7251
160.000000	93.137	-135.8184
162.500000	93.134	-136.8826
165.000000	93.123	-137.9053
167.500000	93.105	-138.8649
170.000000	93.081	-139.7635
172.500000	93.054	-140.6141
175.000000	93.027	-141.4121
177.500000	93.005	-142.1492
180.000000	92.987	-142.8516
182.500000	92.970	-143.5262
185.000000	92.955	-144.2041
187.500000	92.940	-144.8805
190.000000	92.926	-145.5284
192.500000	92.913	-146.1633
195.000000	92.900	-146.8014
197.500000	92.884	-147.4354
200.000000	92.869	-148.0609
203.000000	92.848	-148.8017
206.000000	92.825	-149.5354
209.000000	92.800	-150.2870
212.000000	92.770	-151.0659
214.000000	92.744	-151.5872
218.000000	92.676	-152.6068
220.000000	92.633	-153.0967
224.000000	92.523	-153.9560
227.000000	92.427	-154.4247
230.000000	92.330	-154.7299
233.000000	92.245	-154.9122
236.000000	92.176	-155.0048
240.000000	92.114	-155.0592
243.000000	92.083	-155.1118
247.000000	92.050	-155.2260
250.000000	92.030	-155.3474
254.000000	92.006	-155.5494
258.000000	91.979	-155.7695
262.000000	91.952	-155.9637
265.000000	91.930	-156.0985
269.000000	91.904	-156.3048
272.000000	91.887	-156.4673
276.000000	91.864	-156.6748
280.000000	91.836	-156.8788
285.000000	91.807	-157.1017
290.000000	91.779	-157.2863
295.000000	91.750	-157.4498
300.000000	91.723	-157.6038
304.000000	91.702	-157.7209
307.000000	91.685	-157.8142
311.000000	91.661	-157.9415
315.000000	91.634	-158.0367
320.000000	91.599	-158.1028
325.000000	91.572	-158.1870
330.000000	91.548	-158.2884
335.000000	91.523	-158.3627
340.000000	91.500	-158.4035
345.000000	91.478	-158.4383
350.000000	91.457	-158.4647
355.000000	91.434	-158.4720
360.000000	91.413	-158.4781
365.000000	91.393	-158.4835
370.000000	91.371	-158.4670
375.000000	91.348	-158.4452
382.000000	91.323	-158.4092
387.000000	91.306	-158.3713
395.000000	91.278	-158.2861
400.000000	91.259	-158.2230
406.000000	91.238	-158.1439
412.000000	91.219	-158.0411
418.000000	91.202	-157.9261
425.000000	91.181	-157.7798
431.000000	91.163	-157.6243
437.000000	91.147	-157.4704
444.000000	91.133	-157.3067
450.000000	91.123	-157.1570
455.000000	91.116	-157.0241
462.000000	91.107	-156.8384
468.000000	91.099	-156.6789
475.000000	91.091	-156.4690
482.000000	91.083	-156.2466
487.000000	91.080	-156.0901
494.000000	91.076	-155.8657
500.000000	91.075	-155.6661
508.000000	91.076	-155.4009
515.000000	91.079	-155.1688
522.000000	91.080	-154.9482
530.000000	91.082	-154.6988
538.000000	91.087	-154.4352
545.000000	91.092	-154.2106
552.000000	91.097	-153.9779
560.000000	91.103	-153.7038
570.000000	91.114	-153.3600
580.000000	91.124	-153.0350
590.000000	91.137	-152.7084
600.000000	91.152	-152.3659
608.000000	91.163	-152.1080
615.000000	91.171	-151.8836
622.000000	91.180	-151.6475
630.000000	91.193	-151.3709
640.000000	91.210	-151.0323
650.000000	91.224	-150.7007
660.000000	91.241	-150.3627
670.000000	91.262	-150.0123
680.000000	91.284	-149.6541
690.000000	91.305	-149.3074
700.000000	91.326	-148.9692
710.000000	91.347	-148.6288
720.000000	91.367	-148.2832
730.000000	91.387	-147.9280
740.000000	91.411	-147.5554
750.000000	91.437	-147.1782
762.000000	91.471	-146.7415
775.000000	91.512	-146.2786
788.000000	91.555	-145.8329
800.000000	91.596	-145.4451
812.000000	91.636	-145.0708
825.000000	91.678	-144.6752
838.000000	91.719	-144.3075
850.000000	91.754	-143.9837
862.000000	91.785	-143.6603
875.000000	91.813	-143.2901
885.000000	91.831	-142.9741
900.000000	91.860	-142.4650
912.000000	91.888	-142.0356
925.000000	91.920	-141.5613
938.000000	91.955	-141.0850
950.000000	91.989	-140.6403
962.000000	92.023	-140.1854
975.000000	92.063	-139.6765
988.000000	92.104	-139.1696
1000.000000	92.140	-138.7101
1015.000000	92.186	-138.1133
1030.000000	92.239	-137.5067
1044.000000	92.293	-136.9406
1060.000000	92.358	-136.3104
1075.000000	92.418	-135.7168
1090.000000	92.481	-135.1005
1106.000000	92.552	-134.4570
1120.000000	92.614	-133.9146
1138.000000	92.696	-133.2081
1150.000000	92.750	-132.7263
1172.000000	92.857	-131.8701
1180.000000	92.896	-131.5751
1206.000000	93.018	-130.6199
1220.000000	93.089	-130.0695
1241.000000	93.209	-129.2302
1250.000000	93.261	-128.8600
1265.000000	93.351	-128.2245
1280.000000	93.445	-127.6466
1315.000000	93.653	-126.3540
1320.000000	93.684	-126.1589
1340.000000	93.803	-125.4451
1360.000000	93.911	-124.7662
1380.000000	94.027	-124.0723
1400.000000	94.152	-123.2883
1430.000000	94.354	-122.0883
1450.000000	94.497	-121.2638
1475.000000	94.692	-120.2239
1500.000000	94.904	-119.1780
1525.000000	95.142	-118.1445
1550.000000	95.411	-117.3242
1575.000000	95.673	-116.7790
1600.000000	95.920	-116.3402
1625.000000	96.155	-115.9800
1650.000000	96.369	-115.6198
1675.000000	96.579	-115.1680
1700.000000	96.786	-114.6115
1725.000000	97.002	-113.9633
1750.000000	97.241	-113.3005
1775.000000	97.500	-112.6702
1800.000000	97.778	-112.0933
1825.000000	98.073	-111.5995
1850.000000	98.378	-111.2000
1875.000000	98.693	-110.8907
1900.000000	99.021	-110.6957
1925.000000	99.358	-110.6593
1950.000000	99.700	-110.7366
1975.000000	100.048	-110.9624
2000.000000	100.386	-111.3390
2030.000000	100.780	-111.9783
2060.000000	101.148	-112.8425
2090.000000	101.485	-113.7007
2120.000000	101.817	-114.5240
2140.000000	102.042	-115.0497
2180.000000	102.532	-116.1392
2200.000000	102.795	-116.8506
2240.000000	103.315	-118.7262
2270.000000	103.673	-120.5792
2300.000000	103.978	-122.6707
2330.000000	104.227	-124.8173
2360.000000	104.431	-126.7932
2400.000000	104.711	-129.1570
2430.000000	104.928	-131.0265
2470.000000	105.216	-133.6685
2500.000000	105.427	-135.8624
2540.000000	105.667	-139.3311
2580.000000	105.769	-143.1207
2620.000000	105.742	-146.5403
2650.000000	105.674	-148.6801
2690.000000	105.571	-150.9343
2720.000000	105.516	-152.2487
2760.000000	105.509	-153.8610
2800.000000	105.539	-155.8037
2850.000000	105.490	-158.7224
2900.000000	105.306	-160.9928
2950.000000	105.167	-162.2346
3000.000000	105.161	-163.4126
3040.000000	105.180	-164.8456
3070.000000	105.159	-166.0747
3110.000000	105.093	-167.5800
3150.000000	105.007	-168.9391
3200.000000	104.852	-170.2425
3250.000000	104.741	-170.5200
3300.000000	104.864	-170.6580
3350.000000	105.064	-172.3484
3400.000000	105.092	-174.5904
3450.000000	105.111	-176.0470
3500.000000	105.271	-177.6962
3550.000000	105.484	179.5740
3600.000000	105.666	175.6753
3650.000000	105.775	170.2571
3700.000000	105.624	162.8841
3750.000000	104.982	154.8622
3820.000000	103.199	146.5027
3870.000000	101.311	146.0582
3950.000000	98.348	159.7861
4000.000000	97.746	171.3976
4060.000000	97.888	-177.9930
4120.000000	98.273	-168.4651
4180.000000	99.327	-158.5629
4250.000000	101.312	-151.2657
4310.000000	103.058	-150.3259
4370.000000	104.581	-153.2565
4440.000000	105.970	-159.9372
4500.000000	106.843	-167.1802
4550.000000	107.384	-173.9658
4620.000000	107.798	175.3734
4680.000000	107.747	165.9870
4750.000000	107.261	156.4734
4820.000000	106.525	149.3740
4870.000000	105.965	145.5154
4940.000000	105.194	141.0995
5000.000000	104.522	137.9312
5080.000000	103.562	134.7938
5150.000000	102.689	133.4698
5220.000000	101.891	133.5392
5300.000000	101.198	134.3971
5380.000000	100.690	135.1133
5450.000000	100.321	135.5041
5520.000000	99.979	135.6819
5600.000000	99.590	135.9731
5700.000000	99.187	136.6066
5800.000000	98.934	136.9492
5900.000000	98.773	135.7012
6000.000000	98.411	132.9249
6080.000000	97.916	130.8422
6150.000000	97.386	129.4222
6220.000000	96.777	128.3274
6300.000000	95.944	127.8006
6400.000000	94.731	129.4160
6500.000000	93.583	133.8821
6600.000000	92.728	139.9835
6700.000000	92.133	146.2660
6800.000000	91.630	153.2910
6900.000000	91.363	161.7335
7000.000000	91.497	170.9301
7100.000000	92.189	-179.8170
7200.000000	93.451	-172.7979
7300.000000	94.863	-170.0762
7400.000000	96.054	-171.3170
7500.000000	96.874	-175.1006
7620.000000	97.260	179.2686
7750.000000	97.048	175.7549
7880.000000	96.830	177.7278
8000.000000	97.414	-178.0873
8120.000000	98.739	-176.4851
8250.000000	100.313	178.7679
8380.000000	101.183	167.6150
8500.000000	101.163	156.3276
8620.000000	100.619	147.2704
8750.000000	99.768	140.3452
8850.000000	99.028	136.7830
9000.000000	97.951	134.4506
9120.000000	97.358	134.0513
9250.000000	97.035	133.2931
9380.000000	96.895	130.7254
9500.000000	96.620	126.6799
9620.000000	96.071	122.9039
9750.000000	95.393	120.3108
9880.000000	94.816	118.0363
10000.000000	94.285	116.0980
10150.000000	93.784	113.9970
10300.000000	93.468	110.1021
10440.000000	93.117	104.8744
10600.000000	92.743	96.3491
10750.000000	92.022	83.7582
10900.000000	90.463	69.8492
11060.000000	87.926	56.2313
11200.000000	84.764	50.5884
11380.000000	79.211	65.6207
11500.000000	75.633	91.2500
11720.000000	75.286	141.7805
11800.000000	75.979	149.7335
12060.000000	79.203	167.8970
12200.000000	82.041	171.8378
12410.000000	86.007	161.9273
12500.000000	87.514	152.8962
12650.000000	89.796	132.6795
12800.000000	91.846	106.8727
13150.000000	95.365	28.4551
13200.000000	95.610	16.0965
13400.000000	95.859	-30.8835
13600.000000	95.166	-68.9604
13800.000000	94.139	-97.1228
14000.000000	93.100	-120.0540
14300.000000	90.984	-152.1072
14500.000000	88.682	-179.6091
14750.000000	84.192	109.8394
15000.000000	82.969	-2.8199
15250.000000	86.174	-69.8123
15500.000000	87.560	-96.1152
15750.000000	87.738	-108.6730
16000.000000	87.539	-115.8726
16250.000000	87.167	-120.6597
16500.000000	86.825	-123.2659
16750.000000	86.932	-125.9941
17000.000000	87.269	-134.1783
17250.000000	86.833	-149.0308
17500.000000	84.766	-160.0280
17750.000000	81.308	-152.6389
18000.000000	79.067	-132.9738
18250.000000	79.751	-115.9988
18500.000000	81.833	-105.8193
18750.000000	84.166	-103.8446
19000.000000	85.904	-110.5341
19250.000000	86.682	-121.8137
19500.000000	86.624	-132.6566
19750.000000	86.063	-140.7524
