* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.510
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 7:47:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.513	-14.8607
20.299999	60.711	-15.7458
20.600000	60.866	-16.5791
20.900000	60.992	-17.2325
21.200001	61.114	-17.6481
21.400000	61.206	-17.8281
21.799999	61.427	-18.1086
22.000000	61.557	-18.2931
22.400000	61.841	-18.8975
22.700001	62.056	-19.5793
23.000000	62.258	-20.4092
23.299999	62.445	-21.3127
23.600000	62.619	-22.2408
24.000000	62.837	-23.4736
24.299999	62.992	-24.3847
24.700001	63.183	-25.5588
25.000000	63.316	-26.3650
25.400000	63.485	-27.2683
25.799999	63.663	-27.9453
26.200001	63.871	-28.4849
26.500000	64.047	-28.9070
26.900000	64.295	-29.6077
27.200001	64.473	-30.2546
27.600000	64.685	-31.2032
28.000000	64.865	-32.0881
28.500000	65.070	-32.9286
29.000000	65.295	-33.5416
29.500000	65.552	-34.1786
30.000000	65.814	-35.0060
30.400000	66.011	-35.7714
30.700001	66.151	-36.3611
31.100000	66.330	-37.1365
31.500000	66.507	-37.9084
32.000000	66.725	-38.9042
32.500000	66.930	-39.9263
33.000000	67.121	-40.8983
33.500000	67.308	-41.7552
34.000000	67.503	-42.4994
34.500000	67.716	-43.2004
35.000000	67.944	-43.9444
35.500000	68.173	-44.7794
36.000000	68.392	-45.6650
36.500000	68.602	-46.5172
37.000000	68.816	-47.3248
37.500000	69.038	-48.1919
38.200001	69.324	-49.6278
38.700001	69.487	-50.6432
39.500000	69.737	-51.8416
40.000000	69.926	-52.5359
40.599998	70.157	-53.6724
41.200001	70.327	-54.9891
41.799999	70.448	-56.0139
42.500000	70.617	-56.7511
43.099998	70.808	-57.4124
43.700001	70.997	-58.2365
44.400002	71.205	-59.1591
45.000000	71.402	-59.8981
45.500000	71.577	-60.6302
46.200001	71.801	-61.8665
46.799999	71.960	-62.9374
47.500000	72.132	-64.0585
48.200001	72.303	-65.1329
48.700001	72.422	-65.9111
49.400002	72.580	-66.9855
50.000000	72.715	-67.8759
50.799999	72.901	-69.0529
51.500000	73.072	-70.1179
52.200001	73.247	-71.2506
53.000000	73.438	-72.5770
53.799999	73.624	-73.8003
54.500000	73.794	-74.7657
55.200001	73.973	-75.6450
56.000000	74.204	-76.5606
57.000000	74.534	-78.0864
58.000000	74.752	-80.3010
59.000000	74.822	-81.9781
60.000000	74.934	-82.9709
60.799999	75.062	-83.9543
61.500000	75.163	-84.9661
62.200001	75.257	-86.0015
63.000000	75.364	-87.2041
64.000000	75.496	-88.6885
65.000000	75.638	-90.1044
66.000000	75.788	-91.5142
67.000000	75.934	-92.9149
68.000000	76.069	-94.2865
69.000000	76.195	-95.6321
70.000000	76.315	-96.9893
71.000000	76.425	-98.3860
72.000000	76.525	-99.8066
73.000000	76.617	-101.2308
74.000000	76.699	-102.6399
75.000000	76.772	-104.0109
76.199997	76.847	-105.5649
77.500000	76.917	-107.1613
78.800003	76.973	-108.6305
80.000000	77.025	-109.8534
81.199997	77.085	-111.0084
82.500000	77.157	-112.2255
83.800003	77.233	-113.4370
85.000000	77.305	-114.5789
86.199997	77.374	-115.7487
87.500000	77.447	-117.0433
88.500000	77.498	-118.0616
90.000000	77.562	-119.5669
91.199997	77.599	-120.6895
92.500000	77.632	-121.7820
93.800003	77.667	-122.7726
95.000000	77.704	-123.6615
96.199997	77.746	-124.5519
97.500000	77.798	-125.5176
98.800003	77.860	-126.4901
100.000000	77.925	-127.4371
101.500000	77.994	-128.7162
103.000000	78.039	-129.9873
104.400002	78.070	-131.0851
106.000000	78.111	-132.3298
107.500000	78.151	-133.5140
109.000000	78.187	-134.7670
110.599998	78.207	-136.1247
112.000000	78.215	-137.2773
113.800003	78.222	-138.6991
115.000000	78.230	-139.6035
117.199997	78.242	-141.1509
118.000000	78.244	-141.6483
120.599998	78.229	-143.3805
122.000000	78.171	-144.2777
124.099998	78.092	-145.3894
125.000000	78.071	-145.8632
126.500000	78.046	-146.6654
128.000000	78.024	-147.4225
131.500000	77.984	-148.9590
132.000000	77.980	-149.1814
134.000000	77.965	-150.1370
136.000000	77.945	-151.1005
138.000000	77.926	-151.9366
140.000000	77.913	-152.7114
143.000000	77.887	-153.9612
145.000000	77.864	-154.8156
147.500000	77.828	-155.8467
150.000000	77.781	-156.7595
152.500000	77.737	-157.6031
155.000000	77.701	-158.4756
157.500000	77.671	-159.3480
160.000000	77.640	-160.2639
162.500000	77.601	-161.1660
165.000000	77.559	-161.9956
167.500000	77.510	-162.7484
170.000000	77.445	-163.4904
172.500000	77.362	-164.2285
175.000000	77.280	-164.8978
177.500000	77.203	-165.4801
180.000000	77.127	-165.9258
182.500000	77.061	-166.3058
185.000000	77.005	-166.6554
187.500000	76.960	-166.9235
190.000000	76.929	-167.1489
192.500000	76.904	-167.4228
195.000000	76.883	-167.7408
197.500000	76.869	-168.0931
200.000000	76.848	-168.4922
203.000000	76.808	-169.0596
206.000000	76.758	-169.6537
209.000000	76.714	-170.2266
212.000000	76.662	-170.7493
214.000000	76.626	-171.0230
218.000000	76.565	-171.4613
220.000000	76.532	-171.6742
224.000000	76.461	-172.1026
227.000000	76.413	-172.4344
230.000000	76.366	-172.7521
233.000000	76.321	-173.0397
236.000000	76.284	-173.3064
240.000000	76.239	-173.6335
243.000000	76.196	-173.8641
247.000000	76.136	-174.1555
250.000000	76.094	-174.3813
254.000000	76.036	-174.6774
258.000000	75.981	-174.9509
262.000000	75.935	-175.2379
265.000000	75.897	-175.4357
269.000000	75.843	-175.7015
272.000000	75.804	-175.9226
276.000000	75.753	-176.2130
280.000000	75.703	-176.4637
285.000000	75.645	-176.7318
290.000000	75.593	-176.9617
295.000000	75.522	-177.1733
300.000000	75.455	-177.4396
304.000000	75.401	-177.6297
307.000000	75.360	-177.7538
311.000000	75.303	-177.9089
315.000000	75.245	-178.0229
320.000000	75.175	-178.1182
325.000000	75.103	-178.1976
330.000000	75.034	-178.2329
335.000000	74.970	-178.2186
340.000000	74.906	-178.2224
345.000000	74.843	-178.2085
350.000000	74.790	-178.1522
355.000000	74.742	-178.1235
360.000000	74.693	-178.0701
365.000000	74.642	-178.0022
370.000000	74.595	-177.9271
375.000000	74.550	-177.8421
382.000000	74.482	-177.6989
387.000000	74.435	-177.6096
395.000000	74.375	-177.4055
400.000000	74.344	-177.2640
406.000000	74.310	-177.1453
412.000000	74.272	-177.0758
418.000000	74.226	-176.9766
425.000000	74.180	-176.7260
431.000000	74.149	-176.5475
437.000000	74.119	-176.4486
444.000000	74.080	-176.3466
450.000000	74.042	-176.2361
455.000000	74.014	-176.1074
462.000000	73.977	-175.8857
468.000000	73.942	-175.7134
475.000000	73.900	-175.5020
482.000000	73.859	-175.2358
487.000000	73.833	-175.0598
494.000000	73.807	-174.8655
500.000000	73.788	-174.7291
508.000000	73.746	-174.5207
515.000000	73.712	-174.3060
522.000000	73.684	-174.1030
530.000000	73.648	-173.8123
538.000000	73.607	-173.4905
545.000000	73.577	-173.2269
552.000000	73.550	-172.9479
560.000000	73.527	-172.6227
570.000000	73.500	-172.2864
580.000000	73.463	-171.9082
590.000000	73.432	-171.4614
600.000000	73.410	-171.0629
608.000000	73.390	-170.7385
615.000000	73.370	-170.4534
622.000000	73.349	-170.1431
630.000000	73.326	-169.7736
640.000000	73.303	-169.3608
650.000000	73.282	-168.8936
660.000000	73.267	-168.4337
670.000000	73.250	-167.9775
680.000000	73.231	-167.4647
690.000000	73.219	-166.9380
700.000000	73.219	-166.4005
710.000000	73.230	-165.8452
720.000000	73.242	-165.3312
730.000000	73.258	-164.8397
740.000000	73.277	-164.3397
750.000000	73.297	-163.8630
762.000000	73.330	-163.3976
775.000000	73.369	-162.9677
788.000000	73.399	-162.5814
800.000000	73.424	-162.2456
812.000000	73.443	-161.9592
825.000000	73.460	-161.6806
838.000000	73.474	-161.3925
850.000000	73.480	-161.1130
862.000000	73.473	-160.8585
875.000000	73.449	-160.5171
885.000000	73.432	-160.1576
900.000000	73.419	-159.5619
912.000000	73.416	-159.0678
925.000000	73.426	-158.5125
938.000000	73.440	-158.0038
950.000000	73.448	-157.5886
962.000000	73.447	-157.1877
975.000000	73.442	-156.7016
988.000000	73.443	-156.1569
1000.000000	73.444	-155.6553
1015.000000	73.438	-155.0322
1030.000000	73.421	-154.3635
1044.000000	73.409	-153.6349
1060.000000	73.405	-152.7634
1075.000000	73.406	-151.8311
1090.000000	73.425	-150.8138
1106.000000	73.459	-149.7032
1120.000000	73.506	-148.7241
1138.000000	73.590	-147.5062
1150.000000	73.656	-146.7502
1172.000000	73.796	-145.4359
1180.000000	73.852	-144.9771
1206.000000	74.037	-143.7227
1220.000000	74.129	-143.1641
1241.000000	74.268	-142.4286
1250.000000	74.326	-142.1536
1265.000000	74.415	-141.6942
1280.000000	74.500	-141.1774
1315.000000	74.704	-139.8558
1320.000000	74.733	-139.6909
1340.000000	74.841	-139.0878
1360.000000	74.944	-138.4282
1380.000000	75.058	-137.6442
1400.000000	75.195	-136.8568
1430.000000	75.425	-135.9161
1450.000000	75.588	-135.3836
1475.000000	75.794	-134.9430
1500.000000	75.973	-134.9584
1525.000000	76.040	-135.2095
1550.000000	75.975	-134.6656
1575.000000	75.973	-132.8458
1600.000000	76.148	-130.8152
1625.000000	76.425	-129.3372
1650.000000	76.707	-128.4490
1675.000000	76.968	-127.8232
1700.000000	77.214	-127.2763
1725.000000	77.457	-126.7985
1750.000000	77.694	-126.4299
1775.000000	77.928	-126.0736
1800.000000	78.162	-125.7598
1825.000000	78.390	-125.5015
