* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.520
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 4:45:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.390	-13.1691
20.299999	60.577	-13.7152
20.600000	60.778	-14.1876
20.900000	60.995	-14.6981
21.200001	61.214	-15.3541
21.400000	61.349	-15.8747
21.799999	61.578	-16.9877
22.000000	61.670	-17.4945
22.400000	61.826	-18.2201
22.700001	61.948	-18.4673
23.000000	62.100	-18.5449
23.299999	62.289	-18.6292
23.600000	62.503	-18.8569
24.000000	62.792	-19.4847
24.299999	62.989	-20.1356
24.700001	63.214	-21.0437
25.000000	63.368	-21.6336
25.400000	63.579	-22.2755
25.799999	63.814	-22.9055
26.200001	64.063	-23.7115
26.500000	64.239	-24.4581
26.900000	64.444	-25.5482
27.200001	64.574	-26.3239
27.600000	64.732	-27.1916
28.000000	64.896	-27.8697
28.500000	65.126	-28.6243
29.000000	65.370	-29.4625
29.500000	65.603	-30.3705
30.000000	65.823	-31.2186
30.400000	66.000	-31.8226
30.700001	66.136	-32.2545
31.100000	66.323	-32.8442
31.500000	66.508	-33.4688
32.000000	66.730	-34.2764
32.500000	66.941	-35.0566
33.000000	67.147	-35.7721
33.500000	67.355	-36.4399
34.000000	67.568	-37.1164
34.500000	67.779	-37.8446
35.000000	67.980	-38.6071
35.500000	68.172	-39.3446
36.000000	68.364	-40.0426
36.500000	68.562	-40.7597
37.000000	68.754	-41.5394
37.500000	68.935	-42.3223
38.200001	69.192	-43.2946
38.700001	69.398	-44.0229
39.500000	69.708	-45.6419
40.000000	69.839	-46.7037
40.599998	69.956	-47.4988
41.200001	70.131	-47.7446
41.799999	70.398	-48.0649
42.500000	70.724	-49.0948
43.099998	70.941	-50.2186
43.700001	71.123	-51.1355
44.400002	71.350	-51.9985
45.000000	71.555	-52.8026
45.500000	71.716	-53.5315
46.200001	71.927	-54.5280
46.799999	72.104	-55.3552
47.500000	72.304	-56.3538
48.200001	72.488	-57.3281
48.700001	72.618	-57.9580
49.400002	72.810	-58.7860
50.000000	72.986	-59.5393
50.799999	73.218	-60.6662
51.500000	73.404	-61.7016
52.200001	73.579	-62.6929
53.000000	73.778	-63.7403
53.799999	73.985	-64.7686
54.500000	74.169	-65.6990
55.200001	74.353	-66.6631
56.000000	74.559	-67.8495
57.000000	74.785	-69.3767
58.000000	75.003	-70.6841
59.000000	75.246	-72.0427
60.000000	75.461	-73.5610
60.799999	75.617	-74.6663
61.500000	75.758	-75.5920
62.200001	75.899	-76.5542
63.000000	76.053	-77.6896
64.000000	76.234	-79.1445
65.000000	76.397	-80.6354
66.000000	76.541	-82.1013
67.000000	76.674	-83.4921
68.000000	76.805	-84.8145
69.000000	76.936	-86.0845
70.000000	77.071	-87.3214
71.000000	77.209	-88.5799
72.000000	77.341	-89.8730
73.000000	77.467	-91.1953
74.000000	77.580	-92.5464
75.000000	77.679	-93.9034
76.199997	77.779	-95.5185
77.500000	77.859	-97.1797
78.800003	77.920	-98.6542
80.000000	77.970	-99.8289
81.199997	78.025	-100.8351
82.500000	78.096	-101.7644
83.800003	78.191	-102.6067
85.000000	78.296	-103.4172
86.199997	78.411	-104.2834
87.500000	78.543	-105.2837
88.500000	78.648	-106.0941
90.000000	78.807	-107.3688
91.199997	78.929	-108.4532
92.500000	79.048	-109.6594
93.800003	79.156	-110.9049
95.000000	79.244	-112.1130
96.199997	79.322	-113.3839
97.500000	79.386	-114.7861
98.800003	79.446	-116.0607
100.000000	79.517	-117.1844
101.500000	79.606	-118.6028
103.000000	79.682	-119.9480
104.400002	79.743	-121.1110
106.000000	79.805	-122.3968
107.500000	79.861	-123.6311
109.000000	79.915	-124.9059
110.599998	79.971	-126.2832
112.000000	80.016	-127.4758
113.800003	80.061	-128.9589
115.000000	80.083	-129.9325
117.199997	80.105	-131.7870
118.000000	80.104	-132.4784
120.599998	80.094	-134.4537
122.000000	80.109	-135.4140
124.099998	80.129	-136.8091
125.000000	80.135	-137.3750
126.500000	80.140	-138.3133
128.000000	80.139	-139.2569
131.500000	80.130	-141.5101
132.000000	80.128	-141.8257
134.000000	80.121	-143.0690
136.000000	80.104	-144.2921
138.000000	80.081	-145.4594
140.000000	80.056	-146.6111
143.000000	80.007	-148.2455
145.000000	79.969	-149.2321
147.500000	79.919	-150.3464
150.000000	79.864	-151.4507
152.500000	79.799	-152.4217
155.000000	79.757	-153.2810
157.500000	79.715	-154.1728
160.000000	79.656	-155.0360
162.500000	79.594	-155.9091
165.000000	79.543	-156.8120
167.500000	79.506	-157.6407
170.000000	79.468	-158.3849
172.500000	79.414	-159.0846
175.000000	79.342	-159.7994
177.500000	79.263	-160.5295
180.000000	79.185	-161.2010
182.500000	79.120	-161.7759
185.000000	79.059	-162.2833
187.500000	78.994	-162.6910
190.000000	78.932	-163.0096
192.500000	78.876	-163.2608
195.000000	78.827	-163.4753
197.500000	78.787	-163.6998
200.000000	78.757	-163.9522
203.000000	78.736	-164.2736
206.000000	78.724	-164.6011
209.000000	78.713	-164.9619
212.000000	78.708	-165.3553
214.000000	78.708	-165.6431
218.000000	78.698	-166.3097
220.000000	78.684	-166.6741
224.000000	78.645	-167.3757
227.000000	78.615	-167.8438
230.000000	78.585	-168.3060
233.000000	78.550	-168.7658
236.000000	78.513	-169.2067
240.000000	78.467	-169.7720
243.000000	78.430	-170.1660
247.000000	78.375	-170.6677
250.000000	78.333	-171.0116
254.000000	78.285	-171.4256
258.000000	78.238	-171.8391
262.000000	78.187	-172.2580
265.000000	78.144	-172.5472
269.000000	78.086	-172.9115
272.000000	78.045	-173.1837
276.000000	77.993	-173.5431
280.000000	77.941	-173.8716
285.000000	77.868	-174.2076
290.000000	77.793	-174.5181
295.000000	77.728	-174.8021
300.000000	77.673	-175.0771
304.000000	77.628	-175.2807
307.000000	77.593	-175.4183
311.000000	77.546	-175.5950
315.000000	77.497	-175.7646
320.000000	77.435	-175.9639
325.000000	77.372	-176.1407
330.000000	77.313	-176.2769
335.000000	77.254	-176.4053
340.000000	77.196	-176.5556
345.000000	77.140	-176.6973
350.000000	77.082	-176.8116
355.000000	77.021	-176.8510
360.000000	76.961	-176.8159
365.000000	76.914	-176.7802
370.000000	76.877	-176.7576
375.000000	76.836	-176.7555
382.000000	76.770	-176.7296
387.000000	76.729	-176.6725
395.000000	76.670	-176.6263
400.000000	76.635	-176.6111
406.000000	76.593	-176.5815
412.000000	76.555	-176.5420
418.000000	76.515	-176.4885
425.000000	76.472	-176.4346
431.000000	76.432	-176.3931
437.000000	76.390	-176.3271
444.000000	76.344	-176.2271
450.000000	76.309	-176.1548
455.000000	76.281	-176.0939
462.000000	76.240	-175.9999
468.000000	76.201	-175.9253
475.000000	76.157	-175.8138
482.000000	76.118	-175.6694
487.000000	76.094	-175.5688
494.000000	76.060	-175.4334
500.000000	76.029	-175.2985
508.000000	75.984	-175.0629
515.000000	75.951	-174.8725
522.000000	75.923	-174.7255
530.000000	75.888	-174.5515
538.000000	75.848	-174.3468
545.000000	75.815	-174.1729
552.000000	75.788	-173.9913
560.000000	75.759	-173.7716
570.000000	75.725	-173.4742
580.000000	75.692	-173.1561
590.000000	75.659	-172.8478
600.000000	75.624	-172.4934
608.000000	75.599	-172.2003
615.000000	75.579	-171.9532
622.000000	75.560	-171.6889
630.000000	75.536	-171.3874
640.000000	75.505	-171.0408
650.000000	75.481	-170.6633
660.000000	75.468	-170.2575
670.000000	75.455	-169.8611
680.000000	75.440	-169.4456
690.000000	75.433	-169.0153
700.000000	75.427	-168.6144
710.000000	75.419	-168.2175
720.000000	75.418	-167.8594
730.000000	75.414	-167.5181
740.000000	75.409	-167.1282
750.000000	75.409	-166.7169
762.000000	75.415	-166.2386
775.000000	75.425	-165.7551
788.000000	75.435	-165.2512
800.000000	75.447	-164.8064
812.000000	75.463	-164.4001
825.000000	75.484	-163.9926
838.000000	75.502	-163.5895
850.000000	75.514	-163.2207
862.000000	75.524	-162.9119
875.000000	75.536	-162.6224
885.000000	75.546	-162.3590
900.000000	75.551	-161.8448
912.000000	75.554	-161.4409
925.000000	75.557	-161.0510
938.000000	75.558	-160.6260
950.000000	75.560	-160.1913
962.000000	75.565	-159.7254
975.000000	75.573	-159.2010
988.000000	75.585	-158.6793
1000.000000	75.599	-158.2028
1015.000000	75.619	-157.6227
1030.000000	75.640	-157.0167
1044.000000	75.660	-156.4091
1060.000000	75.691	-155.6853
1075.000000	75.730	-155.0223
1090.000000	75.773	-154.3747
1106.000000	75.825	-153.7042
1120.000000	75.874	-153.1381
1138.000000	75.936	-152.4237
1150.000000	75.979	-151.9521
1172.000000	76.064	-151.1300
1180.000000	76.094	-150.8466
1206.000000	76.194	-149.9301
1220.000000	76.245	-149.4583
1241.000000	76.319	-148.6537
1250.000000	76.356	-148.3022
1265.000000	76.419	-147.7544
1280.000000	76.480	-147.2325
1315.000000	76.631	-145.9143
1320.000000	76.655	-145.7280
1340.000000	76.750	-144.9985
1360.000000	76.851	-144.2154
1380.000000	76.968	-143.4436
1400.000000	77.097	-142.7538
1430.000000	77.281	-141.8796
1450.000000	77.397	-141.2900
1475.000000	77.540	-140.5710
1500.000000	77.676	-139.7749
1525.000000	77.826	-138.8881
1550.000000	77.992	-137.9487
1575.000000	78.175	-136.9337
1600.000000	78.402	-135.8661
1625.000000	78.677	-135.0054
1650.000000	78.982	-134.4949
1675.000000	79.269	-134.4039
1700.000000	79.513	-134.4457
1725.000000	79.749	-134.4860
1750.000000	79.974	-134.6642
1775.000000	80.176	-134.9030
1800.000000	80.346	-135.1120
1825.000000	80.509	-135.1161
1850.000000	80.688	-135.0264
1875.000000	80.885	-134.9381
1900.000000	81.087	-134.8899
1925.000000	81.300	-134.8466
1950.000000	81.528	-134.8566
1975.000000	81.774	-134.9532
2000.000000	82.034	-135.2568
2030.000000	82.334	-135.9276
2060.000000	82.601	-136.8369
2090.000000	82.840	-137.7715
2120.000000	83.064	-138.8129
2140.000000	83.193	-139.5266
2180.000000	83.434	-140.8853
2200.000000	83.544	-141.5220
2240.000000	83.762	-142.7841
2270.000000	83.903	-143.7203
2300.000000	84.048	-144.5566
2330.000000	84.201	-145.4142
