* Measurement data measured by REW V5.20.13
* Source: C:\Users\starf\Downloads\Koss-Sporta-Pro-Ted_L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 12, 2023 5:30:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\starf\Downloads\Koss-Sporta-Pro-Ted_L.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: Koss-Sporta-Pro-Ted_L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.534	-46.9005
20.299999	80.699	-47.3839
20.600000	80.917	-48.1057
20.900000	81.131	-48.9394
21.200001	81.330	-49.8302
21.400000	81.452	-50.4228
21.799999	81.679	-51.5309
22.000000	81.789	-52.0250
22.400000	82.013	-52.9077
22.700001	82.191	-53.5397
23.000000	82.377	-54.2089
23.299999	82.561	-54.9523
23.600000	82.733	-55.7630
24.000000	82.936	-56.8557
24.299999	83.069	-57.5917
24.700001	83.237	-58.3776
25.000000	83.371	-58.8305
25.400000	83.572	-59.3482
25.799999	83.795	-59.9103
26.200001	84.025	-60.5984
26.500000	84.191	-61.1877
26.900000	84.398	-62.0106
27.200001	84.546	-62.6182
27.600000	84.738	-63.4020
28.000000	84.927	-64.1794
28.500000	85.156	-65.1777
29.000000	85.370	-66.1838
29.500000	85.571	-67.1311
30.000000	85.772	-68.0000
30.400000	85.937	-68.6791
30.700001	86.063	-69.2097
31.100000	86.229	-69.9644
31.500000	86.386	-70.7622
32.000000	86.567	-71.7638
32.500000	86.737	-72.7081
33.000000	86.904	-73.5814
33.500000	87.075	-74.4232
34.000000	87.250	-75.2832
34.500000	87.421	-76.1774
35.000000	87.586	-77.0849
35.500000	87.745	-77.9775
36.000000	87.900	-78.8464
36.500000	88.055	-79.7030
37.000000	88.207	-80.5619
37.500000	88.356	-81.4265
38.200001	88.557	-82.6287
38.700001	88.695	-83.4663
39.500000	88.913	-84.7762
40.000000	89.046	-85.6009
40.599998	89.199	-86.6096
41.200001	89.341	-87.6101
41.799999	89.476	-88.5666
42.500000	89.634	-89.6413
43.099998	89.771	-90.5757
43.700001	89.902	-91.5340
44.400002	90.048	-92.6484
45.000000	90.169	-93.5870
45.500000	90.270	-94.3649
46.200001	90.408	-95.4537
46.799999	90.524	-96.3826
47.500000	90.656	-97.4631
48.200001	90.782	-98.5358
48.700001	90.869	-99.2867
49.400002	90.988	-100.3181
50.000000	91.086	-101.1998
50.799999	91.206	-102.3599
51.500000	91.305	-103.3208
52.200001	91.404	-104.2493
53.000000	91.514	-105.3337
53.799999	91.611	-106.4146
54.500000	91.690	-107.3003
55.200001	91.770	-108.1428
56.000000	91.868	-109.1061
57.000000	91.989	-110.3689
58.000000	92.092	-111.6718
59.000000	92.183	-112.8224
60.000000	92.297	-113.8707
60.799999	92.398	-114.8228
61.500000	92.475	-115.7261
62.200001	92.543	-116.6179
63.000000	92.615	-117.6016
64.000000	92.699	-118.8045
65.000000	92.776	-119.9596
66.000000	92.850	-121.0628
67.000000	92.921	-122.1326
68.000000	92.990	-123.1752
69.000000	93.056	-124.1950
70.000000	93.118	-125.2024
71.000000	93.176	-126.1994
72.000000	93.229	-127.1789
73.000000	93.279	-128.1399
74.000000	93.327	-129.0898
75.000000	93.373	-130.0279
76.199997	93.426	-131.1303
77.500000	93.483	-132.3090
78.800003	93.538	-133.4714
80.000000	93.587	-134.5247
81.199997	93.633	-135.5788
82.500000	93.677	-136.7358
83.800003	93.710	-137.9054
85.000000	93.727	-138.9702
86.199997	93.732	-139.9928
87.500000	93.728	-141.0394
88.500000	93.720	-141.7956
90.000000	93.703	-142.8429
91.199997	93.687	-143.6005
92.500000	93.670	-144.3364
93.800003	93.659	-144.9787
95.000000	93.658	-145.5010
96.199997	93.672	-146.0007
97.500000	93.699	-146.5767
98.800003	93.730	-147.2227
100.000000	93.757	-147.8764
101.500000	93.779	-148.7275
103.000000	93.791	-149.5724
104.400002	93.797	-150.3455
106.000000	93.799	-151.2183
107.500000	93.798	-152.0281
109.000000	93.795	-152.8273
110.599998	93.786	-153.6630
112.000000	93.772	-154.3738
113.800003	93.740	-155.2403
115.000000	93.712	-155.7747
117.199997	93.654	-156.6552
118.000000	93.632	-156.9357
120.599998	93.571	-157.6609
122.000000	93.556	-157.9511
124.099998	93.553	-158.3356
125.000000	93.557	-158.5015
126.500000	93.569	-158.7986
128.000000	93.586	-159.1401
131.500000	93.637	-160.1018
132.000000	93.645	-160.2542
134.000000	93.673	-160.9072
136.000000	93.696	-161.6321
138.000000	93.712	-162.4311
140.000000	93.718	-163.2944
143.000000	93.702	-164.6467
145.000000	93.665	-165.5104
147.500000	93.588	-166.4325
150.000000	93.494	-167.0942
152.500000	93.411	-167.4883
155.000000	93.361	-167.7227
157.500000	93.340	-167.9452
160.000000	93.336	-168.2487
162.500000	93.336	-168.6450
165.000000	93.336	-169.1082
167.500000	93.333	-169.6143
170.000000	93.328	-170.1440
172.500000	93.320	-170.6813
175.000000	93.313	-171.2135
177.500000	93.306	-171.7400
180.000000	93.298	-172.2768
182.500000	93.285	-172.8391
185.000000	93.270	-173.4170
187.500000	93.256	-174.0002
190.000000	93.243	-174.5953
192.500000	93.229	-175.2231
195.000000	93.209	-175.9072
197.500000	93.180	-176.6518
200.000000	93.138	-177.4418
203.000000	93.064	-178.4293
206.000000	92.952	-179.4051
209.000000	92.804	179.7733
212.000000	92.629	179.2475
214.000000	92.507	179.1075
218.000000	92.280	179.2922
220.000000	92.190	179.5474
224.000000	92.073	-179.8253
227.000000	92.031	-179.4070
230.000000	92.016	-179.1053
233.000000	92.013	-178.9411
236.000000	92.014	-178.9016
240.000000	92.011	-178.9657
243.000000	92.003	-179.0531
247.000000	91.986	-179.2099
250.000000	91.970	-179.3471
254.000000	91.944	-179.5382
258.000000	91.913	-179.7422
262.000000	91.881	-179.9490
265.000000	91.856	179.9025
269.000000	91.822	179.7085
272.000000	91.796	179.5654
276.000000	91.760	179.3870
280.000000	91.722	179.2239
285.000000	91.671	179.0280
290.000000	91.617	178.8424
295.000000	91.562	178.6883
300.000000	91.507	178.5656
304.000000	91.462	178.4834
307.000000	91.429	178.4321
311.000000	91.385	178.3752
315.000000	91.342	178.3274
320.000000	91.289	178.2845
325.000000	91.237	178.2558
330.000000	91.187	178.2359
335.000000	91.136	178.2458
340.000000	91.084	178.2919
345.000000	91.037	178.3612
350.000000	90.997	178.4216
355.000000	90.957	178.4388
360.000000	90.906	178.4409
365.000000	90.845	178.5272
370.000000	90.787	178.7278
375.000000	90.746	178.9605
382.000000	90.712	179.2195
387.000000	90.692	179.3588
395.000000	90.653	179.5753
400.000000	90.627	179.7313
406.000000	90.597	179.9215
412.000000	90.569	-179.9061
418.000000	90.542	-179.7401
425.000000	90.514	-179.5298
431.000000	90.492	-179.3409
437.000000	90.473	-179.1566
444.000000	90.451	-178.9500
450.000000	90.433	-178.7791
455.000000	90.420	-178.6372
462.000000	90.402	-178.4332
468.000000	90.390	-178.2600
475.000000	90.376	-178.0658
482.000000	90.362	-177.8718
487.000000	90.352	-177.7294
494.000000	90.340	-177.5316
500.000000	90.331	-177.3767
508.000000	90.319	-177.2026
515.000000	90.307	-177.0692
522.000000	90.291	-176.9269
530.000000	90.269	-176.7244
538.000000	90.249	-176.4729
545.000000	90.238	-176.2378
552.000000	90.231	-176.0186
