* Measurement data measured by REW V5.20.13
* Source: C:\Users\starf\Downloads\Koss-Sporta-Pro-Ted_R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 12, 2023 5:29:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\starf\Downloads\Koss-Sporta-Pro-Ted_R.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: Koss-Sporta-Pro-Ted_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.403	-34.2460
20.299999	76.394	-33.2101
20.600000	76.471	-31.4841
20.900000	76.687	-29.5635
21.200001	77.030	-27.9435
21.400000	77.299	-27.2292
21.799999	77.849	-26.7531
22.000000	78.096	-26.9241
22.400000	78.494	-27.7361
22.700001	78.716	-28.3555
23.000000	78.904	-28.7325
23.299999	79.104	-28.8355
23.600000	79.351	-28.8385
24.000000	79.760	-29.1286
24.299999	80.091	-29.9004
24.700001	80.487	-31.8265
25.000000	80.696	-33.7550
25.400000	80.826	-36.4031
25.799999	80.827	-38.3887
26.200001	80.810	-39.2996
26.500000	80.867	-39.4160
26.900000	81.085	-39.4121
27.200001	81.328	-39.7520
27.600000	81.665	-40.9440
28.000000	81.925	-42.6783
28.500000	82.129	-44.6165
29.000000	82.337	-45.6109
29.500000	82.675	-46.2262
30.000000	83.085	-47.4936
30.400000	83.353	-49.0921
30.700001	83.485	-50.3367
31.100000	83.594	-51.5947
31.500000	83.701	-52.1857
32.000000	83.929	-52.4062
32.500000	84.249	-52.8902
33.000000	84.548	-54.0189
33.500000	84.758	-55.3771
34.000000	84.912	-56.4613
34.500000	85.069	-57.2537
35.000000	85.241	-58.0055
35.500000	85.410	-58.7940
36.000000	85.577	-59.5198
36.500000	85.766	-60.2170
37.000000	85.974	-61.0933
37.500000	86.162	-62.2236
38.200001	86.356	-63.8091
38.700001	86.486	-64.6394
39.500000	86.757	-65.7227
40.000000	86.945	-66.5939
40.599998	87.144	-67.8254
41.200001	87.308	-68.9809
41.799999	87.464	-69.9639
42.500000	87.650	-71.0090
43.099998	87.809	-71.8748
43.700001	87.968	-72.7142
44.400002	88.161	-73.7129
45.000000	88.325	-74.6321
45.500000	88.458	-75.4324
46.200001	88.643	-76.5842
46.799999	88.799	-77.6299
47.500000	88.967	-78.9128
48.200001	89.115	-80.1439
48.700001	89.216	-80.9308
49.400002	89.365	-81.9255
50.000000	89.499	-82.7348
50.799999	89.684	-83.7865
51.500000	89.851	-84.7344
52.200001	90.011	-85.7954
53.000000	90.159	-87.0841
53.799999	90.280	-88.2714
54.500000	90.387	-89.2434
55.200001	90.499	-90.2669
56.000000	90.627	-91.5480
57.000000	90.777	-93.3711
58.000000	90.870	-95.3365
59.000000	90.922	-96.7678
60.000000	91.056	-97.6461
60.799999	91.224	-98.5207
61.500000	91.363	-99.5090
62.200001	91.477	-100.5166
63.000000	91.591	-101.5709
64.000000	91.724	-102.8231
65.000000	91.841	-104.0606
66.000000	91.942	-105.3186
67.000000	92.021	-106.5946
68.000000	92.087	-107.7323
69.000000	92.175	-108.7945
70.000000	92.276	-109.9892
71.000000	92.361	-111.2444
72.000000	92.437	-112.4265
73.000000	92.515	-113.5759
74.000000	92.585	-114.7268
75.000000	92.647	-115.8426
76.199997	92.717	-117.1433
77.500000	92.786	-118.5371
78.800003	92.849	-119.8921
80.000000	92.900	-121.1238
81.199997	92.942	-122.2960
82.500000	92.991	-123.4989
83.800003	93.045	-124.7070
85.000000	93.096	-125.8568
86.199997	93.141	-127.0283
87.500000	93.180	-128.2533
88.500000	93.208	-129.1607
90.000000	93.240	-130.5368
91.199997	93.245	-131.6167
92.500000	93.234	-132.6884
93.800003	93.221	-133.6969
95.000000	93.202	-134.6035
96.199997	93.178	-135.4215
97.500000	93.158	-136.1556
98.800003	93.159	-136.7706
100.000000	93.179	-137.3053
101.500000	93.219	-137.9951
103.000000	93.271	-138.7460
104.400002	93.322	-139.5567
106.000000	93.372	-140.6557
107.500000	93.396	-141.8185
109.000000	93.392	-143.0004
110.599998	93.361	-144.1650
112.000000	93.315	-145.0614
113.800003	93.235	-146.0221
115.000000	93.178	-146.5464
117.199997	93.088	-147.3853
118.000000	93.061	-147.6655
120.599998	93.017	-148.3984
122.000000	93.033	-148.7277
124.099998	93.083	-149.2894
125.000000	93.100	-149.5610
126.500000	93.117	-150.0381
128.000000	93.125	-150.5382
131.500000	93.138	-151.7683
132.000000	93.141	-151.9516
134.000000	93.156	-152.7067
136.000000	93.160	-153.4676
138.000000	93.150	-154.1881
140.000000	93.133	-154.8472
143.000000	93.110	-155.7457
145.000000	93.095	-156.3223
147.500000	93.070	-157.0538
150.000000	93.043	-157.8066
152.500000	93.019	-158.5552
155.000000	93.001	-159.2600
157.500000	92.987	-159.9086
160.000000	92.971	-160.5347
162.500000	92.946	-161.1682
165.000000	92.906	-161.7967
167.500000	92.857	-162.3698
170.000000	92.812	-162.8775
172.500000	92.777	-163.3651
175.000000	92.747	-163.8270
177.500000	92.721	-164.2461
180.000000	92.697	-164.6379
182.500000	92.669	-165.0007
185.000000	92.632	-165.3229
187.500000	92.592	-165.6313
190.000000	92.558	-165.9554
192.500000	92.532	-166.2766
195.000000	92.507	-166.5542
197.500000	92.479	-166.7849
200.000000	92.456	-167.0001
203.000000	92.446	-167.2280
206.000000	92.453	-167.4172
209.000000	92.450	-167.6839
212.000000	92.428	-168.0413
214.000000	92.418	-168.2704
218.000000	92.426	-168.6823
220.000000	92.436	-168.9145
224.000000	92.445	-169.5209
227.000000	92.437	-170.0739
230.000000	92.423	-170.6424
233.000000	92.406	-171.1807
236.000000	92.385	-171.6797
240.000000	92.341	-172.2880
243.000000	92.302	-172.7180
247.000000	92.243	-173.2852
250.000000	92.193	-173.6912
254.000000	92.123	-174.1664
258.000000	92.053	-174.5681
262.000000	91.976	-174.9479
265.000000	91.920	-175.2025
269.000000	91.854	-175.4626
272.000000	91.804	-175.6164
276.000000	91.733	-175.8097
280.000000	91.665	-175.9727
285.000000	91.586	-176.0830
290.000000	91.506	-176.1397
295.000000	91.432	-176.1824
300.000000	91.362	-176.2040
304.000000	91.305	-176.2060
307.000000	91.265	-176.1991
311.000000	91.219	-176.1682
315.000000	91.186	-176.1033
320.000000	91.151	-176.0262
325.000000	91.109	-176.0196
330.000000	91.064	-176.0058
335.000000	91.031	-175.9424
340.000000	91.006	-175.8788
345.000000	90.979	-175.8374
350.000000	90.950	-175.8222
355.000000	90.919	-175.8220
360.000000	90.888	-175.8164
365.000000	90.859	-175.8012
370.000000	90.831	-175.7914
375.000000	90.800	-175.7810
382.000000	90.754	-175.7493
387.000000	90.721	-175.7110
395.000000	90.671	-175.6079
400.000000	90.643	-175.5225
406.000000	90.613	-175.4376
412.000000	90.584	-175.3788
418.000000	90.552	-175.3329
425.000000	90.508	-175.2506
431.000000	90.463	-175.1169
437.000000	90.418	-174.9270
444.000000	90.375	-174.6901
450.000000	90.343	-174.4939
455.000000	90.321	-174.3238
462.000000	90.297	-174.0746
468.000000	90.280	-173.8670
475.000000	90.257	-173.6383
482.000000	90.234	-173.4133
487.000000	90.220	-173.2601
494.000000	90.201	-173.0692
500.000000	90.186	-172.9102
508.000000	90.165	-172.6648
515.000000	90.145	-172.4101
522.000000	90.127	-172.1303
530.000000	90.112	-171.8036
538.000000	90.104	-171.5028
545.000000	90.100	-171.2700
552.000000	90.096	-171.0523
560.000000	90.092	-170.8089
570.000000	90.087	-170.5149
580.000000	90.080	-170.2449
590.000000	90.073	-169.9899
600.000000	90.063	-169.7383
608.000000	90.052	-169.5218
615.000000	90.039	-169.3014
622.000000	90.026	-169.0455
630.000000	90.012	-168.7158
640.000000	90.006	-168.2751
650.000000	90.012	-167.8534
660.000000	90.023	-167.4821
670.000000	90.034	-167.1406
680.000000	90.043	-166.8066
690.000000	90.052	-166.4765
700.000000	90.062	-166.1441
710.000000	90.072	-165.8094
720.000000	90.083	-165.4820
730.000000	90.097	-165.1609
740.000000	90.112	-164.8488
750.000000	90.127	-164.5521
762.000000	90.144	-164.2025
775.000000	90.160	-163.7981
788.000000	90.184	-163.3846
800.000000	90.210	-163.0309
812.000000	90.235	-162.7012
825.000000	90.260	-162.3589
838.000000	90.282	-162.0216
850.000000	90.301	-161.7123
