* Measurement data measured by REW V5.20.13
* Source: C:\Users\starf\Downloads\KossxDropPortaProXTed L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 12, 2023 5:29:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\starf\Downloads\KossxDropPortaProXTed L.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: KossxDropPortaProXTed L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.571	-23.6460
20.299999	74.730	-24.3876
20.600000	74.933	-25.2870
20.900000	75.139	-26.0842
21.200001	75.352	-26.8017
21.400000	75.496	-27.2735
21.799999	75.773	-28.2247
22.000000	75.898	-28.6659
22.400000	76.127	-29.3182
22.700001	76.304	-29.4815
23.000000	76.519	-29.3788
23.299999	76.796	-29.1952
23.600000	77.134	-29.2169
24.000000	77.622	-29.9721
24.299999	77.952	-31.1766
24.700001	78.273	-33.3671
25.000000	78.407	-35.0527
25.400000	78.473	-36.8170
25.799999	78.496	-37.7307
26.200001	78.555	-37.9425
26.500000	78.652	-37.9208
26.900000	78.839	-38.0009
27.200001	78.994	-38.2467
27.600000	79.193	-38.7677
28.000000	79.377	-39.3573
28.500000	79.603	-40.0829
29.000000	79.838	-40.8806
29.500000	80.066	-41.8292
30.000000	80.271	-42.8279
30.400000	80.423	-43.5560
30.700001	80.537	-44.0398
31.100000	80.697	-44.6304
31.500000	80.866	-45.2079
32.000000	81.085	-45.9490
32.500000	81.307	-46.7066
33.000000	81.532	-47.4833
33.500000	81.758	-48.3032
34.000000	81.976	-49.1587
34.500000	82.184	-49.9945
35.000000	82.390	-50.7729
35.500000	82.601	-51.5278
36.000000	82.813	-52.3215
36.500000	83.016	-53.1587
37.000000	83.206	-53.9776
37.500000	83.390	-54.7313
38.200001	83.649	-55.7250
38.700001	83.828	-56.4277
39.500000	84.104	-57.4380
40.000000	84.289	-57.9678
40.599998	84.539	-58.6834
41.200001	84.789	-59.7088
41.799999	84.994	-60.9773
42.500000	85.169	-62.3722
43.099998	85.304	-63.3184
43.700001	85.452	-64.1355
44.400002	85.640	-65.1091
45.000000	85.801	-65.9851
45.500000	85.935	-66.7322
46.200001	86.120	-67.8036
46.799999	86.272	-68.7342
47.500000	86.444	-69.7938
48.200001	86.614	-70.8142
48.700001	86.736	-71.5357
49.400002	86.903	-72.5496
50.000000	87.041	-73.4096
50.799999	87.221	-74.4983
51.500000	87.383	-75.3854
52.200001	87.555	-76.2682
53.000000	87.754	-77.3422
53.799999	87.944	-78.4554
54.500000	88.101	-79.4100
55.200001	88.252	-80.3319
56.000000	88.418	-81.3276
57.000000	88.627	-82.4791
58.000000	88.853	-83.6852
59.000000	89.075	-85.1841
60.000000	89.251	-86.9229
60.799999	89.358	-88.2683
61.500000	89.450	-89.3467
62.200001	89.548	-90.3884
63.000000	89.666	-91.5979
64.000000	89.813	-93.1365
65.000000	89.953	-94.6671
66.000000	90.086	-96.1991
67.000000	90.200	-97.7519
68.000000	90.289	-99.2880
69.000000	90.352	-100.7535
70.000000	90.396	-102.1003
71.000000	90.429	-103.2645
72.000000	90.472	-104.2194
73.000000	90.540	-105.0450
74.000000	90.633	-105.8803
75.000000	90.733	-106.7958
76.199997	90.846	-107.9929
77.500000	90.949	-109.3812
78.800003	91.024	-110.7905
80.000000	91.073	-112.0322
81.199997	91.115	-113.1494
82.500000	91.165	-114.1973
83.800003	91.231	-115.1305
85.000000	91.302	-115.9550
86.199997	91.381	-116.7835
87.500000	91.469	-117.7125
88.500000	91.538	-118.4654
90.000000	91.639	-119.6607
91.199997	91.716	-120.6449
92.500000	91.797	-121.7119
93.800003	91.877	-122.7897
95.000000	91.947	-123.8068
96.199997	92.010	-124.8434
97.500000	92.068	-125.9780
