* Measurement data measured by REW V5.20.13
* Source: C:\Users\starf\Downloads\KossxDropPortaProXTed R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 12, 2023 5:29:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\starf\Downloads\KossxDropPortaProXTed R.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: KossxDropPortaProXTed R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.349	-37.7436
20.299999	79.546	-37.8276
20.600000	79.781	-38.1393
20.900000	79.985	-38.5673
21.200001	80.172	-38.9402
21.400000	80.306	-39.1620
21.799999	80.612	-39.7938
22.000000	80.775	-40.3750
22.400000	81.062	-42.2745
22.700001	81.180	-44.1767
23.000000	81.184	-46.0501
23.299999	81.102	-47.3834
23.600000	81.009	-47.8991
24.000000	81.014	-47.6099
24.299999	81.178	-47.3458
24.700001	81.547	-47.9142
25.000000	81.823	-49.2872
25.400000	82.076	-51.9317
25.799999	82.198	-54.4953
26.200001	82.294	-56.3950
26.500000	82.417	-57.5390
26.900000	82.658	-59.2341
27.200001	82.845	-60.8852
27.600000	83.025	-63.4291
28.000000	83.106	-65.7348
28.500000	83.157	-67.6364
29.000000	83.258	-68.6859
29.500000	83.383	-69.2719
30.000000	83.517	-68.9412
30.400000	83.747	-67.7597
30.700001	84.060	-66.7104
31.100000	84.622	-66.0482
31.500000	85.172	-66.9624
32.000000	85.578	-69.7319
32.500000	85.632	-71.9780
33.000000	85.613	-71.9986
33.500000	85.852	-70.7945
34.000000	86.302	-70.7358
34.500000	86.640	-72.5956
35.000000	86.701	-74.9052
35.500000	86.608	-75.9611
36.000000	86.619	-75.7113
36.500000	86.844	-75.4872
37.000000	87.160	-76.4397
37.500000	87.387	-78.5519
38.200001	87.436	-81.7103
38.700001	87.379	-82.7715
39.500000	87.530	-82.3052
40.000000	87.891	-82.2739
40.599998	88.367	-84.0410
41.200001	88.575	-87.0541
41.799999	88.507	-88.9938
42.500000	88.465	-88.6388
43.099998	88.707	-87.8394
43.700001	89.055	-88.3268
44.400002	89.299	-90.3326
45.000000	89.332	-92.0154
45.500000	89.302	-92.8908
46.200001	89.293	-93.4001
46.799999	89.379	-93.6279
47.500000	89.572	-94.3373
48.200001	89.761	-95.7893
48.700001	89.847	-96.9849
49.400002	89.925	-98.3610
50.000000	90.015	-99.2294
50.799999	90.180	-100.4102
51.500000	90.306	-101.6031
52.200001	90.393	-102.7003
53.000000	90.474	-103.6997
53.799999	90.558	-104.5741
54.500000	90.631	-105.3442
55.200001	90.704	-106.1559
56.000000	90.786	-107.1345
57.000000	90.898	-108.3897
58.000000	91.039	-109.7006
59.000000	91.200	-111.2324
60.000000	91.326	-112.9175
60.799999	91.397	-114.0932
61.500000	91.461	-114.9408
62.200001	91.536	-115.7629
63.000000	91.614	-116.7911
64.000000	91.672	-118.0601
65.000000	91.717	-119.1100
66.000000	91.784	-120.1241
67.000000	91.852	-121.2920
68.000000	91.896	-122.4661
69.000000	91.936	-123.4854
70.000000	91.995	-124.4213
71.000000	92.067	-125.4105
72.000000	92.132	-126.4642
73.000000	92.184	-127.4956
74.000000	92.229	-128.4402
75.000000	92.276	-129.3260
76.199997	92.339	-130.4104
77.500000	92.404	-131.7023
78.800003	92.458	-133.1377
80.000000	92.493	-134.5154
81.199997	92.521	-135.8314
82.500000	92.555	-137.1210
83.800003	92.588	-138.2781
85.000000	92.610	-139.2609
86.199997	92.614	-140.2495
87.500000	92.583	-141.4295
88.500000	92.526	-142.4123
90.000000	92.387	-143.7878
91.199997	92.267	-144.5228
92.500000	92.189	-144.8879
93.800003	92.190	-145.0894
95.000000	92.234	-145.3200
96.199997	92.290	-145.6232
97.500000	92.352	-146.0328
98.800003	92.413	-146.5673
100.000000	92.462	-147.1782
101.500000	92.512	-148.0239
103.000000	92.551	-148.9084
104.400002	92.570	-149.7244
106.000000	92.572	-150.6596
107.500000	92.548	-151.5771
109.000000	92.502	-152.4857
110.599998	92.439	-153.3876
112.000000	92.386	-154.0426
113.800003	92.347	-154.6433
115.000000	92.351	-154.9478
117.199997	92.402	-155.4788
118.000000	92.424	-155.7025
120.599998	92.471	-156.6329
122.000000	92.468	-157.2206
124.099998	92.453	-158.1755
125.000000	92.450	-158.6223
126.500000	92.445	-159.3987
128.000000	92.428	-160.1368
131.500000	92.324	-161.5251
132.000000	92.305	-161.6906
134.000000	92.234	-162.2598
136.000000	92.188	-162.6907
138.000000	92.168	-163.0367
140.000000	92.151	-163.3535
143.000000	92.129	-163.8460
145.000000	92.130	-164.3074
147.500000	92.128	-165.0033
150.000000	92.100	-165.5939
152.500000	92.074	-166.0501
155.000000	92.070	-166.5180
157.500000	92.073	-167.0436
160.000000	92.064	-167.5839
162.500000	92.045	-168.1519
165.000000	92.029	-168.7575
167.500000	92.015	-169.3441
170.000000	91.992	-169.8328
172.500000	91.963	-170.2176
175.000000	91.943	-170.5756
177.500000	91.940	-170.9350
180.000000	91.947	-171.2576
182.500000	91.953	-171.5538
185.000000	91.950	-171.8941
187.500000	91.939	-172.3405
190.000000	91.925	-172.9146
192.500000	91.916	-173.6344
195.000000	91.920	-174.5194
197.500000	91.934	-175.5446
200.000000	91.941	-176.6513
203.000000	91.905	-178.0339
206.000000	91.802	-179.4535
209.000000	91.630	179.2780
212.000000	91.395	178.5209
214.000000	91.215	178.3558
218.000000	90.867	178.5581
220.000000	90.737	178.8263
224.000000	90.583	179.5548
227.000000	90.524	-179.9206
230.000000	90.490	-179.4953
233.000000	90.469	-179.1408
236.000000	90.450	-178.8656
240.000000	90.429	-178.6688
243.000000	90.415	-178.6122
247.000000	90.388	-178.5903
250.000000	90.364	-178.5966
254.000000	90.336	-178.6117
258.000000	90.306	-178.6405
262.000000	90.269	-178.6942
265.000000	90.239	-178.7446
269.000000	90.206	-178.8042
272.000000	90.185	-178.8364
276.000000	90.158	-178.8757
280.000000	90.129	-178.9156
285.000000	90.091	-178.9599
290.000000	90.051	-178.9934
295.000000	90.003	-178.9855
300.000000	89.956	-178.9565
304.000000	89.920	-178.9515
307.000000	89.895	-178.9619
311.000000	89.865	-178.9800
315.000000	89.843	-178.9796
320.000000	89.816	-178.9583
325.000000	89.775	-178.9439
330.000000	89.725	-178.9101
335.000000	89.681	-178.8283
340.000000	89.651	-178.7274
345.000000	89.637	-178.6584
350.000000	89.627	-178.6228
355.000000	89.607	-178.5817
360.000000	89.579	-178.5421
365.000000	89.548	-178.5222
370.000000	89.519	-178.4673
375.000000	89.497	-178.4052
382.000000	89.472	-178.4157
387.000000	89.457	-178.4197
395.000000	89.436	-178.3685
400.000000	89.422	-178.4154
406.000000	89.397	-178.5444
412.000000	89.357	-178.6024
