* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:24:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.254	-30.0521
20.299999	90.390	-32.2776
20.600000	90.516	-34.3441
20.900000	90.644	-36.2942
21.200001	90.778	-38.1893
21.400000	90.869	-39.4453
21.799999	91.051	-41.9508
22.000000	91.142	-43.2025
22.400000	91.319	-45.7001
22.700001	91.448	-47.5742
23.000000	91.572	-49.4614
23.299999	91.686	-51.3613
23.600000	91.785	-53.2510
24.000000	91.889	-55.6877
24.299999	91.949	-57.3904
24.700001	92.016	-59.4430
25.000000	92.067	-60.8299
25.400000	92.142	-62.5445
25.799999	92.224	-64.2029
26.200001	92.300	-65.8505
26.500000	92.347	-67.0546
26.900000	92.393	-68.5559
27.200001	92.422	-69.5684
27.600000	92.463	-70.7648
28.000000	92.517	-71.8431
28.500000	92.601	-73.1349
29.000000	92.692	-74.3939
29.500000	92.788	-75.5356
30.000000	92.912	-76.5126
30.400000	93.050	-77.2610
30.700001	93.178	-77.8854
31.100000	93.369	-78.9031
31.500000	93.569	-80.1736
32.000000	93.803	-82.0685
32.500000	94.010	-84.1805
33.000000	94.189	-86.4274
33.500000	94.337	-88.7974
34.000000	94.439	-91.2356
34.500000	94.493	-93.5872
35.000000	94.512	-95.7048
35.500000	94.529	-97.5818
36.000000	94.557	-99.3682
36.500000	94.589	-101.2137
37.000000	94.601	-103.1358
37.500000	94.582	-105.0322
38.200001	94.518	-107.4679
38.700001	94.458	-109.0374
39.500000	94.345	-111.3102
40.000000	94.263	-112.5583
40.599998	94.160	-113.8480
41.200001	94.064	-114.9402
41.799999	93.978	-115.9058
42.500000	93.885	-116.9316
43.099998	93.809	-117.7169
43.700001	93.739	-118.4018
44.400002	93.676	-119.1239
45.000000	93.639	-119.7507
45.500000	93.613	-120.3063
46.200001	93.581	-121.1310
46.799999	93.550	-121.8588
47.500000	93.508	-122.6661
48.200001	93.465	-123.3658
48.700001	93.437	-123.8091
49.400002	93.394	-124.3591
50.000000	93.349	-124.6735
50.799999	93.303	-124.7356
51.500000	93.309	-124.6129
52.200001	93.345	-124.5586
53.000000	93.394	-124.5696
53.799999	93.457	-124.5594
54.500000	93.536	-124.6179
55.200001	93.629	-124.8278
56.000000	93.743	-125.2607
57.000000	93.892	-126.0585
58.000000	94.050	-127.1537
59.000000	94.199	-128.6514
60.000000	94.297	-130.4563
60.799999	94.334	-131.9578
61.500000	94.335	-133.2694
62.200001	94.305	-134.5393
63.000000	94.233	-135.8608
64.000000	94.100	-137.2373
65.000000	93.931	-138.2524
66.000000	93.745	-138.8438
67.000000	93.567	-139.0010
68.000000	93.418	-138.7581
69.000000	93.322	-138.2008
70.000000	93.290	-137.4867
71.000000	93.322	-136.7800
72.000000	93.405	-136.2214
73.000000	93.522	-135.8911
74.000000	93.660	-135.8174
75.000000	93.802	-136.0387
76.199997	93.954	-136.6228
77.500000	94.091	-137.4794
78.800003	94.197	-138.4712
80.000000	94.272	-139.4089
81.199997	94.332	-140.3579
82.500000	94.375	-141.4070
83.800003	94.393	-142.4368
85.000000	94.389	-143.3369
86.199997	94.368	-144.1760
87.500000	94.324	-144.9878
88.500000	94.278	-145.4900
90.000000	94.208	-145.9805
91.199997	94.169	-146.1814
92.500000	94.152	-146.3293
93.800003	94.157	-146.5178
95.000000	94.169	-146.7725
96.199997	94.179	-147.1017
97.500000	94.185	-147.5334
98.800003	94.177	-148.0270
100.000000	94.155	-148.5132
101.500000	94.098	-149.1030
103.000000	94.004	-149.5149
104.400002	93.897	-149.5605
106.000000	93.790	-149.0914
107.500000	93.753	-148.2582
109.000000	93.800	-147.3867
110.599998	93.917	-146.7760
112.000000	94.037	-146.6200
113.800003	94.172	-146.8302
115.000000	94.238	-147.1106
117.199997	94.306	-147.6185
118.000000	94.318	-147.7371
120.599998	94.346	-147.7773
122.000000	94.372	-147.6024
124.099998	94.453	-147.1992
125.000000	94.506	-147.0247
