* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:55:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Maxwell R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.579	-41.0220
20.299999	90.719	-43.1655
20.600000	90.848	-45.2532
20.900000	90.969	-47.2721
21.200001	91.088	-49.2307
21.400000	91.168	-50.5253
21.799999	91.325	-53.1329
22.000000	91.398	-54.4589
22.400000	91.521	-57.1410
22.700001	91.586	-59.1070
23.000000	91.630	-60.9384
23.299999	91.664	-62.5721
23.600000	91.703	-64.0080
24.000000	91.785	-65.7070
24.299999	91.874	-66.9562
24.700001	92.017	-68.7593
25.000000	92.122	-70.2656
25.400000	92.236	-72.4222
25.799999	92.309	-74.5726
26.200001	92.352	-76.5492
26.500000	92.379	-77.8893
26.900000	92.422	-79.5441
27.200001	92.460	-80.7579
27.600000	92.510	-82.4059
28.000000	92.542	-84.0646
28.500000	92.544	-85.9658
29.000000	92.528	-87.4455
29.500000	92.538	-88.4802
30.000000	92.609	-89.2880
30.400000	92.707	-89.9471
30.700001	92.798	-90.5016
31.100000	92.934	-91.3383
31.500000	93.082	-92.2866
32.000000	93.279	-93.6459
32.500000	93.482	-95.2512
33.000000	93.671	-97.1398
33.500000	93.829	-99.2734
34.000000	93.942	-101.5405
34.500000	94.009	-103.8098
35.000000	94.039	-105.9875
35.500000	94.043	-108.0272
36.000000	94.032	-109.9332
36.500000	94.012	-111.7360
37.000000	93.984	-113.4685
37.500000	93.947	-115.1481
38.200001	93.878	-117.4159
38.700001	93.812	-118.9657
39.500000	93.679	-121.2620
40.000000	93.583	-122.5447
40.599998	93.462	-123.9240
41.200001	93.339	-125.1482
41.799999	93.214	-126.2104
42.500000	93.071	-127.2083
43.099998	92.959	-127.8452
43.700001	92.867	-128.2798
44.400002	92.799	-128.5773
45.000000	92.786	-128.8097
45.500000	92.796	-129.1267
46.200001	92.809	-129.8214
46.799999	92.792	-130.5948
47.500000	92.710	-131.5594
48.200001	92.541	-132.1608
48.700001	92.403	-132.0513
49.400002	92.303	-131.2744
50.000000	92.342	-130.7988
50.799999	92.418	-131.1770
51.500000	92.391	-131.7773
52.200001	92.343	-131.9260
53.000000	92.361	-131.8452
53.799999	92.434	-131.9028
54.500000	92.527	-131.9894
55.200001	92.655	-132.1577
56.000000	92.825	-132.5640
57.000000	93.051	-133.3403
58.000000	93.278	-134.4822
59.000000	93.481	-136.0067
60.000000	93.649	-137.9646
60.799999	93.731	-139.8451
61.500000	93.755	-141.6001
62.200001	93.738	-143.3841
63.000000	93.665	-145.3896
64.000000	93.494	-147.6233
65.000000	93.267	-149.3508
66.000000	93.016	-150.5733
67.000000	92.756	-151.3561
68.000000	92.497	-151.7522
69.000000	92.244	-151.7769
70.000000	92.006	-151.4263
71.000000	91.803	-150.7023
72.000000	91.655	-149.6981
73.000000	91.570	-148.5472
74.000000	91.546	-147.3512
75.000000	91.580	-146.2167
76.199997	91.683	-145.0751
77.500000	91.841	-144.2217
78.800003	92.018	-143.7509
80.000000	92.190	-143.5920
81.199997	92.365	-143.7078
82.500000	92.541	-144.1282
83.800003	92.695	-144.7461
85.000000	92.821	-145.4282
86.199997	92.930	-146.1943
87.500000	93.030	-147.0984
88.500000	93.092	-147.8443
90.000000	93.153	-148.9945
91.199997	93.179	-149.8943
92.500000	93.185	-150.8377
93.800003	93.171	-151.7119
95.000000	93.145	-152.4349
96.199997	93.112	-153.0698
97.500000	93.070	-153.6480
98.800003	93.028	-154.1122
100.000000	92.993	-154.4391
101.500000	92.963	-154.7719
103.000000	92.949	-155.1138
104.400002	92.939	-155.5087
106.000000	92.912	-156.0338
107.500000	92.856	-156.5148
109.000000	92.767	-156.8262
110.599998	92.654	-156.8138
112.000000	92.564	-156.4724
113.800003	92.502	-155.6414
115.000000	92.513	-154.9590
117.199997	92.647	-153.8479
118.000000	92.724	-153.5735
120.599998	93.008	-153.3316
122.000000	93.158	-153.5805
124.099998	93.354	-154.3292
125.000000	93.424	-154.7385
126.500000	93.529	-155.4926
128.000000	93.616	-156.3221
131.500000	93.743	-158.4273
132.000000	93.751	-158.7286
134.000000	93.767	-159.9088
136.000000	93.751	-161.0177
138.000000	93.708	-161.9557
140.000000	93.655	-162.6506
143.000000	93.602	-163.3383
145.000000	93.603	-163.7797
147.500000	93.625	-164.5420
150.000000	93.633	-165.5348
152.500000	93.604	-166.5993
155.000000	93.542	-167.6116
157.500000	93.459	-168.5206
160.000000	93.365	-169.3371
162.500000	93.261	-170.0654
165.000000	93.149	-170.6816
167.500000	93.027	-171.1837
170.000000	92.901	-171.5491
172.500000	92.773	-171.7900
175.000000	92.648	-171.9025
177.500000	92.532	-171.8906
180.000000	92.430	-171.7784
182.500000	92.340	-171.6152
185.000000	92.266	-171.4478
187.500000	92.204	-171.3307
190.000000	92.143	-171.2389
192.500000	92.084	-171.1526
195.000000	92.021	-171.0618
197.500000	91.959	-170.9366
200.000000	91.900	-170.7950
203.000000	91.828	-170.6176
206.000000	91.758	-170.3965
209.000000	91.693	-170.1542
212.000000	91.626	-169.9018
214.000000	91.579	-169.7043
218.000000	91.490	-169.2424
220.000000	91.447	-168.9948
224.000000	91.357	-168.4277
227.000000	91.295	-167.8911
230.000000	91.246	-167.2752
233.000000	91.209	-166.6299
236.000000	91.181	-165.9906
240.000000	91.152	-165.1141
243.000000	91.141	-164.3978
247.000000	91.148	-163.4020
250.000000	91.170	-162.6859
254.000000	91.209	-161.7754
258.000000	91.259	-160.8819
262.000000	91.322	-160.0308
265.000000	91.378	-159.4420
269.000000	91.463	-158.7448
272.000000	91.534	-158.3005
276.000000	91.641	-157.8139
280.000000	91.765	-157.4164
285.000000	91.933	-157.0022
290.000000	92.100	-156.6870
295.000000	92.263	-156.5685
300.000000	92.430	-156.6322
304.000000	92.557	-156.7574
307.000000	92.648	-156.9136
311.000000	92.765	-157.2158
315.000000	92.874	-157.6005
320.000000	92.995	-158.1881
325.000000	93.097	-158.8630
330.000000	93.177	-159.5972
335.000000	93.237	-160.3839
340.000000	93.275	-161.2014
345.000000	93.287	-162.0155
350.000000	93.273	-162.7941
355.000000	93.235	-163.5028
360.000000	93.176	-164.0819
365.000000	93.102	-164.4891
370.000000	93.020	-164.7266
375.000000	92.936	-164.8064
382.000000	92.829	-164.6597
387.000000	92.770	-164.3897
395.000000	92.713	-163.7808
400.000000	92.700	-163.3761
406.000000	92.703	-162.9128
412.000000	92.724	-162.4834
418.000000	92.765	-162.1164
425.000000	92.827	-161.8495
431.000000	92.875	-161.7817
437.000000	92.910	-161.7918
444.000000	92.934	-161.8215
450.000000	92.943	-161.8144
