* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 4:38:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.955	160.8301
20.299999	78.244	159.3487
20.600000	78.522	157.9011
20.900000	78.794	156.4869
21.200001	79.062	155.0668
21.400000	79.238	154.0840
21.799999	79.568	151.9833
22.000000	79.713	150.8749
22.400000	79.951	148.6544
22.700001	80.087	147.1452
23.000000	80.203	145.8867
23.299999	80.327	144.9023
23.600000	80.483	144.1050
24.000000	80.760	143.0081
24.299999	81.006	141.9130
24.700001	81.333	139.9071
25.000000	81.543	138.0604
25.400000	81.752	135.4027
25.799999	81.891	132.8559
26.200001	81.997	130.5969
26.500000	82.076	129.0664
26.900000	82.189	127.1229
27.200001	82.275	125.6812
27.600000	82.380	123.7961
28.000000	82.472	122.0407
28.500000	82.591	120.1160
29.000000	82.740	118.3542
29.500000	82.907	116.5224
30.000000	83.055	114.5851
30.400000	83.147	113.0862
30.700001	83.205	112.0608
31.100000	83.281	110.8443
31.500000	83.364	109.7460
32.000000	83.479	108.4267
32.500000	83.596	107.1255
33.000000	83.711	105.8877
33.500000	83.836	104.7193
34.000000	83.978	103.5323
34.500000	84.127	102.2411
35.000000	84.270	100.8510
35.500000	84.402	99.4262
36.000000	84.526	98.0055
36.500000	84.645	96.5823
37.000000	84.755	95.1571
37.500000	84.853	93.7711
38.200001	84.981	91.9619
38.700001	85.073	90.7299
39.500000	85.214	88.7658
40.000000	85.291	87.5928
40.599998	85.389	86.2855
41.200001	85.507	84.9283
41.799999	85.623	83.3211
42.500000	85.701	81.2473
43.099998	85.720	79.6496
43.700001	85.739	78.3234
44.400002	85.786	76.8683
45.000000	85.828	75.6111
45.500000	85.864	74.6313
46.200001	85.935	73.3252
46.799999	86.010	72.0724
47.500000	86.064	70.4761
48.200001	86.086	69.0639
48.700001	86.110	68.1649
49.400002	86.152	66.7657
50.000000	86.155	65.4381
50.799999	86.107	63.9210
51.500000	86.083	62.8490
52.200001	86.082	61.6418
53.000000	86.052	60.0659
53.799999	85.986	58.6356
54.500000	85.927	57.6316
55.200001	85.894	56.8481
56.000000	85.920	55.9565
57.000000	85.964	54.0911
58.000000	85.788	52.0906
59.000000	85.488	52.1776
60.000000	85.455	53.5236
60.799999	85.557	53.7968
61.500000	85.603	53.6181
62.200001	85.626	53.5086
63.000000	85.668	53.3834
64.000000	85.726	53.0121
65.000000	85.776	52.5366
66.000000	85.825	52.0956
67.000000	85.907	51.7341
68.000000	86.009	51.1762
69.000000	86.098	50.5911
70.000000	86.194	49.9677
71.000000	86.269	49.3001
72.000000	86.347	48.7348
73.000000	86.433	48.0089
74.000000	86.493	47.2354
75.000000	86.559	46.5422
76.199997	86.641	45.5658
77.500000	86.711	44.5663
78.800003	86.797	43.5455
80.000000	86.854	42.5292
81.199997	86.902	41.6354
82.500000	86.955	40.6810
83.800003	87.001	39.7404
85.000000	87.039	38.9065
86.199997	87.079	38.0734
87.500000	87.113	37.0779
88.500000	87.122	36.3445
90.000000	87.143	35.3693
91.199997	87.167	34.5460
92.500000	87.183	33.6319
93.800003	87.190	32.7991
95.000000	87.196	32.0996
96.199997	87.204	31.4342
97.500000	87.216	30.7105
98.800003	87.227	29.9317
100.000000	87.228	29.2092
101.500000	87.224	28.3885
103.000000	87.227	27.6260
104.400002	87.232	26.8390
106.000000	87.213	25.8138
107.500000	87.167	24.9176
109.000000	87.113	24.2045
110.599998	87.062	23.7040
112.000000	87.030	23.4843
113.800003	87.008	23.3548
115.000000	87.004	23.2030
117.199997	86.991	22.4932
118.000000	86.975	22.1412
120.599998	86.942	21.5690
122.000000	87.008	21.4695
124.099998	87.118	21.0120
125.000000	87.146	20.7793
126.500000	87.172	20.3923
128.000000	87.186	19.9800
131.500000	87.240	18.9061
132.000000	87.251	18.7393
134.000000	87.284	18.0729
136.000000	87.305	17.4668
138.000000	87.320	16.8030
140.000000	87.325	16.1320
143.000000	87.344	15.2158
145.000000	87.361	14.5686
147.500000	87.377	13.7339
150.000000	87.388	12.9279
152.500000	87.390	12.2057
155.000000	87.387	11.5061
157.500000	87.387	10.8107
160.000000	87.394	10.1288
162.500000	87.402	9.4295
165.000000	87.400	8.6696
167.500000	87.397	7.9160
170.000000	87.399	7.2205
172.500000	87.388	6.5632
175.000000	87.358	5.9186
177.500000	87.326	5.2478
180.000000	87.312	4.5152
182.500000	87.294	3.6995
185.000000	87.264	2.9651
187.500000	87.239	2.2804
190.000000	87.210	1.5977
192.500000	87.167	0.9633
195.000000	87.112	0.3625
197.500000	87.055	-0.2413
200.000000	87.001	-0.8102
203.000000	86.935	-1.3728
206.000000	86.844	-1.7241
209.000000	86.755	-2.0078
212.000000	86.684	-2.5509
214.000000	86.637	-2.9374
218.000000	86.532	-3.3776
220.000000	86.475	-3.4417
224.000000	86.379	-3.6390
227.000000	86.329	-3.8330
230.000000	86.308	-4.0035
233.000000	86.289	-4.1388
236.000000	86.261	-4.2295
240.000000	86.212	-4.4010
243.000000	86.180	-4.5769
247.000000	86.143	-4.9745
250.000000	86.106	-5.3525
254.000000	86.047	-5.7548
258.000000	85.975	-5.9688
262.000000	85.879	-6.1421
265.000000	85.802	-6.2533
269.000000	85.718	-6.2385
272.000000	85.677	-6.1295
276.000000	85.646	-5.9569
280.000000	85.629	-5.8143
285.000000	85.614	-5.7141
290.000000	85.597	-5.6326
295.000000	85.574	-5.5000
300.000000	85.562	-5.4036
304.000000	85.560	-5.3813
307.000000	85.563	-5.3705
311.000000	85.570	-5.3414
315.000000	85.574	-5.3396
320.000000	85.561	-5.4432
325.000000	85.527	-5.5936
330.000000	85.487	-5.5925
335.000000	85.430	-5.2983
340.000000	85.379	-4.7314
345.000000	85.385	-3.9857
350.000000	85.450	-3.2897
355.000000	85.546	-2.8201
360.000000	85.646	-2.5883
365.000000	85.742	-2.5363
370.000000	85.833	-2.5713
375.000000	85.916	-2.6010
382.000000	86.028	-2.6022
387.000000	86.111	-2.6215
395.000000	86.258	-2.7202
400.000000	86.362	-2.7857
406.000000	86.495	-2.9390
412.000000	86.636	-3.1740
418.000000	86.783	-3.5012
425.000000	86.959	-4.0947
431.000000	87.102	-4.7616
437.000000	87.238	-5.5153
444.000000	87.391	-6.4827
450.000000	87.514	-7.3973
455.000000	87.610	-8.2114
462.000000	87.737	-9.3994
468.000000	87.841	-10.4854
475.000000	87.953	-11.8826
482.000000	88.050	-13.3958
487.000000	88.110	-14.5367
494.000000	88.177	-16.2114
500.000000	88.215	-17.7039
508.000000	88.238	-19.7554
515.000000	88.230	-21.5995
522.000000	88.193	-23.4664
530.000000	88.112	-25.5853
538.000000	87.984	-27.6261
545.000000	87.830	-29.2393
552.000000	87.645	-30.5281
560.000000	87.439	-31.4710
570.000000	87.289	-32.2161
580.000000	87.252	-33.4647
590.000000	87.195	-35.5793
600.000000	87.036	-38.1537
608.000000	86.828	-40.2722
615.000000	86.593	-42.0987
622.000000	86.306	-43.8929
630.000000	85.897	-45.8546
640.000000	85.218	-47.8046
650.000000	84.333	-48.2857
660.000000	83.342	-46.3871
670.000000	82.402	-41.6179
680.000000	81.782	-33.7726
690.000000	81.917	-24.3352
700.000000	82.862	-16.9311
710.000000	84.062	-14.1757
720.000000	85.032	-15.5300
730.000000	85.639	-18.8356
740.000000	85.955	-22.4059
750.000000	86.089	-25.5700
762.000000	86.120	-28.7523
775.000000	86.059	-31.6497
788.000000	85.927	-34.0474
800.000000	85.769	-35.8302
812.000000	85.595	-37.2535
825.000000	85.401	-38.4621
838.000000	85.210	-39.3961
850.000000	85.042	-40.0478
862.000000	84.887	-40.5556
875.000000	84.738	-41.0174
885.000000	84.632	-41.3445
900.000000	84.485	-41.8130
912.000000	84.379	-42.1954
925.000000	84.270	-42.6584
938.000000	84.157	-43.1985
950.000000	84.038	-43.7389
962.000000	83.900	-44.2668
975.000000	83.732	-44.7520
988.000000	83.550	-45.0931
1000.000000	83.378	-45.2679
1015.000000	83.167	-45.3113
1030.000000	82.966	-45.2067
1044.000000	82.787	-45.0094
1060.000000	82.593	-44.6678
1075.000000	82.424	-44.2557
1090.000000	82.267	-43.7771
1106.000000	82.113	-43.2043
1120.000000	81.988	-42.6489
1138.000000	81.839	-41.8490
1150.000000	81.750	-41.2562
1172.000000	81.619	-40.0538
1180.000000	81.585	-39.5934
1206.000000	81.533	-38.1848
1220.000000	81.532	-37.6261
1241.000000	81.520	-37.0861
1250.000000	81.503	-36.8961
1265.000000	81.466	-36.5522
1280.000000	81.426	-36.1501
1315.000000	81.340	-35.0467
1320.000000	81.329	-34.8736
1340.000000	81.294	-34.1505
1360.000000	81.275	-33.4096
1380.000000	81.272	-32.6904
1400.000000	81.280	-32.0096
1430.000000	81.304	-31.0765
1450.000000	81.325	-30.5037
1475.000000	81.359	-29.8231
1500.000000	81.401	-29.1936
1525.000000	81.446	-28.6477
1550.000000	81.489	-28.1825
1575.000000	81.522	-27.7559
1600.000000	81.548	-27.3114
1625.000000	81.568	-26.8162
1650.000000	81.590	-26.2737
1675.000000	81.614	-25.6802
1700.000000	81.646	-25.0415
1725.000000	81.686	-24.3738
1750.000000	81.733	-23.7008
1775.000000	81.782	-23.0347
1800.000000	81.829	-22.3595
1825.000000	81.874	-21.6422
1850.000000	81.918	-20.8531
1875.000000	81.964	-19.9583
1900.000000	82.017	-18.9249
1925.000000	82.084	-17.7426
1950.000000	82.176	-16.4167
1975.000000	82.299	-14.9675
2000.000000	82.463	-13.4376
2030.000000	82.712	-11.5700
2060.000000	83.010	-9.7020
2090.000000	83.358	-7.7968
2120.000000	83.783	-5.8837
2140.000000	84.122	-4.7825
2180.000000	84.845	-3.6720
2200.000000	85.164	-3.6216
2240.000000	85.676	-3.5990
2270.000000	86.012	-3.2393
2300.000000	86.355	-2.6116
2330.000000	86.724	-1.8434
2360.000000	87.126	-1.0650
2400.000000	87.698	-0.2018
2430.000000	88.140	0.2371
2470.000000	88.725	0.5339
2500.000000	89.155	0.5713
2540.000000	89.708	0.3776
2580.000000	90.222	-0.1074
2620.000000	90.675	-0.7907
2650.000000	90.970	-1.3092
2690.000000	91.321	-1.8804
2720.000000	91.566	-2.2318
2760.000000	91.867	-2.6984
2800.000000	92.121	-3.1735
2850.000000	92.365	-3.6121
2900.000000	92.544	-3.7926
2950.000000	92.664	-3.7047
3000.000000	92.720	-3.3049
3040.000000	92.720	-2.6682
3070.000000	92.702	-1.9664
3110.000000	92.663	-0.7256
3150.000000	92.618	0.8287
3200.000000	92.563	3.1599
3250.000000	92.529	5.8265
3300.000000	92.528	8.5414
3350.000000	92.528	10.9070
3400.000000	92.435	12.7520
3450.000000	92.138	14.5527
3500.000000	91.603	17.5030
3550.000000	90.958	22.6241
3600.000000	90.428	29.7288
3650.000000	90.140	37.5895
3700.000000	90.026	45.0908
3750.000000	89.940	52.0464
3820.000000	89.737	61.7763
3870.000000	89.557	69.2473
3950.000000	89.310	82.2640
4000.000000	89.220	90.9268
4060.000000	89.205	101.5905
4120.000000	89.282	112.1465
4180.000000	89.393	122.3420
4250.000000	89.495	133.9258
4310.000000	89.540	143.8316
4370.000000	89.547	153.8420
4440.000000	89.509	165.7309
4500.000000	89.435	176.1686
4550.000000	89.345	-174.9170
4620.000000	89.177	-162.0584
4680.000000	88.993	-150.6086
4750.000000	88.742	-136.6036
4820.000000	88.482	-121.8628
4870.000000	88.303	-110.9333
4940.000000	88.068	-95.1228
5000.000000	87.890	-81.1360
5080.000000	87.695	-62.0499
5150.000000	87.544	-45.1090
5220.000000	87.377	-27.8964
5300.000000	87.151	-7.6094
5380.000000	86.916	13.6350
5450.000000	86.749	33.0593
5520.000000	86.655	53.1204
5600.000000	86.656	76.5488
5700.000000	86.810	106.1453
5800.000000	87.093	135.7466
5900.000000	87.456	165.2389
6000.000000	87.879	-165.2966
6080.000000	88.275	-141.7726
6150.000000	88.668	-121.4161
6220.000000	89.085	-101.4826
6300.000000	89.548	-79.3935
6400.000000	90.014	-53.0502
6500.000000	90.172	-27.9510
6600.000000	89.862	-2.5880
6700.000000	89.112	25.2896
6800.000000	88.150	57.2377
6900.000000	87.357	93.2323
7000.000000	87.083	131.4153
7100.000000	87.327	169.2188
7200.000000	87.765	-154.8046
7300.000000	88.083	-120.3515
7400.000000	88.152	-86.1043
7500.000000	88.000	-50.8215
7620.000000	87.662	-6.3337
7750.000000	87.263	44.5057
7880.000000	86.939	97.8237
8000.000000	86.802	148.9724
8120.000000	86.911	-158.6748
8250.000000	87.312	-101.8770
8380.000000	87.843	-46.2544
8500.000000	88.204	3.7194
8620.000000	88.261	53.4854
8750.000000	88.030	109.0332
8850.000000	87.796	153.2177
9000.000000	87.480	-139.5172
9120.000000	87.123	-85.7657
9250.000000	86.412	-26.8860
9380.000000	85.321	34.6093
9500.000000	84.137	94.7847
9620.000000	83.010	158.0142
9750.000000	82.058	-131.3474
9880.000000	81.411	-60.2473
10000.000000	80.922	4.8430
10150.000000	80.185	85.7766
10300.000000	79.193	167.3608
10440.000000	78.073	-115.6050
10600.000000	76.586	-27.5457
10750.000000	74.851	52.7832
10900.000000	72.427	126.5391
11060.000000	68.637	-173.1033
11200.000000	65.473	-142.5129
11380.000000	67.364	-99.7068
11500.000000	69.499	-52.4929
11720.000000	70.877	51.0273
11800.000000	70.514	87.6199
12060.000000	68.974	176.4067
12200.000000	72.592	-147.6548
12410.000000	79.063	-63.9287
12500.000000	81.223	-18.6191
12650.000000	83.917	60.5830
12800.000000	85.499	141.1067
13150.000000	85.338	-19.1833
13200.000000	84.966	11.7646
13400.000000	82.975	142.5769
13600.000000	80.607	-76.5688
13800.000000	78.305	72.5293
14000.000000	76.590	-132.9385
14300.000000	75.610	94.4531
14500.000000	74.583	-122.7158
14750.000000	71.239	56.9106
15000.000000	65.344	-105.1885
15250.000000	58.494	97.7339
15500.000000	59.385	-90.4697
15750.000000	64.374	75.7354
16000.000000	67.672	-97.1455
16250.000000	69.814	108.6772
16500.000000	71.900	-33.8267
16750.000000	74.411	-172.4131
17000.000000	76.817	45.8345
17250.000000	78.359	-101.3906
17500.000000	78.440	109.2549
17750.000000	76.827	-32.8081
18000.000000	73.997	-160.3203
18250.000000	70.784	86.9434
18500.000000	68.209	-13.8032
18750.000000	67.504	-111.7939
19000.000000	67.703	144.2236
19250.000000	67.350	36.1006
19500.000000	66.243	-74.7422
19750.000000	64.733	150.9209
