* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 3:30:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Philphone (300?) L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.601	-98.1947
20.299999	90.728	-98.9261
20.600000	90.852	-99.6645
20.900000	90.972	-100.4127
21.200001	91.086	-101.1641
21.400000	91.159	-101.6593
21.799999	91.299	-102.6251
22.000000	91.368	-103.0925
22.400000	91.503	-103.9983
22.700001	91.604	-104.6626
23.000000	91.706	-105.3259
23.299999	91.807	-105.9948
23.600000	91.907	-106.6706
24.000000	92.036	-107.5781
24.299999	92.130	-108.2576
24.700001	92.252	-109.1549
25.000000	92.341	-109.8190
25.400000	92.457	-110.6920
25.799999	92.570	-111.5500
26.200001	92.681	-112.3919
26.500000	92.762	-113.0132
26.900000	92.869	-113.8311
27.200001	92.948	-114.4403
27.600000	93.051	-115.2509
28.000000	93.151	-116.0611
28.500000	93.269	-117.0686
29.000000	93.380	-118.0640
29.500000	93.486	-119.0461
30.000000	93.584	-120.0137
30.400000	93.659	-120.7716
30.700001	93.713	-121.3269
31.100000	93.784	-122.0505
31.500000	93.855	-122.7628
32.000000	93.943	-123.6552
32.500000	94.026	-124.5547
33.000000	94.104	-125.4355
33.500000	94.178	-126.2658
34.000000	94.255	-127.0457
34.500000	94.339	-127.8148
35.000000	94.428	-128.6128
35.500000	94.515	-129.4518
36.000000	94.597	-130.3200
36.500000	94.672	-131.2078
37.000000	94.740	-132.1097
37.500000	94.798	-133.0071
38.200001	94.864	-134.1895
38.700001	94.910	-134.9590
39.500000	94.994	-136.1424
40.000000	95.050	-136.9081
40.599998	95.112	-137.8534
41.200001	95.169	-138.7869
41.799999	95.225	-139.6914
42.500000	95.290	-140.7282
43.099998	95.344	-141.6142
43.700001	95.393	-142.4921
44.400002	95.445	-143.4955
45.000000	95.485	-144.3349
45.500000	95.516	-145.0224
46.200001	95.555	-145.9780
46.799999	95.586	-146.8074
47.500000	95.614	-147.8022
48.200001	95.632	-148.8119
48.700001	95.639	-149.5195
49.400002	95.647	-150.4692
50.000000	95.657	-151.2595
50.799999	95.676	-152.3328
51.500000	95.692	-153.3064
52.200001	95.703	-154.2818
53.000000	95.709	-155.3633
53.799999	95.710	-156.4057
54.500000	95.702	-157.2829
55.200001	95.686	-158.1104
56.000000	95.658	-158.9808
57.000000	95.615	-159.9716
58.000000	95.563	-160.8694
59.000000	95.509	-161.6595
60.000000	95.465	-162.3530
60.799999	95.443	-162.8675
61.500000	95.437	-163.3227
62.200001	95.441	-163.8210
63.000000	95.448	-164.4652
64.000000	95.445	-165.3344
65.000000	95.427	-166.1668
66.000000	95.400	-166.9094
67.000000	95.375	-167.5917
68.000000	95.352	-168.2759
69.000000	95.327	-168.9932
70.000000	95.295	-169.7342
71.000000	95.256	-170.4836
72.000000	95.207	-171.2218
73.000000	95.143	-171.9024
74.000000	95.065	-172.4527
75.000000	94.983	-172.8130
76.199997	94.899	-173.0023
77.500000	94.850	-173.0549
78.800003	94.846	-173.1784
80.000000	94.861	-173.4745
81.199997	94.876	-173.9000
82.500000	94.889	-174.4056
83.800003	94.908	-174.9384
85.000000	94.930	-175.4982
86.199997	94.951	-176.1508
87.500000	94.962	-176.9513
88.500000	94.960	-177.6100
90.000000	94.939	-178.6222
91.199997	94.909	-179.4256
92.500000	94.864	179.7245
93.800003	94.809	178.8981
95.000000	94.749	178.1545
96.199997	94.680	177.4308
97.500000	94.592	176.6873
98.800003	94.490	176.0235
100.000000	94.386	175.5157
101.500000	94.248	175.0493
103.000000	94.110	174.7650
104.400002	93.986	174.6547
106.000000	93.863	174.6993
107.500000	93.778	174.8421
109.000000	93.725	174.9844
110.599998	93.691	175.0636
112.000000	93.670	175.0533
113.800003	93.642	174.9482
115.000000	93.622	174.8387
117.199997	93.584	174.5898
118.000000	93.570	174.4909
120.599998	93.529	174.1537
122.000000	93.506	173.9607
124.099998	93.469	173.6373
125.000000	93.452	173.4828
126.500000	93.421	173.2057
128.000000	93.388	172.9138
131.500000	93.296	172.2473
132.000000	93.281	172.1596
134.000000	93.217	171.8394
136.000000	93.154	171.5639
138.000000	93.093	171.3204
140.000000	93.036	171.1048
143.000000	92.951	170.8058
145.000000	92.892	170.6003
147.500000	92.814	170.3359
150.000000	92.734	170.0775
152.500000	92.653	169.8515
155.000000	92.571	169.6804
157.500000	92.483	169.5557
160.000000	92.387	169.4895
162.500000	92.293	169.4789
165.000000	92.205	169.4970
167.500000	92.127	169.5351
170.000000	92.057	169.5959
172.500000	91.996	169.6740
175.000000	91.941	169.7615
177.500000	91.888	169.8542
180.000000	91.838	169.9487
182.500000	91.790	170.0385
185.000000	91.742	170.1195
187.500000	91.696	170.1912
190.000000	91.651	170.2532
192.500000	91.607	170.3050
195.000000	91.562	170.3495
197.500000	91.515	170.3914
200.000000	91.466	170.4377
203.000000	91.408	170.5142
206.000000	91.352	170.6258
209.000000	91.301	170.7679
212.000000	91.255	170.9262
214.000000	91.227	171.0342
218.000000	91.171	171.2381
220.000000	91.143	171.3253
224.000000	91.087	171.4762
227.000000	91.044	171.5897
230.000000	90.997	171.7049
233.000000	90.949	171.8138
236.000000	90.904	171.9230
240.000000	90.847	172.0938
243.000000	90.808	172.2462
247.000000	90.758	172.4781
250.000000	90.723	172.6630
254.000000	90.678	172.9042
258.000000	90.632	173.1343
262.000000	90.583	173.3551
265.000000	90.546	173.5155
269.000000	90.496	173.7373
272.000000	90.461	173.9172
276.000000	90.415	174.1633
280.000000	90.370	174.4033
285.000000	90.312	174.7101
290.000000	90.259	175.0128
295.000000	90.213	175.2994
300.000000	90.168	175.6044
304.000000	90.130	175.8836
307.000000	90.103	176.1125
311.000000	90.071	176.4265
315.000000	90.043	176.7360
320.000000	90.013	177.1136
325.000000	89.982	177.4846
330.000000	89.953	177.8627
335.000000	89.929	178.2476
340.000000	89.912	178.6095
345.000000	89.898	178.9221
350.000000	89.884	179.1760
355.000000	89.864	179.3848
360.000000	89.834	179.5753
365.000000	89.791	179.7796
370.000000	89.736	-179.9459
