* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 3:23:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Philphone (300?) R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.005	-79.9332
20.299999	89.164	-80.7913
20.600000	89.323	-81.6179
20.900000	89.484	-82.4250
21.200001	89.645	-83.2266
21.400000	89.752	-83.7653
21.799999	89.964	-84.8609
22.000000	90.068	-85.4198
22.400000	90.268	-86.5556
22.700001	90.410	-87.4120
23.000000	90.545	-88.2587
23.299999	90.674	-89.0857
23.600000	90.800	-89.8901
24.000000	90.963	-90.9323
24.299999	91.083	-91.7023
24.700001	91.240	-92.7283
25.000000	91.354	-93.5006
25.400000	91.499	-94.5252
25.799999	91.638	-95.5220
26.200001	91.774	-96.4765
26.500000	91.879	-97.1721
26.900000	92.023	-98.1007
27.200001	92.135	-98.8254
27.600000	92.284	-99.8564
28.000000	92.426	-100.9641
28.500000	92.584	-102.4054
29.000000	92.722	-103.8185
29.500000	92.849	-105.1481
30.000000	92.975	-106.4070
30.400000	93.077	-107.3961
30.700001	93.152	-108.1397
31.100000	93.248	-109.1339
31.500000	93.338	-110.1204
32.000000	93.443	-111.3220
32.500000	93.541	-112.4784
33.000000	93.634	-113.5949
33.500000	93.721	-114.6767
34.000000	93.803	-115.7204
34.500000	93.882	-116.7247
35.000000	93.961	-117.7023
35.500000	94.040	-118.6791
36.000000	94.119	-119.6761
36.500000	94.194	-120.6990
37.000000	94.263	-121.7412
37.500000	94.326	-122.7923
38.200001	94.404	-124.2545
38.700001	94.453	-125.2720
39.500000	94.528	-126.8224
40.000000	94.577	-127.7481
40.599998	94.639	-128.8352
41.200001	94.703	-129.9126
41.799999	94.767	-130.9873
42.500000	94.837	-132.2402
43.099998	94.890	-133.3040
43.700001	94.936	-134.3355
44.400002	94.984	-135.4832
45.000000	95.023	-136.4350
45.500000	95.053	-137.2214
46.200001	95.092	-138.3119
46.799999	95.122	-139.2305
47.500000	95.157	-140.3093
48.200001	95.187	-141.4348
48.700001	95.201	-142.2563
49.400002	95.206	-143.3675
50.000000	95.203	-144.2412
50.799999	95.200	-145.3029
51.500000	95.202	-146.1760
52.200001	95.206	-147.0198
53.000000	95.212	-147.9729
53.799999	95.216	-148.9446
54.500000	95.211	-149.8073
55.200001	95.198	-150.6643
56.000000	95.172	-151.6277
57.000000	95.121	-152.7643
58.000000	95.055	-153.7027
59.000000	95.000	-154.3885
60.000000	94.977	-154.8976
60.799999	94.986	-155.2720
61.500000	95.011	-155.6478
62.200001	95.043	-156.1032
63.000000	95.076	-156.7111
64.000000	95.107	-157.5508
65.000000	95.125	-158.4428
66.000000	95.131	-159.3794
