* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.520
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 4:13:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.910	-39.1595
20.299999	63.133	-40.3957
20.600000	63.330	-41.5642
20.900000	63.512	-42.6117
21.200001	63.691	-43.5289
21.400000	63.816	-44.0925
21.799999	64.081	-45.1827
22.000000	64.220	-45.7516
22.400000	64.504	-47.0084
22.700001	64.711	-48.0616
23.000000	64.903	-49.1707
23.299999	65.081	-50.2708
23.600000	65.249	-51.3143
24.000000	65.471	-52.5864
24.299999	65.647	-53.4815
24.700001	65.895	-54.6822
25.000000	66.087	-55.6417
25.400000	66.338	-57.0148
25.799999	66.573	-58.4381
26.200001	66.795	-59.8350
26.500000	66.957	-60.8475
26.900000	67.173	-62.1694
27.200001	67.334	-63.1659
27.600000	67.545	-64.5233
28.000000	67.746	-65.9090
28.500000	67.981	-67.6547
29.000000	68.198	-69.4000
29.500000	68.391	-71.1167
30.000000	68.562	-72.7143
30.400000	68.696	-73.8541
30.700001	68.803	-74.6408
31.100000	68.960	-75.6782
31.500000	69.129	-76.7938
32.000000	69.333	-78.3548
32.500000	69.509	-79.9905
33.000000	69.663	-81.5273
33.500000	69.819	-82.9472
34.000000	69.984	-84.3828
34.500000	70.140	-85.9122
35.000000	70.272	-87.4459
35.500000	70.390	-88.8493
36.000000	70.518	-90.1373
36.500000	70.660	-91.4573
37.000000	70.799	-92.9060
37.500000	70.916	-94.4118
38.200001	71.054	-96.3747
38.700001	71.159	-97.6653
39.500000	71.340	-99.7981
40.000000	71.446	-101.1938
40.599998	71.562	-102.8456
41.200001	71.681	-104.4916
41.799999	71.798	-106.2421
42.500000	71.906	-108.4311
43.099998	71.968	-110.3262
43.700001	72.007	-112.2112
44.400002	72.020	-114.4444
45.000000	71.984	-116.3102
45.500000	71.921	-117.6732
46.200001	71.820	-119.1298
46.799999	71.759	-120.0384
47.500000	71.734	-121.0001
48.200001	71.729	-122.0130
48.700001	71.727	-122.7446
49.400002	71.718	-123.7379
50.000000	71.703	-124.5461
50.799999	71.667	-125.4951
51.500000	71.628	-126.1603
52.200001	71.590	-126.6391
53.000000	71.580	-126.9488
53.799999	71.642	-127.3152
54.500000	71.735	-127.9331
55.200001	71.855	-128.8260
