* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.520
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 4:02:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.896	-49.5020
20.299999	66.106	-50.8595
20.600000	66.287	-52.1673
20.900000	66.450	-53.3394
21.200001	66.610	-54.3354
21.400000	66.724	-54.9259
21.799999	66.979	-56.0411
22.000000	67.119	-56.6280
22.400000	67.411	-57.9721
22.700001	67.624	-59.1447
23.000000	67.819	-60.4118
23.299999	67.993	-61.6938
23.600000	68.151	-62.9302
24.000000	68.347	-64.4542
24.299999	68.494	-65.5115
24.700001	68.696	-66.8615
25.000000	68.850	-67.8705
25.400000	69.056	-69.2384
25.799999	69.256	-70.6266
26.200001	69.450	-72.0185
26.500000	69.591	-73.0626
26.900000	69.774	-74.4617
27.200001	69.907	-75.5196
27.600000	70.074	-76.9337
28.000000	70.229	-78.3270
28.500000	70.412	-79.9998
29.000000	70.591	-81.5946
29.500000	70.772	-83.1633
30.000000	70.952	-84.7650
30.400000	71.089	-86.0744
30.700001	71.185	-87.0584
31.100000	71.307	-88.3498
31.500000	71.424	-89.6098
32.000000	71.569	-91.1652
32.500000	71.709	-92.7457
33.000000	71.837	-94.3639
33.500000	71.947	-95.9794
34.000000	72.039	-97.5410
34.500000	72.118	-99.0232
35.000000	72.189	-100.4126
35.500000	72.260	-101.6973
36.000000	72.340	-102.9084
36.500000	72.433	-104.1378
37.000000	72.528	-105.4630
37.500000	72.607	-106.8384
38.200001	72.702	-108.6110
38.700001	72.788	-109.7638
39.500000	72.959	-111.8898
40.000000	73.035	-113.4490
40.599998	73.069	-115.1840
41.200001	73.093	-116.4554
41.799999	73.172	-117.5040
42.500000	73.311	-119.0573
43.099998	73.397	-120.7364
43.700001	73.430	-122.3979
44.400002	73.444	-124.1035
45.000000	73.462	-125.4958
45.500000	73.476	-126.7215
46.200001	73.478	-128.5666
46.799999	73.451	-130.2397
47.500000	73.368	-132.2173
48.200001	73.215	-133.9822
48.700001	73.068	-134.8969
49.400002	72.856	-135.4671
50.000000	72.728	-135.3627
50.799999	72.685	-134.9192
51.500000	72.737	-134.7113
52.200001	72.827	-134.7668
53.000000	72.953	-135.1991
53.799999	73.057	-136.1006
54.500000	73.102	-137.0388
55.200001	73.128	-137.9914
56.000000	73.123	-139.2510
57.000000	73.020	-140.3130
58.000000	73.074	-140.3480
59.000000	73.317	-141.6501
60.000000	73.396	-144.0231
60.799999	73.374	-145.4459
61.500000	73.361	-146.4347
62.200001	73.341	-147.3356
63.000000	73.304	-148.1641
64.000000	73.262	-148.9192
65.000000	73.238	-149.5097
66.000000	73.241	-150.0929
67.000000	73.259	-150.8253
68.000000	73.281	-151.6950
69.000000	73.301	-152.6702
70.000000	73.311	-153.6871
71.000000	73.313	-154.6790
72.000000	73.309	-155.6440
73.000000	73.294	-156.5951
74.000000	73.264	-157.5186
75.000000	73.221	-158.3917
76.199997	73.160	-159.3366
77.500000	73.096	-160.2095
78.800003	73.053	-160.9725
80.000000	73.030	-161.6779
81.199997	73.010	-162.4238
82.500000	72.982	-163.2755
83.800003	72.937	-164.1686
85.000000	72.881	-164.9608
86.199997	72.819	-165.6803
87.500000	72.755	-166.3633
88.500000	72.712	-166.8270
90.000000	72.658	-167.4498
91.199997	72.626	-167.9416
92.500000	72.588	-168.5279
93.800003	72.535	-169.0834
95.000000	72.485	-169.4968
96.199997	72.441	-169.8609
97.500000	72.398	-170.2485
98.800003	72.354	-170.6627
100.000000	72.314	-171.0597
101.500000	72.267	-171.6377
103.000000	72.221	-172.2548
104.400002	72.181	-172.8560
106.000000	72.125	-173.4086
107.500000	72.087	-173.7880
109.000000	72.061	-174.2191
110.599998	72.032	-174.7986
112.000000	72.006	-175.3383
113.800003	71.982	-175.9959
115.000000	71.960	-176.4173
117.199997	71.842	-176.9637
118.000000	71.774	-176.9798
120.599998	71.620	-177.0098
122.000000	71.530	-177.5792
124.099998	71.367	-178.2713
125.000000	71.317	-178.4433
126.500000	71.257	-178.6176
128.000000	71.215	-178.6992
131.500000	71.095	-178.8735
132.000000	71.072	-178.8957
134.000000	70.979	-178.8466
136.000000	70.928	-178.5511
138.000000	70.935	-178.3615
140.000000	70.949	-178.4524
143.000000	70.939	-178.8406
145.000000	70.907	-179.0426
147.500000	70.875	-179.2029
150.000000	70.840	-179.4582
152.500000	70.807	-179.6374
155.000000	70.769	-179.8629
157.500000	70.710	179.8321
160.000000	70.640	179.4913
162.500000	70.599	179.1703
165.000000	70.572	178.7429
167.500000	70.532	178.3355
170.000000	70.484	178.0635
172.500000	70.443	177.9255
175.000000	70.386	177.7997
177.500000	70.309	177.7607
180.000000	70.248	177.8123
182.500000	70.216	177.7374
185.000000	70.175	177.5629
187.500000	70.133	177.5122
190.000000	70.100	177.5103
192.500000	70.059	177.5083
195.000000	70.006	177.4671
197.500000	69.949	177.3620
200.000000	69.904	177.2324
203.000000	69.867	177.1448
206.000000	69.837	177.2213
209.000000	69.779	177.2852
212.000000	69.701	177.3038
214.000000	69.660	177.3044
218.000000	69.605	177.3828
220.000000	69.573	177.4441
224.000000	69.507	177.5231
227.000000	69.462	177.5505
230.000000	69.401	177.5963
233.000000	69.337	177.6407
236.000000	69.301	177.6723
240.000000	69.274	177.8251
243.000000	69.236	178.0437
247.000000	69.180	178.2643
250.000000	69.156	178.3174
254.000000	69.134	178.3898
258.000000	69.090	178.4912
262.000000	69.036	178.6507
265.000000	69.012	178.7963
269.000000	68.980	178.9732
272.000000	68.949	179.0715
276.000000	68.899	179.2265
280.000000	68.853	179.4360
285.000000	68.819	179.6757
290.000000	68.785	179.9934
295.000000	68.731	-179.7915
300.000000	68.690	-179.6803
304.000000	68.662	-179.4901
307.000000	68.635	-179.3158
311.000000	68.586	-179.0826
315.000000	68.532	-178.8489
320.000000	68.482	-178.5028
325.000000	68.464	-178.0761
330.000000	68.441	-177.7939
335.000000	68.397	-177.5239
340.000000	68.348	-177.1511
345.000000	68.329	-176.7103
350.000000	68.324	-176.4519
355.000000	68.313	-176.1514
360.000000	68.292	-175.7168
365.000000	68.268	-175.4000
370.000000	68.252	-175.1876
375.000000	68.237	-174.9447
382.000000	68.208	-174.4894
387.000000	68.190	-174.1256
395.000000	68.169	-173.6162
400.000000	68.167	-173.3551
406.000000	68.159	-173.0119
412.000000	68.121	-172.6311
418.000000	68.084	-172.2256
425.000000	68.082	-171.5878
431.000000	68.094	-171.0961
437.000000	68.105	-170.7309
444.000000	68.114	-170.3382
450.000000	68.112	-170.0657
455.000000	68.107	-169.8390
462.000000	68.114	-169.5760
468.000000	68.116	-169.3573
475.000000	68.094	-168.9337
482.000000	68.065	-168.3523
487.000000	68.061	-167.8549
494.000000	68.077	-167.2311
500.000000	68.083	-166.7406
508.000000	68.092	-166.0475
515.000000	68.114	-165.5368
522.000000	68.137	-165.0540
530.000000	68.165	-164.4292
538.000000	68.200	-163.7025
545.000000	68.242	-163.1434
552.000000	68.299	-162.7060
560.000000	68.375	-162.3074
570.000000	68.460	-161.9232
580.000000	68.545	-161.5398
590.000000	68.646	-161.2591
600.000000	68.725	-161.4336
608.000000	68.732	-161.6677
615.000000	68.697	-161.6921
622.000000	68.656	-161.5284
630.000000	68.631	-161.2928
640.000000	68.564	-160.7899
650.000000	68.467	-159.6464
660.000000	68.475	-158.2094
670.000000	68.607	-157.0153
680.000000	68.761	-156.2872
690.000000	68.886	-155.9062
700.000000	68.979	-155.6523
710.000000	69.054	-155.4303
720.000000	69.117	-155.1896
730.000000	69.169	-154.9372
740.000000	69.207	-154.6254
750.000000	69.261	-154.2425
762.000000	69.354	-153.8047
775.000000	69.446	-153.5191
788.000000	69.496	-153.1940
800.000000	69.542	-152.8324
812.000000	69.598	-152.3878
825.000000	69.650	-151.8283
838.000000	69.725	-151.2502
850.000000	69.824	-150.7411
862.000000	69.923	-150.3305
875.000000	70.006	-149.9381
885.000000	70.070	-149.5736
900.000000	70.178	-149.0103
912.000000	70.277	-148.5757
925.000000	70.389	-148.2224
938.000000	70.509	-147.8899
950.000000	70.626	-147.7055
962.000000	70.727	-147.5683
975.000000	70.814	-147.3617
988.000000	70.895	-147.1755
1000.000000	70.975	-146.9703
1015.000000	71.082	-146.6548
1030.000000	71.194	-146.3256
1044.000000	71.301	-145.9050
1060.000000	71.433	-145.4744
1075.000000	71.595	-145.0826
1090.000000	71.773	-144.8801
1106.000000	71.935	-144.8799
1120.000000	72.063	-144.9902
1138.000000	72.212	-145.1068
1150.000000	72.312	-145.0703
1172.000000	72.524	-144.8517
1180.000000	72.618	-144.8110
1206.000000	72.897	-145.3358
1220.000000	73.000	-145.5970
1241.000000	73.175	-145.7662
1250.000000	73.253	-145.8753
1265.000000	73.390	-146.0780
1280.000000	73.528	-146.2948
1315.000000	73.877	-147.1591
1320.000000	73.920	-147.3617
1340.000000	74.061	-148.0775
1360.000000	74.223	-148.5570
1380.000000	74.427	-149.3957
1400.000000	74.578	-150.6848
1430.000000	74.660	-152.3904
1450.000000	74.675	-152.8535
1475.000000	74.859	-153.0681
1500.000000	75.062	-154.2872
1525.000000	75.179	-155.6333
1550.000000	75.282	-156.8419
1575.000000	75.370	-158.0385
1600.000000	75.436	-159.3119
1625.000000	75.491	-160.2781
1650.000000	75.622	-161.3473
1675.000000	75.714	-162.9910
1700.000000	75.747	-164.5787
1725.000000	75.763	-166.0565
1750.000000	75.771	-167.4540
1775.000000	75.812	-168.8435
1800.000000	75.864	-170.6552
1825.000000	75.877	-172.8078
1850.000000	75.822	-175.3083
1875.000000	75.682	-177.7539
1900.000000	75.495	179.7712
1925.000000	75.206	177.3418
1950.000000	74.858	175.3827
1975.000000	74.471	173.5006
2000.000000	73.982	171.9646
2030.000000	73.295	171.0278
2060.000000	72.539	171.5183
2090.000000	71.849	173.5811
2120.000000	71.339	176.5973
2140.000000	71.138	178.6955
2180.000000	70.862	-178.6902
2200.000000	70.635	-177.6152
2240.000000	70.112	-173.9000
2270.000000	69.806	-170.4657
2300.000000	69.541	-166.2021
2330.000000	69.460	-160.9187
2360.000000	69.669	-155.6100
2400.000000	70.236	-150.2945
2430.000000	70.684	-147.6715
2470.000000	71.250	-145.1464
2500.000000	71.653	-143.6056
2540.000000	72.210	-141.7490
2580.000000	72.906	-140.2399
2620.000000	73.650	-140.9117
2650.000000	74.003	-142.6397
2690.000000	74.249	-144.5440
2720.000000	74.381	-145.4721
2760.000000	74.549	-146.3818
