* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 11:28:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.802	-110.6074
20.299999	91.904	-111.1071
20.600000	92.033	-111.6154
20.900000	92.178	-112.2611
21.200001	92.319	-113.0907
21.400000	92.399	-113.7189
21.799999	92.521	-114.9746
22.000000	92.566	-115.5263
22.400000	92.649	-116.4031
22.700001	92.727	-116.9000
23.000000	92.830	-117.3724
23.299999	92.953	-117.9337
23.600000	93.084	-118.6559
24.000000	93.246	-119.8649
24.299999	93.348	-120.8770
24.700001	93.456	-122.2347
25.000000	93.526	-123.2060
25.400000	93.616	-124.4371
25.799999	93.711	-125.6533
26.200001	93.804	-126.9052
26.500000	93.868	-127.8626
26.900000	93.942	-129.1031
27.200001	93.991	-129.9560
27.600000	94.062	-130.9481
28.000000	94.155	-131.8200
28.500000	94.316	-132.9727
29.000000	94.485	-134.4684
29.500000	94.600	-136.2369
30.000000	94.637	-137.7868
30.400000	94.648	-138.5986
30.700001	94.678	-138.9875
31.100000	94.769	-139.4446
31.500000	94.900	-140.1452
32.000000	95.048	-141.5313
32.500000	95.118	-143.1486
33.000000	95.130	-144.4910
33.500000	95.151	-145.5060
34.000000	95.202	-146.5294
34.500000	95.245	-147.6987
35.000000	95.264	-148.7346
35.500000	95.307	-149.4057
36.000000	95.437	-149.9810
36.500000	95.641	-150.9904
37.000000	95.838	-152.6260
37.500000	95.969	-154.5725
38.200001	96.066	-157.0244
38.700001	96.135	-158.4792
39.500000	96.271	-160.8599
40.000000	96.326	-162.4756
40.599998	96.338	-164.2514
41.200001	96.332	-165.6393
41.799999	96.358	-166.8233
42.500000	96.417	-168.4545
43.099998	96.433	-170.1671
43.700001	96.390	-171.8759
44.400002	96.307	-173.5494
45.000000	96.253	-174.7764
45.500000	96.231	-175.7878
46.200001	96.233	-177.3300
46.799999	96.256	-178.8863
47.500000	96.273	178.9320
48.200001	96.239	176.5310
48.700001	96.180	174.8779
49.400002	96.081	172.7698
50.000000	95.998	171.0646
50.799999	95.888	168.7664
51.500000	95.777	166.6909
52.200001	95.645	164.5377
53.000000	95.450	162.0332
53.799999	95.207	159.7205
54.500000	94.989	157.9139
55.200001	94.781	156.1130
56.000000	94.519	153.9685
57.000000	94.121	151.5381
58.000000	93.678	149.5611
59.000000	93.187	147.9946
60.000000	92.639	146.9556
60.799999	92.157	146.6984
61.500000	91.743	147.0176
62.200001	91.377	147.5949
63.000000	90.995	148.2484
64.000000	90.510	149.5160
65.000000	90.139	151.5634
66.000000	89.939	153.4992
67.000000	89.823	155.1783
68.000000	89.803	156.7133
69.000000	89.872	157.6893
70.000000	89.970	157.9332
71.000000	90.070	157.3709
72.000000	90.106	155.7536
73.000000	89.972	153.4628
74.000000	89.650	151.3649
75.000000	89.197	150.0254
76.199997	88.566	149.6442
77.500000	87.841	150.7723
78.800003	87.150	153.5281
80.000000	86.596	157.2109
81.199997	86.168	161.9833
82.500000	85.975	167.8929
83.800003	86.095	173.6419
85.000000	86.447	178.3546
86.199997	86.990	-177.7833
87.500000	87.730	-174.8827
88.500000	88.346	-173.6632
90.000000	89.283	-173.5009
91.199997	89.961	-174.8970
92.500000	90.569	-177.5146
93.800003	91.057	178.9913
95.000000	91.374	174.9613
96.199997	91.508	170.3583
97.500000	91.411	165.3756
98.800003	91.103	161.1087
100.000000	90.702	158.1627
101.500000	90.189	155.7909
103.000000	89.767	153.7420
104.400002	89.338	151.4174
106.000000	88.594	149.0989
107.500000	87.623	149.2185
109.000000	86.644	152.4218
110.599998	85.935	158.1166
112.000000	85.694	163.4544
113.800003	85.753	169.5904
115.000000	85.929	172.9366
117.199997	86.332	177.4453
118.000000	86.465	178.7562
120.599998	87.099	-176.3250
122.000000	87.750	-174.4047
124.099998	88.792	-174.7267
125.000000	89.180	-175.8451
126.500000	89.705	-178.6052
128.000000	90.061	177.9221
131.500000	90.254	169.6853
132.000000	90.224	168.6445
134.000000	89.963	164.9310
136.000000	89.506	162.3299
138.000000	88.980	161.2299
140.000000	88.547	161.3086
143.000000	88.176	162.3624
145.000000	88.121	162.7764
147.500000	88.218	162.1943
150.000000	88.283	160.5185
152.500000	88.108	158.7443
155.000000	87.697	157.0349
157.500000	87.114	155.3250
160.000000	86.425	155.0291
162.500000	85.789	156.6207
165.000000	85.251	159.1293
167.500000	84.872	162.1403
170.000000	84.649	165.3881
172.500000	84.481	169.0439
175.000000	84.419	172.8070
177.500000	84.478	175.9229
180.000000	84.611	178.9093
182.500000	84.858	-178.2950
185.000000	85.173	-176.5963
187.500000	85.505	-176.1239
190.000000	85.795	-176.3948
192.500000	85.988	-176.7404
195.000000	86.087	-176.8741
197.500000	86.129	-176.8549
200.000000	86.160	-176.7522
203.000000	86.200	-176.6352
206.000000	86.239	-176.4766
209.000000	86.280	-176.2362
212.000000	86.306	-175.9341
214.000000	86.311	-175.7273
218.000000	86.311	-175.3141
220.000000	86.316	-175.0266
224.000000	86.355	-174.2698
227.000000	86.419	-173.7042
230.000000	86.514	-173.2438
233.000000	86.630	-172.9793
