* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 7, 2023 12:25:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 7
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.620	-97.2915
20.299999	71.714	-98.1995
20.600000	71.806	-99.0826
20.900000	71.897	-99.9449
21.200001	71.986	-100.7920
21.400000	72.045	-101.3513
21.799999	72.162	-102.4604
22.000000	72.219	-103.0121
22.400000	72.330	-104.1107
22.700001	72.409	-104.9296
23.000000	72.485	-105.7404
23.299999	72.558	-106.5375
23.600000	72.627	-107.3154
24.000000	72.715	-108.3163
24.299999	72.781	-109.0402
24.700001	72.867	-109.9784
25.000000	72.933	-110.6714
25.400000	73.019	-111.5911
25.799999	73.102	-112.5071
26.200001	73.181	-113.4103
26.500000	73.238	-114.0731
26.900000	73.313	-114.9362
27.200001	73.370	-115.5729
27.600000	73.444	-116.4186
28.000000	73.516	-117.2684
28.500000	73.601	-118.3318
29.000000	73.678	-119.3719
29.500000	73.750	-120.3689
30.000000	73.821	-121.3240
30.400000	73.878	-122.0695
30.700001	73.922	-122.6235
31.100000	73.979	-123.3613
31.500000	74.035	-124.0996
32.000000	74.102	-125.0219
32.500000	74.165	-125.9346
33.000000	74.223	-126.8256
33.500000	74.280	-127.6888
34.000000	74.337	-128.5311
34.500000	74.395	-129.3684
35.000000	74.452	-130.2142
35.500000	74.508	-131.0747
36.000000	74.560	-131.9500
36.500000	74.608	-132.8368
37.000000	74.649	-133.7275
37.500000	74.683	-134.6090
38.200001	74.722	-135.7953
38.700001	74.746	-136.5935
39.500000	74.788	-137.8011
40.000000	74.819	-138.5454
40.599998	74.858	-139.4633
41.200001	74.896	-140.4193
41.799999	74.928	-141.4039
42.500000	74.959	-142.5837
43.099998	74.978	-143.6328
43.700001	74.985	-144.7179
44.400002	74.973	-146.0055
45.000000	74.946	-147.1051
45.500000	74.909	-148.0068
46.200001	74.834	-149.2172
46.799999	74.746	-150.1606
47.500000	74.621	-151.0803
48.200001	74.479	-151.7296
48.700001	74.378	-152.0023
49.400002	74.256	-152.1547
50.000000	74.177	-152.1719
50.799999	74.099	-152.1691
51.500000	74.043	-152.1399
52.200001	74.001	-152.0505
53.000000	73.977	-151.9181
53.799999	73.972	-151.8173
54.500000	73.979	-151.7539
55.200001	73.999	-151.7175
56.000000	74.037	-151.7546
57.000000	74.098	-152.0049
58.000000	74.145	-152.5382
59.000000	74.142	-153.2034
60.000000	74.089	-153.6887
60.799999	74.034	-153.8455
61.500000	73.987	-153.8152
62.200001	73.950	-153.6396
63.000000	73.930	-153.2997
64.000000	73.948	-152.7944
65.000000	74.008	-152.3364
66.000000	74.097	-151.9609
67.000000	74.215	-151.6808
68.000000	74.361	-151.5605
69.000000	74.524	-151.6807
70.000000	74.687	-152.0688
71.000000	74.837	-152.6866
72.000000	74.965	-153.4747
73.000000	75.068	-154.3656
74.000000	75.147	-155.2969
75.000000	75.206	-156.2267
76.199997	75.257	-157.3056
77.500000	75.296	-158.4099
78.800003	75.322	-159.4677
80.000000	75.336	-160.4191
81.199997	75.342	-161.3563
82.500000	75.337	-162.3648
83.800003	75.323	-163.3802
85.000000	75.298	-164.3294
86.199997	75.261	-165.2823
87.500000	75.203	-166.3270
88.500000	75.138	-167.1149
90.000000	75.002	-168.1553
91.199997	74.862	-168.7695
92.500000	74.687	-169.0726
93.800003	74.520	-168.8792
95.000000	74.413	-168.3360
96.199997	74.373	-167.6813
97.500000	74.393	-167.1169
98.800003	74.449	-166.8342
100.000000	74.509	-166.8247
101.500000	74.577	-167.0594
103.000000	74.630	-167.4836
104.400002	74.658	-168.0063
106.000000	74.661	-168.6300
107.500000	74.646	-169.1504
109.000000	74.623	-169.6159
110.599998	74.593	-170.0686
112.000000	74.565	-170.4590
113.800003	74.519	-170.9833
115.000000	74.478	-171.3335
117.199997	74.378	-171.8677
118.000000	74.334	-171.9906
120.599998	74.189	-172.0248
122.000000	74.123	-171.7903
124.099998	74.070	-171.2959
125.000000	74.063	-171.1095
126.500000	74.065	-170.8789
128.000000	74.079	-170.7590
131.500000	74.119	-170.7351
132.000000	74.124	-170.7422
134.000000	74.145	-170.7878
136.000000	74.161	-170.8970
138.000000	74.171	-171.0717
140.000000	74.181	-171.2773
143.000000	74.196	-171.6338
145.000000	74.198	-171.8741
147.500000	74.189	-172.1685
150.000000	74.173	-172.4392
152.500000	74.158	-172.6835
155.000000	74.143	-172.8897
157.500000	74.123	-173.0570
160.000000	74.102	-173.2298
162.500000	74.079	-173.4482
165.000000	74.052	-173.6628
167.500000	74.026	-173.8320
170.000000	73.998	-173.9921
172.500000	73.965	-174.1069
175.000000	73.938	-174.1923
177.500000	73.912	-174.2762
180.000000	73.883	-174.3414
182.500000	73.856	-174.4094
185.000000	73.831	-174.4760
187.500000	73.808	-174.5033
190.000000	73.788	-174.4998
192.500000	73.768	-174.5145
195.000000	73.743	-174.5446
197.500000	73.719	-174.5747
200.000000	73.693	-174.6061
203.000000	73.661	-174.6205
206.000000	73.630	-174.6116
209.000000	73.600	-174.5879
212.000000	73.571	-174.5372
214.000000	73.552	-174.4957
218.000000	73.517	-174.4055
220.000000	73.501	-174.3464
224.000000	73.473	-174.2075
227.000000	73.455	-174.1062
230.000000	73.436	-174.0002
233.000000	73.418	-173.8898
236.000000	73.403	-173.7827
240.000000	73.387	-173.6458
243.000000	73.375	-173.5374
247.000000	73.358	-173.3960
250.000000	73.345	-173.3051
254.000000	73.329	-173.1708
258.000000	73.315	-172.9917
262.000000	73.305	-172.8104
265.000000	73.297	-172.6893
269.000000	73.288	-172.5373
272.000000	73.284	-172.4256
276.000000	73.281	-172.2963
280.000000	73.278	-172.1953
285.000000	73.268	-172.0823
290.000000	73.256	-171.8947
295.000000	73.247	-171.6697
300.000000	73.241	-171.4919
304.000000	73.236	-171.3499
307.000000	73.234	-171.2347
311.000000	73.231	-171.0759
315.000000	73.229	-170.9293
320.000000	73.228	-170.7748
325.000000	73.225	-170.6290
330.000000	73.223	-170.4767
335.000000	73.221	-170.3063
340.000000	73.217	-170.1282
345.000000	73.213	-169.9542
350.000000	73.210	-169.7898
355.000000	73.208	-169.6284
360.000000	73.207	-169.4556
365.000000	73.210	-169.2996
370.000000	73.213	-169.1672
375.000000	73.211	-169.0359
382.000000	73.204	-168.8345
387.000000	73.197	-168.6789
395.000000	73.185	-168.3405
400.000000	73.186	-168.1143
406.000000	73.192	-167.8856
412.000000	73.191	-167.6727
418.000000	73.189	-167.4330
425.000000	73.199	-167.0873
431.000000	73.219	-166.8017
437.000000	73.243	-166.5826
444.000000	73.266	-166.4130
450.000000	73.280	-166.3187
455.000000	73.292	-166.2477
462.000000	73.303	-166.1965
468.000000	73.290	-166.1535
475.000000	73.265	-165.9761
482.000000	73.248	-165.7001
487.000000	73.243	-165.4756
494.000000	73.243	-165.1760
500.000000	73.240	-164.9157
508.000000	73.233	-164.5069
515.000000	73.241	-164.1257
522.000000	73.256	-163.7767
530.000000	73.279	-163.3925
538.000000	73.311	-163.0336
545.000000	73.341	-162.7729
552.000000	73.368	-162.5488
560.000000	73.401	-162.3109
570.000000	73.450	-162.0485
580.000000	73.505	-161.8757
590.000000	73.567	-161.9263
600.000000	73.605	-162.3012
608.000000	73.595	-162.8152
615.000000	73.528	-163.3355
622.000000	73.390	-163.6628
630.000000	73.167	-163.3648
640.000000	72.927	-161.6498
650.000000	72.893	-159.3237
660.000000	73.013	-157.5244
670.000000	73.174	-156.3998
680.000000	73.323	-155.7199
690.000000	73.453	-155.2766
700.000000	73.574	-154.9402
710.000000	73.689	-154.7445
720.000000	73.782	-154.6561
730.000000	73.856	-154.5986
740.000000	73.914	-154.5442
750.000000	73.965	-154.4522
762.000000	74.025	-154.3853
775.000000	74.063	-154.3398
788.000000	74.084	-154.1556
800.000000	74.103	-153.9127
812.000000	74.120	-153.5815
825.000000	74.137	-153.1577
838.000000	74.161	-152.5635
850.000000	74.215	-151.9327
862.000000	74.289	-151.4141
875.000000	74.378	-150.8993
885.000000	74.462	-150.6233
900.000000	74.565	-150.4485
912.000000	74.627	-150.3154
925.000000	74.680	-150.1138
938.000000	74.739	-149.8134
950.000000	74.808	-149.5809
962.000000	74.870	-149.4523
975.000000	74.921	-149.2928
988.000000	74.972	-149.0856
1000.000000	75.018	-148.8855
1015.000000	75.069	-148.6142
1030.000000	75.115	-148.2328
1044.000000	75.174	-147.8162
1060.000000	75.245	-147.3176
1075.000000	75.338	-146.7542
1090.000000	75.464	-146.3365
1106.000000	75.600	-146.1284
1120.000000	75.699	-146.0356
1138.000000	75.821	-145.8815
1150.000000	75.903	-145.7935
1172.000000	76.060	-145.6064
1180.000000	76.125	-145.5876
1206.000000	76.323	-145.7294
1220.000000	76.427	-145.9191
1241.000000	76.561	-146.4252
1250.000000	76.604	-146.6846
1265.000000	76.651	-147.1157
1280.000000	76.674	-147.3851
1315.000000	76.770	-147.8184
1320.000000	76.777	-147.9103
1340.000000	76.790	-148.1263
1360.000000	76.807	-148.0959
1380.000000	76.856	-148.0697
1400.000000	76.892	-148.1024
1430.000000	76.987	-148.0797
1450.000000	77.042	-148.4531
1475.000000	77.031	-148.8483
1500.000000	76.991	-148.9483
1525.000000	76.942	-148.6909
1550.000000	76.940	-148.2248
1575.000000	76.915	-147.8651
1600.000000	76.891	-146.9083
1625.000000	76.996	-145.7643
1650.000000	77.151	-145.4825
1675.000000	77.202	-145.5276
1700.000000	77.211	-145.1866
1725.000000	77.221	-144.5229
1750.000000	77.277	-143.5479
1775.000000	77.399	-142.6901
1800.000000	77.528	-142.0653
1825.000000	77.667	-141.5204
1850.000000	77.815	-141.1852
1875.000000	77.925	-141.0927
1900.000000	77.986	-140.7534
1925.000000	78.083	-139.9807
1950.000000	78.252	-139.3611
1975.000000	78.414	-139.1539
2000.000000	78.528	-139.0263
2030.000000	78.637	-138.5046
2060.000000	78.798	-137.6984
2090.000000	79.005	-136.9924
2120.000000	79.224	-136.2860
2140.000000	79.409	-135.7177
2180.000000	79.868	-135.1859
2200.000000	80.089	-135.4175
2240.000000	80.426	-136.0569
2270.000000	80.680	-136.3407
2300.000000	80.961	-136.7723
2330.000000	81.242	-137.5698
2360.000000	81.472	-138.6696
2400.000000	81.704	-140.0067
2430.000000	81.883	-140.8060
2470.000000	82.136	-142.2380
2500.000000	82.267	-143.5087
2540.000000	82.384	-144.8860
2580.000000	82.498	-145.9298
2620.000000	82.624	-146.7278
2650.000000	82.753	-147.2762
2690.000000	82.951	-148.3190
2720.000000	83.064	-149.3339
2760.000000	83.175	-150.3673
2800.000000	83.336	-151.3102
2850.000000	83.514	-152.7152
2900.000000	83.731	-154.0197
2950.000000	83.948	-155.8745
3000.000000	84.108	-157.7540
3040.000000	84.269	-159.3372
3070.000000	84.374	-160.8859
3110.000000	84.435	-163.1398
3150.000000	84.422	-165.1912
3200.000000	84.375	-167.3372
3250.000000	84.308	-169.2673
3300.000000	84.214	-170.8093
3350.000000	84.185	-171.9094
3400.000000	84.211	-173.6072
3450.000000	84.140	-175.5721
3500.000000	84.031	-177.2183
3550.000000	83.906	-178.8814
3600.000000	83.718	179.5648
3650.000000	83.466	178.4539
3700.000000	83.205	178.0554
3750.000000	82.997	178.1008
3820.000000	82.750	178.3755
3870.000000	82.568	179.0993
3950.000000	82.439	-178.5668
4000.000000	82.524	-176.6712
4060.000000	82.873	-174.6494
4120.000000	83.421	-173.9890
4180.000000	83.999	-175.1442
4250.000000	84.562	-178.4850
4310.000000	84.838	177.4291
4370.000000	84.907	173.0892
4440.000000	84.746	168.2963
4500.000000	84.446	165.1307
4550.000000	84.157	163.2148
4620.000000	83.742	161.4760
4680.000000	83.416	160.6873
4750.000000	83.099	160.4028
4820.000000	82.874	160.4852
4870.000000	82.770	160.6254
4940.000000	82.688	160.7688
5000.000000	82.666	160.8300
5080.000000	82.718	160.7820
5150.000000	82.850	160.2891
5220.000000	83.009	159.1364
5300.000000	83.190	157.1019
5380.000000	83.346	154.2336
5450.000000	83.432	150.9854
5520.000000	83.427	146.9938
5600.000000	83.235	141.7426
5700.000000	82.624	135.1713
5800.000000	81.625	130.2733
5900.000000	80.408	128.1005
6000.000000	79.199	128.6364
6080.000000	78.334	130.4196
6150.000000	77.653	132.8319
6220.000000	77.076	136.0377
6300.000000	76.607	140.3044
6400.000000	76.329	145.8074
6500.000000	76.353	150.7710
6600.000000	76.573	154.6454
6700.000000	76.906	157.5394
6800.000000	77.351	159.3751
6900.000000	77.846	159.6974
7000.000000	78.272	158.4815
7100.000000	78.551	156.1819
7200.000000	78.658	153.3664
7300.000000	78.595	150.5148
7400.000000	78.385	148.0941
7500.000000	78.083	146.3976
7620.000000	77.676	145.2588
7750.000000	77.208	145.2211
7880.000000	76.822	146.6237
8000.000000	76.644	148.7562
8120.000000	76.683	151.2806
8250.000000	77.053	153.9971
8380.000000	77.848	155.6578
8500.000000	78.942	154.8628
8620.000000	80.227	150.2949
8750.000000	81.475	139.4364
8850.000000	82.014	126.5828
9000.000000	81.676	103.0259
9120.000000	80.332	85.1499
9250.000000	78.052	69.8779
9380.000000	75.267	58.1736
9500.000000	72.380	48.4554
9620.000000	69.087	37.0990
9750.000000	64.783	15.5676
9880.000000	59.681	-29.2211
10000.000000	57.109	-83.8976
10150.000000	59.996	-127.0280
10300.000000	63.031	-140.4269
10440.000000	65.064	-144.1632
10600.000000	66.807	-146.2460
10750.000000	68.169	-147.4763
10900.000000	69.530	-148.7788
11060.000000	71.022	-152.4080
11200.000000	72.069	-159.3499
11380.000000	72.453	-172.3098
11500.000000	71.968	-179.8091
11720.000000	70.299	175.7429
11800.000000	69.748	176.5459
12060.000000	68.648	-177.2703
12200.000000	68.525	-172.5764
12410.000000	69.185	-166.3789
12500.000000	69.723	-165.3616
12650.000000	70.639	-167.4590
12800.000000	71.171	-174.5044
13150.000000	69.325	165.4626
13200.000000	68.666	164.8796
13400.000000	65.546	174.3644
13600.000000	63.950	-164.9924
13800.000000	64.750	-149.7169
14000.000000	65.889	-142.0521
14300.000000	67.376	-135.6912
14500.000000	68.447	-132.9612
14750.000000	70.034	-132.3779
15000.000000	71.473	-138.3838
15250.000000	71.833	-149.8005
15500.000000	71.018	-158.3685
15750.000000	69.684	-159.7496
16000.000000	68.637	-154.1411
16250.000000	68.731	-146.1383
16500.000000	69.678	-141.8610
16750.000000	70.753	-142.3438
17000.000000	71.801	-147.1943
17250.000000	72.355	-158.6106
17500.000000	71.570	-172.5454
17750.000000	69.370	-178.1001
18000.000000	66.658	-169.6060
18250.000000	65.465	-152.5386
18500.000000	66.657	-138.3127
18750.000000	68.718	-132.7051
19000.000000	70.611	-136.1970
19250.000000	71.775	-147.6042
19500.000000	71.876	-163.0476
19750.000000	71.035	-176.4407
