* Measurement data measured by REW V5.20.13
* Source: C:\Users\starf\Downloads\Sennheiser-HD-595-Ted_L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 12, 2023 5:29:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\starf\Downloads\Sennheiser-HD-595-Ted_L.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: Sennheiser-HD-595-Ted_L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.671	-69.7466
20.299999	88.778	-70.3803
20.600000	88.920	-71.2960
20.900000	89.058	-72.3092
21.200001	89.183	-73.3435
21.400000	89.259	-74.0074
21.799999	89.408	-75.2279
22.000000	89.488	-75.7907
22.400000	89.668	-76.9101
22.700001	89.816	-77.8616
23.000000	89.962	-78.9847
23.299999	90.086	-80.2714
23.600000	90.169	-81.6268
24.000000	90.212	-83.2603
24.299999	90.208	-84.1372
24.700001	90.205	-84.6935
25.000000	90.245	-84.7363
25.400000	90.389	-84.6268
25.799999	90.616	-84.7776
26.200001	90.865	-85.4412
26.500000	91.028	-86.2348
26.900000	91.192	-87.4478
27.200001	91.278	-88.2925
27.600000	91.369	-89.1881
28.000000	91.466	-89.8435
28.500000	91.620	-90.5765
29.000000	91.793	-91.5120
29.500000	91.943	-92.7063
30.000000	92.049	-93.9900
30.400000	92.107	-94.9567
30.700001	92.143	-95.6154
31.100000	92.186	-96.4112
31.500000	92.231	-97.1360
32.000000	92.294	-97.9713
32.500000	92.369	-98.7530
33.000000	92.461	-99.5306
33.500000	92.566	-100.3642
34.000000	92.675	-101.2684
34.500000	92.782	-102.2083
35.000000	92.887	-103.1602
35.500000	92.985	-104.1297
36.000000	93.067	-105.0794
36.500000	93.133	-105.9010
37.000000	93.201	-106.5290
37.500000	93.289	-107.0578
38.200001	93.430	-107.8953
38.700001	93.519	-108.5307
39.500000	93.665	-109.4509
40.000000	93.777	-110.1931
40.599998	93.882	-111.5292
41.200001	93.888	-113.0257
41.799999	93.818	-114.1184
42.500000	93.734	-114.8552
43.099998	93.667	-115.2973
43.700001	93.602	-115.3689
44.400002	93.629	-114.9599
