* Measurement data measured by REW V5.20.13
* Source: C:\Users\starf\Downloads\Sennheiser-HD-595-Ted_R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 12, 2023 5:29:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\starf\Downloads\Sennheiser-HD-595-Ted_R.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: Sennheiser-HD-595-Ted_R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.006	-73.9278
20.299999	90.096	-74.6629
20.600000	90.212	-75.6236
20.900000	90.326	-76.5756
21.200001	90.437	-77.4931
21.400000	90.510	-78.0887
21.799999	90.656	-79.2598
22.000000	90.728	-79.8434
22.400000	90.868	-81.0139
22.700001	90.967	-81.8884
23.000000	91.060	-82.7444
23.299999	91.147	-83.5628
23.600000	91.231	-84.3277
24.000000	91.345	-85.2619
24.299999	91.437	-85.9155
24.700001	91.570	-86.7695
25.000000	91.677	-87.4328
25.400000	91.822	-88.3821
25.799999	91.962	-89.4089
26.200001	92.089	-90.4832
26.500000	92.174	-91.2883
26.900000	92.275	-92.3181
27.200001	92.344	-93.0356
27.600000	92.433	-93.9072
28.000000	92.526	-94.6974
28.500000	92.654	-95.6353
29.000000	92.791	-96.6056
29.500000	92.925	-97.6485
30.000000	93.045	-98.7274
30.400000	93.130	-99.5671
30.700001	93.189	-100.1639
31.100000	93.268	-100.9142
31.500000	93.349	-101.6319
32.000000	93.453	-102.5253
32.500000	93.556	-103.4436
33.000000	93.654	-104.3836
33.500000	93.743	-105.3225
34.000000	93.825	-106.2380
34.500000	93.902	-107.1158
35.000000	93.977	-107.9515
35.500000	94.053	-108.7535
36.000000	94.132	-109.5428
36.500000	94.214	-110.3429
37.000000	94.298	-111.1712
37.500000	94.382	-112.0446
38.200001	94.497	-113.3805
38.700001	94.567	-114.4406
39.500000	94.638	-116.2533
40.000000	94.651	-117.3542
40.599998	94.643	-118.5515
41.200001	94.621	-119.6037
41.799999	94.587	-120.5328
42.500000	94.530	-121.4426
43.099998	94.471	-122.0148
43.700001	94.411	-122.3573
44.400002	94.353	-122.4728
45.000000	94.329	-122.3545
45.500000	94.336	-122.1447
46.200001	94.397	-121.8210
46.799999	94.493	-121.6672
47.500000	94.636	-121.7649
48.200001	94.786	-122.1927
48.700001	94.887	-122.6805
49.400002	95.010	-123.5582
50.000000	95.093	-124.4327
50.799999	95.171	-125.6968
51.500000	95.209	-126.8431
52.200001	95.219	-127.9902
53.000000	95.191	-129.2578
53.799999	95.118	-130.4119
54.500000	95.011	-131.2274
55.200001	94.872	-131.7240
56.000000	94.699	-131.7810
57.000000	94.513	-131.1154
