* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 11:25:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XB-500 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.571	-95.6434
20.299999	98.733	-97.1668
20.600000	98.886	-98.7686
20.900000	99.022	-100.4178
21.200001	99.139	-102.0574
21.400000	99.206	-103.1130
21.799999	99.327	-105.0875
22.000000	99.386	-106.0027
22.400000	99.509	-107.7254
22.700001	99.610	-108.9793
23.000000	99.715	-110.2448
23.299999	99.819	-111.5432
23.600000	99.917	-112.8734
24.000000	100.035	-114.6660
24.299999	100.113	-116.0008
24.700001	100.206	-117.7505
25.000000	100.268	-119.0430
25.400000	100.342	-120.7494
25.799999	100.404	-122.4371
26.200001	100.455	-124.0936
26.500000	100.488	-125.3099
26.900000	100.526	-126.9057
27.200001	100.552	-128.0980
27.600000	100.581	-129.7034
28.000000	100.597	-131.3266
28.500000	100.593	-133.3240
29.000000	100.565	-135.1760
29.500000	100.526	-136.8187
30.000000	100.492	-138.2819
30.400000	100.470	-139.3645
30.700001	100.453	-140.1294
31.100000	100.430	-141.0624
31.500000	100.408	-141.8521
32.000000	100.398	-142.6089
32.500000	100.431	-143.1863
33.000000	100.515	-143.7786
33.500000	100.637	-144.5674
34.000000	100.772	-145.6362
34.500000	100.899	-146.9670
35.000000	101.006	-148.4966
35.500000	101.087	-150.1676
36.000000	101.141	-151.9299
36.500000	101.167	-153.7269
37.000000	101.167	-155.4963
37.500000	101.152	-157.1988
38.200001	101.125	-159.5171
38.700001	101.102	-161.2166
39.500000	101.032	-164.0740
40.000000	100.954	-165.8386
40.599998	100.834	-167.7975
41.200001	100.705	-169.5942
41.799999	100.571	-171.3282
42.500000	100.394	-173.3187
43.099998	100.217	-174.9422
43.700001	100.020	-176.4684
44.400002	99.765	-178.1499
45.000000	99.517	-179.4751
45.500000	99.290	179.5488
46.200001	98.950	178.4103
46.799999	98.641	177.6536
47.500000	98.264	177.0624
48.200001	97.877	176.8228
48.700001	97.600	176.8596
49.400002	97.211	177.1967
50.000000	96.873	177.8122
50.799999	96.429	179.2834
51.500000	96.088	-178.7566
52.200001	95.833	-176.3422
53.000000	95.656	-173.3432
53.799999	95.592	-170.2672
54.500000	95.627	-167.6320
55.200001	95.739	-165.2281
56.000000	95.927	-162.8826
57.000000	96.214	-160.4713
58.000000	96.545	-158.6013
59.000000	96.885	-157.2733
60.000000	97.222	-156.1588
60.799999	97.528	-155.3392
61.500000	97.832	-154.8463
62.200001	98.150	-154.6651
63.000000	98.511	-154.8060
64.000000	98.945	-155.3829
65.000000	99.356	-156.3067
66.000000	99.740	-157.5283
67.000000	100.090	-159.0284
68.000000	100.399	-160.7319
69.000000	100.675	-162.5757
70.000000	100.922	-164.5695
71.000000	101.133	-166.7135
72.000000	101.307	-168.9232
73.000000	101.449	-171.1246
74.000000	101.563	-173.3035
75.000000	101.651	-175.4463
76.199997	101.719	-177.9510
77.500000	101.747	179.4624
78.800003	101.742	177.0515
80.000000	101.717	174.9891
81.199997	101.689	173.1500
82.500000	101.682	171.3237
83.800003	101.703	169.5381
85.000000	101.744	167.8263
86.199997	101.793	165.9453
87.500000	101.845	163.6713
88.500000	101.875	161.7012
90.000000	101.882	158.3724
91.199997	101.838	155.4274
92.500000	101.723	152.0602
93.800003	101.526	148.6064
95.000000	101.257	145.4299
96.199997	100.890	142.4009
97.500000	100.373	139.5327
98.800003	99.731	137.4691
100.000000	99.052	136.6892
101.500000	98.179	137.7102
103.000000	97.460	140.9335
104.400002	97.105	145.0770
106.000000	97.116	149.4966
107.500000	97.390	152.2851
109.000000	97.764	153.5195
110.599998	98.153	153.3206
112.000000	98.425	152.2501
113.800003	98.658	150.2231
115.000000	98.744	148.6525
117.199997	98.766	145.6392
118.000000	98.740	144.5940
120.599998	98.594	141.4178
122.000000	98.478	139.7423
124.099998	98.232	137.3616
125.000000	98.099	136.4587
126.500000	97.851	135.1890
128.000000	97.586	134.2604
131.500000	97.003	133.4511
132.000000	96.933	133.4551
134.000000	96.700	133.5827
136.000000	96.537	133.6414
138.000000	96.413	133.4307
140.000000	96.290	133.0689
143.000000	96.098	132.4587
145.000000	95.956	131.9866
147.500000	95.760	131.3774
150.000000	95.567	130.7820
152.500000	95.352	130.2104
155.000000	95.117	129.9272
157.500000	94.883	129.8486
160.000000	94.653	129.9514
162.500000	94.447	130.3223
165.000000	94.302	130.8315
167.500000	94.224	131.4316
170.000000	94.210	132.0011
172.500000	94.269	132.2745
175.000000	94.364	131.8425
177.500000	94.446	130.6419
180.000000	94.452	128.8442
182.500000	94.358	126.8462
185.000000	94.176	124.8901
187.500000	93.926	123.2028
190.000000	93.638	121.8431
192.500000	93.315	120.8542
195.000000	92.987	120.2678
197.500000	92.673	119.8380
200.000000	92.357	119.5189
203.000000	91.990	119.4771
206.000000	91.652	119.6454
209.000000	91.314	119.7883
212.000000	90.978	120.0008
214.000000	90.767	120.2689
218.000000	90.372	121.0607
220.000000	90.186	121.5171
224.000000	89.818	122.5753
227.000000	89.535	123.6331
230.000000	89.275	124.7810
233.000000	89.055	125.8718
236.000000	88.848	126.9704
240.000000	88.586	128.6307
243.000000	88.436	129.9796
247.000000	88.289	131.6656
250.000000	88.193	132.7281
254.000000	88.067	133.9503
258.000000	87.949	135.2236
262.000000	87.842	136.5174
265.000000	87.782	137.3988
269.000000	87.722	138.4557
272.000000	87.673	139.1328
276.000000	87.599	139.8286
280.000000	87.532	140.5892
285.000000	87.438	141.7315
290.000000	87.340	142.6840
295.000000	87.222	143.6189
300.000000	87.102	144.4919
304.000000	87.008	145.2623
307.000000	86.936	145.8690
311.000000	86.840	146.7076
315.000000	86.735	147.5775
320.000000	86.618	148.7072
