* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 9:38:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.974	0.0626
20.299999	61.350	-1.6135
20.600000	61.614	-4.1274
20.900000	61.723	-6.8227
21.200001	61.693	-8.9264
21.400000	61.643	-9.6968
21.799999	61.598	-9.7659
22.000000	61.665	-9.2836
22.400000	62.048	-8.2140
22.700001	62.489	-8.1332
23.000000	62.940	-9.0958
23.299999	63.311	-10.9211
23.600000	63.557	-13.1983
24.000000	63.676	-16.1425
24.299999	63.647	-17.7372
24.700001	63.545	-18.7101
25.000000	63.495	-18.6763
25.400000	63.533	-18.0833
25.799999	63.691	-17.5255
26.200001	63.911	-17.4231
26.500000	64.081	-17.6707
26.900000	64.288	-18.3135
27.200001	64.427	-18.9316
27.600000	64.596	-19.8577
28.000000	64.752	-20.8605
28.500000	64.938	-22.1799
29.000000	65.129	-23.5594
29.500000	65.333	-25.1000
30.000000	65.525	-26.9378
30.400000	65.637	-28.5675
30.700001	65.686	-29.7618
31.100000	65.710	-31.0973
31.500000	65.717	-31.9865
32.000000	65.764	-32.5006
32.500000	65.896	-32.7224
33.000000	66.096	-33.0891
33.500000	66.320	-33.7493
34.000000	66.538	-34.6339
34.500000	66.742	-35.6538
35.000000	66.929	-36.7622
35.500000	67.095	-37.8776
36.000000	67.250	-38.8971
36.500000	67.415	-39.7972
37.000000	67.605	-40.6801
37.500000	67.813	-41.6844
38.200001	68.097	-43.4021
38.700001	68.264	-44.7515
39.500000	68.459	-46.5928
40.000000	68.583	-47.3242
40.599998	68.802	-47.9893
41.200001	69.090	-49.0885
41.799999	69.337	-50.9746
42.500000	69.444	-53.4763
43.099998	69.421	-54.8325
43.700001	69.447	-55.2721
44.400002	69.650	-55.6195
45.000000	69.906	-56.6335
45.500000	70.096	-58.0340
46.200001	70.276	-60.3677
46.799999	70.361	-62.3033
47.500000	70.421	-64.2493
48.200001	70.477	-65.8213
48.700001	70.533	-66.7616
49.400002	70.647	-67.9755
50.000000	70.770	-69.0673
50.799999	70.940	-70.7014
51.500000	71.075	-72.2609
52.200001	71.190	-73.8937
53.000000	71.291	-75.8417
53.799999	71.348	-77.8413
54.500000	71.357	-79.5508
55.200001	71.332	-81.1362
56.000000	71.276	-82.7209
57.000000	71.192	-84.3043
58.000000	71.140	-85.4835
59.000000	71.152	-86.5662
60.000000	71.189	-87.8088
60.799999	71.215	-88.7695
61.500000	71.249	-89.5146
62.200001	71.300	-90.2483
63.000000	71.366	-91.1677
64.000000	71.435	-92.3943
65.000000	71.483	-93.5598
66.000000	71.523	-94.6188
67.000000	71.569	-95.6122
68.000000	71.624	-96.6168
69.000000	71.687	-97.7094
70.000000	71.735	-98.9250
71.000000	71.755	-99.9933
72.000000	71.801	-100.8093
73.000000	71.875	-101.7450
74.000000	71.926	-102.7631
75.000000	71.968	-103.6434
76.199997	72.026	-104.6597
77.500000	72.079	-105.8129
78.800003	72.120	-106.9871
80.000000	72.149	-108.1084
81.199997	72.163	-109.2666
82.500000	72.165	-110.4652
83.800003	72.163	-111.5764
