* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:17:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zeus L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.621	-75.9824
20.299999	87.786	-76.7725
20.600000	87.946	-77.5203
20.900000	88.105	-78.2178
21.200001	88.268	-78.8785
21.400000	88.379	-79.3143
21.799999	88.605	-80.1992
22.000000	88.718	-80.6568
22.400000	88.939	-81.6028
22.700001	89.097	-82.3201
23.000000	89.247	-83.0181
23.299999	89.391	-83.6769
23.600000	89.531	-84.2894
24.000000	89.717	-85.0423
24.299999	89.857	-85.5822
24.700001	90.045	-86.3059
25.000000	90.182	-86.8697
25.400000	90.356	-87.6494
25.799999	90.514	-88.4301
26.200001	90.659	-89.1690
26.500000	90.761	-89.6804
26.900000	90.896	-90.3083
27.200001	90.997	-90.7540
27.600000	91.134	-91.3385
28.000000	91.272	-91.9286
28.500000	91.444	-92.6786
29.000000	91.620	-93.4518
29.500000	91.799	-94.2872
30.000000	91.973	-95.2187
30.400000	92.101	-96.0089
30.700001	92.188	-96.5950
31.100000	92.299	-97.3264
31.500000	92.409	-97.9927
32.000000	92.557	-98.7939
32.500000	92.711	-99.6602
33.000000	92.852	-100.6125
33.500000	92.970	-101.5556
34.000000	93.074	-102.3855
34.500000	93.180	-103.1089
35.000000	93.294	-103.8125
35.500000	93.406	-104.5533
36.000000	93.509	-105.3052
36.500000	93.607	-106.0295
37.000000	93.703	-106.7416
37.500000	93.797	-107.4814
38.200001	93.910	-108.5316
38.700001	93.978	-109.2041
39.500000	94.095	-110.1089
40.000000	94.182	-110.6719
40.599998	94.288	-111.4277
41.200001	94.381	-112.2333
41.799999	94.462	-113.0209
42.500000	94.546	-113.9135
43.099998	94.604	-114.6755
43.700001	94.643	-115.3764
44.400002	94.676	-116.0379
45.000000	94.704	-116.5107
45.500000	94.725	-116.8872
46.200001	94.742	-117.3350
46.799999	94.754	-117.5642
47.500000	94.790	-117.7471
48.200001	94.833	-118.0043
48.700001	94.854	-118.1788
49.400002	94.883	-118.2445
50.000000	94.937	-118.1912
50.799999	95.046	-118.2602
51.500000	95.142	-118.4875
52.200001	95.233	-118.7290
53.000000	95.345	-119.0134
53.799999	95.460	-119.3750
54.500000	95.556	-119.7308
55.200001	95.648	-120.1041
56.000000	95.747	-120.5534
57.000000	95.857	-121.0964
58.000000	95.962	-121.5508
59.000000	96.080	-121.9468
60.000000	96.216	-122.3458
60.799999	96.342	-122.7166
61.500000	96.460	-123.1315
62.200001	96.579	-123.6476
63.000000	96.708	-124.3586
64.000000	96.840	-125.4224
65.000000	96.912	-126.4981
66.000000	96.939	-127.2861
67.000000	96.962	-127.7325
68.000000	97.001	-127.9569
69.000000	97.067	-128.0708
70.000000	97.159	-128.1741
71.000000	97.272	-128.3210
72.000000	97.405	-128.5341
73.000000	97.552	-128.8608
74.000000	97.703	-129.3198
75.000000	97.852	-129.8829
76.199997	98.023	-130.6783
77.500000	98.193	-131.6650
78.800003	98.346	-132.7276
80.000000	98.471	-133.7681
81.199997	98.583	-134.8207
82.500000	98.695	-136.0014
83.800003	98.790	-137.2382
85.000000	98.862	-138.3853
86.199997	98.921	-139.5088
87.500000	98.970	-140.6811
88.500000	98.999	-141.5294
90.000000	99.027	-142.6995
91.199997	99.035	-143.5265
92.500000	99.031	-144.2965
93.800003	99.018	-144.9266
95.000000	99.003	-145.3785
96.199997	98.996	-145.7228
97.500000	99.003	-146.0269
98.800003	99.028	-146.3101
100.000000	99.065	-146.5836
101.500000	99.128	-146.9801
103.000000	99.201	-147.4858
104.400002	99.266	-148.0731
106.000000	99.326	-148.8408
107.500000	99.367	-149.6226
109.000000	99.390	-150.4413
110.599998	99.394	-151.2911
112.000000	99.385	-151.9522
113.800003	99.371	-152.6355
115.000000	99.368	-152.9883
117.199997	99.385	-153.4813
118.000000	99.400	-153.6348
120.599998	99.476	-154.1959
122.000000	99.523	-154.5989
124.099998	99.583	-155.3351
125.000000	99.603	-155.6814
126.500000	99.628	-156.2755
128.000000	99.641	-156.8708
131.500000	99.634	-158.1226
132.000000	99.630	-158.2712
134.000000	99.621	-158.7784
136.000000	99.627	-159.1836
138.000000	99.652	-159.5699
140.000000	99.690	-159.9999
143.000000	99.753	-160.7604
145.000000	99.791	-161.3228
147.500000	99.825	-162.0514
150.000000	99.846	-162.7869
152.500000	99.858	-163.5378
155.000000	99.866	-164.2750
157.500000	99.876	-164.9741
160.000000	99.889	-165.6496
162.500000	99.902	-166.3159
165.000000	99.913	-166.9643
167.500000	99.921	-167.6029
170.000000	99.927	-168.2566
172.500000	99.928	-168.9395
175.000000	99.924	-169.6550
177.500000	99.913	-170.4149
180.000000	99.892	-171.2434
182.500000	99.845	-172.1752
185.000000	99.737	-173.1070
187.500000	99.547	-173.5626
190.000000	99.358	-172.9827
192.500000	99.322	-171.7606
195.000000	99.440	-170.9901
197.500000	99.587	-171.0135
200.000000	99.692	-171.4845
203.000000	99.764	-172.2173
206.000000	99.800	-172.9678
209.000000	99.815	-173.7176
212.000000	99.812	-174.4650
214.000000	99.799	-174.9570
218.000000	99.745	-175.8667
220.000000	99.711	-176.2121
224.000000	99.671	-176.6140
227.000000	99.683	-176.8821
230.000000	99.705	-177.2756
233.000000	99.715	-177.7509
236.000000	99.708	-178.2475
240.000000	99.679	-178.8906
243.000000	99.654	-179.3311
247.000000	99.635	-179.8624
250.000000	99.629	179.7372
254.000000	99.615	179.1528
258.000000	99.589	178.5268
262.000000	99.558	177.9258
265.000000	99.535	177.5085
269.000000	99.502	176.9772
272.000000	99.477	176.5919
276.000000	99.443	176.0882
280.000000	99.404	175.5922
285.000000	99.350	174.9898
290.000000	99.296	174.4097
295.000000	99.237	173.8510
300.000000	99.173	173.3292
304.000000	99.123	172.9458
307.000000	99.088	172.6653
311.000000	99.043	172.2855
315.000000	98.995	171.8960
320.000000	98.929	171.4078
325.000000	98.856	170.9426
330.000000	98.777	170.5221
335.000000	98.693	170.1514
340.000000	98.606	169.8414
345.000000	98.518	169.6101
350.000000	98.435	169.4724
355.000000	98.366	169.4086
360.000000	98.314	169.3403
365.000000	98.273	169.1790
370.000000	98.230	168.9230
375.000000	98.176	168.6283
382.000000	98.082	168.2230
387.000000	98.006	167.9781
395.000000	97.873	167.7057
400.000000	97.789	167.6385
406.000000	97.696	167.6289
412.000000	97.613	167.6438
418.000000	97.536	167.6670
425.000000	97.449	167.7070
431.000000	97.375	167.7579
437.000000	97.300	167.8353
444.000000	97.213	167.9819
450.000000	97.143	168.1785
455.000000	97.091	168.3887
462.000000	97.032	168.7299
468.000000	96.995	169.0351
475.000000	96.968	169.3730
482.000000	96.958	169.6513
487.000000	96.960	169.7885
494.000000	96.968	169.8940
500.000000	96.976	169.8987
508.000000	96.976	169.7472
515.000000	96.951	169.5262
522.000000	96.894	169.3936
530.000000	96.819	169.6148
538.000000	96.811	170.1314
545.000000	96.869	170.3422
552.000000	96.933	170.1622
560.000000	96.971	169.6558
