* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 19, 2023 2:58:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zeus R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.009	-77.2704
20.299999	88.187	-77.9862
20.600000	88.355	-78.7168
20.900000	88.512	-79.4262
21.200001	88.663	-80.0858
21.400000	88.764	-80.5015
21.799999	88.969	-81.3175
22.000000	89.072	-81.7414
22.400000	89.273	-82.6602
22.700001	89.410	-83.3953
23.000000	89.530	-84.1126
23.299999	89.638	-84.7452
23.600000	89.743	-85.2625
24.000000	89.897	-85.7981
24.299999	90.033	-86.1729
24.700001	90.236	-86.7832
25.000000	90.390	-87.3853
25.400000	90.577	-88.3553
25.799999	90.731	-89.3700
26.200001	90.861	-90.2739
26.500000	90.955	-90.8489
26.900000	91.088	-91.5260
27.200001	91.195	-92.0268
27.600000	91.338	-92.7347
28.000000	91.472	-93.4628
28.500000	91.624	-94.2814
29.000000	91.782	-94.9372
29.500000	91.960	-95.5397
30.000000	92.151	-96.2429
30.400000	92.297	-96.8926
30.700001	92.398	-97.3996
31.100000	92.524	-98.0599
31.500000	92.643	-98.6899
32.000000	92.787	-99.4567
32.500000	92.921	-100.2116
33.000000	93.045	-100.9138
33.500000	93.168	-101.5359
34.000000	93.302	-102.1334
34.500000	93.441	-102.8003
35.000000	93.572	-103.5569
35.500000	93.686	-104.3246
36.000000	93.791	-105.0162
36.500000	93.901	-105.6283
37.000000	94.022	-106.2322
37.500000	94.148	-106.8881
38.200001	94.318	-107.8809
38.700001	94.433	-108.5923
39.500000	94.614	-109.7161
40.000000	94.725	-110.4422
40.599998	94.850	-111.3491
41.200001	94.964	-112.2762
41.799999	95.065	-113.2077
42.500000	95.166	-114.2796
43.099998	95.239	-115.1592
43.700001	95.305	-115.9944
44.400002	95.374	-116.9109
45.000000	95.430	-117.6171
45.500000	95.484	-118.1478
46.200001	95.578	-118.9038
46.799999	95.664	-119.6594
47.500000	95.748	-120.6021
48.200001	95.823	-121.4999
48.700001	95.876	-122.1657
49.400002	95.926	-123.2064
50.000000	95.923	-124.0279
50.799999	95.884	-124.6445
51.500000	95.878	-124.8208
52.200001	95.905	-124.9930
53.000000	95.937	-125.2781
53.799999	95.966	-125.5414
54.500000	95.995	-125.7590
55.200001	96.029	-125.9894
56.000000	96.071	-126.2672
57.000000	96.129	-126.6273
58.000000	96.193	-126.9362
59.000000	96.273	-127.1952
60.000000	96.366	-127.4314
60.799999	96.452	-127.6103
61.500000	96.536	-127.7954
62.200001	96.625	-128.0382
63.000000	96.726	-128.3983
64.000000	96.847	-128.9565
65.000000	96.962	-129.6168
66.000000	97.069	-130.3912
67.000000	97.160	-131.2599
68.000000	97.232	-132.1596
69.000000	97.279	-133.0193
