* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:15:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aria Snow L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.373	-150.5867
20.299999	103.369	-151.3797
20.600000	103.370	-152.0956
20.900000	103.383	-152.7722
21.200001	103.408	-153.4674
21.400000	103.428	-153.9697
21.799999	103.469	-155.0810
22.000000	103.484	-155.6827
22.400000	103.495	-156.9229
22.700001	103.485	-157.8174
23.000000	103.465	-158.6231
23.299999	103.444	-159.3238
23.600000	103.428	-159.9384
24.000000	103.422	-160.6920
24.299999	103.429	-161.2729
24.700001	103.442	-162.1212
25.000000	103.446	-162.8053
25.400000	103.435	-163.7186
25.799999	103.409	-164.5367
26.200001	103.380	-165.2048
26.500000	103.366	-165.6250
26.900000	103.366	-166.1472
27.200001	103.377	-166.5695
27.600000	103.398	-167.2263
28.000000	103.414	-167.9926
28.500000	103.412	-169.0228
29.000000	103.387	-170.0103
29.500000	103.350	-170.8934
30.000000	103.313	-171.6940
30.400000	103.285	-172.3111
30.700001	103.262	-172.7691
31.100000	103.230	-173.3636
31.500000	103.194	-173.9178
32.000000	103.152	-174.5341
32.500000	103.121	-175.1010
33.000000	103.100	-175.7021
33.500000	103.079	-176.3737
34.000000	103.046	-177.0549
34.500000	103.007	-177.6535
35.000000	102.977	-178.1669
35.500000	102.963	-178.6991
36.000000	102.952	-179.3367
36.500000	102.926	179.9577
37.000000	102.885	179.3092
37.500000	102.841	178.7825
38.200001	102.802	178.1230
38.700001	102.784	177.5802
39.500000	102.740	176.6083
40.000000	102.701	176.0357
40.599998	102.653	175.4057
41.200001	102.607	174.7976
41.799999	102.559	174.2186
42.500000	102.505	173.6124
43.099998	102.469	173.1105
43.700001	102.435	172.5766
44.400002	102.392	171.9422
45.000000	102.354	171.4167
45.500000	102.322	170.9657
46.200001	102.269	170.2987
46.799999	102.206	169.7654
47.500000	102.126	169.2751
48.200001	102.051	168.8732
48.700001	101.999	168.5997
49.400002	101.927	168.2495
50.000000	101.869	167.9758
50.799999	101.796	167.5652
51.500000	101.721	167.1950
52.200001	101.641	166.9459
53.000000	101.569	166.8025
53.799999	101.529	166.6624
54.500000	101.515	166.4759
55.200001	101.518	166.1564
56.000000	101.514	165.5735
57.000000	101.468	164.7635
58.000000	101.401	164.1135
59.000000	101.329	163.5384
60.000000	101.247	163.0357
60.799999	101.178	162.6626
61.500000	101.112	162.3405
62.200001	101.037	162.0445
63.000000	100.945	161.7405
64.000000	100.819	161.4161
65.000000	100.683	161.1961
66.000000	100.542	161.1225
67.000000	100.415	161.2973
68.000000	100.336	161.6545
69.000000	100.314	161.9803
70.000000	100.328	162.0850
71.000000	100.336	162.0439
72.000000	100.344	162.0292
73.000000	100.352	161.9615
74.000000	100.347	161.9487
75.000000	100.366	161.9747
76.199997	100.401	161.5861
77.500000	100.384	160.8949
78.800003	100.354	160.1352
80.000000	100.302	159.2776
81.199997	100.223	158.5222
82.500000	100.134	157.8893
83.800003	100.050	157.3903
85.000000	99.968	156.9817
86.199997	99.876	156.6629
87.500000	99.773	156.4357
88.500000	99.697	156.3139
90.000000	99.586	156.2026
91.199997	99.506	156.2134
92.500000	99.438	156.3141
93.800003	99.395	156.4204
95.000000	99.374	156.4665
96.199997	99.363	156.3769
97.500000	99.344	156.1132
98.800003	99.308	155.7942
100.000000	99.271	155.5007
101.500000	99.224	155.0570
103.000000	99.159	154.5971
104.400002	99.090	154.2397
106.000000	99.011	153.8837
107.500000	98.931	153.5587
109.000000	98.844	153.2760
110.599998	98.750	153.0112
112.000000	98.670	152.7875
113.800003	98.563	152.5237
115.000000	98.491	152.3800
117.199997	98.356	152.1850
118.000000	98.306	152.1351
120.599998	98.140	152.0391
122.000000	98.047	152.0345
124.099998	97.905	152.1349
125.000000	97.846	152.2208
126.500000	97.750	152.4169
128.000000	97.659	152.6969
131.500000	97.505	153.7142
132.000000	97.493	153.8783
134.000000	97.473	154.4904
136.000000	97.491	154.9325
138.000000	97.529	155.0694
140.000000	97.558	154.8981
143.000000	97.550	154.3851
145.000000	97.515	154.0581
147.500000	97.455	153.7201
150.000000	97.389	153.4220
152.500000	97.318	153.1406
155.000000	97.242	152.8789
157.500000	97.156	152.6566
160.000000	97.066	152.4800
