* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:14:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aria Snow R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.200	179.3112
20.299999	107.180	178.6169
20.600000	107.156	177.9488
20.900000	107.129	177.3249
21.200001	107.103	176.7542
21.400000	107.088	176.3974
21.799999	107.065	175.7134
22.000000	107.057	175.3712
22.400000	107.045	174.6605
22.700001	107.035	174.1044
23.000000	107.020	173.5440
23.299999	107.001	172.9985
23.600000	106.980	172.4757
24.000000	106.951	171.8089
24.299999	106.928	171.3181
24.700001	106.894	170.6689
25.000000	106.863	170.2019
25.400000	106.817	169.6445
25.799999	106.773	169.1862
26.200001	106.744	168.7834
26.500000	106.733	168.4550
26.900000	106.725	167.9138
27.200001	106.713	167.4252
27.600000	106.677	166.7306
28.000000	106.619	166.1212
28.500000	106.542	165.6090
29.000000	106.500	165.2520
29.500000	106.496	164.7456
30.000000	106.486	163.9273
30.400000	106.443	163.1669
30.700001	106.388	162.6518
31.100000	106.301	162.1500
31.500000	106.222	161.8549
32.000000	106.160	161.5815
32.500000	106.127	161.1478
33.000000	106.080	160.5038
33.500000	105.997	159.8657
34.000000	105.897	159.4632
34.500000	105.820	159.2773
35.000000	105.782	159.0904
35.500000	105.762	158.7232
36.000000	105.730	158.2185
36.500000	105.680	157.7380
37.000000	105.631	157.3634
37.500000	105.595	157.0204
38.200001	105.555	156.4059
38.700001	105.511	155.8937
39.500000	105.413	155.1896
40.000000	105.350	154.8365
40.599998	105.273	154.4339
41.200001	105.190	154.0697
41.799999	105.108	153.8036
42.500000	105.040	153.5265
43.099998	105.002	153.1059
43.700001	104.947	152.4500
44.400002	104.829	151.6450
45.000000	104.693	151.2505
45.500000	104.592	151.2031
46.200001	104.509	151.3062
46.799999	104.480	151.2499
47.500000	104.441	151.0041
48.200001	104.392	150.8076
48.700001	104.364	150.6980
49.400002	104.330	150.4583
50.000000	104.287	150.2413
50.799999	104.238	150.1131
51.500000	104.238	149.8610
52.200001	104.231	149.1348
53.000000	104.126	148.0836
53.799999	103.948	147.5552
54.500000	103.822	147.6150
55.200001	103.769	147.7547
56.000000	103.759	147.5483
57.000000	103.704	146.8760
58.000000	103.601	146.4606
59.000000	103.528	146.2463
60.000000	103.468	145.8528
60.799999	103.402	145.4518
61.500000	103.334	145.0950
62.200001	103.256	144.7403
63.000000	103.154	144.3928
64.000000	103.030	144.1538
65.000000	102.941	143.9883
66.000000	102.869	143.7146
67.000000	102.791	143.3898
68.000000	102.700	143.1082
69.000000	102.603	142.9276
70.000000	102.510	142.8015
71.000000	102.418	142.6759
72.000000	102.330	142.5373
73.000000	102.247	142.3553
74.000000	102.164	142.1312
75.000000	102.080	141.9147
76.199997	101.985	141.6967
77.500000	101.888	141.4843
78.800003	101.788	141.3087
80.000000	101.692	141.1895
81.199997	101.594	141.0878
82.500000	101.485	140.9866
83.800003	101.378	140.9075
85.000000	101.284	140.8338
86.199997	101.193	140.7629
87.500000	101.099	140.7028
88.500000	101.031	140.6471
90.000000	100.930	140.5408
91.199997	100.849	140.4479
92.500000	100.761	140.3450
93.800003	100.673	140.2412
95.000000	100.590	140.1580
96.199997	100.504	140.0938
97.500000	100.408	140.0500
98.800003	100.312	140.0270
100.000000	100.224	140.0055
101.500000	100.112	139.9747
103.000000	99.998	139.9601
104.400002	99.888	139.9835
106.000000	99.760	140.0737
107.500000	99.637	140.2152
109.000000	99.509	140.4187
110.599998	99.368	140.7479
112.000000	99.244	141.1758
113.800003	99.095	142.0045
115.000000	99.020	142.7653
117.199997	98.992	144.4135
118.000000	99.029	144.9626
120.599998	99.267	145.6722
122.000000	99.381	145.2400
124.099998	99.433	144.0688
125.000000	99.413	143.5624
126.500000	99.343	142.8541
128.000000	99.248	142.3553
131.500000	99.007	141.9142
132.000000	98.975	141.9166
134.000000	98.859	142.0247
136.000000	98.774	142.1628
138.000000	98.710	142.1909
140.000000	98.649	142.0911
143.000000	98.530	141.8586
145.000000	98.436	141.7404
147.500000	98.317	141.6667
150.000000	98.204	141.6808
152.500000	98.095	141.7451
155.000000	97.988	141.8176
157.500000	97.887	141.9127
160.000000	97.790	142.0381
162.500000	97.693	142.1680
165.000000	97.595	142.2961
167.500000	97.500	142.4219
170.000000	97.406	142.5665
172.500000	97.314	142.7344
175.000000	97.223	142.9103
177.500000	97.132	143.0979
180.000000	97.043	143.3009
182.500000	96.958	143.5107
185.000000	96.873	143.7304
187.500000	96.790	143.9639
190.000000	96.708	144.2082
192.500000	96.629	144.4679
