* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 6:57:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti R1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 104.894 -153.2672
20.600000 104.906 -153.9413
20.900000 104.917 -154.6950
21.200001 104.927 -155.4527
21.400000 104.934 -155.9581
21.799999 104.950 -156.9683
22.000000 104.958 -157.4704
22.400000 104.975 -158.4578
22.700001 104.987 -159.1758
23.000000 104.998 -159.8707
23.299999 105.007 -160.5434
23.600000 105.016 -161.1982
24.000000 105.025 -162.0522
24.299999 105.030 -162.6837
24.700001 105.034 -163.5171
25.000000 105.037 -164.1356
25.400000 105.040 -164.9502
25.799999 105.044 -165.7516
26.200001 105.048 -166.5386
26.500000 105.051 -167.1182
26.900000 105.053 -167.8751
27.200001 105.053 -168.4299
27.600000 105.053 -169.1533
28.000000 105.051 -169.8611
28.500000 105.048 -170.7309
29.000000 105.045 -171.5880
29.500000 105.040 -172.4296
30.000000 105.035 -173.2506
30.400000 105.030 -173.8922
30.700001 105.026 -174.3660
31.100000 105.020 -174.9898
31.500000 105.012 -175.6058
32.000000 105.002 -176.3640
32.500000 104.990 -177.1075
33.000000 104.978 -177.8353
33.500000 104.967 -178.5478
34.000000 104.955 -179.2456
34.500000 104.942 -179.9296
35.000000 104.929 179.3977
35.500000 104.915 178.7335
36.000000 104.900 178.0770
36.500000 104.885 177.4312
37.000000 104.868 176.7994
37.500000 104.852 176.1818
38.200001 104.828 175.3335
38.700001 104.811 174.7347
39.500000 104.781 173.7908
40.000000 104.762 173.2144
40.599998 104.739 172.5376
41.200001 104.716 171.8754
41.799999 104.692 171.2275
42.500000 104.663 170.4886
43.099998 104.638 169.8633
43.700001 104.614 169.2387
44.400002 104.585 168.5119
45.000000 104.559 167.8999
45.500000 104.535 167.4048
46.200001 104.503 166.7352
46.799999 104.477 166.1715
47.500000 104.448 165.5179
48.200001 104.415 164.8960
48.700001 104.391 164.4885
49.400002 104.359 163.9421
50.000000 104.334 163.4408
50.799999 104.297 162.6985
51.500000 104.260 162.0411
52.200001 104.225 161.4247
53.000000 104.187 160.7641
53.799999 104.147 160.1332
54.500000 104.112 159.5929
55.200001 104.077 159.0508
56.000000 104.036 158.4335
57.000000 103.986 157.6769
58.000000 103.936 156.9443
59.000000 103.891 156.2483
60.000000 103.845 155.5448
60.799999 103.800 154.9816
61.500000 103.758 154.5075
62.200001 103.719 154.0422
63.000000 103.677 153.5096
64.000000 103.626 152.8599
65.000000 103.574 152.2322
66.000000 103.522 151.6104
67.000000 103.470 150.9948
68.000000 103.417 150.3922
69.000000 103.365 149.8068
70.000000 103.313 149.2350
71.000000 103.262 148.6712
72.000000 103.210 148.1120
73.000000 103.158 147.5611
74.000000 103.105 147.0223
75.000000 103.053 146.4913
76.199997 102.991 145.8653
77.500000 102.924 145.2057
78.800003 102.856 144.5616
80.000000 102.794 143.9788
81.199997 102.733 143.4035
82.500000 102.666 142.7967
83.800003 102.599 142.2020
85.000000 102.538 141.6636
86.199997 102.478 141.1365
87.500000 102.412 140.5757
88.500000 102.362 140.1504
90.000000 102.287 139.5246
91.199997 102.227 139.0321
92.500000 102.162 138.5085
93.800003 102.098 137.9941
95.000000 102.039 137.5317
96.199997 101.981 137.0796
97.500000 101.917 136.5914
98.800003 101.854 136.1122
100.000000 101.797 135.6830
101.500000 101.725 135.1511
103.000000 101.653 134.6285
104.400002 101.587 134.1523
106.000000 101.513 133.6204
107.500000 101.443 133.1306
109.000000 101.374 132.6496
110.599998 101.301 132.1466
112.000000 101.237 131.7135
113.800003 101.155 131.1708
115.000000 101.101 130.8180
117.199997 101.003 130.1853
118.000000 100.967 129.9707
120.599998 100.853 129.2819
122.000000 100.793 128.8646
124.099998 100.704 128.2787
125.000000 100.665 128.0419
126.500000 100.602 127.6525
128.000000 100.539 127.2681
131.500000 100.394 126.3972
132.000000 100.373 126.2761
134.000000 100.292 125.7974
136.000000 100.212 125.3214
138.000000 100.132 124.8539
140.000000 100.052 124.4062
143.000000 99.935 123.7641
145.000000 99.860 123.3388
147.500000 99.766 122.8103
150.000000 99.673 122.2894
152.500000 99.578 121.7825
155.000000 99.484 121.2995
157.500000 99.392 120.8321
160.000000 99.301 120.3842
162.500000 99.210 119.9566
165.000000 99.122 119.5429
167.500000 99.040 119.1497
170.000000 98.962 118.7637
172.500000 98.877 118.3564
175.000000 98.794 117.9421
177.500000 98.715 117.5294
180.000000 98.638 117.1313
182.500000 98.564 116.7120
185.000000 98.490 116.3178
187.500000 98.415 115.9416
190.000000 98.339 115.5652
192.500000 98.265 115.2044
195.000000 98.192 114.8614
197.500000 98.120 114.5288
200.000000 98.049 114.1957
203.000000 97.966 113.7952
206.000000 97.883 113.4102
209.000000 97.802 113.0311
212.000000 97.722 112.6626
214.000000 97.670 112.4211
218.000000 97.566 111.9556
220.000000 97.516 111.7271
224.000000 97.416 111.2733
227.000000 97.342 110.9449
230.000000 97.268 110.6275
233.000000 97.197 110.3141
236.000000 97.127 110.0013
240.000000 97.037 109.5912
243.000000 96.966 109.3338
247.000000 96.874 109.0090
250.000000 96.810 108.7748
254.000000 96.732 108.4892
258.000000 96.662 108.1975
262.000000 96.597 107.8627
265.000000 96.549 107.5764
269.000000 96.482 107.1726
272.000000 96.430 106.8776
276.000000 96.360 106.5038
280.000000 96.289 106.1411
285.000000 96.199 105.7084
290.000000 96.112 105.3019
295.000000 96.029 104.9233
300.000000 95.948 104.5670
304.000000 95.882 104.2625
307.000000 95.834 104.0427
311.000000 95.772 103.7653
315.000000 95.711 103.4950
320.000000 95.637 103.1691
325.000000 95.566 102.8578
330.000000 95.497 102.5600
335.000000 95.430 102.2784
340.000000 95.368 102.0043
345.000000 95.308 101.7335
350.000000 95.250 101.4573
355.000000 95.194 101.1771
360.000000 95.138 100.9008
365.000000 95.082 100.6449
370.000000 95.027 100.4004
375.000000 94.975 100.1431
382.000000 94.905 99.8002
387.000000 94.858 99.5619
395.000000 94.784 99.1997
400.000000 94.738 98.9827
406.000000 94.686 98.7318
412.000000 94.636 98.4922
418.000000 94.587 98.2553
425.000000 94.534 97.9960
431.000000 94.490 97.7820
437.000000 94.449 97.5710
444.000000 94.402 97.3262
450.000000 94.364 97.1200
455.000000 94.333 96.9499
462.000000 94.290 96.7172
468.000000 94.253 96.5313
475.000000 94.211 96.3306
482.000000 94.171 96.1457
487.000000 94.145 96.0219
494.000000 94.111 95.8605
500.000000 94.083 95.7282
508.000000 94.049 95.5570
515.000000 94.021 95.4153
522.000000 93.995 95.2832
530.000000 93.967 95.1393
538.000000 93.943 94.9964
545.000000 93.923 94.8893
552.000000 93.904 94.7924
560.000000 93.885 94.6817
570.000000 93.864 94.5463
580.000000 93.847 94.4209
590.000000 93.832 94.2969
600.000000 93.818 94.1744
608.000000 93.807 94.0950
615.000000 93.797 94.0367
622.000000 93.789 93.9904
630.000000 93.780 93.9521
640.000000 93.772 93.9246
650.000000 93.768 93.9219
660.000000 93.768 93.9349
670.000000 93.772 93.9619
680.000000 93.779 94.0005
690.000000 93.790 94.0492
700.000000 93.805 94.1050
710.000000 93.822 94.1674
720.000000 93.842 94.2402
730.000000 93.865 94.3134
740.000000 93.891 94.3947
750.000000 93.919 94.4857
762.000000 93.957 94.6060
775.000000 94.003 94.7451
788.000000 94.053 94.8929
800.000000 94.105 95.0359
812.000000 94.160 95.1843
825.000000 94.225 95.3484
838.000000 94.295 95.5106
850.000000 94.365 95.6656
862.000000 94.440 95.8183
875.000000 94.525 95.9763
885.000000 94.595 96.0917
900.000000 94.705 96.2507
912.000000 94.795 96.3650
925.000000 94.898 96.4741
938.000000 95.005 96.5682
950.000000 95.108 96.6371
962.000000 95.213 96.6847
975.000000 95.330 96.7078
988.000000 95.450 96.7052
1000.000000 95.561 96.6806
1015.000000 95.703 96.6210
1030.000000 95.846 96.5269
1044.000000 95.982 96.4059
1060.000000 96.137 96.2255
1075.000000 96.282 96.0177
1090.000000 96.425 95.7766
1106.000000 96.577 95.4862
1120.000000 96.708 95.2038
1138.000000 96.872 94.8053
1150.000000 96.980 94.5180
1172.000000 97.172 93.9609
1180.000000 97.240 93.7511
1206.000000 97.454 93.0433
1220.000000 97.564 92.6507
1241.000000 97.724 92.0596
1250.000000 97.791 91.8066
1265.000000 97.900 91.3919
1280.000000 98.007 90.9905
1315.000000 98.254 90.0896
1320.000000 98.289 89.9655
1340.000000 98.433 89.4780
1360.000000 98.583 88.9879
1380.000000 98.740 88.4578
1400.000000 98.901 87.8471
1430.000000 99.136 86.7444
1450.000000 99.278 85.9130
1475.000000 99.435 84.8196
1500.000000 99.569 83.7379
1525.000000 99.685 82.7729
1550.000000 99.787 81.9216
1575.000000 99.885 81.1331
1600.000000 99.984 80.4058
1625.000000 100.084 79.7241
1650.000000 100.187 79.0736
1675.000000 100.292 78.4460
1700.000000 100.399 77.8331
1725.000000 100.508 77.2303
1750.000000 100.619 76.6324
1775.000000 100.733 76.0349
1800.000000 100.847 75.4354
1825.000000 100.964 74.8323
1850.000000 101.082 74.2210
1875.000000 101.201 73.5998
1900.000000 101.321 72.9657
1925.000000 101.442 72.3155
1950.000000 101.564 71.6478
1975.000000 101.686 70.9615
2000.000000 101.808 70.2537
2030.000000 101.955 69.3729
2060.000000 102.100 68.4577
2090.000000 102.244 67.5063
2120.000000 102.386 66.5174
2140.000000 102.479 65.8366
2180.000000 102.661 64.4218
2200.000000 102.750 63.6874
2240.000000 102.920 62.1655
2270.000000 103.042 60.9801
2300.000000 103.157 59.7577
2330.000000 103.265 58.5017
2360.000000 103.365 57.2152
2400.000000 103.487 55.4588
2430.000000 103.567 54.1184
2470.000000 103.660 52.3078
2500.000000 103.719 50.9402
2540.000000 103.782 49.1157
2580.000000 103.828 47.3042
2620.000000 103.858 45.5202
2650.000000 103.870 44.2074
2690.000000 103.874 42.4987
2720.000000 103.869 41.2518
2760.000000 103.853 39.6394
2800.000000 103.826 38.0868
2850.000000 103.782 36.2319
2900.000000 103.726 34.4756
2950.000000 103.661 32.8182
3000.000000 103.588 31.2604
3040.000000 103.526 30.0856
3070.000000 103.478 29.2456
3110.000000 103.412 28.1778
3150.000000 103.344 27.1696
3200.000000 103.258 25.9926
3250.000000 103.171 24.9097
3300.000000 103.085 23.9229
3350.000000 103.003 23.0291
3400.000000 102.927 22.2228
3450.000000 102.859 21.4915
3500.000000 102.799 20.8234
3550.000000 102.749 20.2059
3600.000000 102.709 19.6265
3650.000000 102.681 19.0721
3700.000000 102.663 18.5317
3750.000000 102.657 17.9913
3820.000000 102.667 17.2002
3870.000000 102.686 16.5831
3950.000000 102.731 15.4566
4000.000000 102.761 14.6581
4060.000000 102.795 13.6136
4120.000000 102.825 12.4889
4180.000000 102.848 11.2941
4250.000000 102.865 9.8197
4310.000000 102.869 8.4931
4370.000000 102.863 7.1144
4440.000000 102.838 5.4495
4500.000000 102.801 3.9877
4550.000000 102.757 2.7589
4620.000000 102.674 1.0435
4680.000000 102.584 -0.4027
4750.000000 102.456 -2.0367
4820.000000 102.306 -3.5895
4870.000000 102.184 -4.6364
4940.000000 101.997 -5.9970
5000.000000 101.822 -7.0525
5080.000000 101.571 -8.2826
5150.000000 101.339 -9.1807
5220.000000 101.096 -9.9054
5300.000000 100.812 -10.5161
5380.000000 100.523 -10.8968
5450.000000 100.269 -11.0428
5520.000000 100.015 -11.0142
5600.000000 99.729 -10.7633
5700.000000 99.380 -10.1161
5800.000000 99.051 -9.1025
5900.000000 98.761 -7.7981
6000.000000 98.515 -6.2540
6080.000000 98.350 -4.8811
6150.000000 98.229 -3.5997
6220.000000 98.131 -2.2609
6300.000000 98.047 -0.6821
6400.000000 97.986 1.3354
6500.000000 97.972 3.3642
6600.000000 98.008 5.3656
6700.000000 98.093 7.3012
