* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 7:00:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti R1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 105.667 -166.2512
20.600000 105.663 -166.8253
20.900000 105.657 -167.4644
21.200001 105.651 -168.1069
21.400000 105.648 -168.5369
21.799999 105.646 -169.4013
22.000000 105.646 -169.8325
22.400000 105.646 -170.6797
22.700001 105.646 -171.2929
23.000000 105.645 -171.8835
23.299999 105.644 -172.4544
23.600000 105.641 -173.0126
24.000000 105.634 -173.7499
24.299999 105.627 -174.3032
24.700001 105.613 -175.0403
25.000000 105.602 -175.5879
25.400000 105.587 -176.3037
25.799999 105.575 -177.0007
26.200001 105.567 -177.6824
26.500000 105.561 -178.1866
26.900000 105.554 -178.8493
27.200001 105.546 -179.3360
27.600000 105.533 -179.9658
28.000000 105.517 179.4288
28.500000 105.497 178.6978
29.000000 105.478 177.9751
29.500000 105.460 177.2455
30.000000 105.442 176.5101
30.400000 105.427 175.9257
30.700001 105.415 175.4940
31.100000 105.399 174.9302
31.500000 105.381 174.3816
32.000000 105.358 173.7159
32.500000 105.334 173.0683
33.000000 105.309 172.4341
33.500000 105.285 171.8124
34.000000 105.261 171.2037
34.500000 105.240 170.6037
35.000000 105.223 170.0018
35.500000 105.205 169.3909
36.000000 105.185 168.7808
36.500000 105.161 168.1935
37.000000 105.133 167.6429
37.500000 105.106 167.1203
38.200001 105.067 166.3960
38.700001 105.036 165.8742
39.500000 104.985 165.0576
40.000000 104.957 164.5596
40.599998 104.929 163.9496
41.200001 104.902 163.3185
41.799999 104.870 162.6984
42.500000 104.829 162.0306
43.099998 104.796 161.4933
43.700001 104.765 160.9517
44.400002 104.726 160.3027
45.000000 104.690 159.7521
45.500000 104.659 159.3081
46.200001 104.618 158.7047
46.799999 104.586 158.1958
47.500000 104.549 157.6120
48.200001 104.508 157.0562
48.700001 104.477 156.6854
49.400002 104.435 156.1858
50.000000 104.402 155.7351
50.799999 104.356 155.0765
51.500000 104.311 154.5039
52.200001 104.267 153.9852
53.000000 104.221 153.4238
53.799999 104.175 152.8439
54.500000 104.132 152.3275
55.200001 104.088 151.8185
56.000000 104.039 151.2506
57.000000 103.978 150.5619
58.000000 103.921 149.9003
59.000000 103.869 149.2591
60.000000 103.815 148.6187
60.799999 103.766 148.1257
61.500000 103.721 147.7166
62.200001 103.679 147.3165
63.000000 103.632 146.8544
64.000000 103.572 146.2608
65.000000 103.507 145.6592
66.000000 103.446 145.0723
67.000000 103.387 144.5164
68.000000 103.328 143.9926
69.000000 103.268 143.4800
70.000000 103.211 142.9634
71.000000 103.154 142.4429
72.000000 103.095 141.9387
73.000000 103.037 141.4520
74.000000 102.983 140.9566
75.000000 102.925 140.4683
76.199997 102.853 139.9146
77.500000 102.778 139.3097
78.800003 102.703 138.7152
80.000000 102.633 138.1971
81.199997 102.564 137.6853
82.500000 102.492 137.1275
83.800003 102.420 136.5806
85.000000 102.352 136.0889
86.199997 102.286 135.6131
87.500000 102.216 135.1111
88.500000 102.162 134.7284
90.000000 102.081 134.1568
91.199997 102.014 133.7119
92.500000 101.943 133.2440
93.800003 101.874 132.7778
95.000000 101.811 132.3507
96.199997 101.747 131.9341
97.500000 101.679 131.4960
98.800003 101.613 131.0712
100.000000 101.553 130.6851
101.500000 101.475 130.1968
103.000000 101.398 129.7147
104.400002 101.327 129.2845
106.000000 101.247 128.8049
107.500000 101.173 128.3631
109.000000 101.099 127.9268
110.599998 101.022 127.4669
112.000000 100.954 127.0741
113.800003 100.867 126.5782
115.000000 100.810 126.2541
117.199997 100.709 125.6737
118.000000 100.674 125.4701
120.599998 100.559 124.8218
122.000000 100.490 124.4703
124.099998 100.392 123.9525
125.000000 100.352 123.7350
126.500000 100.284 123.3766
128.000000 100.217 123.0289
131.500000 100.066 122.2548
132.000000 100.045 122.1435
134.000000 99.961 121.7046
136.000000 99.878 121.2743
138.000000 99.794 120.8470
140.000000 99.710 120.4341
143.000000 99.588 119.8266
145.000000 99.506 119.4385
147.500000 99.403 118.9742
150.000000 99.305 118.5255
152.500000 99.207 118.0934
155.000000 99.110 117.6795
157.500000 99.016 117.2767
160.000000 98.925 116.8645
162.500000 98.836 116.4425
165.000000 98.751 116.0155
167.500000 98.667 115.5834
170.000000 98.582 115.1694
172.500000 98.498 114.8065
175.000000 98.415 114.4393
177.500000 98.333 114.0525
180.000000 98.254 113.6732
182.500000 98.172 113.3466
185.000000 98.090 113.0165
187.500000 98.012 112.6783
190.000000 97.935 112.3507
192.500000 97.860 112.0275
195.000000 97.786 111.7099
197.500000 97.713 111.4102
200.000000 97.641 111.1169
203.000000 97.555 110.7533
206.000000 97.470 110.4029
209.000000 97.386 110.0642
212.000000 97.305 109.7274
214.000000 97.252 109.5089
218.000000 97.148 109.0942
220.000000 97.096 108.9013
224.000000 96.996 108.5435
227.000000 96.926 108.2856
230.000000 96.860 108.0276
233.000000 96.795 107.7402
236.000000 96.730 107.4454
240.000000 96.643 107.0554
243.000000 96.580 106.7395
247.000000 96.494 106.3303
250.000000 96.428 106.0443
254.000000 96.344 105.6754
258.000000 96.261 105.3271
262.000000 96.181 104.9913
265.000000 96.121 104.7472
269.000000 96.042 104.4317
272.000000 95.985 104.1996
276.000000 95.911 103.8970
280.000000 95.839 103.6040
285.000000 95.751 103.2445
290.000000 95.667 102.8971
295.000000 95.583 102.5507
300.000000 95.500 102.2023
304.000000 95.441 101.9394
307.000000 95.397 101.7451
311.000000 95.337 101.4900
315.000000 95.278 101.2445
320.000000 95.206 100.9420
325.000000 95.137 100.6404
330.000000 95.069 100.3539
335.000000 95.002 100.0762
340.000000 94.938 99.8048
345.000000 94.876 99.5358
350.000000 94.816 99.2771
355.000000 94.758 99.0281
360.000000 94.702 98.7885
365.000000 94.649 98.5437
370.000000 94.597 98.3026
375.000000 94.543 98.0742
382.000000 94.472 97.7660
387.000000 94.423 97.5589
395.000000 94.350 97.2271
400.000000 94.307 97.0240
406.000000 94.256 96.7910
412.000000 94.206 96.5632
418.000000 94.159 96.3362
425.000000 94.106 96.0954
431.000000 94.064 95.8971
437.000000 94.023 95.6998
444.000000 93.978 95.4748
450.000000 93.941 95.2862
455.000000 93.912 95.1314
462.000000 93.872 94.9123
468.000000 93.838 94.7200
475.000000 93.799 94.5118
482.000000 93.760 94.3246
487.000000 93.733 94.2011
494.000000 93.698 94.0450
500.000000 93.670 93.9207
508.000000 93.635 93.7589
515.000000 93.608 93.6244
522.000000 93.582 93.5002
530.000000 93.555 93.3607
538.000000 93.530 93.2220
545.000000 93.511 93.1239
552.000000 93.493 93.0369
560.000000 93.475 92.9367
570.000000 93.455 92.8154
580.000000 93.439 92.6989
590.000000 93.424 92.5900
600.000000 93.412 92.4919
608.000000 93.405 92.4144
615.000000 93.400 92.3537
622.000000 93.395 92.2993
630.000000 93.390 92.2415
640.000000 93.385 92.1801
650.000000 93.381 92.1350
660.000000 93.379 92.1101
670.000000 93.378 92.1030
680.000000 93.380 92.1154
690.000000 93.385 92.1494
700.000000 93.393 92.2014
710.000000 93.405 92.2664
720.000000 93.419 92.3443
730.000000 93.437 92.4409
740.000000 93.459 92.5484
750.000000 93.484 92.6620
762.000000 93.518 92.8068
775.000000 93.561 92.9732
788.000000 93.609 93.1521
800.000000 93.659 93.3257
812.000000 93.713 93.5016
825.000000 93.778 93.6913
838.000000 93.848 93.8795
850.000000 93.917 94.0583
862.000000 93.991 94.2316
875.000000 94.076 94.4095
885.000000 94.145 94.5393
900.000000 94.255 94.7225
912.000000 94.346 94.8626
925.000000 94.449 94.9961
938.000000 94.557 95.1100
950.000000 94.661 95.1977
962.000000 94.768 95.2643
975.000000 94.887 95.3104
988.000000 95.009 95.3276
1000.000000 95.124 95.3148
1015.000000 95.270 95.2610
1030.000000 95.416 95.1638
1044.000000 95.553 95.0369
1060.000000 95.710 94.8527
1075.000000 95.857 94.6418
1090.000000 96.003 94.3935
1106.000000 96.157 94.0888
1120.000000 96.290 93.7911
1138.000000 96.456 93.3703
1150.000000 96.565 93.0695
1172.000000 96.758 92.4787
1180.000000 96.826 92.2535
1206.000000 97.040 91.4936
1220.000000 97.150 91.0714
1241.000000 97.308 90.4288
1250.000000 97.373 90.1525
1265.000000 97.479 89.6985
1280.000000 97.583 89.2578
1315.000000 97.817 88.2740
1320.000000 97.850 88.1395
1340.000000 97.984 87.6153
1360.000000 98.124 87.1023
1380.000000 98.270 86.5655
1400.000000 98.421 85.9631
1430.000000 98.643 84.8883
1450.000000 98.779 84.0647
1475.000000 98.926 82.9808
1500.000000 99.049 81.9252
1525.000000 99.155 80.9447
1550.000000 99.252 80.0434
1575.000000 99.346 79.2128
1600.000000 99.439 78.4504
1625.000000 99.536 77.7172
1650.000000 99.636 76.9886
1675.000000 99.735 76.3050
1700.000000 99.828 75.6559
1725.000000 99.921 75.0074
1750.000000 100.014 74.3689
1775.000000 100.107 73.7386
1800.000000 100.201 73.1140
1825.000000 100.295 72.4924
1850.000000 100.389 71.8733
1875.000000 100.483 71.2529
1900.000000 100.578 70.6302
1925.000000 100.672 70.0056
1950.000000 100.766 69.3767
1975.000000 100.861 68.7429
2000.000000 100.954 68.1017
2030.000000 101.066 67.3217
2060.000000 101.178 66.5309
2090.000000 101.288 65.7266
2120.000000 101.397 64.9082
2140.000000 101.469 64.3542
2180.000000 101.610 63.2239
2200.000000 101.679 62.6480
2240.000000 101.815 61.4735
2270.000000 101.914 60.5733
2300.000000 102.010 59.6576
2330.000000 102.104 58.7262
2360.000000 102.195 57.7775
2400.000000 102.311 56.4843
2430.000000 102.394 55.4939
2470.000000 102.499 54.1453
2500.000000 102.572 53.1150
2540.000000 102.662 51.7199
2580.000000 102.743 50.3059
2620.000000 102.815 48.8781
2650.000000 102.862 47.8005
2690.000000 102.917 46.3585
2720.000000 102.952 45.2755
2760.000000 102.989 43.8353
2800.000000 103.016 42.4071
2850.000000 103.037 40.6506
2900.000000 103.044 38.9356
2950.000000 103.040 37.2678
3000.000000 103.025 35.6498
3040.000000 103.005 34.3912
3070.000000 102.987 33.4686
3110.000000 102.958 32.2672
3150.000000 102.924 31.1000
3200.000000 102.873 29.6911
3250.000000 102.814 28.3419
3300.000000 102.746 27.0603
3350.000000 102.671 25.8583
3400.000000 102.588 24.7504
3450.000000 102.499 23.7524
3500.000000 102.408 22.8803
3550.000000 102.319 22.1440
3600.000000 102.236 21.5450
3650.000000 102.165 21.0741
3700.000000 102.112 20.7087
3750.000000 102.079 20.4153
3820.000000 102.073 20.0485
3870.000000 102.097 19.7550
3950.000000 102.177 19.1048
4000.000000 102.244 18.5352
4060.000000 102.330 17.6685
4120.000000 102.412 16.6172
4180.000000 102.485 15.4071
4250.000000 102.552 13.8319
4310.000000 102.591 12.3750
4370.000000 102.609 10.8488
4440.000000 102.604 9.0142
4500.000000 102.578 7.4222
4550.000000 102.540 6.0941
4620.000000 102.461 4.2548
4680.000000 102.371 2.7234
4750.000000 102.240 1.0177
4820.000000 102.083 -0.5710
4870.000000 101.957 -1.6148
4940.000000 101.763 -2.9310
5000.000000 101.586 -3.9160
5080.000000 101.338 -5.0167
5150.000000 101.113 -5.7811
5220.000000 100.886 -6.3660
5300.000000 100.627 -6.8237
5380.000000 100.372 -7.0688
5450.000000 100.153 -7.1227
5520.000000 99.941 -7.0397
5600.000000 99.707 -6.7894
5700.000000 99.428 -6.2628
5800.000000 99.162 -5.5098
5900.000000 98.912 -4.5291
6000.000000 98.690 -3.3468
6080.000000 98.534 -2.2479
6150.000000 98.416 -1.1776
6220.000000 98.317 -0.0173
6300.000000 98.232 1.3929
6400.000000 98.170 3.2306
6500.000000 98.158 5.0913
6600.000000 98.194 6.9250
6700.000000 98.280 8.6888
6800.000000 98.415 10.3394
