* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:10:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.155	-177.2557
20.299999	108.106	-177.7468
20.600000	108.054	-178.1196
20.900000	108.009	-178.3475
21.200001	107.983	-178.4405
21.400000	107.983	-178.4655
21.799999	108.024	-178.5399
22.000000	108.063	-178.6508
22.400000	108.161	-179.1266
22.700001	108.233	-179.7238
23.000000	108.288	179.5140
23.299999	108.318	178.6700
23.600000	108.324	177.8217
24.000000	108.302	176.7825
24.299999	108.273	176.1059
24.700001	108.230	175.3248
25.000000	108.198	174.7951
25.400000	108.158	174.1217
25.799999	108.115	173.4677
26.200001	108.069	172.8411
26.500000	108.033	172.3960
26.900000	107.986	171.8341
27.200001	107.951	171.4287
27.600000	107.906	170.8994
28.000000	107.863	170.3789
28.500000	107.809	169.7465
29.000000	107.758	169.1355
29.500000	107.711	168.5327
30.000000	107.664	167.9290
30.400000	107.626	167.4527
30.700001	107.597	167.1062
31.100000	107.558	166.6633
31.500000	107.519	166.2403
32.000000	107.471	165.7308
32.500000	107.423	165.2375
33.000000	107.374	164.7637
33.500000	107.325	164.3105
34.000000	107.276	163.8699
34.500000	107.228	163.4330
35.000000	107.178	162.9987
35.500000	107.127	162.5723
36.000000	107.076	162.1570
36.500000	107.025	161.7515
37.000000	106.975	161.3527
37.500000	106.924	160.9603
38.200001	106.854	160.4273
38.700001	106.804	160.0631
39.500000	106.727	159.5097
40.000000	106.679	159.1782
40.599998	106.622	158.7921
41.200001	106.566	158.4187
41.799999	106.510	158.0566
42.500000	106.443	157.6459
43.099998	106.386	157.3049
43.700001	106.328	156.9749
44.400002	106.262	156.5974
45.000000	106.205	156.2749
45.500000	106.157	156.0088
46.200001	106.089	155.6477
46.799999	106.032	155.3503
47.500000	105.967	155.0106
48.200001	105.903	154.6733
48.700001	105.856	154.4365
49.400002	105.791	154.1194
50.000000	105.735	153.8630
50.799999	105.663	153.5336
51.500000	105.601	153.2489
52.200001	105.539	152.9718
53.000000	105.467	152.6725
53.799999	105.396	152.3909
54.500000	105.335	152.1570
55.200001	105.275	151.9341
56.000000	105.206	151.6895
57.000000	105.120	151.3993
58.000000	105.036	151.1198
59.000000	104.952	150.8394
60.000000	104.866	150.5734
60.799999	104.798	150.3726
61.500000	104.740	150.2034
62.200001	104.683	150.0417
63.000000	104.620	149.8622
64.000000	104.542	149.6401
65.000000	104.464	149.4274
66.000000	104.388	149.2269
67.000000	104.312	149.0343
68.000000	104.237	148.8452
69.000000	104.162	148.6593
70.000000	104.087	148.4826
71.000000	104.013	148.3201
72.000000	103.939	148.1694
73.000000	103.867	148.0261
74.000000	103.795	147.8911
75.000000	103.723	147.7659
76.199997	103.638	147.6275
77.500000	103.546	147.4912
78.800003	103.456	147.3693
80.000000	103.374	147.2639
81.199997	103.294	147.1624
82.500000	103.208	147.0609
83.800003	103.125	146.9661
85.000000	103.048	146.8837
86.199997	102.973	146.8108
87.500000	102.892	146.7397
88.500000	102.831	146.6872
90.000000	102.739	146.6183
91.199997	102.667	146.5708
92.500000	102.590	146.5212
93.800003	102.512	146.4825
95.000000	102.442	146.4577
96.199997	102.373	146.4398
97.500000	102.298	146.4283
98.800003	102.224	146.4251
100.000000	102.156	146.4287
101.500000	102.072	146.4408
103.000000	101.988	146.4644
104.400002	101.911	146.4980
106.000000	101.825	146.5459
107.500000	101.744	146.6026
109.000000	101.664	146.6730
110.599998	101.580	146.7671
112.000000	101.509	146.8655
113.800003	101.420	147.0169
115.000000	101.363	147.1344
117.199997	101.267	147.3854
118.000000	101.236	147.4847
120.599998	101.148	147.8000
122.000000	101.108	147.9464
124.099998	101.053	148.1105
125.000000	101.031	148.1573
126.500000	100.994	148.2050
128.000000	100.955	148.2213
131.500000	100.852	148.1971
132.000000	100.836	148.1925
134.000000	100.768	148.1821
136.000000	100.696	148.1913
138.000000	100.624	148.2207
140.000000	100.550	148.2674
143.000000	100.441	148.3647
145.000000	100.369	148.4445
