* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:08:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.090	-176.7481
20.299999	109.059	-177.3858
20.600000	109.028	-178.0073
20.900000	108.999	-178.6038
21.200001	108.976	-179.1749
21.400000	108.964	-179.5485
21.799999	108.947	179.7053
22.000000	108.942	179.3263
22.400000	108.933	178.5527
22.700001	108.926	177.9694
23.000000	108.916	177.3986
23.299999	108.904	176.8515
23.600000	108.890	176.3338
24.000000	108.867	175.6937
24.299999	108.849	175.2519
24.700001	108.824	174.7111
25.000000	108.806	174.3329
25.400000	108.783	173.8434
25.799999	108.758	173.3413
26.200001	108.727	172.8158
26.500000	108.696	172.4220
26.900000	108.646	171.9337
27.200001	108.605	171.6165
27.600000	108.555	171.2589
28.000000	108.517	170.9276
28.500000	108.488	170.4391
29.000000	108.462	169.7979
29.500000	108.423	169.0593
30.000000	108.369	168.3505
30.400000	108.323	167.8538
30.700001	108.293	167.5157
31.100000	108.259	167.0769
31.500000	108.231	166.6229
32.000000	108.195	166.0293
32.500000	108.151	165.4508
33.000000	108.104	164.9334
33.500000	108.059	164.4738
34.000000	108.016	164.0377
34.500000	107.974	163.6039
35.000000	107.930	163.1771
35.500000	107.883	162.7653
36.000000	107.836	162.3649
36.500000	107.788	161.9696
37.000000	107.740	161.5803
37.500000	107.692	161.2002
38.200001	107.626	160.6805
38.700001	107.581	160.3138
39.500000	107.510	159.7350
40.000000	107.467	159.3787
40.599998	107.415	158.9572
41.200001	107.361	158.5431
41.799999	107.306	158.1371
42.500000	107.237	157.6831
43.099998	107.177	157.3264
43.700001	107.119	156.9928
44.400002	107.057	156.5891
45.000000	107.002	156.2122
45.500000	106.954	155.8970
46.200001	106.885	155.4892
46.799999	106.829	155.1668
47.500000	106.769	154.7902
48.200001	106.709	154.4130
48.700001	106.665	154.1587
49.400002	106.604	153.8330
50.000000	106.553	153.5725
50.799999	106.485	153.2424
51.500000	106.424	152.9727
52.200001	106.363	152.7145
53.000000	106.293	152.4213
53.799999	106.221	152.1318
54.500000	106.157	151.8853
55.200001	106.093	151.6486
56.000000	106.023	151.3937
57.000000	105.943	151.0650
58.000000	105.866	150.6831
59.000000	105.781	150.2937
60.000000	105.693	149.9511
60.799999	105.624	149.7111
61.500000	105.565	149.5141
62.200001	105.507	149.3270
63.000000	105.440	149.1435
64.000000	105.363	148.9715
65.000000	105.299	148.7951
66.000000	105.239	148.5559
67.000000	105.172	148.2804
68.000000	105.099	148.0045
69.000000	105.019	147.7473
70.000000	104.936	147.5254
71.000000	104.852	147.3425
72.000000	104.772	147.1909
73.000000	104.696	147.0495
74.000000	104.624	146.8992
75.000000	104.551	146.7413
76.199997	104.461	146.5608
77.500000	104.362	146.3983
78.800003	104.265	146.2867
80.000000	104.184	146.2272
81.199997	104.116	146.1534
82.500000	104.047	146.0024
83.800003	103.972	145.8241
85.000000	103.898	145.6923
86.199997	103.823	145.6132
87.500000	103.746	145.5813
88.500000	103.695	145.5633
90.000000	103.625	145.4435
91.199997	103.560	145.2768
92.500000	103.480	145.0973
93.800003	103.396	144.9494
95.000000	103.318	144.8399
96.199997	103.241	144.7514
97.500000	103.161	144.6757
98.800003	103.083	144.6080
100.000000	103.012	144.5490
101.500000	102.926	144.4872
103.000000	102.843	144.4409
104.400002	102.769	144.4037
106.000000	102.685	144.3734
107.500000	102.607	144.3581
