* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 2:31:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blessing 2: Dusk L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.668	-159.4854
20.299999	99.669	-160.0873
20.600000	99.669	-160.6744
20.900000	99.668	-161.2437
21.200001	99.667	-161.7957
21.400000	99.666	-162.1574
21.799999	99.666	-162.8737
22.000000	99.665	-163.2310
22.400000	99.661	-163.9439
22.700001	99.654	-164.4698
23.000000	99.646	-164.9781
23.299999	99.636	-165.4638
23.600000	99.626	-165.9293
24.000000	99.614	-166.5311
24.299999	99.607	-166.9814
24.700001	99.597	-167.5899
25.000000	99.587	-168.0491
25.400000	99.571	-168.6529
25.799999	99.553	-169.2382
26.200001	99.535	-169.8135
26.500000	99.519	-170.2482
26.900000	99.493	-170.8309
27.200001	99.468	-171.2500
27.600000	99.424	-171.7362
28.000000	99.378	-172.0848
28.500000	99.339	-172.3250
29.000000	99.341	-172.4981
29.500000	99.376	-172.8104
30.000000	99.414	-173.3521
30.400000	99.430	-173.8875
30.700001	99.431	-174.2918
31.100000	99.423	-174.7815
31.500000	99.413	-175.2075
32.000000	99.406	-175.7015
32.500000	99.402	-176.2184
33.000000	99.392	-176.7647
33.500000	99.373	-177.2953
34.000000	99.349	-177.7766
34.500000	99.325	-178.2167
35.000000	99.304	-178.6382
35.500000	99.283	-179.0529
36.000000	99.263	-179.4647
36.500000	99.244	-179.8814
37.000000	99.223	179.6924
37.500000	99.199	179.2684
38.200001	99.161	178.7144
38.700001	99.133	178.3488
39.500000	99.091	177.7700
40.000000	99.059	177.4160
40.599998	99.015	177.0474
41.200001	98.970	176.7825
41.799999	98.936	176.6068
42.500000	98.917	176.4338
43.099998	98.917	176.2362
43.700001	98.923	175.9518
44.400002	98.926	175.5148
45.000000	98.920	175.0901
45.500000	98.910	174.7314
46.200001	98.888	174.2425
46.799999	98.867	173.8365
47.500000	98.839	173.3784
48.200001	98.808	172.9451
48.700001	98.786	172.6519
49.400002	98.755	172.2563
50.000000	98.728	171.9254
50.799999	98.691	171.4986
51.500000	98.659	171.1422
52.200001	98.626	170.7979
53.000000	98.589	170.4123
53.799999	98.551	170.0345
54.500000	98.518	169.7112
55.200001	98.484	169.3948
56.000000	98.445	169.0445
57.000000	98.396	168.6233
58.000000	98.350	168.2060
59.000000	98.301	167.7910
60.000000	98.252	167.3893
60.799999	98.211	167.0774
61.500000	98.175	166.8129
62.200001	98.138	166.5568
63.000000	98.096	166.2700
64.000000	98.043	165.9168
65.000000	97.989	165.5731
66.000000	97.934	165.2377
67.000000	97.878	164.9123
68.000000	97.819	164.6053
69.000000	97.759	164.3267
70.000000	97.698	164.0879
71.000000	97.639	163.8931
72.000000	97.587	163.7269
73.000000	97.543	163.5523
74.000000	97.503	163.3333
75.000000	97.461	163.0616
76.199997	97.403	162.7030
77.500000	97.332	162.3027
78.800003	97.252	161.9319
80.000000	97.173	161.5948
81.199997	97.075	161.2957
82.500000	96.959	161.1244
83.800003	96.836	161.0471
85.000000	96.709	161.1073
86.199997	96.575	161.4070
87.500000	96.449	162.0983
88.500000	96.394	162.8705
90.000000	96.426	164.0734
91.199997	96.535	164.6288
92.500000	96.667	164.5925
93.800003	96.756	164.0847
95.000000	96.788	163.4737
96.199997	96.785	162.8904
97.500000	96.761	162.3470
98.800003	96.727	161.8827
100.000000	96.693	161.4987
101.500000	96.643	161.0558
103.000000	96.587	160.6578
104.400002	96.530	160.3277
106.000000	96.460	159.9951
107.500000	96.394	159.7214
109.000000	96.327	159.4789
110.599998	96.256	159.2502
112.000000	96.193	159.0729
113.800003	96.113	158.8803
115.000000	96.060	158.7684
117.199997	95.965	158.5790
118.000000	95.931	158.5142
120.599998	95.820	158.3294
122.000000	95.762	158.2483
124.099998	95.675	158.1451
125.000000	95.638	158.1075
126.500000	95.577	158.0515
128.000000	95.517	158.0014
131.500000	95.379	157.9172
132.000000	95.359	157.9092
134.000000	95.282	157.8862
136.000000	95.206	157.8746
138.000000	95.131	157.8712
140.000000	95.055	157.8806
143.000000	94.944	157.9319
145.000000	94.872	157.9836
147.500000	94.783	158.0618
150.000000	94.695	158.1530
152.500000	94.606	158.2688
155.000000	94.521	158.4171
157.500000	94.440	158.5880
160.000000	94.364	158.7635
162.500000	94.293	158.9243
165.000000	94.225	159.0718
167.500000	94.155	159.2207
170.000000	94.083	159.3813
172.500000	94.010	159.5531
175.000000	93.936	159.7391
177.500000	93.861	159.9457
180.000000	93.785	160.1839
182.500000	93.710	160.4618
185.000000	93.637	160.7857
187.500000	93.568	161.1678
190.000000	93.505	161.6177
192.500000	93.455	162.1229
195.000000	93.424	162.6407
197.500000	93.415	163.1024
200.000000	93.419	163.4456
203.000000	93.425	163.6853
206.000000	93.420	163.7902
209.000000	93.400	163.8311
212.000000	93.366	163.8654
214.000000	93.337	163.9022
218.000000	93.271	164.0348
220.000000	93.235	164.1299
224.000000	93.165	164.3693
227.000000	93.114	164.5803
230.000000	93.065	164.8109
233.000000	93.017	165.0583
236.000000	92.972	165.3159
240.000000	92.913	165.6666
243.000000	92.871	165.9372
247.000000	92.820	166.3080
250.000000	92.782	166.5899
254.000000	92.735	166.9678
258.000000	92.691	167.3459
262.000000	92.650	167.7275
265.000000	92.620	168.0149
269.000000	92.582	168.3948
272.000000	92.555	168.6798
276.000000	92.522	169.0620
280.000000	92.491	169.4433
285.000000	92.454	169.9146
290.000000	92.420	170.3775
295.000000	92.390	170.8388
300.000000	92.362	171.2945
304.000000	92.341	171.6484
307.000000	92.326	171.9116
311.000000	92.308	172.2635
315.000000	92.291	172.6113
320.000000	92.272	173.0380
325.000000	92.256	173.4630
330.000000	92.239	173.8809
335.000000	92.223	174.2889
340.000000	92.210	174.6887
345.000000	92.199	175.0761
350.000000	92.189	175.4609
355.000000	92.181	175.8477
