* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 2:29:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blessing 2: Dusk R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.186	19.5637
20.299999	100.184	18.9504
20.600000	100.181	18.3488
20.900000	100.176	17.7621
21.200001	100.172	17.1930
21.400000	100.169	16.8232
21.799999	100.163	16.1039
22.000000	100.161	15.7524
22.400000	100.157	15.0615
22.700001	100.155	14.5517
23.000000	100.151	14.0496
23.299999	100.146	13.5607
23.600000	100.139	13.0932
24.000000	100.128	12.5188
24.299999	100.120	12.1326
24.700001	100.117	11.6708
25.000000	100.121	11.3418
25.400000	100.137	10.8794
25.799999	100.158	10.3349
26.200001	100.173	9.6874
26.500000	100.173	9.1570
26.900000	100.152	8.4515
27.200001	100.124	7.9754
27.600000	100.076	7.4599
28.000000	100.029	7.0839
28.500000	99.989	6.7266
29.000000	99.969	6.3579
29.500000	99.958	5.9080
30.000000	99.943	5.4012
30.400000	99.929	4.9901
30.700001	99.918	4.6849
31.100000	99.906	4.2733
31.500000	99.895	3.8445
32.000000	99.879	3.2833
32.500000	99.859	2.7207
33.000000	99.836	2.1860
33.500000	99.815	1.6787
34.000000	99.795	1.1793
34.500000	99.773	0.6802
35.000000	99.747	0.1952
35.500000	99.717	-0.2558
36.000000	99.684	-0.6650
36.500000	99.650	-1.0363
37.000000	99.615	-1.3785
37.500000	99.580	-1.6997
38.200001	99.524	-2.1083
38.700001	99.479	-2.3373
39.500000	99.412	-2.5032
40.000000	99.389	-2.4995
40.599998	99.393	-2.5026
41.200001	99.423	-2.6535
41.799999	99.457	-3.0016
42.500000	99.482	-3.5811
43.099998	99.485	-4.1155
43.700001	99.478	-4.6223
44.400002	99.465	-5.1791
45.000000	99.451	-5.6509
45.500000	99.433	-6.0363
46.200001	99.402	-6.5316
46.799999	99.375	-6.9079
47.500000	99.345	-7.3271
48.200001	99.314	-7.7480
48.700001	99.290	-8.0402
49.400002	99.257	-8.4307
50.000000	99.230	-8.7636
50.799999	99.193	-9.2141
51.500000	99.158	-9.5948
52.200001	99.124	-9.9573
53.000000	99.085	-10.3605
53.799999	99.046	-10.7479
54.500000	99.012	-11.0737
55.200001	98.978	-11.3939
56.000000	98.938	-11.7465
57.000000	98.890	-12.1676
58.000000	98.841	-12.6016
59.000000	98.788	-13.0272
60.000000	98.735	-13.4205
60.799999	98.694	-13.7294
61.500000	98.658	-13.9989
62.200001	98.622	-14.2663
63.000000	98.581	-14.5706
64.000000	98.529	-14.9462
65.000000	98.475	-15.3131
66.000000	98.420	-15.6720
67.000000	98.363	-16.0165
68.000000	98.303	-16.3411
69.000000	98.242	-16.6453
70.000000	98.177	-16.9226
71.000000	98.112	-17.1655
72.000000	98.047	-17.3733
73.000000	97.987	-17.5515
74.000000	97.933	-17.7283
75.000000	97.885	-17.9416
76.199997	97.824	-18.2650
77.500000	97.745	-18.6346
78.800003	97.649	-18.9815
80.000000	97.535	-19.1996
81.199997	97.407	-19.2180
82.500000	97.261	-18.9677
83.800003	97.130	-18.3015
85.000000	97.074	-17.3573
86.199997	97.115	-16.4271
87.500000	97.246	-15.9185
88.500000	97.358	-16.0245
90.000000	97.472	-16.7635
91.199997	97.501	-17.5201
92.500000	97.488	-18.2869
93.800003	97.447	-18.9484
95.000000	97.397	-19.4653
96.199997	97.341	-19.9030
97.500000	97.278	-20.3062
98.800003	97.216	-20.6544
100.000000	97.159	-20.9403
101.500000	97.086	-21.2565
103.000000	97.014	-21.5330
104.400002	96.947	-21.7660
106.000000	96.871	-22.0082
107.500000	96.801	-22.2109
109.000000	96.732	-22.3979
110.599998	96.659	-22.5824
112.000000	96.595	-22.7339
113.800003	96.514	-22.9164
115.000000	96.460	-23.0245
117.199997	96.367	-23.2040
118.000000	96.334	-23.2679
120.599998	96.224	-23.4548
122.000000	96.164	-23.5356
124.099998	96.074	-23.6423
125.000000	96.036	-23.6841
126.500000	95.974	-23.7490
128.000000	95.912	-23.8101
131.500000	95.770	-23.9266
132.000000	95.750	-23.9395
134.000000	95.671	-23.9813
136.000000	95.591	-24.0083
138.000000	95.513	-24.0251
140.000000	95.434	-24.0359
143.000000	95.317	-24.0362
145.000000	95.240	-24.0179
147.500000	95.145	-23.9813
150.000000	95.050	-23.9350
152.500000	94.958	-23.8755
155.000000	94.866	-23.8008
157.500000	94.772	-23.7115
160.000000	94.677	-23.6071
162.500000	94.581	-23.4851
165.000000	94.483	-23.3408
167.500000	94.383	-23.1692
170.000000	94.280	-22.9595
172.500000	94.174	-22.6923
175.000000	94.063	-22.3395
177.500000	93.950	-21.8589
180.000000	93.842	-21.1946
182.500000	93.758	-20.3036
185.000000	93.726	-19.2488
187.500000	93.762	-18.2661
190.000000	93.852	-17.6599
192.500000	93.946	-17.5573
195.000000	94.002	-17.8132
197.500000	94.010	-18.1845
200.000000	93.982	-18.5111
203.000000	93.922	-18.7696
206.000000	93.849	-18.8838
209.000000	93.773	-18.8885
212.000000	93.698	-18.8182
214.000000	93.650	-18.7411
218.000000	93.557	-18.5323
220.000000	93.511	-18.4075
224.000000	93.423	-18.1302
227.000000	93.361	-17.9037
230.000000	93.302	-17.6631
233.000000	93.246	-17.4109
236.000000	93.191	-17.1500
240.000000	93.122	-16.7900
243.000000	93.072	-16.5092
247.000000	93.010	-16.1257
250.000000	92.965	-15.8380
254.000000	92.907	-15.4568
258.000000	92.852	-15.0722
262.000000	92.801	-14.6755
265.000000	92.764	-14.3766
269.000000	92.716	-13.9880
272.000000	92.682	-13.7007
276.000000	92.639	-13.3129
280.000000	92.598	-12.9136
285.000000	92.550	-12.4089
290.000000	92.505	-11.9194
295.000000	92.463	-11.4417
300.000000	92.424	-10.9607
304.000000	92.394	-10.5765
307.000000	92.373	-10.2911
311.000000	92.347	-9.9172
315.000000	92.322	-9.5507
320.000000	92.292	-9.0902
325.000000	92.263	-8.6258
330.000000	92.237	-8.1727
335.000000	92.214	-7.7316
340.000000	92.192	-7.2936
345.000000	92.171	-6.8559
350.000000	92.151	-6.4255
355.000000	92.134	-6.0084
360.000000	92.119	-5.5981
365.000000	92.105	-5.1887
370.000000	92.090	-4.7791
375.000000	92.076	-4.3731
382.000000	92.061	-3.8205
387.000000	92.052	-3.4349
395.000000	92.038	-2.8251
400.000000	92.029	-2.4456
406.000000	92.020	-1.9937
412.000000	92.014	-1.5477
418.000000	92.009	-1.1028
425.000000	92.003	-0.5800
431.000000	92.000	-0.1359
437.000000	92.001	0.3035
444.000000	92.005	0.8037
450.000000	92.011	1.2130
455.000000	92.016	1.5413
462.000000	92.025	1.9819
468.000000	92.034	2.3423
475.000000	92.046	2.7440
482.000000	92.056	3.1263
487.000000	92.062	3.3887
494.000000	92.068	3.7488
500.000000	92.074	4.0562
508.000000	92.081	4.4624
515.000000	92.087	4.8125
522.000000	92.092	5.1562
530.000000	92.096	5.5441
538.000000	92.102	5.9354
545.000000	92.107	6.2837
552.000000	92.111	6.6281
560.000000	92.115	7.0103
570.000000	92.122	7.4838
580.000000	92.129	7.9645
590.000000	92.137	8.4471
600.000000	92.144	8.9221
608.000000	92.150	9.2998
615.000000	92.156	9.6325
622.000000	92.163	9.9692
630.000000	92.171	10.3573
640.000000	92.180	10.8403
650.000000	92.189	11.3177
660.000000	92.199	11.7985
670.000000	92.211	12.2872
680.000000	92.223	12.7783
690.000000	92.237	13.2646
700.000000	92.251	13.7490
710.000000	92.267	14.2422
720.000000	92.285	14.7441
730.000000	92.303	15.2459
740.000000	92.322	15.7435
750.000000	92.343	16.2396
762.000000	92.371	16.8396
775.000000	92.404	17.4968
788.000000	92.439	18.1566
800.000000	92.474	18.7618
812.000000	92.512	19.3651
825.000000	92.557	20.0158
838.000000	92.606	20.6637
850.000000	92.655	21.2559
862.000000	92.707	21.8375
875.000000	92.767	22.4548
885.000000	92.816	22.9227
