* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:40:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.635	-147.6795
20.299999	97.648	-148.1939
20.600000	97.671	-148.7317
20.900000	97.699	-149.3231
21.200001	97.728	-149.9709
21.400000	97.747	-150.4292
21.799999	97.782	-151.4151
22.000000	97.797	-151.9477
22.400000	97.817	-153.1024
22.700001	97.815	-154.0245
23.000000	97.793	-154.9318
23.299999	97.754	-155.7383
23.600000	97.707	-156.3852
24.000000	97.658	-156.9813
24.299999	97.649	-157.3069
24.700001	97.679	-157.7608
25.000000	97.721	-158.2302
25.400000	97.777	-159.0681
25.799999	97.809	-160.0329
26.200001	97.814	-160.9437
26.500000	97.809	-161.5279
26.900000	97.806	-162.1869
27.200001	97.809	-162.6396
27.600000	97.816	-163.2406
28.000000	97.817	-163.8313
28.500000	97.810	-164.4695
29.000000	97.814	-164.9781
29.500000	97.841	-165.5090
30.000000	97.873	-166.2382
30.400000	97.882	-166.9583
30.700001	97.871	-167.5190
31.100000	97.839	-168.2010
31.500000	97.797	-168.7557
32.000000	97.754	-169.2918
32.500000	97.735	-169.7753
33.000000	97.736	-170.3330
33.500000	97.740	-171.0017
34.000000	97.737	-171.7361
34.500000	97.722	-172.4536
35.000000	97.700	-173.0910
35.500000	97.681	-173.6311
36.000000	97.669	-174.1021
36.500000	97.664	-174.5363
37.000000	97.662	-174.9450
37.500000	97.665	-175.3349
38.200001	97.676	-175.9223
38.700001	97.678	-176.4263
39.500000	97.647	-177.2800
40.000000	97.610	-177.7257
40.599998	97.572	-178.1824
41.200001	97.541	-178.6949
41.799999	97.499	-179.2802
42.500000	97.434	-179.8734
43.099998	97.392	179.7331
43.700001	97.371	179.2878
44.400002	97.346	178.6394
45.000000	97.311	178.1225
45.500000	97.284	177.7932
46.200001	97.268	177.4026
46.799999	97.270	177.0171
47.500000	97.270	176.4723
48.200001	97.254	175.8868
48.700001	97.230	175.4990
49.400002	97.188	175.0590
50.000000	97.157	174.7556
50.799999	97.125	174.3264
51.500000	97.093	173.8823
52.200001	97.052	173.4427
53.000000	97.005	172.9982
53.799999	96.967	172.5688
54.500000	96.938	172.1714
55.200001	96.910	171.7648
56.000000	96.877	171.3109
57.000000	96.838	170.7620
58.000000	96.797	170.1955
59.000000	96.742	169.6521
60.000000	96.682	169.2237
60.799999	96.642	168.8970
61.500000	96.608	168.5787
62.200001	96.571	168.2529
63.000000	96.527	167.9005
64.000000	96.476	167.4814
65.000000	96.428	167.0619
66.000000	96.380	166.6541
67.000000	96.331	166.2775
68.000000	96.284	165.9254
69.000000	96.236	165.5848
70.000000	96.187	165.2393
71.000000	96.134	164.8985
72.000000	96.083	164.5696
73.000000	96.034	164.2283
74.000000	95.985	163.8692
75.000000	95.934	163.5161
76.199997	95.872	163.1334
77.500000	95.807	162.7814
78.800003	95.748	162.4448
80.000000	95.691	162.1250
81.199997	95.630	161.8207
82.500000	95.565	161.5068
83.800003	95.499	161.1740
85.000000	95.436	160.8969
86.199997	95.380	160.6662
87.500000	95.327	160.3925
88.500000	95.285	160.1670
90.000000	95.218	159.8445
91.199997	95.163	159.6237
92.500000	95.106	159.3952
93.800003	95.048	159.1495
95.000000	94.990	158.9357
96.199997	94.933	158.7366
97.500000	94.872	158.5239
98.800003	94.812	158.3113
100.000000	94.757	158.1331
101.500000	94.692	157.9293
103.000000	94.627	157.7323
104.400002	94.563	157.5586
106.000000	94.487	157.3645
107.500000	94.416	157.1762
109.000000	94.348	156.9722
110.599998	94.283	156.7374
112.000000	94.225	156.5193
113.800003	94.141	156.3533
115.000000	94.090	156.3081
117.199997	94.001	156.1917
118.000000	93.967	156.1223
120.599998	93.854	155.9127
122.000000	93.798	155.8091
124.099998	93.709	155.6928
125.000000	93.670	155.6627
126.500000	93.605	155.6099
128.000000	93.538	155.5518
131.500000	93.387	155.4473
132.000000	93.366	155.4344
134.000000	93.277	155.4026
136.000000	93.181	155.4177
138.000000	93.084	155.4912
140.000000	92.991	155.6277
143.000000	92.858	155.9924
145.000000	92.780	156.3651
147.500000	92.714	156.9265
150.000000	92.693	157.4926
