* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:38:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.515	-148.3176
20.299999	97.531	-148.9748
20.600000	97.558	-149.6274
20.900000	97.592	-150.3266
21.200001	97.626	-151.0971
21.400000	97.644	-151.6388
21.799999	97.666	-152.7438
22.000000	97.670	-153.2840
22.400000	97.671	-154.3064
22.700001	97.669	-155.0263
23.000000	97.666	-155.7244
23.299999	97.660	-156.4109
23.600000	97.649	-157.0768
24.000000	97.624	-157.8963
24.299999	97.601	-158.4266
24.700001	97.573	-159.0064
25.000000	97.561	-159.3709
25.400000	97.560	-159.8275
25.799999	97.570	-160.3195
26.200001	97.580	-160.8622
26.500000	97.583	-161.2754
26.900000	97.583	-161.7905
27.200001	97.585	-162.1374
27.600000	97.597	-162.5733
28.000000	97.621	-163.0522
28.500000	97.657	-163.8106
29.000000	97.674	-164.7344
29.500000	97.661	-165.6810
30.000000	97.627	-166.5003
30.400000	97.603	-167.0496
30.700001	97.591	-167.4311
31.100000	97.583	-167.9549
31.500000	97.581	-168.5292
32.000000	97.572	-169.3062
32.500000	97.552	-170.0787
33.000000	97.529	-170.7856
33.500000	97.509	-171.4301
34.000000	97.495	-172.0498
34.500000	97.483	-172.6637
35.000000	97.471	-173.2588
35.500000	97.460	-173.8218
36.000000	97.453	-174.3671
36.500000	97.446	-174.9222
37.000000	97.433	-175.4906
37.500000	97.410	-176.0364
38.200001	97.365	-176.6719
38.700001	97.335	-177.0139
39.500000	97.310	-177.4665
40.000000	97.310	-177.7838
40.599998	97.316	-178.2828
41.200001	97.311	-178.9117
41.799999	97.286	-179.5622
42.500000	97.245	179.7904
43.099998	97.220	179.2788
43.700001	97.198	178.6850
44.400002	97.150	177.9485
45.000000	97.093	177.4639
45.500000	97.053	177.1920
46.200001	97.026	176.8480
46.799999	97.015	176.4658
47.500000	96.996	175.9567
48.200001	96.974	175.4335
48.700001	96.953	175.0421
49.400002	96.911	174.5074
50.000000	96.867	174.1404
50.799999	96.820	173.7713
51.500000	96.796	173.4205
52.200001	96.772	172.9888
53.000000	96.734	172.4832
53.799999	96.695	172.0323
54.500000	96.667	171.6555
55.200001	96.642	171.2656
56.000000	96.613	170.8123
57.000000	96.574	170.2416
58.000000	96.524	169.6790
59.000000	96.463	169.2222
60.000000	96.407	168.8554
60.799999	96.366	168.5669
61.500000	96.331	168.3148
62.200001	96.298	168.0645
63.000000	96.264	167.7636
64.000000	96.224	167.3346
65.000000	96.177	166.8848
66.000000	96.128	166.4735
67.000000	96.080	166.1024
68.000000	96.038	165.7611
69.000000	96.001	165.3903
70.000000	95.955	164.9803
71.000000	95.899	164.6079
72.000000	95.845	164.2845
73.000000	95.796	163.9513
74.000000	95.744	163.6062
75.000000	95.691	163.2977
76.199997	95.636	162.9588
77.500000	95.580	162.5576
78.800003	95.515	162.1763
80.000000	95.452	161.8826
81.199997	95.393	161.6153
82.500000	95.330	161.3245
83.800003	95.270	161.0396
85.000000	95.217	160.7583
86.199997	95.163	160.4636
87.500000	95.100	160.1511
88.500000	95.047	159.9382
90.000000	94.972	159.6791
91.199997	94.919	159.4713
92.500000	94.861	159.1959
93.800003	94.798	158.9406
95.000000	94.743	158.7385
96.199997	94.692	158.5377
97.500000	94.635	158.3242
98.800003	94.575	158.1372
100.000000	94.522	157.9793
101.500000	94.456	157.7721
103.000000	94.388	157.5510
104.400002	94.323	157.3815
106.000000	94.255	157.2088
107.500000	94.193	157.0407
109.000000	94.129	156.8701
110.599998	94.057	156.6797
112.000000	93.994	156.5350
113.800003	93.919	156.3591
115.000000	93.872	156.2616
117.199997	93.798	156.1039
118.000000	93.771	156.0378
120.599998	93.671	155.8284
122.000000	93.613	155.7310
124.099998	93.525	155.5935
125.000000	93.489	155.5386
126.500000	93.430	155.4569
128.000000	93.375	155.3854
131.500000	93.249	155.2487
132.000000	93.231	155.2296
134.000000	93.156	155.1595
136.000000	93.081	155.1078
138.000000	93.009	155.0618
140.000000	92.940	155.0051
143.000000	92.834	154.9432
145.000000	92.768	154.9003
147.500000	92.685	154.8594
150.000000	92.604	154.8646
152.500000	92.524	154.8615
155.000000	92.437	154.8303
157.500000	92.351	154.8339
160.000000	92.275	154.8859
162.500000	92.204	154.9323
165.000000	92.128	154.9702
167.500000	92.052	155.0224
170.000000	91.980	155.0971
172.500000	91.910	155.1877
175.000000	91.838	155.2657
177.500000	91.767	155.3394
180.000000	91.696	155.4314
182.500000	91.628	155.5534
185.000000	91.564	155.6809
187.500000	91.503	155.7998
190.000000	91.444	155.9156
192.500000	91.384	156.0534
195.000000	91.328	156.2016
197.500000	91.275	156.3416
200.000000	91.222	156.4825
203.000000	91.162	156.6413
206.000000	91.102	156.7778
209.000000	91.041	156.9191
212.000000	90.981	157.0635
214.000000	90.941	157.1557
218.000000	90.860	157.3561
220.000000	90.821	157.4700
224.000000	90.743	157.6945
227.000000	90.686	157.8575
230.000000	90.630	158.0357
233.000000	90.574	158.2235
236.000000	90.519	158.4001
240.000000	90.447	158.6605
243.000000	90.393	158.8863
247.000000	90.321	159.1929
250.000000	90.272	159.4353
254.000000	90.215	159.8102
258.000000	90.168	160.2108
262.000000	90.133	160.5588
265.000000	90.112	160.7665
269.000000	90.084	160.9672
272.000000	90.060	161.0662
276.000000	90.020	161.1713
280.000000	89.972	161.2941
285.000000	89.905	161.4815
290.000000	89.838	161.7024
295.000000	89.770	161.9604
300.000000	89.705	162.2404
304.000000	89.654	162.4791
307.000000	89.617	162.6689
311.000000	89.568	162.9287
315.000000	89.521	163.1813
320.000000	89.467	163.4894
325.000000	89.414	163.8084
330.000000	89.362	164.1341
335.000000	89.312	164.4608
340.000000	89.261	164.7972
345.000000	89.212	165.1318
350.000000	89.166	165.4631
355.000000	89.122	165.7972
360.000000	89.079	166.1329
365.000000	89.036	166.4673
370.000000	88.995	166.8076
375.000000	88.956	167.1477
382.000000	88.903	167.6161
387.000000	88.867	167.9548
395.000000	88.811	168.4953
400.000000	88.778	168.8264
406.000000	88.739	169.2261
412.000000	88.701	169.6278
418.000000	88.664	170.0187
425.000000	88.625	170.4823
431.000000	88.592	170.8854
437.000000	88.560	171.2868
444.000000	88.525	171.7519
450.000000	88.495	172.1409
455.000000	88.471	172.4634
462.000000	88.439	172.9233
468.000000	88.413	173.3220
475.000000	88.384	173.7836
482.000000	88.355	174.2427
487.000000	88.336	174.5703
494.000000	88.310	175.0271
500.000000	88.289	175.4212
508.000000	88.262	175.9446
515.000000	88.240	176.3970
522.000000	88.220	176.8533
530.000000	88.198	177.3759
538.000000	88.178	177.8914
545.000000	88.163	178.3340
552.000000	88.148	178.7759
560.000000	88.132	179.2867
570.000000	88.113	179.9269
580.000000	88.095	-179.4353
590.000000	88.078	-178.8000
600.000000	88.065	-178.1621
608.000000	88.054	-177.6483
615.000000	88.046	-177.2011
622.000000	88.039	-176.7527
630.000000	88.034	-176.2394
640.000000	88.030	-175.6074
650.000000	88.026	-174.9752
660.000000	88.025	-174.3373
670.000000	88.025	-173.7017
680.000000	88.028	-173.0633
690.000000	88.033	-172.4242
700.000000	88.041	-171.7871
710.000000	88.050	-171.1470
720.000000	88.063	-170.5035
730.000000	88.076	-169.8688
740.000000	88.093	-169.2406
750.000000	88.113	-168.6100
762.000000	88.137	-167.8536
775.000000	88.167	-167.0369
788.000000	88.202	-166.2239
800.000000	88.238	-165.4803
812.000000	88.277	-164.7461
825.000000	88.324	-163.9538
838.000000	88.375	-163.1645
850.000000	88.427	-162.4494
862.000000	88.483	-161.7520
875.000000	88.548	-161.0134
885.000000	88.601	-160.4555
900.000000	88.684	-159.6341
