* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:07:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cadenza L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.385	-151.4317
20.299999	103.395	-152.2522
20.600000	103.403	-153.0514
20.900000	103.410	-153.8306
21.200001	103.415	-154.5910
21.400000	103.418	-155.0878
21.799999	103.421	-156.0583
22.000000	103.423	-156.5328
22.400000	103.424	-157.4632
22.700001	103.424	-158.1475
23.000000	103.423	-158.8228
23.299999	103.421	-159.4901
23.600000	103.418	-160.1490
24.000000	103.412	-161.0123
24.299999	103.406	-161.6458
24.700001	103.396	-162.4695
25.000000	103.389	-163.0709
25.400000	103.379	-163.8528
25.799999	103.370	-164.6153
26.200001	103.360	-165.3624
26.500000	103.353	-165.9138
26.900000	103.343	-166.6370
27.200001	103.335	-167.1691
27.600000	103.322	-167.8624
28.000000	103.309	-168.5346
28.500000	103.290	-169.3430
29.000000	103.272	-170.1175
29.500000	103.253	-170.8651
30.000000	103.235	-171.5967
30.400000	103.220	-172.1766
30.700001	103.208	-172.6093
31.100000	103.190	-173.1807
31.500000	103.170	-173.7414
32.000000	103.143	-174.4217
32.500000	103.116	-175.0806
33.000000	103.088	-175.7249
33.500000	103.058	-176.3562
34.000000	103.028	-176.9670
34.500000	102.999	-177.5527
35.000000	102.971	-178.1217
35.500000	102.946	-178.6884
36.000000	102.919	-179.2548
36.500000	102.891	-179.8076
37.000000	102.862	179.6638
37.500000	102.835	179.1529
38.200001	102.798	178.4412
38.700001	102.770	177.9369
39.500000	102.721	177.1672
40.000000	102.692	176.7032
40.599998	102.656	176.1454
41.200001	102.617	175.5959
41.799999	102.575	175.0796
42.500000	102.530	174.5124
43.099998	102.494	174.0224
43.700001	102.456	173.5240
44.400002	102.409	172.9638
45.000000	102.369	172.5150
45.500000	102.338	172.1500
46.200001	102.297	171.6320
46.799999	102.259	171.1855
47.500000	102.211	170.6930
48.200001	102.164	170.2455
48.700001	102.134	169.9385
49.400002	102.093	169.4957
50.000000	102.056	169.1024
50.799999	102.000	168.5997
51.500000	101.950	168.2059
52.200001	101.903	167.8370
53.000000	101.853	167.4059
53.799999	101.802	166.9506
54.500000	101.754	166.5531
55.200001	101.703	166.1852
56.000000	101.648	165.8055
57.000000	101.589	165.3325
58.000000	101.530	164.8191
59.000000	101.463	164.3175
60.000000	101.391	163.8989
60.799999	101.339	163.6210
61.500000	101.301	163.3728
62.200001	101.264	163.0849
63.000000	101.215	162.7219
