* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:08:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cadenza R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	118.726	155.5583
20.299999	118.642	154.6382
20.600000	118.545	153.7997
20.900000	118.441	153.0979
21.200001	118.343	152.5381
21.400000	118.286	152.2120
21.799999	118.193	151.5960
22.000000	118.153	151.2731
22.400000	118.076	150.5642
22.700001	118.015	150.0004
23.000000	117.946	149.4474
23.299999	117.872	148.9280
23.600000	117.797	148.4443
24.000000	117.697	147.8412
24.299999	117.622	147.4069
24.700001	117.520	146.8486
25.000000	117.443	146.4509
25.400000	117.342	145.9508
25.799999	117.244	145.4672
26.200001	117.150	144.9740
26.500000	117.080	144.5938
26.900000	116.984	144.0870
27.200001	116.912	143.7223
27.600000	116.817	143.2662
28.000000	116.729	142.8297
28.500000	116.627	142.2647
29.000000	116.529	141.6492
29.500000	116.424	141.0090
30.000000	116.313	140.3958
30.400000	116.220	139.9476
30.700001	116.149	139.6401
31.100000	116.055	139.2693
31.500000	115.963	138.9411
32.000000	115.854	138.5782
32.500000	115.752	138.2386
33.000000	115.658	137.8867
33.500000	115.565	137.5045
34.000000	115.472	137.0986
34.500000	115.374	136.6920
35.000000	115.275	136.3058
35.500000	115.178	135.9460
36.000000	115.084	135.6005
36.500000	114.995	135.2525
37.000000	114.907	134.8961
37.500000	114.818	134.5417
38.200001	114.694	134.0754
38.700001	114.606	133.7679
39.500000	114.470	133.3023
40.000000	114.385	133.0251
40.599998	114.283	132.7141
41.200001	114.183	132.4265
41.799999	114.086	132.1445
42.500000	113.975	131.8013
43.099998	113.877	131.5084
43.700001	113.779	131.2419
44.400002	113.669	130.9547
45.000000	113.578	130.6976
45.500000	113.501	130.4769
46.200001	113.391	130.1947
46.799999	113.298	129.9880
47.500000	113.194	129.7501
48.200001	113.090	129.5082
48.700001	113.013	129.3576
49.400002	112.912	129.1839
50.000000	112.833	129.0243
50.799999	112.732	128.7381
51.500000	112.637	128.4466
52.200001	112.534	128.1805
53.000000	112.418	127.9447
53.799999	112.311	127.7383
54.500000	112.218	127.5417
55.200001	112.122	127.3679
56.000000	112.015	127.2426
57.000000	111.896	127.0886
58.000000	111.778	126.8712
59.000000	111.658	126.6537
60.000000	111.537	126.4453
60.799999	111.443	126.3187
61.500000	111.369	126.2053
62.200001	111.296	126.0518
63.000000	111.206	125.8712
64.000000	111.089	125.7187
65.000000	110.978	125.6220
66.000000	110.874	125.5443
67.000000	110.778	125.3959
68.000000	110.671	125.2038
69.000000	110.564	125.0544
70.000000	110.460	124.8699
71.000000	110.347	124.7257
72.000000	110.243	124.6647
73.000000	110.147	124.5827
74.000000	110.053	124.5242
75.000000	109.970	124.4437
76.199997	109.863	124.2287
77.500000	109.729	124.0678
78.800003	109.604	124.0053
80.000000	109.501	123.9298
81.199997	109.391	123.8005
82.500000	109.262	123.7741
83.800003	109.148	123.8258
85.000000	109.054	123.8076
86.199997	108.956	123.6976
87.500000	108.836	123.6105
88.500000	108.747	123.6058
90.000000	108.627	123.5998
91.199997	108.536	123.5699
92.500000	108.437	123.5448
93.800003	108.337	123.5103
95.000000	108.239	123.4903
96.199997	108.138	123.5336
97.500000	108.036	123.6111
98.800003	107.935	123.6903
100.000000	107.852	123.8263
101.500000	107.779	123.8549
103.000000	107.692	123.6538
104.400002	107.592	123.5159
106.000000	107.480	123.4476
107.500000	107.379	123.4260
109.000000	107.278	123.4341
110.599998	107.173	123.4722
112.000000	107.084	123.5098
113.800003	106.973	123.5501
115.000000	106.900	123.5752
117.199997	106.769	123.6527
118.000000	106.723	123.6909
120.599998	106.579	123.7757
122.000000	106.499	123.7823
124.099998	106.377	123.7973
125.000000	106.327	123.8038
126.500000	106.243	123.8181
128.000000	106.159	123.8496
131.500000	105.972	123.9630
132.000000	105.945	123.9790
134.000000	105.839	124.0510
136.000000	105.734	124.1369
138.000000	105.632	124.2160
140.000000	105.530	124.2872
143.000000	105.379	124.4144
145.000000	105.281	124.5092
147.500000	105.162	124.6229
150.000000	105.045	124.7251
152.500000	104.932	124.8359
155.000000	104.822	124.9703
157.500000	104.715	125.1119
160.000000	104.607	125.2635
162.500000	104.502	125.4315
165.000000	104.400	125.5768
167.500000	104.299	125.7081
170.000000	104.202	125.8453
172.500000	104.106	125.9965
175.000000	104.012	126.1705
177.500000	103.925	126.3137
180.000000	103.835	126.4221
182.500000	103.743	126.5528
185.000000	103.655	126.6888
187.500000	103.569	126.8004
190.000000	103.481	126.9082
192.500000	103.392	127.0215
195.000000	103.304	127.1190
197.500000	103.217	127.2155
200.000000	103.132	127.3896
203.000000	103.040	127.6339
206.000000	102.948	127.8189
209.000000	102.864	128.0134
212.000000	102.787	128.2372
214.000000	102.733	128.3815
218.000000	102.617	128.6225
220.000000	102.561	128.7164
224.000000	102.462	128.8916
227.000000	102.394	129.0022
230.000000	102.329	129.0622
233.000000	102.262	129.0568
236.000000	102.190	128.9830
