* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 11:34:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	49.343	9.1531
20.299999	49.396	8.7571
20.600000	49.462	8.3479
20.900000	49.532	7.8430
21.200001	49.587	7.2386
21.400000	49.610	6.8376
21.799999	49.630	6.1602
22.000000	49.635	5.9214
22.400000	49.660	5.6268
22.700001	49.702	5.4350
23.000000	49.758	5.1211
23.299999	49.807	4.6383
23.600000	49.831	4.0493
24.000000	49.813	3.3120
24.299999	49.776	2.9819
24.700001	49.739	2.9314
25.000000	49.755	3.0666
25.400000	49.853	3.1389
25.799999	50.006	2.6836
26.200001	50.144	1.5481
26.500000	50.196	0.3775
26.900000	50.176	-1.2808
27.200001	50.097	-2.3293
27.600000	49.941	-3.1968
28.000000	49.782	-3.3575
28.500000	49.665	-2.7947
29.000000	49.680	-1.9429
29.500000	49.803	-1.2830
30.000000	49.983	-1.0461
30.400000	50.139	-1.1863
30.700001	50.252	-1.4753
31.100000	50.383	-2.0724
31.500000	50.480	-2.8330
32.000000	50.543	-3.8018
32.500000	50.561	-4.5312
33.000000	50.587	-4.9491
33.500000	50.657	-5.2958
34.000000	50.753	-5.9156
34.500000	50.820	-6.8636
35.000000	50.820	-7.8221
35.500000	50.776	-8.3764
36.000000	50.748	-8.4195
36.500000	50.780	-8.1909
37.000000	50.867	-8.0214
37.500000	50.978	-8.0609
38.200001	51.124	-8.4423
38.700001	51.203	-8.8931
39.500000	51.246	-9.7279
40.000000	51.219	-10.0640
40.599998	51.176	-10.0465
41.200001	51.196	-9.7506
41.799999	51.297	-9.7217
42.500000	51.431	-10.4368
43.099998	51.498	-11.3831
43.700001	51.540	-12.2499
44.400002	51.594	-13.0995
45.000000	51.649	-13.6619
45.500000	51.713	-13.9252
46.200001	51.857	-14.1128
46.799999	52.011	-14.3424
47.500000	52.175	-14.6057
48.200001	52.331	-14.7148
48.700001	52.434	-14.7651
49.400002	52.550	-14.7341
50.000000	52.650	-14.5568
50.799999	52.789	-14.5776
51.500000	52.841	-14.8247
52.200001	52.865	-14.8024
53.000000	52.933	-15.0195
53.799999	52.920	-15.6428
54.500000	52.895	-15.7346
55.200001	52.955	-16.1647
56.000000	52.894	-17.5471
57.000000	52.576	-17.1652
58.000000	52.667	-14.6060
59.000000	53.224	-13.7569
60.000000	53.674	-16.4365
60.799999	53.643	-18.4562
61.500000	53.647	-18.4333
62.200001	53.847	-18.6725
63.000000	53.955	-20.0526
64.000000	53.971	-20.0070
65.000000	54.247	-20.2727
66.000000	54.273	-21.2013
67.000000	54.408	-20.4224
68.000000	54.622	-21.2589
69.000000	54.605	-21.5059
70.000000	54.802	-21.0524
71.000000	54.938	-22.1558
72.000000	54.927	-22.1081
73.000000	55.149	-21.8391
74.000000	55.281	-23.0391
75.000000	55.255	-23.1371
76.199997	55.497	-22.7462
77.500000	55.627	-23.9870
78.800003	55.728	-23.3019
80.000000	56.057	-23.7999
81.199997	56.076	-25.0010
82.500000	56.184	-23.9867
83.800003	56.521	-24.7639
85.000000	56.477	-25.9880
86.199997	56.520	-24.7579
87.500000	56.943	-24.9011
88.500000	57.032	-26.7496
90.000000	56.861	-26.3894
91.199997	57.200	-24.7200
92.500000	57.631	-26.5168
93.800003	57.498	-28.6750
95.000000	57.366	-27.0842
96.199997	57.784	-25.1768
97.500000	58.279	-27.0177
