* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 11:34:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	50.112	-1.5695
20.299999	50.149	-1.6890
20.600000	50.216	-1.8569
20.900000	50.300	-2.1521
21.200001	50.388	-2.5753
21.400000	50.444	-2.8996
21.799999	50.554	-3.6115
22.000000	50.608	-3.9893
22.400000	50.715	-4.7996
22.700001	50.790	-5.4695
23.000000	50.854	-6.1804
23.299999	50.902	-6.8857
23.600000	50.934	-7.5355
24.000000	50.959	-8.2479
24.299999	50.971	-8.6387
24.700001	50.987	-8.9609
25.000000	51.005	-9.0562
25.400000	51.046	-9.0003
25.799999	51.122	-8.7970
26.200001	51.245	-8.5950
26.500000	51.365	-8.5663
26.900000	51.544	-8.8156
27.200001	51.675	-9.2488
27.600000	51.820	-10.1042
28.000000	51.918	-11.1311
28.500000	51.975	-12.3998
29.000000	51.983	-13.4368
29.500000	51.975	-14.1732
30.000000	51.978	-14.6737
30.400000	51.995	-14.9897
30.700001	52.015	-15.2101
31.100000	52.044	-15.4786
31.500000	52.074	-15.6727
32.000000	52.121	-15.7253
32.500000	52.205	-15.5768
33.000000	52.342	-15.4141
33.500000	52.517	-15.4628
34.000000	52.691	-15.8087
34.500000	52.832	-16.3198
35.000000	52.938	-16.7821
35.500000	53.033	-17.0776
36.000000	53.143	-17.2983
36.500000	53.264	-17.6322
37.000000	53.369	-18.1461
37.500000	53.440	-18.6841
38.200001	53.522	-19.1332
38.700001	53.620	-19.3459
39.500000	53.819	-20.2485
40.000000	53.897	-21.1309
40.599998	53.923	-21.9595
41.200001	53.955	-22.2094
41.799999	54.054	-22.2076
42.500000	54.221	-22.4319
43.099998	54.348	-22.7482
43.700001	54.464	-22.9446
44.400002	54.611	-23.1069
45.000000	54.731	-23.3304
45.500000	54.813	-23.5148
46.200001	54.920	-23.6694
46.799999	55.022	-23.8093
47.500000	55.135	-24.1104
48.200001	55.236	-24.4138
48.700001	55.316	-24.5760
49.400002	55.455	-24.8503
50.000000	55.583	-25.2045
50.799999	55.745	-25.6995
51.500000	55.883	-26.0098
52.200001	56.026	-26.2067
53.000000	56.184	-26.3603
53.799999	56.313	-26.4240
54.500000	56.401	-26.3069
55.200001	56.482	-26.1284
56.000000	56.527	-25.9760
57.000000	56.534	-24.9853
58.000000	56.807	-23.6215
59.000000	57.191	-24.6301
60.000000	57.310	-26.6742
60.799999	57.346	-27.5054
61.500000	57.431	-27.8953
62.200001	57.551	-28.2585
63.000000	57.701	-28.6184
64.000000	57.894	-28.9176
65.000000	58.081	-29.0754
66.000000	58.257	-29.1567
67.000000	58.419	-29.2461
68.000000	58.568	-29.4037
69.000000	58.704	-29.6132
70.000000	58.836	-29.7926
71.000000	58.983	-29.9296
72.000000	59.139	-30.0905
73.000000	59.293	-30.2242
74.000000	59.451	-30.3162
75.000000	59.608	-30.4649
76.199997	59.786	-30.6935
77.500000	59.979	-31.0063
78.800003	60.171	-31.3658
80.000000	60.353	-31.6309
81.199997	60.545	-31.7871
82.500000	60.755	-31.9006
83.800003	60.954	-31.9626
85.000000	61.123	-32.0171
86.199997	61.283	-32.0651
87.500000	61.457	-32.1641
88.500000	61.592	-32.2741
90.000000	61.799	-32.4454
91.199997	61.970	-32.5813
92.500000	62.152	-32.7268
93.800003	62.333	-32.8209
95.000000	62.502	-32.9313
96.199997	62.660	-33.0576
97.500000	62.829	-33.1202
98.800003	63.009	-33.1572
100.000000	63.179	-33.2738
101.500000	63.371	-33.5085
103.000000	63.543	-33.6667
104.400002	63.713	-33.7217
106.000000	63.922	-33.8147
107.500000	64.125	-33.8990
109.000000	64.333	-33.9828
110.599998	64.545	-34.0994
112.000000	64.722	-34.1589
113.800003	64.949	-34.2893
115.000000	65.093	-34.4230
117.199997	65.354	-34.6697
118.000000	65.450	-34.7584
120.599998	65.762	-34.9222
122.000000	65.935	-34.9355
124.099998	66.194	-34.9496
125.000000	66.303	-34.9746
126.500000	66.481	-35.0788
128.000000	66.650	-35.2187
131.500000	67.061	-35.4290
132.000000	67.123	-35.4576
134.000000	67.368	-35.5931
136.000000	67.597	-35.7390
138.000000	67.813	-35.8715
140.000000	68.029	-36.0110
143.000000	68.368	-36.2065
145.000000	68.597	-36.3620
147.500000	68.868	-36.5728
150.000000	69.134	-36.7355
152.500000	69.415	-36.8839
155.000000	69.700	-37.0754
157.500000	69.970	-37.2998
160.000000	70.224	-37.5175
162.500000	70.479	-37.6937
165.000000	70.740	-37.8936
167.500000	71.005	-38.1104
170.000000	71.271	-38.3444
172.500000	71.531	-38.5398
175.000000	71.790	-38.6764
177.500000	72.051	-38.8828
180.000000	72.303	-39.1660
182.500000	72.553	-39.4505
185.000000	72.800	-39.7368
187.500000	73.049	-40.0208
190.000000	73.301	-40.3146
192.500000	73.552	-40.6105
195.000000	73.801	-40.9041
197.500000	74.049	-41.2228
200.000000	74.297	-41.5688
203.000000	74.593	-41.9539
206.000000	74.888	-42.3337
209.000000	75.178	-42.7490
212.000000	75.469	-43.1576
214.000000	75.665	-43.4312
218.000000	76.056	-44.0450
220.000000	76.247	-44.3895
224.000000	76.627	-45.1011
227.000000	76.911	-45.6154
230.000000	77.195	-46.1247
233.000000	77.481	-46.6652
236.000000	77.768	-47.2479
240.000000	78.149	-48.0644
243.000000	78.433	-48.7103
247.000000	78.809	-49.6165
250.000000	79.088	-50.3162
254.000000	79.460	-51.2983
258.000000	79.830	-52.3244
262.000000	80.199	-53.4086
265.000000	80.468	-54.2428
269.000000	80.830	-55.3662
272.000000	81.097	-56.2916
276.000000	81.441	-57.5406
280.000000	81.797	-58.8063
285.000000	82.232	-60.6656
290.000000	82.627	-62.4449
295.000000	83.067	-64.1256
300.000000	83.535	-66.3722
304.000000	83.847	-68.6398
307.000000	84.024	-70.3895
