* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 2:43:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Salnotes Dioko L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.130	-169.0642
20.299999	100.107	-169.7604
20.600000	100.084	-170.4388
20.900000	100.060	-171.1004
21.200001	100.036	-171.7469
21.400000	100.020	-172.1711
21.799999	99.988	-173.0048
22.000000	99.972	-173.4147
22.400000	99.937	-174.2192
22.700001	99.911	-174.8076
23.000000	99.883	-175.3815
23.299999	99.855	-175.9406
23.600000	99.826	-176.4855
24.000000	99.788	-177.1914
24.299999	99.759	-177.7071
24.700001	99.721	-178.3783
25.000000	99.692	-178.8706
25.400000	99.653	-179.5143
25.799999	99.614	179.8547
26.200001	99.573	179.2361
26.500000	99.542	178.7821
26.900000	99.499	178.1946
27.200001	99.466	177.7707
27.600000	99.423	177.2296
28.000000	99.381	176.7120
28.500000	99.331	176.0826
29.000000	99.283	175.4545
29.500000	99.234	174.8261
30.000000	99.182	174.2142
30.400000	99.139	173.7474
30.700001	99.106	173.4114
31.100000	99.063	172.9774
31.500000	99.020	172.5545
32.000000	98.966	172.0422
32.500000	98.910	171.5590
33.000000	98.855	171.1119
33.500000	98.804	170.6898
34.000000	98.757	170.2696
34.500000	98.710	169.8390
35.000000	98.661	169.4053
35.500000	98.609	168.9840
36.000000	98.556	168.5835
36.500000	98.503	168.2012
37.000000	98.451	167.8318
37.500000	98.399	167.4742
38.200001	98.325	166.9980
38.700001	98.273	166.6764
39.500000	98.193	166.1853
40.000000	98.145	165.8852
40.599998	98.087	165.5278
41.200001	98.030	165.1751
41.799999	97.972	164.8316
42.500000	97.905	164.4449
43.099998	97.848	164.1252
43.700001	97.791	163.8162
44.400002	97.724	163.4703
45.000000	97.668	163.1865
45.500000	97.621	162.9589
46.200001	97.556	162.6540
46.799999	97.501	162.4053
47.500000	97.438	162.1274
48.200001	97.376	161.8570
48.700001	97.332	161.6668
49.400002	97.269	161.4106
50.000000	97.215	161.2075
50.799999	97.144	160.9567
51.500000	97.084	160.7424
52.200001	97.024	160.5325
53.000000	96.955	160.3093
53.799999	96.889	160.0964
54.500000	96.832	159.9095
55.200001	96.774	159.7296
56.000000	96.710	159.5337
57.000000	96.630	159.2898
58.000000	96.547	159.0822
59.000000	96.468	158.9241
60.000000	96.395	158.7693
60.799999	96.337	158.6430
61.500000	96.286	158.5358
62.200001	96.235	158.4334
63.000000	96.177	158.3232
64.000000	96.105	158.1936
65.000000	96.034	158.0728
66.000000	95.964	157.9637
67.000000	95.895	157.8695
68.000000	95.829	157.7860
69.000000	95.765	157.7092
70.000000	95.703	157.6425
71.000000	95.642	157.5808
72.000000	95.581	157.5201
73.000000	95.522	157.4607
74.000000	95.462	157.4050
75.000000	95.403	157.3536
76.199997	95.334	157.2970
77.500000	95.260	157.2464
78.800003	95.188	157.2042
80.000000	95.121	157.1724
81.199997	95.055	157.1501
82.500000	94.984	157.1466
83.800003	94.917	157.1500
85.000000	94.856	157.1486
86.199997	94.795	157.1551
87.500000	94.730	157.1767
88.500000	94.682	157.1992
90.000000	94.612	157.2326
91.199997	94.555	157.2626
92.500000	94.495	157.3009
93.800003	94.436	157.3444
95.000000	94.383	157.3849
96.199997	94.331	157.4258
97.500000	94.275	157.4760
98.800003	94.221	157.5350
100.000000	94.171	157.5968
101.500000	94.111	157.6776
103.000000	94.053	157.7573
104.400002	93.999	157.8315
106.000000	93.938	157.9213
107.500000	93.883	158.0097
