* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 2:47:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Salnotes Dioko R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.039	-149.3325
20.299999	99.052	-150.2117
20.600000	99.063	-151.0700
20.900000	99.073	-151.9079
21.200001	99.079	-152.7225
21.400000	99.083	-153.2509
21.799999	99.087	-154.2733
22.000000	99.089	-154.7691
22.400000	99.091	-155.7372
22.700001	99.090	-156.4480
23.000000	99.087	-157.1469
23.299999	99.081	-157.8300
23.600000	99.074	-158.4940
24.000000	99.062	-159.3502
24.299999	99.053	-159.9793
24.700001	99.041	-160.8191
25.000000	99.030	-161.4583
25.400000	99.009	-162.3160
25.799999	98.981	-163.1464
26.200001	98.951	-163.9143
26.500000	98.931	-164.4493
26.900000	98.915	-165.1428
27.200001	98.911	-165.6874
27.600000	98.909	-166.4875
28.000000	98.900	-167.3686
28.500000	98.867	-168.4815
29.000000	98.815	-169.4486
29.500000	98.768	-170.2115
30.000000	98.744	-170.8634
30.400000	98.741	-171.4023
30.700001	98.742	-171.8453
31.100000	98.740	-172.4820
31.500000	98.729	-173.1345
32.000000	98.700	-173.8984
32.500000	98.661	-174.5472
33.000000	98.624	-175.0807
33.500000	98.597	-175.5533
34.000000	98.577	-176.0389
34.500000	98.559	-176.5794
35.000000	98.532	-177.1625
35.500000	98.497	-177.7449
36.000000	98.455	-178.2988
36.500000	98.413	-178.8302
37.000000	98.372	-179.3576
37.500000	98.329	-179.8844
38.200001	98.269	179.4031
38.700001	98.228	178.9224
39.500000	98.169	178.1862
40.000000	98.136	177.7361
40.599998	98.097	177.2051
41.200001	98.059	176.6876
41.799999	98.019	176.1914
42.500000	97.970	175.6525
43.099998	97.929	175.2240
43.700001	97.888	174.8084
44.400002	97.841	174.3178
45.000000	97.797	173.8896
45.500000	97.759	173.5348
46.200001	97.703	173.0504
46.799999	97.654	172.6486
47.500000	97.599	172.1926
48.200001	97.544	171.7495
48.700001	97.505	171.4440
49.400002	97.452	171.0394
50.000000	97.408	170.7147
50.799999	97.352	170.3000
51.500000	97.304	169.9451
52.200001	97.255	169.6038
53.000000	97.197	169.2371
53.799999	97.139	168.8853
54.500000	97.088	168.5823
55.200001	97.036	168.2870
56.000000	96.978	167.9616
57.000000	96.908	167.5622
58.000000	96.838	167.1710
59.000000	96.768	166.8066
60.000000	96.700	166.4702
60.799999	96.647	166.2186
61.500000	96.601	166.0077
62.200001	96.555	165.8000
63.000000	96.503	165.5665
64.000000	96.437	165.2863
65.000000	96.372	165.0188
66.000000	96.308	164.7638
67.000000	96.245	164.5228
68.000000	96.183	164.2929
69.000000	96.122	164.0744
70.000000	96.062	163.8674
71.000000	96.001	163.6738
72.000000	95.942	163.4919
73.000000	95.883	163.3165
74.000000	95.825	163.1497
75.000000	95.768	162.9903
76.199997	95.700	162.8151
77.500000	95.629	162.6424
78.800003	95.559	162.4797
80.000000	95.495	162.3373
81.199997	95.430	162.2095
82.500000	95.362	162.0881
83.800003	95.296	161.9675
85.000000	95.236	161.8615
86.199997	95.176	161.7613
87.500000	95.112	161.6654
88.500000	95.064	161.6013
90.000000	94.995	161.5099
91.199997	94.939	161.4449
92.500000	94.880	161.3866
93.800003	94.821	161.3331
95.000000	94.768	161.2929
96.199997	94.716	161.2584
97.500000	94.661	161.2205
98.800003	94.607	161.1878
100.000000	94.558	161.1650
101.500000	94.498	161.1432
103.000000	94.438	161.1220
104.400002	94.382	161.1114
106.000000	94.321	161.1087
107.500000	94.264	161.1078
109.000000	94.209	161.1168
110.599998	94.152	161.1305
112.000000	94.101	161.1451
113.800003	94.037	161.1763
115.000000	93.995	161.2053
117.199997	93.921	161.2632
118.000000	93.895	161.2822
120.599998	93.812	161.3420
122.000000	93.768	161.3866
124.099998	93.703	161.4596
125.000000	93.676	161.4914
126.500000	93.630	161.5494
128.000000	93.585	161.6120
131.500000	93.485	161.7619
132.000000	93.471	161.7844
134.000000	93.414	161.8802
136.000000	93.360	161.9833
138.000000	93.307	162.0871
140.000000	93.255	162.1929
143.000000	93.179	162.3586
145.000000	93.130	162.4743
147.500000	93.069	162.6203
150.000000	93.009	162.7729
152.500000	92.949	162.9283
155.000000	92.889	163.0939
157.500000	92.831	163.2809
160.000000	92.775	163.4844
162.500000	92.719	163.6919
165.000000	92.661	163.9176
167.500000	92.606	164.1891
170.000000	92.560	164.5043
172.500000	92.518	164.8556
175.000000	92.485	165.2604
177.500000	92.470	165.6602
180.000000	92.472	165.9770
182.500000	92.480	166.1600
185.000000	92.480	166.2109
187.500000	92.467	166.1842
190.000000	92.443	166.1446
192.500000	92.411	166.1335
195.000000	92.374	166.1594
197.500000	92.336	166.2118
200.000000	92.299	166.2921
203.000000	92.256	166.4294
206.000000	92.214	166.5958
209.000000	92.173	166.7741
212.000000	92.133	166.9592
214.000000	92.106	167.0873
218.000000	92.053	167.3427
220.000000	92.027	167.4626
224.000000	91.978	167.6854
227.000000	91.946	167.8651
230.000000	91.916	168.0717
233.000000	91.884	168.2888
236.000000	91.851	168.4934
240.000000	91.811	168.7513
243.000000	91.783	168.9571
247.000000	91.745	169.2375
250.000000	91.716	169.4502
254.000000	91.677	169.7562
258.000000	91.640	170.0880
262.000000	91.608	170.4418
265.000000	91.587	170.7280
269.000000	91.567	171.1329
272.000000	91.559	171.4356
276.000000	91.559	171.7975
280.000000	91.567	172.0865
285.000000	91.576	172.3331
290.000000	91.572	172.4910
295.000000	91.557	172.6335
300.000000	91.535	172.8132
304.000000	91.517	172.9858
307.000000	91.504	173.1212
311.000000	91.487	173.2991
315.000000	91.469	173.4752
320.000000	91.449	173.7082
325.000000	91.430	173.9507
330.000000	91.412	174.1899
335.000000	91.393	174.4249
340.000000	91.375	174.6596
345.000000	91.357	174.8998
350.000000	91.340	175.1443
355.000000	91.324	175.3827
360.000000	91.309	175.6166
365.000000	91.294	175.8575
370.000000	91.280	176.1006
375.000000	91.267	176.3421
382.000000	91.249	176.6813
387.000000	91.236	176.9239
395.000000	91.217	177.3085
400.000000	91.207	177.5483
406.000000	91.196	177.8354
412.000000	91.186	178.1193
418.000000	91.176	178.4057
425.000000	91.165	178.7346
431.000000	91.157	179.0125
437.000000	91.149	179.2877
444.000000	91.140	179.6067
450.000000	91.133	179.8866
455.000000	91.128	-179.8793
462.000000	91.123	-179.5596
468.000000	91.119	-179.2912
475.000000	91.114	-178.9758
482.000000	91.111	-178.6584
487.000000	91.108	-178.4340
494.000000	91.106	-178.1243
500.000000	91.104	-177.8602
508.000000	91.103	-177.5044
515.000000	91.102	-177.1929
522.000000	91.103	-176.8882
530.000000	91.104	-176.5424
538.000000	91.106	-176.1928
545.000000	91.108	-175.8888
552.000000	91.111	-175.5871
560.000000	91.115	-175.2440
570.000000	91.121	-174.8192
580.000000	91.127	-174.3915
590.000000	91.135	-173.9620
600.000000	91.146	-173.5321
608.000000	91.154	-173.1911
615.000000	91.162	-172.8961
622.000000	91.171	-172.6029
630.000000	91.181	-172.2650
640.000000	91.196	-171.8372
650.000000	91.211	-171.4047
660.000000	91.228	-170.9790
670.000000	91.246	-170.5579
680.000000	91.267	-170.1350
690.000000	91.288	-169.7163
700.000000	91.311	-169.2987
710.000000	91.336	-168.8766
720.000000	91.361	-168.4519
730.000000	91.389	-168.0279
740.000000	91.418	-167.6080
750.000000	91.449	-167.1888
762.000000	91.488	-166.6853
775.000000	91.533	-166.1430
788.000000	91.582	-165.6005
800.000000	91.629	-165.1094
812.000000	91.680	-164.6301
825.000000	91.737	-164.1108
838.000000	91.798	-163.5927
850.000000	91.858	-163.1266
862.000000	91.921	-162.6726
875.000000	91.992	-162.1930
885.000000	92.048	-161.8339
900.000000	92.137	-161.3122
912.000000	92.212	-160.9136
925.000000	92.295	-160.4987
938.000000	92.382	-160.0867
950.000000	92.467	-159.7267
962.000000	92.556	-159.4073
975.000000	92.657	-159.1011
988.000000	92.759	-158.8169
1000.000000	92.853	-158.5617
1015.000000	92.970	-158.2590
1030.000000	93.086	-158.0099
1044.000000	93.196	-157.8320
1060.000000	93.322	-157.6693
1075.000000	93.438	-157.5520
1090.000000	93.553	-157.4727
1106.000000	93.673	-157.4345
1120.000000	93.777	-157.4341
1138.000000	93.906	-157.4657
1150.000000	93.989	-157.5042
1172.000000	94.137	-157.6093
1180.000000	94.189	-157.6564
1206.000000	94.354	-157.8355
1220.000000	94.439	-157.9429
1241.000000	94.563	-158.1107
1250.000000	94.615	-158.1871
1265.000000	94.701	-158.3239
1280.000000	94.785	-158.4697
1315.000000	94.973	-158.8173
1320.000000	94.999	-158.8660
1340.000000	95.102	-159.0662
1360.000000	95.204	-159.2833
1380.000000	95.305	-159.5113
1400.000000	95.403	-159.7387
1430.000000	95.548	-160.0780
1450.000000	95.644	-160.3132
1475.000000	95.763	-160.6160
1500.000000	95.880	-160.9143
1525.000000	95.997	-161.2156
1550.000000	96.116	-161.5447
1575.000000	96.237	-161.9006
1600.000000	96.357	-162.2709
1625.000000	96.477	-162.6536
1650.000000	96.596	-163.0629
1675.000000	96.715	-163.5031
1700.000000	96.835	-163.9678
1725.000000	96.954	-164.4546
1750.000000	97.071	-164.9711
1775.000000	97.190	-165.5257
1800.000000	97.307	-166.1170
1825.000000	97.423	-166.7405
1850.000000	97.535	-167.3990
1875.000000	97.644	-168.0907
1900.000000	97.748	-168.8088
1925.000000	97.848	-169.5388
1950.000000	97.948	-170.2576
1975.000000	98.055	-170.9650
2000.000000	98.177	-171.7078
2030.000000	98.348	-172.7841
2060.000000	98.529	-174.2415
2090.000000	98.686	-176.2098
2120.000000	98.770	-178.7134
2140.000000	98.754	179.4099
2180.000000	98.479	176.0107
2200.000000	98.235	175.0934
2240.000000	97.780	175.5361
2270.000000	97.656	176.8857
2300.000000	97.703	177.9531
2330.000000	97.826	178.4048
2360.000000	97.962	178.3502
2400.000000	98.127	177.7935
2430.000000	98.234	177.1718
2470.000000	98.356	176.1998
2500.000000	98.434	175.4068
2540.000000	98.526	174.3015
2580.000000	98.610	173.1540
2620.000000	98.691	171.9556
2650.000000	98.750	171.0079
2690.000000	98.827	169.6555
2720.000000	98.885	168.5510
2760.000000	98.958	166.8861
2800.000000	99.009	164.8835
2850.000000	98.965	161.8728
2900.000000	98.693	159.2124
2950.000000	98.358	158.6622
3000.000000	98.378	158.9536
3040.000000	98.589	157.9566
3070.000000	98.741	156.2927
3110.000000	98.832	153.1232
