* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 11:43:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu-Titan-S-Ted L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.478	-132.4564
20.299999	95.521	-133.2823
20.600000	95.561	-134.1028
20.900000	95.597	-134.9085
21.200001	95.631	-135.6920
21.400000	95.653	-136.2009
21.799999	95.695	-137.1931
22.000000	95.716	-137.6803
22.400000	95.756	-138.6428
22.700001	95.783	-139.3540
23.000000	95.808	-140.0500
23.299999	95.830	-140.7236
23.600000	95.850	-141.3694
24.000000	95.876	-142.1881
24.299999	95.898	-142.7789
24.700001	95.928	-143.5532
25.000000	95.952	-144.1337
25.400000	95.982	-144.9132
25.799999	96.009	-145.6954
26.200001	96.032	-146.4708
26.500000	96.046	-147.0420
26.900000	96.061	-147.7827
27.200001	96.071	-148.3190
27.600000	96.083	-149.0068
28.000000	96.096	-149.6699
28.500000	96.114	-150.4880
29.000000	96.132	-151.3209
29.500000	96.143	-152.1605
30.000000	96.146	-152.9620
30.400000	96.146	-153.5559
30.700001	96.148	-153.9800
31.100000	96.154	-154.5374
31.500000	96.160	-155.1035
32.000000	96.162	-155.8118
32.500000	96.159	-156.4732
33.000000	96.158	-157.0687
33.500000	96.165	-157.6475
34.000000	96.174	-158.2646
34.500000	96.175	-158.8973
35.000000	96.168	-159.4669
35.500000	96.166	-159.9448
36.000000	96.175	-160.3958
36.500000	96.192	-160.8948
37.000000	96.205	-161.4334
37.500000	96.211	-161.9427
38.200001	96.223	-162.5606
38.700001	96.243	-163.0005
39.500000	96.278	-163.8203
40.000000	96.291	-164.3867
40.599998	96.296	-165.0845
41.200001	96.285	-165.7795
41.799999	96.260	-166.4207
42.500000	96.222	-167.0394
43.099998	96.196	-167.4869
43.700001	96.180	-167.9254
44.400002	96.168	-168.4682
45.000000	96.161	-168.9652
45.500000	96.155	-169.3989
46.200001	96.145	-170.0142
46.799999	96.134	-170.5219
47.500000	96.121	-171.0749
48.200001	96.109	-171.5790
48.700001	96.101	-171.9119
49.400002	96.090	-172.3593
50.000000	96.077	-172.7289
50.799999	96.056	-173.1955
51.500000	96.035	-173.6221
52.200001	96.004	-174.0768
53.000000	95.963	-174.5688
53.799999	95.933	-175.1138
54.500000	95.907	-175.6750
55.200001	95.890	-176.2342
56.000000	95.899	-177.0902
57.000000	95.832	-178.6237
58.000000	95.651	-179.1150
59.000000	95.637	-178.6203
60.000000	95.725	-178.8220
60.799999	95.746	-179.2007
61.500000	95.746	-179.4463
62.200001	95.737	-179.6850
63.000000	95.711	-179.9475
64.000000	95.672	179.7393
65.000000	95.629	179.3362
66.000000	95.581	178.8737
67.000000	95.535	178.4227
68.000000	95.502	177.9989
69.000000	95.478	177.5726
70.000000	95.452	177.1917
71.000000	95.425	176.8870
72.000000	95.399	176.6180
73.000000	95.372	176.3346
74.000000	95.339	176.0063
75.000000	95.300	175.6395
76.199997	95.247	175.2239
77.500000	95.202	174.8395
78.800003	95.169	174.4283
80.000000	95.137	174.0766
81.199997	95.099	173.7286
82.500000	95.044	173.4298
83.800003	94.996	173.2061
85.000000	94.961	172.9182
86.199997	94.920	172.5808
87.500000	94.875	172.2452
88.500000	94.846	172.0140
90.000000	94.806	171.6691
91.199997	94.769	171.4196
92.500000	94.725	171.1981
93.800003	94.682	170.9644
95.000000	94.635	170.7316
96.199997	94.588	170.5330
97.500000	94.547	170.3097
98.800003	94.509	170.0676
100.000000	94.475	169.8635
101.500000	94.432	169.6420
103.000000	94.387	169.4519
104.400002	94.344	169.2716
106.000000	94.289	169.0668
107.500000	94.242	168.9150
109.000000	94.204	168.7526
110.599998	94.160	168.5662
112.000000	94.117	168.4149
113.800003	94.060	168.2236
115.000000	94.024	168.0782
117.199997	93.971	167.8137
118.000000	93.959	167.7032
120.599998	93.890	167.2662
122.000000	93.829	167.2218
124.099998	93.758	167.2508
125.000000	93.732	167.2267
126.500000	93.691	167.1349
128.000000	93.653	167.0120
131.500000	93.575	166.7514
132.000000	93.563	166.7182
134.000000	93.511	166.6154
136.000000	93.458	166.5537
138.000000	93.406	166.5015
140.000000	93.353	166.4595
143.000000	93.274	166.4060
145.000000	93.227	166.3690
147.500000	93.173	166.2877
150.000000	93.120	166.2230
152.500000	93.066	166.1758
155.000000	93.007	166.1466
157.500000	92.946	166.1063
160.000000	92.894	166.0635
162.500000	92.844	166.0425
165.000000	92.785	166.1050
167.500000	92.726	166.2068
170.000000	92.681	166.1899
172.500000	92.638	166.0811
175.000000	92.592	166.0423
177.500000	92.543	166.1002
180.000000	92.493	166.1559
182.500000	92.441	166.1626
185.000000	92.390	166.1704
187.500000	92.342	166.2090
190.000000	92.296	166.2733
192.500000	92.250	166.3491
195.000000	92.202	166.4263
197.500000	92.155	166.5060
200.000000	92.109	166.6104
203.000000	92.056	166.7833
206.000000	92.005	167.0078
209.000000	91.960	167.2629
212.000000	91.922	167.5224
214.000000	91.903	167.6804
218.000000	91.874	167.9364
220.000000	91.867	168.0571
224.000000	91.863	168.2437
227.000000	91.854	168.2927
230.000000	91.836	168.3019
233.000000	91.814	168.2953
236.000000	91.787	168.2950
240.000000	91.743	168.3264
243.000000	91.712	168.3588
247.000000	91.670	168.4116
250.000000	91.638	168.4677
254.000000	91.593	168.5605
258.000000	91.549	168.6696
262.000000	91.507	168.7891
265.000000	91.475	168.8823
269.000000	91.433	169.0155
272.000000	91.402	169.1245
276.000000	91.364	169.2775
280.000000	91.327	169.4349
285.000000	91.282	169.6360
290.000000	91.241	169.8486
295.000000	91.202	170.0760
300.000000	91.164	170.3041
304.000000	91.136	170.4896
307.000000	91.117	170.6263
311.000000	91.094	170.7945
315.000000	91.072	170.9446
320.000000	91.042	171.1273
325.000000	91.011	171.3085
330.000000	90.981	171.4901
335.000000	90.951	171.6768
340.000000	90.921	171.8691
345.000000	90.891	172.0636
350.000000	90.863	172.2586
355.000000	90.835	172.4619
360.000000	90.807	172.6576
365.000000	90.781	172.8524
370.000000	90.757	173.0629
375.000000	90.733	173.2792
382.000000	90.701	173.5648
387.000000	90.679	173.7700
395.000000	90.646	174.1055
400.000000	90.625	174.3172
406.000000	90.600	174.5660
412.000000	90.577	174.8121
418.000000	90.555	175.0562
425.000000	90.530	175.3422
431.000000	90.510	175.5926
437.000000	90.491	175.8450
444.000000	90.470	176.1384
450.000000	90.452	176.3835
455.000000	90.438	176.5848
462.000000	90.418	176.8718
468.000000	90.403	177.1192
475.000000	90.385	177.4077
482.000000	90.367	177.6954
487.000000	90.356	177.9007
494.000000	90.340	178.1895
500.000000	90.328	178.4369
508.000000	90.312	178.7686
515.000000	90.298	179.0490
522.000000	90.285	179.3287
530.000000	90.272	179.6621
538.000000	90.259	179.9916
545.000000	90.249	-179.7204
552.000000	90.240	-179.4349
