* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 11:43:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu-Titan-S-Ted R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.021	-149.5474
20.299999	97.033	-150.3138
20.600000	97.043	-151.0742
20.900000	97.052	-151.8269
21.200001	97.058	-152.5672
21.400000	97.060	-153.0508
21.799999	97.063	-153.9900
22.000000	97.064	-154.4453
22.400000	97.064	-155.3307
22.700001	97.064	-155.9767
23.000000	97.062	-156.6087
23.299999	97.060	-157.2259
23.600000	97.056	-157.8258
24.000000	97.051	-158.5967
24.299999	97.047	-159.1558
24.700001	97.043	-159.8852
25.000000	97.041	-160.4274
25.400000	97.036	-161.1489
25.799999	97.029	-161.8636
26.200001	97.019	-162.5589
26.500000	97.009	-163.0610
26.900000	96.996	-163.7025
27.200001	96.987	-164.1656
27.600000	96.976	-164.7670
28.000000	96.965	-165.3576
28.500000	96.952	-166.0857
29.000000	96.938	-166.8014
29.500000	96.923	-167.5030
30.000000	96.907	-168.1925
30.400000	96.892	-168.7362
30.700001	96.880	-169.1386
31.100000	96.862	-169.6653
31.500000	96.842	-170.1776
32.000000	96.816	-170.7944
32.500000	96.788	-171.3842
33.000000	96.761	-171.9470
33.500000	96.735	-172.4828
34.000000	96.712	-172.9965
34.500000	96.693	-173.5014
35.000000	96.676	-174.0146
35.500000	96.660	-174.5425
36.000000	96.640	-175.0734
36.500000	96.617	-175.5864
37.000000	96.592	-176.0674
37.500000	96.567	-176.5191
38.200001	96.534	-177.1282
38.700001	96.507	-177.5524
39.500000	96.459	-178.1697
40.000000	96.431	-178.5025
40.599998	96.407	-178.8950
41.200001	96.387	-179.3541
41.799999	96.358	-179.8844
42.500000	96.308	179.5204
43.099998	96.262	179.0978
43.700001	96.224	178.7159
44.400002	96.187	178.2476
45.000000	96.154	177.8362
45.500000	96.126	177.5101
46.200001	96.088	177.0831
46.799999	96.056	176.7323
47.500000	96.017	176.3383
48.200001	95.976	175.9678
48.700001	95.947	175.7181
49.400002	95.905	175.3756
50.000000	95.870	175.0715
50.799999	95.821	174.6504
51.500000	95.778	174.2728
52.200001	95.737	173.8779
53.000000	95.690	173.4459
53.799999	95.655	173.0553
54.500000	95.634	172.6958
55.200001	95.613	172.3855
56.000000	95.617	172.1213
57.000000	95.648	171.3713
58.000000	95.557	170.4035
59.000000	95.410	170.3511
60.000000	95.350	170.5478
60.799999	95.312	170.4620
61.500000	95.268	170.3467
62.200001	95.225	170.2044
63.000000	95.174	169.9831
64.000000	95.110	169.6791
65.000000	95.052	169.3521
66.000000	95.000	169.0308
67.000000	94.952	168.7352
68.000000	94.907	168.4723
69.000000	94.861	168.2463
70.000000	94.813	168.0321
71.000000	94.761	167.8314
72.000000	94.708	167.6492
73.000000	94.658	167.4713
74.000000	94.612	167.2688
75.000000	94.566	167.0507
76.199997	94.509	166.8246
77.500000	94.449	166.6289
78.800003	94.391	166.4572
80.000000	94.335	166.3077
81.199997	94.279	166.1556
82.500000	94.219	165.9812
83.800003	94.160	165.8051
85.000000	94.107	165.6580
86.199997	94.057	165.5271
87.500000	94.004	165.3938
88.500000	93.962	165.3045
90.000000	93.900	165.1891
91.199997	93.850	165.1047
92.500000	93.796	165.0234
93.800003	93.745	164.9412
95.000000	93.699	164.8588
96.199997	93.654	164.7726
97.500000	93.604	164.6766
98.800003	93.554	164.5855
100.000000	93.508	164.5101
101.500000	93.451	164.4501
103.000000	93.400	164.4305
104.400002	93.357	164.4132
106.000000	93.307	164.3752
107.500000	93.253	164.3356
109.000000	93.194	164.3224
110.599998	93.134	164.3276
112.000000	93.084	164.3187
113.800003	93.025	164.2968
115.000000	92.986	164.2744
117.199997	92.910	164.2895
118.000000	92.883	164.3071
120.599998	92.795	164.4203
122.000000	92.758	164.4662
124.099998	92.708	164.4543
125.000000	92.684	164.4495
126.500000	92.643	164.4867
128.000000	92.606	164.5403
131.500000	92.519	164.6030
132.000000	92.507	164.5961
134.000000	92.456	164.5609
136.000000	92.407	164.5992
138.000000	92.365	164.7049
140.000000	92.322	164.7949
143.000000	92.240	164.9120
145.000000	92.188	164.9957
147.500000	92.130	165.1396
150.000000	92.081	165.2613
152.500000	92.024	165.3584
155.000000	91.965	165.4594
157.500000	91.909	165.5738
160.000000	91.858	165.7186
162.500000	91.806	165.8798
165.000000	91.753	166.0897
167.500000	91.705	166.3169
170.000000	91.651	166.5073
172.500000	91.596	166.7199
175.000000	91.558	166.9307
177.500000	91.529	167.1334
180.000000	91.492	167.3995
182.500000	91.453	167.7507
185.000000	91.430	168.0151
187.500000	91.414	168.1553
190.000000	91.400	168.2880
192.500000	91.385	168.4517
195.000000	91.365	168.6125
197.500000	91.344	168.7055
200.000000	91.322	168.7467
203.000000	91.295	168.7977
206.000000	91.260	168.8924
209.000000	91.220	168.9949
212.000000	91.180	169.1068
214.000000	91.156	169.1947
218.000000	91.109	169.3995
220.000000	91.086	169.5020
224.000000	91.037	169.6970
227.000000	91.001	169.8638
230.000000	90.967	170.0496
233.000000	90.933	170.2473
236.000000	90.900	170.4454
240.000000	90.860	170.6949
243.000000	90.831	170.8719
247.000000	90.793	171.1141
250.000000	90.766	171.3021
254.000000	90.728	171.5601
258.000000	90.691	171.8194
262.000000	90.654	172.0905
265.000000	90.626	172.3105
269.000000	90.591	172.6226
272.000000	90.566	172.8677
276.000000	90.538	173.2068
280.000000	90.517	173.5509
285.000000	90.506	173.9549
290.000000	90.502	174.2936
295.000000	90.493	174.5479
300.000000	90.475	174.7458
304.000000	90.457	174.9072
307.000000	90.441	175.0416
311.000000	90.419	175.2351
315.000000	90.397	175.4369
320.000000	90.369	175.6967
325.000000	90.342	175.9604
330.000000	90.317	176.2326
335.000000	90.294	176.5128
340.000000	90.271	176.7942
345.000000	90.249	177.0778
350.000000	90.227	177.3653
355.000000	90.207	177.6500
360.000000	90.188	177.9340
365.000000	90.170	178.2183
370.000000	90.152	178.4981
375.000000	90.134	178.7764
382.000000	90.110	179.1700
387.000000	90.094	179.4539
395.000000	90.071	179.9024
400.000000	90.056	-179.8243
406.000000	90.040	-179.4991
412.000000	90.025	-179.1716
418.000000	90.011	-178.8425
425.000000	89.995	-178.4546
431.000000	89.981	-178.1233
437.000000	89.968	-177.7927
444.000000	89.954	-177.4112
450.000000	89.943	-177.0880
455.000000	89.934	-176.8161
462.000000	89.923	-176.4349
468.000000	89.913	-176.1129
475.000000	89.902	-175.7380
482.000000	89.892	-175.3660
487.000000	89.886	-175.1027
494.000000	89.878	-174.7354
500.000000	89.871	-174.4196
508.000000	89.863	-173.9940
515.000000	89.857	-173.6177
522.000000	89.851	-173.2417
530.000000	89.843	-172.8139
538.000000	89.836	-172.3843
545.000000	89.832	-172.0107
552.000000	89.827	-171.6402
560.000000	89.823	-171.2151
570.000000	89.819	-170.6811
580.000000	89.817	-170.1435
590.000000	89.816	-169.6089
600.000000	89.817	-169.0704
608.000000	89.819	-168.6366
615.000000	89.820	-168.2570
622.000000	89.823	-167.8777
630.000000	89.826	-167.4429
640.000000	89.831	-166.8969
650.000000	89.838	-166.3476
660.000000	89.846	-165.7967
670.000000	89.855	-165.2463
680.000000	89.866	-164.6934
690.000000	89.878	-164.1357
700.000000	89.893	-163.5787
710.000000	89.909	-163.0210
720.000000	89.927	-162.4579
730.000000	89.945	-161.8904
740.000000	89.966	-161.3211
750.000000	89.989	-160.7525
