* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 7, 2023 12:08:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug  L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.904	-142.4736
20.299999	83.932	-142.9056
20.600000	83.959	-143.3264
20.900000	83.985	-143.7355
21.200001	84.010	-144.1328
21.400000	84.027	-144.3916
21.799999	84.060	-144.8959
22.000000	84.077	-145.1424
22.400000	84.110	-145.6259
22.700001	84.134	-145.9810
23.000000	84.157	-146.3300
23.299999	84.180	-146.6722
23.600000	84.202	-147.0072
24.000000	84.231	-147.4419
24.299999	84.252	-147.7584
24.700001	84.279	-148.1681
25.000000	84.300	-148.4666
25.400000	84.326	-148.8543
25.799999	84.352	-149.2323
26.200001	84.378	-149.6021
26.500000	84.396	-149.8742
26.900000	84.420	-150.2292
27.200001	84.437	-150.4887
27.600000	84.459	-150.8247
28.000000	84.481	-151.1495
28.500000	84.508	-151.5433
29.000000	84.535	-151.9281
29.500000	84.560	-152.3054
30.000000	84.584	-152.6708
30.400000	84.602	-152.9511
30.700001	84.615	-153.1539
31.100000	84.634	-153.4169
31.500000	84.652	-153.6755
32.000000	84.676	-153.9980
32.500000	84.698	-154.3199
33.000000	84.719	-154.6357
33.500000	84.739	-154.9405
34.000000	84.758	-155.2348
34.500000	84.778	-155.5225
35.000000	84.796	-155.8060
35.500000	84.814	-156.0846
36.000000	84.831	-156.3564
36.500000	84.847	-156.6204
37.000000	84.863	-156.8772
37.500000	84.879	-157.1281
38.200001	84.900	-157.4705
38.700001	84.915	-157.7077
39.500000	84.938	-158.0730
40.000000	84.952	-158.2953
40.599998	84.969	-158.5595
41.200001	84.985	-158.8188
41.799999	85.000	-159.0676
42.500000	85.017	-159.3434
43.099998	85.032	-159.5734
43.700001	85.048	-159.8012
44.400002	85.065	-160.0630
45.000000	85.079	-160.2835
45.500000	85.090	-160.4646
46.200001	85.105	-160.7116
46.799999	85.117	-160.9145
47.500000	85.132	-161.1424
48.200001	85.146	-161.3659
48.700001	85.156	-161.5239
49.400002	85.170	-161.7426
50.000000	85.180	-161.9268
50.799999	85.194	-162.1650
51.500000	85.205	-162.3647
52.200001	85.216	-162.5582
53.000000	85.228	-162.7744
53.799999	85.240	-162.9842
54.500000	85.249	-163.1618
55.200001	85.259	-163.3348
56.000000	85.271	-163.5287
57.000000	85.285	-163.7704
58.000000	85.299	-164.0110
59.000000	85.311	-164.2413
60.000000	85.323	-164.4633
60.799999	85.332	-164.6360
61.500000	85.339	-164.7826
62.200001	85.347	-164.9253
63.000000	85.355	-165.0831
64.000000	85.364	-165.2731
65.000000	85.374	-165.4600
66.000000	85.383	-165.6411
67.000000	85.392	-165.8166
68.000000	85.402	-165.9924
69.000000	85.410	-166.1666
70.000000	85.418	-166.3356
71.000000	85.426	-166.4949
72.000000	85.433	-166.6465
73.000000	85.441	-166.7936
74.000000	85.448	-166.9350
75.000000	85.455	-167.0718
76.199997	85.464	-167.2356
77.500000	85.472	-167.4122
78.800003	85.480	-167.5891
80.000000	85.487	-167.7483
81.199997	85.493	-167.8975
82.500000	85.500	-168.0526
83.800003	85.508	-168.2026
85.000000	85.514	-168.3358
86.199997	85.520	-168.4641
87.500000	85.526	-168.5979
88.500000	85.530	-168.6976
90.000000	85.536	-168.8453
91.199997	85.540	-168.9601
92.500000	85.545	-169.0791
93.800003	85.551	-169.1953
95.000000	85.555	-169.3026
96.199997	85.560	-169.4075
97.500000	85.563	-169.5164
98.800003	85.567	-169.6199
100.000000	85.570	-169.7136
101.500000	85.574	-169.8282
103.000000	85.577	-169.9380
104.400002	85.581	-170.0355
106.000000	85.585	-170.1405
107.500000	85.589	-170.2358
109.000000	85.594	-170.3306
110.599998	85.598	-170.4290
112.000000	85.600	-170.5108
113.800003	85.603	-170.6074
115.000000	85.605	-170.6675
117.199997	85.609	-170.7783
118.000000	85.610	-170.8211
120.599998	85.614	-170.9588
122.000000	85.616	-171.0284
124.099998	85.620	-171.1305
125.000000	85.621	-171.1730
126.500000	85.624	-171.2415
128.000000	85.625	-171.3050
131.500000	85.629	-171.4333
132.000000	85.630	-171.4517
134.000000	85.631	-171.5252
136.000000	85.633	-171.5956
138.000000	85.635	-171.6620
140.000000	85.636	-171.7242
143.000000	85.639	-171.8117
145.000000	85.640	-171.8693
147.500000	85.641	-171.9446
150.000000	85.642	-172.0105
152.500000	85.643	-172.0678
155.000000	85.644	-172.1214
157.500000	85.645	-172.1720
160.000000	85.647	-172.2176
162.500000	85.648	-172.2609
165.000000	85.648	-172.3065
167.500000	85.648	-172.3536
170.000000	85.649	-172.3980
172.500000	85.649	-172.4319
175.000000	85.649	-172.4592
177.500000	85.648	-172.4842
180.000000	85.648	-172.5084
182.500000	85.648	-172.5285
185.000000	85.649	-172.5443
187.500000	85.649	-172.5607
190.000000	85.648	-172.5804
192.500000	85.648	-172.5984
195.000000	85.648	-172.6124
197.500000	85.648	-172.6252
200.000000	85.647	-172.6387
203.000000	85.646	-172.6529
206.000000	85.645	-172.6613
209.000000	85.645	-172.6653
212.000000	85.645	-172.6654
214.000000	85.644	-172.6648
218.000000	85.643	-172.6650
220.000000	85.642	-172.6649
224.000000	85.641	-172.6609
227.000000	85.640	-172.6561
230.000000	85.639	-172.6522
233.000000	85.638	-172.6444
236.000000	85.636	-172.6287
240.000000	85.635	-172.6082
243.000000	85.634	-172.5946
247.000000	85.632	-172.5731
250.000000	85.631	-172.5582
254.000000	85.629	-172.5358
258.000000	85.627	-172.5038
262.000000	85.625	-172.4681
265.000000	85.624	-172.4430
269.000000	85.622	-172.4092
272.000000	85.621	-172.3810
276.000000	85.618	-172.3366
280.000000	85.615	-172.2881
285.000000	85.612	-172.2312
290.000000	85.610	-172.1705
295.000000	85.608	-172.1015
300.000000	85.605	-172.0301
304.000000	85.603	-171.9731
307.000000	85.601	-171.9304
311.000000	85.599	-171.8730
315.000000	85.596	-171.8123
320.000000	85.593	-171.7339
325.000000	85.591	-171.6556
330.000000	85.588	-171.5730
335.000000	85.585	-171.4865
340.000000	85.581	-171.3969
345.000000	85.577	-171.3033
350.000000	85.573	-171.2089
355.000000	85.571	-171.1142
360.000000	85.569	-171.0156
365.000000	85.567	-170.9135
370.000000	85.564	-170.8134
375.000000	85.561	-170.7129
382.000000	85.556	-170.5683
387.000000	85.553	-170.4616
395.000000	85.548	-170.2810
400.000000	85.545	-170.1626
406.000000	85.541	-170.0201
412.000000	85.537	-169.8799
418.000000	85.533	-169.7367
425.000000	85.529	-169.5616
431.000000	85.525	-169.4030
437.000000	85.521	-169.2383
444.000000	85.516	-169.0444
450.000000	85.512	-168.8788
