* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 7, 2023 12:09:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 7
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.010	-143.9270
20.299999	83.036	-144.3325
20.600000	83.062	-144.7277
20.900000	83.088	-145.1137
21.200001	83.113	-145.4914
21.400000	83.130	-145.7387
21.799999	83.162	-146.2224
22.000000	83.178	-146.4591
22.400000	83.209	-146.9227
22.700001	83.232	-147.2624
23.000000	83.254	-147.5952
23.299999	83.276	-147.9205
23.600000	83.296	-148.2376
24.000000	83.323	-148.6467
24.299999	83.343	-148.9435
24.700001	83.369	-149.3276
25.000000	83.388	-149.6088
25.400000	83.414	-149.9761
25.799999	83.439	-150.3354
26.200001	83.462	-150.6858
26.500000	83.479	-150.9420
26.900000	83.502	-151.2748
27.200001	83.518	-151.5183
27.600000	83.540	-151.8360
28.000000	83.561	-152.1471
28.500000	83.587	-152.5273
29.000000	83.611	-152.8971
29.500000	83.635	-153.2558
30.000000	83.658	-153.6043
30.400000	83.676	-153.8769
30.700001	83.689	-154.0780
31.100000	83.706	-154.3408
31.500000	83.722	-154.5965
32.000000	83.743	-154.9052
32.500000	83.763	-155.2043
33.000000	83.784	-155.4998
33.500000	83.805	-155.7951
34.000000	83.823	-156.0864
34.500000	83.841	-156.3661
35.000000	83.858	-156.6315
35.500000	83.875	-156.8877
36.000000	83.892	-157.1421
36.500000	83.909	-157.3960
37.000000	83.924	-157.6441
37.500000	83.939	-157.8812
38.200001	83.959	-158.1967
38.700001	83.974	-158.4177
39.500000	83.998	-158.7725
40.000000	84.011	-158.9924
40.599998	84.026	-159.2484
41.200001	84.040	-159.4914
41.799999	84.054	-159.7234
42.500000	84.072	-159.9890
43.099998	84.087	-160.2173
43.700001	84.102	-160.4436
44.400002	84.117	-160.7009
45.000000	84.130	-160.9148
45.500000	84.140	-161.0881
46.200001	84.153	-161.3214
46.799999	84.165	-161.5143
47.500000	84.178	-161.7364
48.200001	84.191	-161.9548
48.700001	84.200	-162.1059
49.400002	84.212	-162.3105
50.000000	84.222	-162.4839
50.799999	84.236	-162.7161
51.500000	84.246	-162.9162
52.200001	84.257	-163.1087
53.000000	84.268	-163.3195
53.799999	84.280	-163.5251
54.500000	84.290	-163.7022
55.200001	84.300	-163.8742
56.000000	84.310	-164.0631
57.000000	84.323	-164.2906
58.000000	84.335	-164.5111
59.000000	84.346	-164.7262
60.000000	84.356	-164.9355
60.799999	84.365	-165.0982
61.500000	84.372	-165.2386
62.200001	84.380	-165.3791
63.000000	84.388	-165.5394
64.000000	84.398	-165.7348
65.000000	84.407	-165.9216
66.000000	84.415	-166.0982
67.000000	84.424	-166.2627
68.000000	84.433	-166.4253
69.000000	84.442	-166.5909
70.000000	84.449	-166.7525
71.000000	84.456	-166.9101
72.000000	84.462	-167.0641
73.000000	84.468	-167.2117
74.000000	84.475	-167.3544
75.000000	84.482	-167.4946
76.199997	84.490	-167.6564
77.500000	84.498	-167.8228
78.800003	84.505	-167.9846
80.000000	84.511	-168.1254
81.199997	84.517	-168.2643
82.500000	84.523	-168.4166
