* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:03:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hexa L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.583	14.7665
20.299999	100.564	14.0961
20.600000	100.544	13.4521
20.900000	100.523	12.8356
21.200001	100.505	12.2416
21.400000	100.493	11.8529
21.799999	100.471	11.0851
22.000000	100.460	10.7035
22.400000	100.435	9.9471
22.700001	100.414	9.3940
23.000000	100.391	8.8627
23.299999	100.367	8.3574
23.600000	100.344	7.8773
24.000000	100.314	7.2678
24.299999	100.293	6.8236
24.700001	100.268	6.2350
25.000000	100.249	5.7899
25.400000	100.222	5.1887
25.799999	100.190	4.5851
26.200001	100.153	3.9991
26.500000	100.121	3.5883
26.900000	100.077	3.0958
27.200001	100.047	2.7678
27.600000	100.014	2.3633
28.000000	99.991	1.9478
28.500000	99.968	1.3494
29.000000	99.935	0.6740
29.500000	99.886	0.0206
30.000000	99.830	-0.5181
30.400000	99.792	-0.8730
30.700001	99.769	-1.1250
31.100000	99.745	-1.4813
31.500000	99.721	-1.8719
32.000000	99.685	-2.3741
32.500000	99.642	-2.8342
33.000000	99.602	-3.2406
33.500000	99.565	-3.6312
34.000000	99.529	-4.0330
34.500000	99.488	-4.4264
35.000000	99.445	-4.7800
35.500000	99.405	-5.0953
36.000000	99.371	-5.4099
36.500000	99.339	-5.7563
37.000000	99.303	-6.1345
37.500000	99.260	-6.5151
38.200001	99.193	-6.9907
38.700001	99.145	-7.2743
39.500000	99.079	-7.6733
40.000000	99.045	-7.9255
40.599998	99.006	-8.2506
41.200001	98.965	-8.5878
41.799999	98.921	-8.9112
42.500000	98.870	-9.2526
43.099998	98.828	-9.5233
43.700001	98.787	-9.7889
44.400002	98.738	-10.0951
45.000000	98.694	-10.3463
45.500000	98.657	-10.5447
46.200001	98.605	-10.8089
46.799999	98.562	-11.0274
47.500000	98.512	-11.2796
48.200001	98.462	-11.5317
48.700001	98.427	-11.7074
49.400002	98.379	-11.9413
50.000000	98.339	-12.1357
50.799999	98.289	-12.3995
51.500000	98.245	-12.6277
52.200001	98.200	-12.8391
53.000000	98.150	-13.0599
53.799999	98.101	-13.2640
54.500000	98.058	-13.4283
55.200001	98.015	-13.5802
56.000000	97.967	-13.7444
57.000000	97.907	-13.9454
58.000000	97.847	-14.1437
59.000000	97.786	-14.3315
60.000000	97.728	-14.5112
60.799999	97.682	-14.6548
61.500000	97.642	-14.7774
62.200001	97.603	-14.8931
63.000000	97.559	-15.0153
64.000000	97.505	-15.1545
65.000000	97.453	-15.2890
66.000000	97.400	-15.4209
67.000000	97.347	-15.5338
68.000000	97.296	-15.6339
69.000000	97.247	-15.7384
70.000000	97.197	-15.8374
71.000000	97.148	-15.9213
72.000000	97.101	-16.0056
73.000000	97.053	-16.0924
74.000000	97.005	-16.1626
75.000000	96.959	-16.2194
76.199997	96.905	-16.2833
77.500000	96.848	-16.3480
78.800003	96.792	-16.4158
80.000000	96.739	-16.4725
81.199997	96.687	-16.5159
82.500000	96.632	-16.5498
83.800003	96.579	-16.5851
85.000000	96.530	-16.6022
86.199997	96.484	-16.6043
87.500000	96.437	-16.6251
88.500000	96.399	-16.6439
90.000000	96.343	-16.6542
91.199997	96.299	-16.6487
92.500000	96.253	-16.6356
93.800003	96.209	-16.6259
95.000000	96.169	-16.6232
96.199997	96.128	-16.6255
97.500000	96.083	-16.6254
98.800003	96.038	-16.6159
100.000000	95.997	-16.5974
101.500000	95.949	-16.5631
103.000000	95.903	-16.5247
104.400002	95.861	-16.4905
106.000000	95.813	-16.4547
