* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:01:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hexa R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.558	8.0597
20.299999	103.533	7.3873
20.600000	103.506	6.7544
20.900000	103.480	6.1559
21.200001	103.457	5.5802
21.400000	103.442	5.2020
21.799999	103.413	4.4517
22.000000	103.399	4.0774
22.400000	103.368	3.3325
22.700001	103.342	2.7832
23.000000	103.314	2.2493
23.299999	103.285	1.7366
23.600000	103.254	1.2482
24.000000	103.215	0.6326
24.299999	103.188	0.1887
24.700001	103.155	-0.3973
25.000000	103.132	-0.8448
25.400000	103.100	-1.4580
25.799999	103.064	-2.0792
26.200001	103.023	-2.6843
26.500000	102.989	-3.1155
26.900000	102.944	-3.6554
27.200001	102.911	-4.0386
27.600000	102.869	-4.5304
28.000000	102.828	-5.0079
28.500000	102.780	-5.5868
29.000000	102.734	-6.1477
29.500000	102.691	-6.7056
30.000000	102.649	-7.2747
30.400000	102.613	-7.7332
30.700001	102.584	-8.0700
31.100000	102.544	-8.4988
31.500000	102.503	-8.9008
32.000000	102.453	-9.3745
32.500000	102.406	-9.8330
33.000000	102.360	-10.2855
33.500000	102.313	-10.7305
34.000000	102.265	-11.1648
34.500000	102.216	-11.5862
35.000000	102.165	-11.9906
35.500000	102.115	-12.3749
36.000000	102.066	-12.7437
36.500000	102.019	-13.1071
37.000000	101.971	-13.4707
37.500000	101.923	-13.8299
38.200001	101.855	-14.3104
38.700001	101.808	-14.6375
39.500000	101.734	-15.1498
40.000000	101.689	-15.4656
40.599998	101.634	-15.8340
41.200001	101.579	-16.1866
41.799999	101.525	-16.5254
42.500000	101.463	-16.9092
43.099998	101.410	-17.2280
43.700001	101.356	-17.5323
44.400002	101.293	-17.8668
45.000000	101.241	-18.1434
45.500000	101.197	-18.3715
46.200001	101.136	-18.6826
46.799999	101.083	-18.9363
47.500000	101.022	-19.2220
48.200001	100.962	-19.4984
48.700001	100.918	-19.6830
49.400002	100.860	-19.9240
50.000000	100.814	-20.1340
50.799999	100.752	-20.4393
51.500000	100.694	-20.7064
52.200001	100.634	-20.9479
53.000000	100.567	-21.1992
53.799999	100.503	-21.4417
54.500000	100.447	-21.6485
55.200001	100.391	-21.8486
56.000000	100.328	-22.0690
57.000000	100.249	-22.3361
58.000000	100.169	-22.5741
59.000000	100.092	-22.7739
60.000000	100.021	-22.9808
60.799999	99.962	-23.1518
61.500000	99.909	-23.2900
62.200001	99.857	-23.4158
63.000000	99.798	-23.5481
64.000000	99.726	-23.6989
65.000000	99.655	-23.8378
66.000000	99.586	-23.9677
67.000000	99.516	-24.0786
68.000000	99.448	-24.1567
69.000000	99.387	-24.2130
70.000000	99.332	-24.2802
71.000000	99.280	-24.3766
72.000000	99.227	-24.4945
73.000000	99.173	-24.6221
74.000000	99.116	-24.7501
75.000000	99.058	-24.8707
76.199997	98.988	-25.0024
77.500000	98.911	-25.1267
78.800003	98.836	-25.2335
80.000000	98.768	-25.3195
81.199997	98.701	-25.3937
82.500000	98.629	-25.4656
83.800003	98.559	-25.5270
85.000000	98.495	-25.5759
86.199997	98.432	-25.6201
87.500000	98.364	-25.6613
88.500000	98.313	-25.6888
90.000000	98.237	-25.7220
91.199997	98.178	-25.7421
92.500000	98.114	-25.7576
93.800003	98.051	-25.7683
95.000000	97.994	-25.7751
96.199997	97.937	-25.7770
97.500000	97.877	-25.7737
98.800003	97.818	-25.7665
100.000000	97.764	-25.7552
101.500000	97.697	-25.7327
103.000000	97.632	-25.7045
104.400002	97.572	-25.6764
106.000000	97.505	-25.6431
107.500000	97.442	-25.6078
109.000000	97.381	-25.5626
110.599998	97.316	-25.5081
112.000000	97.261	-25.4600
113.800003	97.190	-25.3923
115.000000	97.143	-25.3440
117.199997	97.060	-25.2498
118.000000	97.030	-25.2137
120.599998	96.933	-25.0923
122.000000	96.881	-25.0233
124.099998	96.804	-24.9166
125.000000	96.771	-24.8695
126.500000	96.717	-24.7875
128.000000	96.663	-24.7023
131.500000	96.536	-24.4888
132.000000	96.518	-24.4559
134.000000	96.445	-24.3174
136.000000	96.371	-24.1638
138.000000	96.295	-23.9900
140.000000	96.219	-23.7927
143.000000	96.103	-23.4595
145.000000	96.023	-23.2043
147.500000	95.918	-22.7991
150.000000	95.809	-22.2330
152.500000	95.706	-21.4388
155.000000	95.638	-20.3894
157.500000	95.638	-19.1984
160.000000	95.723	-18.1520
162.500000	95.866	-17.6286
165.000000	95.997	-17.7526
167.500000	96.069	-18.2750
170.000000	96.079	-18.8698
172.500000	96.045	-19.3535
175.000000	95.989	-19.6880
177.500000	95.924	-19.8914
180.000000	95.856	-19.9856
182.500000	95.789	-19.9937
185.000000	95.723	-19.9365
187.500000	95.660	-19.8245
190.000000	95.603	-19.6693
192.500000	95.555	-19.4952
195.000000	95.513	-19.3306
197.500000	95.474	-19.1857
200.000000	95.433	-19.0454
203.000000	95.385	-18.8589
206.000000	95.341	-18.6611
209.000000	95.300	-18.4648
212.000000	95.261	-18.2656
214.000000	95.237	-18.1296
218.000000	95.193	-17.8707
220.000000	95.174	-17.7582
224.000000	95.137	-17.5746
227.000000	95.108	-17.4642
230.000000	95.077	-17.3654
233.000000	95.044	-17.2697
236.000000	95.009	-17.1696
240.000000	94.959	-17.0248
243.000000	94.920	-16.9080
247.000000	94.868	-16.7455
250.000000	94.829	-16.6147
254.000000	94.778	-16.4269
258.000000	94.728	-16.2241
262.000000	94.678	-16.0106
265.000000	94.641	-15.8472
269.000000	94.591	-15.6245
272.000000	94.553	-15.4531
276.000000	94.503	-15.2168
280.000000	94.453	-14.9691
285.000000	94.391	-14.6404
290.000000	94.327	-14.2821
295.000000	94.263	-13.8811
300.000000	94.199	-13.4221
304.000000	94.150	-12.9939
307.000000	94.117	-12.6240
311.000000	94.083	-12.0656
315.000000	94.068	-11.4552
320.000000	94.085	-10.7128
325.000000	94.134	-10.1684
330.000000	94.188	-9.9127
335.000000	94.222	-9.8429
340.000000	94.233	-9.8191
345.000000	94.233	-9.7957
350.000000	94.228	-9.7856
355.000000	94.215	-9.7924
360.000000	94.192	-9.7946
365.000000	94.160	-9.7697
370.000000	94.124	-9.7054
375.000000	94.085	-9.6006
382.000000	94.031	-9.4001
387.000000	93.994	-9.2286
395.000000	93.937	-8.9238
400.000000	93.903	-8.7225
406.000000	93.864	-8.4705
412.000000	93.826	-8.2078
418.000000	93.789	-7.9369
425.000000	93.748	-7.6131
431.000000	93.714	-7.3335
437.000000	93.681	-7.0527
444.000000	93.644	-6.7225
450.000000	93.614	-6.4363
455.000000	93.590	-6.1968
462.000000	93.557	-5.8619
468.000000	93.529	-5.5743
475.000000	93.498	-5.2355
482.000000	93.467	-4.8929
487.000000	93.446	-4.6475
494.000000	93.417	-4.3035
500.000000	93.393	-4.0076
508.000000	93.363	-3.6120
515.000000	93.337	-3.2655
522.000000	93.311	-2.9171
530.000000	93.283	-2.5161
538.000000	93.255	-2.1124
545.000000	93.231	-1.7589
552.000000	93.209	-1.4065
560.000000	93.184	-1.0031
570.000000	93.153	-0.4935
580.000000	93.125	0.0234
590.000000	93.098	0.5421
600.000000	93.073	1.0629
608.000000	93.053	1.4821
615.000000	93.036	1.8519
622.000000	93.021	2.2251
630.000000	93.003	2.6538
640.000000	92.983	3.1923
650.000000	92.964	3.7344
660.000000	92.947	4.2806
670.000000	92.931	4.8337
680.000000	92.917	5.3944
690.000000	92.905	5.9594
700.000000	92.895	6.5265
710.000000	92.887	7.0986
720.000000	92.881	7.6736
730.000000	92.878	8.2488
740.000000	92.877	8.8239
750.000000	92.878	9.4022
762.000000	92.881	10.1064
775.000000	92.889	10.8749
788.000000	92.900	11.6378
800.000000	92.915	12.3387
812.000000	92.933	13.0386
825.000000	92.956	13.7946
838.000000	92.984	14.5490
850.000000	93.014	15.2394
862.000000	93.047	15.9203
875.000000	93.089	16.6463
885.000000	93.123	17.1954
900.000000	93.180	18.0026
912.000000	93.230	18.6309
925.000000	93.287	19.2922
938.000000	93.348	19.9307
950.000000	93.408	20.4969
962.000000	93.471	21.0396
975.000000	93.541	21.6001
988.000000	93.614	22.1322
1000.000000	93.683	22.5977
1015.000000	93.771	23.1442
1030.000000	93.861	23.6470
1044.000000	93.946	24.0757
1060.000000	94.044	24.5217
1075.000000	94.135	24.8983
1090.000000	94.226	25.2341
1106.000000	94.320	25.5522
1120.000000	94.401	25.7999
1138.000000	94.502	26.0779
1150.000000	94.568	26.2393
1172.000000	94.683	26.4897
1180.000000	94.724	26.5685
1206.000000	94.848	26.7902
1220.000000	94.911	26.8933
1241.000000	95.000	27.0312
1250.000000	95.036	27.0850
1265.000000	95.093	27.1689
1280.000000	95.148	27.2469
1315.000000	95.266	27.4141
1320.000000	95.282	27.4383
1340.000000	95.342	27.5375
1360.000000	95.398	27.6407
1380.000000	95.452	27.7493
1400.000000	95.503	27.8647
1430.000000	95.575	28.0512
1450.000000	95.621	28.1852
1475.000000	95.675	28.3694
1500.000000	95.729	28.5732
1525.000000	95.782	28.7884
1550.000000	95.834	29.0151
1575.000000	95.886	29.2596
1600.000000	95.937	29.5204
1625.000000	95.988	29.7968
