* Measurement data measured by REW V5.20.13
* Source: RMS Average 1 Filtered
* Format: 
* Dated: Sep 9, 2023 10:55:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EQ RMS Average 1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	1.616
20.299999	1.587
20.600000	1.549
20.900000	1.512
21.200001	1.476
21.400000	1.453
21.799999	1.410
22.000000	1.389
22.400000	1.350
22.700001	1.322
23.000000	1.296
23.299999	1.271
23.600000	1.247
24.000000	1.217
24.299999	1.196
24.700001	1.169
25.000000	1.150
25.400000	1.127
25.799999	1.104
26.200001	1.083
26.500000	1.068
26.900000	1.049
27.200001	1.036
27.600000	1.018
28.000000	1.002
28.500000	0.983
29.000000	0.965
29.500000	0.948
30.000000	0.933
30.400000	0.921
30.700001	0.912
31.100000	0.901
31.500000	0.890
32.000000	0.878
32.500000	0.866
33.000000	0.854
33.500000	0.843
34.000000	0.833
34.500000	0.823
35.000000	0.814
35.500000	0.804
36.000000	0.796
36.500000	0.787
37.000000	0.779
37.500000	0.771
38.200001	0.761
38.700001	0.753
39.500000	0.742
40.000000	0.736
40.599998	0.728
41.200001	0.720
41.799999	0.713
42.500000	0.705
43.099998	0.698
43.700001	0.691
44.400002	0.683
45.000000	0.677
45.500000	0.672
46.200001	0.665
46.799999	0.659
47.500000	0.652
48.200001	0.646
48.700001	0.641
49.400002	0.635
50.000000	0.629
50.799999	0.622
51.500000	0.616
52.200001	0.610
53.000000	0.604
53.799999	0.597
54.500000	0.591
55.200001	0.586
56.000000	0.580
57.000000	0.572
58.000000	0.564
59.000000	0.557
60.000000	0.550
60.799999	0.544
61.500000	0.539
62.200001	0.534
63.000000	0.528
64.000000	0.522
65.000000	0.515
66.000000	0.508
67.000000	0.501
68.000000	0.495
69.000000	0.488
70.000000	0.482
71.000000	0.476
72.000000	0.469
73.000000	0.463
74.000000	0.457
75.000000	0.451
76.199997	0.444
77.500000	0.436
78.800003	0.428
80.000000	0.421
81.199997	0.414
82.500000	0.407
83.800003	0.400
85.000000	0.393
86.199997	0.387
87.500000	0.380
88.500000	0.374
90.000000	0.366
91.199997	0.360
92.500000	0.353
93.800003	0.347
95.000000	0.341
96.199997	0.335
97.500000	0.329
