* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 9:56:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.171	41.8931
20.299999	103.199	41.1104
20.600000	103.228	40.3427
20.900000	103.257	39.5795
21.200001	103.284	38.8159
21.400000	103.300	38.3122
21.799999	103.327	37.3369
22.000000	103.339	36.8744
22.400000	103.363	36.0089
22.700001	103.385	35.3981
23.000000	103.412	34.7922
23.299999	103.442	34.1669
23.600000	103.470	33.5163
24.000000	103.497	32.6306
24.299999	103.509	31.9929
24.700001	103.516	31.2288
25.000000	103.523	30.7295
25.400000	103.542	30.1250
25.799999	103.574	29.5057
26.200001	103.609	28.8054
26.500000	103.628	28.2320
26.900000	103.639	27.4581
27.200001	103.637	26.9221
27.600000	103.630	26.3083
28.000000	103.629	25.7919
28.500000	103.649	25.1671
29.000000	103.678	24.4393
29.500000	103.698	23.6078
30.000000	103.700	22.7828
30.400000	103.694	22.1918
30.700001	103.690	21.7932
31.100000	103.690	21.2969
31.500000	103.695	20.8108
32.000000	103.706	20.1898
32.500000	103.718	19.5582
33.000000	103.728	18.9296
33.500000	103.738	18.3015
34.000000	103.745	17.6668
34.500000	103.746	17.0381
35.000000	103.740	16.4439
35.500000	103.732	15.9053
36.000000	103.726	15.4147
36.500000	103.725	14.9464
37.000000	103.727	14.4747
37.500000	103.731	13.9873
38.200001	103.735	13.2760
38.700001	103.735	12.7542
39.500000	103.726	11.9318
40.000000	103.717	11.4487
40.599998	103.706	10.9067
41.200001	103.698	10.3903
41.799999	103.692	9.8813
42.500000	103.686	9.2896
43.099998	103.678	8.7880
43.700001	103.669	8.2976
44.400002	103.657	7.7471
45.000000	103.647	7.2937
45.500000	103.639	6.9222
46.200001	103.627	6.4035
46.799999	103.617	5.9625
47.500000	103.605	5.4589
48.200001	103.593	4.9615
48.700001	103.584	4.6064
49.400002	103.570	4.1167
50.000000	103.557	3.7134
50.799999	103.540	3.1982
51.500000	103.526	2.7587
52.200001	103.510	2.3280
53.000000	103.492	1.8477
53.799999	103.474	1.3715
54.500000	103.458	0.9518
55.200001	103.441	0.5298
56.000000	103.420	0.0483
57.000000	103.393	-0.5385
58.000000	103.368	-1.1010
59.000000	103.346	-1.6537
60.000000	103.322	-2.1949
60.799999	103.303	-2.6094
61.500000	103.285	-2.9611
62.200001	103.266	-3.3060
63.000000	103.243	-3.6916
64.000000	103.211	-4.1615
65.000000	103.177	-4.6121
66.000000	103.143	-5.0386
67.000000	103.112	-5.4619
68.000000	103.083	-5.8922
69.000000	103.053	-6.3265
70.000000	103.024	-6.7576
71.000000	102.994	-7.1852
72.000000	102.963	-7.6083
73.000000	102.930	-8.0160
74.000000	102.898	-8.4105
75.000000	102.867	-8.7924
76.199997	102.831	-9.2357
77.500000	102.792	-9.6937
78.800003	102.749	-10.1371
80.000000	102.704	-10.5028
81.199997	102.658	-10.8456
82.500000	102.610	-11.2028
83.800003	102.567	-11.6339
85.000000	102.523	-12.0654
86.199997	102.486	-12.4972
87.500000	102.446	-12.9737
88.500000	102.416	-13.2819
90.000000	102.375	-13.7032
91.199997	102.332	-14.0116
92.500000	102.276	-14.2860
93.800003	102.219	-14.5412
95.000000	102.166	-14.8264
96.199997	102.110	-15.1260
97.500000	102.058	-15.4296
98.800003	102.017	-15.7836
100.000000	101.972	-16.1123
101.500000	101.910	-16.3939
103.000000	101.855	-16.6699
104.400002	101.786	-16.9846
106.000000	101.695	-17.2742
107.500000	101.619	-17.5367
109.000000	101.547	-17.8029
110.599998	101.468	-18.0212
112.000000	101.395	-18.0306
113.800003	101.323	-17.8380
115.000000	101.281	-17.6841
117.199997	101.209	-17.3353
118.000000	101.192	-17.1718
120.599998	101.230	-16.9543
122.000000	101.263	-17.3047
124.099998	101.263	-17.9863
125.000000	101.252	-18.2386
