* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 9:55:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.206	43.4742
20.299999	103.234	42.6642
20.600000	103.261	41.8883
20.900000	103.287	41.1470
21.200001	103.314	40.4317
21.400000	103.333	39.9623
21.799999	103.372	39.0338
22.000000	103.391	38.5725
22.400000	103.429	37.6579
22.700001	103.456	36.9841
23.000000	103.482	36.3239
23.299999	103.507	35.6754
23.600000	103.532	35.0356
24.000000	103.562	34.1936
24.299999	103.583	33.5736
24.700001	103.606	32.7722
25.000000	103.622	32.1973
25.400000	103.641	31.4671
25.799999	103.662	30.7671
26.200001	103.684	30.0793
26.500000	103.700	29.5649
26.900000	103.718	28.8835
27.200001	103.729	28.3833
27.600000	103.741	27.7408
28.000000	103.753	27.1281
28.500000	103.770	26.3870
29.000000	103.789	25.6437
29.500000	103.805	24.8872
30.000000	103.816	24.1345
30.400000	103.821	23.5532
30.700001	103.823	23.1350
31.100000	103.827	22.6006
31.500000	103.832	22.0857
32.000000	103.841	21.4537
32.500000	103.851	20.8207
33.000000	103.861	20.1829
33.500000	103.867	19.5487
34.000000	103.870	18.9315
34.500000	103.871	18.3418
35.000000	103.871	17.7827
35.500000	103.872	17.2487
36.000000	103.875	16.7280
36.500000	103.879	16.2084
37.000000	103.883	15.6827
37.500000	103.885	15.1534
38.200001	103.882	14.4246
38.700001	103.878	13.9238
39.500000	103.870	13.1617
40.000000	103.866	12.7057
40.599998	103.862	12.1733
41.200001	103.860	11.6508
41.799999	103.859	11.1294
42.500000	103.857	10.5151
43.099998	103.852	9.9894
43.700001	103.845	9.4781
44.400002	103.836	8.9086
45.000000	103.827	8.4375
45.500000	103.821	8.0508
46.200001	103.810	7.5171
46.799999	103.800	7.0691
47.500000	103.787	6.5605
48.200001	103.774	6.0687
48.700001	103.765	5.7256
49.400002	103.754	5.2481
50.000000	103.744	4.8375
50.799999	103.729	4.2980
51.500000	103.716	3.8423
52.200001	103.703	3.3971
53.000000	103.687	2.8973
53.799999	103.671	2.4112
54.500000	103.657	1.9933
55.200001	103.642	1.5790
56.000000	103.625	1.1144
57.000000	103.602	0.5442
58.000000	103.579	-0.0153
59.000000	103.556	-0.5598
60.000000	103.533	-1.1025
60.799999	103.513	-1.5267
61.500000	103.495	-1.8851
62.200001	103.478	-2.2380
63.000000	103.458	-2.6376
64.000000	103.431	-3.1208
65.000000	103.403	-3.5844
66.000000	103.375	-4.0370
67.000000	103.346	-4.4761
68.000000	103.319	-4.9016
69.000000	103.292	-5.3242
70.000000	103.265	-5.7512
71.000000	103.235	-6.1694
72.000000	103.204	-6.5610
73.000000	103.175	-6.9396
74.000000	103.147	-7.3226
75.000000	103.116	-7.7059
76.199997	103.078	-8.1459
77.500000	103.039	-8.6069
78.800003	103.000	-9.0710
80.000000	102.964	-9.4909
81.199997	102.926	-9.9028
82.500000	102.884	-10.3258
83.800003	102.842	-10.7217
85.000000	102.805	-11.0835
86.199997	102.768	-11.4467
87.500000	102.726	-11.8405
88.500000	102.693	-12.1398
90.000000	102.643	-12.5696
91.199997	102.604	-12.8979
92.500000	102.563	-13.2460
93.800003	102.523	-13.5934
95.000000	102.484	-13.9078
96.199997	102.443	-14.2042
97.500000	102.399	-14.5170
98.800003	102.355	-14.8361
100.000000	102.311	-15.1156
101.500000	102.260	-15.4446
103.000000	102.210	-15.7706
104.400002	102.164	-16.0719
106.000000	102.110	-16.4008
107.500000	102.059	-16.6935
109.000000	102.008	-16.9922
110.599998	101.952	-17.3147
112.000000	101.902	-17.5747
113.800003	101.839	-17.8710
115.000000	101.797	-18.0531
117.199997	101.714	-18.3835
118.000000	101.682	-18.4935
120.599998	101.593	-18.7848
122.000000	101.558	-19.0013
