* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:29:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kato L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.789	-149.8293
20.299999	89.804	-150.4770
20.600000	89.814	-151.1167
20.900000	89.820	-151.7274
21.200001	89.824	-152.2883
21.400000	89.827	-152.6322
21.799999	89.841	-153.2701
22.000000	89.852	-153.5815
22.400000	89.881	-154.2329
22.700001	89.904	-154.7664
23.000000	89.920	-155.3325
23.299999	89.928	-155.8980
23.600000	89.928	-156.4292
24.000000	89.920	-157.0464
24.299999	89.917	-157.4423
24.700001	89.920	-157.9236
25.000000	89.928	-158.2903
25.400000	89.940	-158.8185
25.799999	89.946	-159.3773
26.200001	89.942	-159.9166
26.500000	89.935	-160.2840
26.900000	89.927	-160.7220
27.200001	89.925	-161.0282
27.600000	89.926	-161.4332
28.000000	89.929	-161.8494
28.500000	89.933	-162.3756
29.000000	89.940	-162.8997
29.500000	89.951	-163.4493
30.000000	89.960	-164.0536
30.400000	89.960	-164.5576
30.700001	89.954	-164.9228
31.100000	89.943	-165.3636
31.500000	89.933	-165.7471
32.000000	89.930	-166.1829
32.500000	89.934	-166.6297
33.000000	89.940	-167.1109
33.500000	89.942	-167.6021
34.000000	89.940	-168.0769
34.500000	89.937	-168.5363
35.000000	89.933	-168.9875
35.500000	89.924	-169.4186
36.000000	89.913	-169.8087
36.500000	89.905	-170.1612
37.000000	89.901	-170.5083
37.500000	89.898	-170.8768
38.200001	89.888	-171.4118
38.700001	89.877	-171.7732
39.500000	89.861	-172.3134
40.000000	89.852	-172.6544
40.599998	89.841	-173.0697
41.200001	89.829	-173.4746
41.799999	89.818	-173.8757
42.500000	89.805	-174.3565
43.099998	89.790	-174.7609
43.700001	89.774	-175.1343
44.400002	89.757	-175.5355
45.000000	89.745	-175.8601
45.500000	89.737	-176.1190
46.200001	89.730	-176.4891
46.799999	89.723	-176.8449
47.500000	89.705	-177.2834
48.200001	89.677	-177.6794
48.700001	89.656	-177.9284
49.400002	89.627	-178.2554
50.000000	89.603	-178.5203
50.799999	89.577	-178.8705
