* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:23:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kato R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.364	-151.2964
20.299999	90.377	-151.9297
20.600000	90.387	-152.5461
20.900000	90.396	-153.1381
21.200001	90.404	-153.7028
21.400000	90.409	-154.0676
21.799999	90.423	-154.7829
22.000000	90.431	-155.1404
22.400000	90.444	-155.8651
22.700001	90.449	-156.4105
23.000000	90.450	-156.9395
23.299999	90.447	-157.4318
23.600000	90.442	-157.8784
24.000000	90.440	-158.4086
24.299999	90.444	-158.7805
24.700001	90.457	-159.2805
25.000000	90.468	-159.6754
25.400000	90.482	-160.2261
25.799999	90.491	-160.7798
26.200001	90.497	-161.3171
26.500000	90.502	-161.7109
26.900000	90.506	-162.2336
27.200001	90.507	-162.6252
27.600000	90.504	-163.1323
28.000000	90.496	-163.5934
28.500000	90.488	-164.0877
29.000000	90.491	-164.5453
29.500000	90.501	-165.0492
30.000000	90.506	-165.6203
30.400000	90.500	-166.0840
30.700001	90.491	-166.4096
31.100000	90.475	-166.7981
31.500000	90.461	-167.1409
32.000000	90.449	-167.5352
32.500000	90.442	-167.9248
33.000000	90.440	-168.3327
33.500000	90.439	-168.7712
34.000000	90.435	-169.2342
34.500000	90.427	-169.6919
35.000000	90.416	-170.1181
35.500000	90.409	-170.5179
36.000000	90.405	-170.9170
36.500000	90.400	-171.3222
37.000000	90.395	-171.7126
37.500000	90.390	-172.0732
38.200001	90.388	-172.5556
38.700001	90.388	-172.9092
39.500000	90.383	-173.4678
40.000000	90.379	-173.7944
40.599998	90.374	-174.1746
41.200001	90.367	-174.5557
41.799999	90.358	-174.9297
42.500000	90.345	-175.3504
43.099998	90.334	-175.7083
43.700001	90.322	-176.0678
44.400002	90.308	-176.4865
45.000000	90.295	-176.8483
45.500000	90.284	-177.1515
46.200001	90.266	-177.5642
46.799999	90.250	-177.8947
47.500000	90.235	-178.2600
48.200001	90.224	-178.6292
48.700001	90.215	-178.9042
49.400002	90.199	-179.2911
50.000000	90.182	-179.5983
50.799999	90.159	-179.9587
51.500000	90.143	179.7415
52.200001	90.127	179.4295
53.000000	90.107	179.0673
53.799999	90.084	178.7157
54.500000	90.063	178.4140
55.200001	90.042	178.1169
56.000000	90.018	177.7867
57.000000	89.988	177.3817
58.000000	89.959	176.9835
59.000000	89.930	176.6005
60.000000	89.903	176.2160
60.799999	89.880	175.9064
61.500000	89.859	175.6453
62.200001	89.837	175.3976
63.000000	89.813	175.1211
64.000000	89.784	174.7598
65.000000	89.748	174.3953
66.000000	89.708	174.0671
67.000000	89.669	173.7662
68.000000	89.633	173.4810
69.000000	89.601	173.1953
70.000000	89.571	172.8807
71.000000	89.538	172.5568
72.000000	89.503	172.2436
73.000000	89.467	171.9279
74.000000	89.424	171.6152
75.000000	89.375	171.3281
76.199997	89.310	171.0261
77.500000	89.235	170.7619
78.800003	89.166	170.5807
80.000000	89.113	170.4100
81.199997	89.063	170.2532
82.500000	89.015	170.1923
83.800003	88.989	170.2192
85.000000	88.977	170.2366
86.199997	88.967	170.2802
87.500000	88.961	170.3095
88.500000	88.954	170.2933
90.000000	88.938	170.1853
91.199997	88.912	169.9872
92.500000	88.866	169.7446
93.800003	88.806	169.5315
95.000000	88.746	169.4174
96.199997	88.692	169.3632
97.500000	88.640	169.3528
98.800003	88.601	169.4178
100.000000	88.585	169.4814
101.500000	88.584	169.4998
103.000000	88.601	169.4408
104.400002	88.626	169.2604
106.000000	88.644	168.9488
107.500000	88.649	168.6171
109.000000	88.641	168.2505
110.599998	88.615	167.8678
112.000000	88.587	167.5661
113.800003	88.548	167.1788
115.000000	88.516	166.9344
117.199997	88.454	166.5488
118.000000	88.430	166.4213
120.599998	88.353	166.0318
122.000000	88.310	165.8364
124.099998	88.247	165.5741
125.000000	88.219	165.4730
126.500000	88.173	165.3199
128.000000	88.126	165.1835
131.500000	88.017	164.8804
132.000000	88.002	164.8399
134.000000	87.942	164.6878
136.000000	87.884	164.5481
138.000000	87.825	164.4248
140.000000	87.764	164.3250
143.000000	87.670	164.1898
145.000000	87.607	164.1144
147.500000	87.531	164.0443
150.000000	87.459	164.0237
152.500000	87.392	164.0155
155.000000	87.324	164.0047
157.500000	87.255	163.9947
160.000000	87.181	163.9670
162.500000	87.097	163.9752
165.000000	87.011	164.0748
167.500000	86.921	164.2805
170.000000	86.826	164.6288
172.500000	86.739	165.1755
175.000000	86.688	165.8659
177.500000	86.688	166.5520
180.000000	86.735	167.0175
182.500000	86.799	167.1194
185.000000	86.848	166.9250
187.500000	86.868	166.5910
190.000000	86.862	166.2328
192.500000	86.836	165.9128
195.000000	86.797	165.6617
197.500000	86.751	165.4831
200.000000	86.702	165.3585
203.000000	86.643	165.2573
206.000000	86.582	165.1949
209.000000	86.522	165.1566
212.000000	86.463	165.1371
214.000000	86.425	165.1349
218.000000	86.350	165.1523
220.000000	86.314	165.1692
224.000000	86.243	165.2198
227.000000	86.192	165.2756
230.000000	86.142	165.3442
233.000000	86.093	165.4209
236.000000	86.044	165.5075
240.000000	85.980	165.6345
243.000000	85.932	165.7350
247.000000	85.871	165.8767
250.000000	85.826	165.9896
254.000000	85.769	166.1432
258.000000	85.713	166.3008
262.000000	85.659	166.4670
265.000000	85.619	166.5976
269.000000	85.566	166.7751
272.000000	85.527	166.9114
276.000000	85.476	167.1028
280.000000	85.426	167.3022
285.000000	85.364	167.5533
290.000000	85.305	167.8030
295.000000	85.250	168.0544
300.000000	85.198	168.3043
304.000000	85.154	168.5001
307.000000	85.123	168.6490
311.000000	85.083	168.8543
315.000000	85.044	169.0641
320.000000	84.998	169.3309
325.000000	84.952	169.6021
330.000000	84.906	169.8794
335.000000	84.862	170.1630
340.000000	84.818	170.4533
345.000000	84.775	170.7463
350.000000	84.733	171.0369
355.000000	84.692	171.3271
360.000000	84.653	171.6172
365.000000	84.616	171.9032
370.000000	84.580	172.1860
375.000000	84.545	172.4716
382.000000	84.498	172.8773
387.000000	84.465	173.1708
395.000000	84.414	173.6510
400.000000	84.382	173.9573
406.000000	84.344	174.3241
412.000000	84.307	174.6866
418.000000	84.273	175.0472
425.000000	84.234	175.4673
431.000000	84.203	175.8245
437.000000	84.173	176.1808
444.000000	84.141	176.5995
450.000000	84.115	176.9603
455.000000	84.093	177.2610
462.000000	84.064	177.6848
468.000000	84.040	178.0532
475.000000	84.013	178.4849
482.000000	83.987	178.9175
487.000000	83.969	179.2276
494.000000	83.943	179.6633
500.000000	83.923	-179.9623
508.000000	83.898	-179.4615
515.000000	83.877	-179.0211
522.000000	83.856	-178.5807
530.000000	83.835	-178.0806
538.000000	83.816	-177.5845
545.000000	83.803	-177.1542
552.000000	83.791	-176.7297
560.000000	83.779	-176.2544
570.000000	83.765	-175.6711
580.000000	83.753	-175.0910
590.000000	83.741	-174.5099
600.000000	83.728	-173.9241
608.000000	83.718	-173.4476
615.000000	83.710	-173.0248
622.000000	83.702	-172.5994
630.000000	83.695	-172.1135
640.000000	83.687	-171.5091
650.000000	83.681	-170.9034
660.000000	83.677	-170.2923
670.000000	83.675	-169.6779
680.000000	83.674	-169.0641
690.000000	83.675	-168.4498
700.000000	83.679	-167.8308
710.000000	83.684	-167.2072
720.000000	83.692	-166.5844
730.000000	83.702	-165.9645
740.000000	83.715	-165.3450
750.000000	83.731	-164.7233
762.000000	83.753	-163.9750
775.000000	83.781	-163.1659
788.000000	83.812	-162.3600
800.000000	83.844	-161.6178
812.000000	83.878	-160.8764
825.000000	83.919	-160.0746
838.000000	83.964	-159.2792
850.000000	84.010	-158.5567
862.000000	84.060	-157.8474
875.000000	84.118	-157.0924
885.000000	84.166	-156.5194
900.000000	84.242	-155.6719
912.000000	84.305	-155.0091
925.000000	84.378	-154.3111
938.000000	84.454	-153.6372
950.000000	84.528	-153.0388
962.000000	84.606	-152.4626
975.000000	84.692	-151.8615
988.000000	84.779	-151.2834
1000.000000	84.862	-150.7710
1015.000000	84.967	-150.1637
1030.000000	85.075	-149.5983
1044.000000	85.178	-149.1081
1060.000000	85.297	-148.5895
1075.000000	85.410	-148.1426
1090.000000	85.521	-147.7318
1106.000000	85.638	-147.3301
1120.000000	85.738	-147.0052
1138.000000	85.866	-146.6104
1150.000000	85.951	-146.3551
1172.000000	86.110	-145.9065
1180.000000	86.169	-145.7541
1206.000000	86.367	-145.3279
1220.000000	86.474	-145.1548
1241.000000	86.632	-144.9765
1250.000000	86.697	-144.9290
1265.000000	86.802	-144.8837
1280.000000	86.901	-144.8713
1315.000000	87.106	-144.8933
1320.000000	87.133	-144.8970
1340.000000	87.237	-144.9097
1360.000000	87.336	-144.9202
1380.000000	87.431	-144.9272
1400.000000	87.522	-144.9267
1430.000000	87.649	-144.9124
1450.000000	87.730	-144.8920
1475.000000	87.824	-144.8451
1500.000000	87.911	-144.7675
1525.000000	87.992	-144.6431
1550.000000	88.067	-144.4551
1575.000000	88.143	-144.1996
1600.000000	88.226	-143.8958
1625.000000	88.315	-143.5747
1650.000000	88.404	-143.2182
1675.000000	88.497	-142.7550
1700.000000	88.608	-142.1551
1725.000000	88.753	-141.4795
1750.000000	88.937	-140.8652
1775.000000	89.148	-140.4439
1800.000000	89.366	-140.2626
1825.000000	89.573	-140.2647
1850.000000	89.772	-140.3522
1875.000000	89.970	-140.4957
1900.000000	90.170	-140.7494
1925.000000	90.362	-141.1525
1950.000000	90.537	-141.6654
1975.000000	90.696	-142.2146
2000.000000	90.844	-142.7638
2030.000000	91.016	-143.4343
2060.000000	91.180	-144.1423
2090.000000	91.333	-144.8870
2120.000000	91.476	-145.6519
2140.000000	91.565	-146.1656
2180.000000	91.732	-147.1868
2200.000000	91.811	-147.6942
2240.000000	91.960	-148.7104
2270.000000	92.063	-149.4721
2300.000000	92.161	-150.2293
2330.000000	92.256	-150.9872
2360.000000	92.349	-151.7570
2400.000000	92.464	-152.8128
2430.000000	92.542	-153.6201
2470.000000	92.634	-154.6901
2500.000000	92.697	-155.4686
2540.000000	92.776	-156.4615
2580.000000	92.858	-157.4174
2620.000000	92.947	-158.3926
2650.000000	93.015	-159.1813
2690.000000	93.099	-160.3431
2720.000000	93.151	-161.2887
2760.000000	93.199	-162.5988
2800.000000	93.224	-163.9011
2850.000000	93.227	-165.4411
2900.000000	93.211	-166.8487
2950.000000	93.189	-168.1538
3000.000000	93.165	-169.4264
3040.000000	93.141	-170.4545
3070.000000	93.115	-171.2277
3110.000000	93.070	-172.2377
3150.000000	93.010	-173.1946
3200.000000	92.922	-174.2831
3250.000000	92.825	-175.2354
3300.000000	92.725	-176.0575
3350.000000	92.626	-176.7720
3400.000000	92.530	-177.4059
3450.000000	92.438	-177.9797
3500.000000	92.349	-178.5020
3550.000000	92.262	-178.9812
3600.000000	92.178	-179.4347
3650.000000	92.097	-179.8746
3700.000000	92.016	179.7021
3750.000000	91.934	179.3060
3820.000000	91.817	178.8151
3870.000000	91.734	178.5145
3950.000000	91.604	178.1176
4000.000000	91.525	177.9136
4060.000000	91.435	177.7002
4120.000000	91.348	177.5125
4180.000000	91.265	177.3471
4250.000000	91.171	177.1800
4310.000000	91.095	177.0566
4370.000000	91.022	176.9464
4440.000000	90.943	176.8190
4500.000000	90.878	176.7006
4550.000000	90.825	176.5962
4620.000000	90.751	176.4474
4680.000000	90.688	176.3194
4750.000000	90.614	176.1671
4820.000000	90.540	176.0128
4870.000000	90.485	175.9028
4940.000000	90.406	175.7512
5000.000000	90.335	175.6245
5080.000000	90.237	175.4667
5150.000000	90.146	175.3522
5220.000000	90.051	175.2773
5300.000000	89.941	175.2555
5380.000000	89.832	175.3055
5450.000000	89.739	175.4023
5520.000000	89.651	175.5398
5600.000000	89.553	175.7363
5700.000000	89.435	176.0386
5800.000000	89.320	176.4185
5900.000000	89.207	176.8962
6000.000000	89.099	177.4940
6080.000000	89.018	178.0782
6150.000000	88.954	178.6778
6220.000000	88.901	179.3611
6300.000000	88.859	-179.7680
6400.000000	88.840	-178.5857
6500.000000	88.865	-177.3652
6600.000000	88.935	-176.1716
